displacement_um,field_v_m,excess_energy_mk,density_cm3,density_over_peak,classical_rate_s,classical_survival,parameter_status
-14.6,-3.689628312203711,137.98218322748252,9465142254.176928,0.0591571390886058,0.00028219274882609934,0.9999435630428598,printed_shape_reconstructed_peak_density
-14.399999999999999,-3.6390854586118784,134.22774213759976,10027382108.891405,0.06267113818057128,0.00032312058083960475,0.9999353779719253,printed_shape_reconstructed_peak_density
-14.2,-3.5885426050200477,130.5250864420603,10616702043.95115,0.0663543877746947,0.00036964121590292854,0.9999260744894446,printed_shape_reconstructed_peak_density
-14.0,-3.5379997514282153,126.87421614086396,11233972041.400576,0.0702123252587536,0.0004224701743451645,0.9999155095346514,printed_shape_reconstructed_peak_density
-13.799999999999999,-3.487456897836384,123.2751312340109,11880061624.102682,0.07425038515064177,0.0004824081262588999,0.9999035230289506,printed_shape_reconstructed_peak_density
-13.6,-3.4369140442445523,119.72783172150105,12555837701.365149,0.07847398563353218,0.0005503502748359293,0.9998899360025191,printed_shape_reconstructed_peak_density
-13.399999999999999,-3.3863711906527207,116.23231760333438,13262162298.00953,0.08288851436255956,0.0006272967008835601,0.9998745485295172,printed_shape_reconstructed_peak_density
-13.2,-3.335828337060889,112.78858887951093,13999890168.513739,0.08749931355321086,0.0007143637626937736,0.9998571374532869,printed_shape_reconstructed_peak_density
-13.0,-3.2852854834690577,109.39664555003071,14769866298.442507,0.09231166436526567,0.0008127966550001336,0.999837453881052,printed_shape_reconstructed_peak_density
-12.799999999999999,-3.2347426298772257,106.05648761489365,15572923295.987633,0.0973307705999227,0.0009239832414536832,0.9998152204255581,printed_shape_reconstructed_peak_density
-12.6,-3.1841997762853946,102.76811507409985,16409878677.068108,0.10256174173167568,0.0010494692870415593,0.9997901281687663,printed_shape_reconstructed_peak_density
-12.399999999999999,-3.1336569226935627,99.53152792764924,17281532048.08565,0.10800957530053532,0.001190975230348441,0.999761833320118,printed_shape_reconstructed_peak_density
-12.2,-3.0831140691017307,96.34672617554182,18188662191.09251,0.11367913869432819,0.0013504146507384708,0.9997299535389635,printed_shape_reconstructed_peak_density
-12.0,-3.0325712155098996,93.21370981777767,19132024056.802708,0.11957515035501692,0.0015299146026652802,0.9996940638874665,printed_shape_reconstructed_peak_density
-11.799999999999999,-2.9820283619180676,90.13247885435666,20112345671.560757,0.12570216044725474,0.0017318380086901203,0.9996536923765947,printed_shape_reconstructed_peak_density
-11.6,-2.931485508326236,87.1030332852789,21130324965.073444,0.13206453103170904,0.001958808324738553,0.9996083150636332,printed_shape_reconstructed_peak_density
-11.399999999999999,-2.880942654734404,84.12537311054432,22186626526.401943,0.13866641579001215,0.0022137367160406296,0.9995573506549335,printed_shape_reconstructed_peak_density
-11.2,-2.830399801142573,81.19949833015298,23281878296.405037,0.14551173935253148,0.0024998520105242623,0.9995001545622696,printed_shape_reconstructed_peak_density
-11.0,-2.779856947550741,78.32540894410482,24416668205.512257,0.1526041762844516,0.0028207337286790344,0.9994360123551194,printed_shape_reconstructed_peak_density
-10.799999999999999,-2.729314093958909,75.50310495239987,25591540766.384434,0.15994712978990272,0.003180348525666773,0.9993641325443177,printed_shape_reconstructed_peak_density
-10.6,-2.6787712403670776,72.73258635503815,26806993631.68778,0.16754371019804862,0.0035830904234020328,0.9992836386247347,printed_shape_reconstructed_peak_density
-10.399999999999999,-2.628228386775246,70.01385315201965,28063474127.855953,0.1753967132990997,0.004033825258230635,0.9991935602957793,printed_shape_reconstructed_peak_density
-10.2,-2.5776855331834145,67.34690534334435,29361375776.344788,0.18350859860215493,0.004537939824578504,0.9990928237684705,printed_shape_reconstructed_peak_density
-10.0,-2.527142679591583,64.73174292901227,30701034814.486485,0.19188146759054053,0.0051013962575225235,0.9989802410564028,printed_shape_reconstructed_peak_density
-9.799999999999999,-2.4765998259997506,62.168365909023336,32082726728.623398,0.20051704205389623,0.005730792268776245,0.9988544981349697,printed_shape_reconstructed_peak_density
-9.6,-2.426056972407919,59.65677428337767,33506662812.738895,0.2094166425796181,0.006433427932346098,0.9987141418385134,printed_shape_reconstructed_peak_density
-9.399999999999999,-2.3755141188160875,57.19696805207521,34972986766.30214,0.21858116728938837,0.007217379809498508,0.9985575653484309,printed_shape_reconstructed_peak_density
-9.2,-2.324971265224256,54.78894721511596,36481771345.49668,0.22801107090935427,0.00809158330921783,0.9983829921064697,printed_shape_reconstructed_peak_density
-9.0,-2.274428411632425,52.43271177249994,38033015082.410645,0.23770634426506654,0.00906592430168613,0.9981884579662655,printed_shape_reconstructed_peak_density
-8.8,-2.2238855580405934,50.12826172422711,39626639087.11763,0.2476664942944852,0.010151341140218336,0.9979717913724123,printed_shape_reconstructed_peak_density
-8.599999999999998,-2.1733427044487605,47.875597070297424,41262483947.8754,0.25789052467422124,0.011359938403315005,0.9977305913298178,printed_shape_reconstructed_peak_density
-8.399999999999999,-2.122799850856929,45.67471781071102,42940306744.90261,0.2683769171556413,0.012705113844751419,0.9974622028966642,printed_shape_reconstructed_peak_density
-8.2,-2.072256997265098,43.525623945467835,44659778193.36566,0.2791236137085354,0.01420170023739035,0.997163689901936,printed_shape_reconstructed_peak_density
-8.0,-2.0217141436732664,41.42831547456785,46420479931.30694,0.29012799957066837,0.015866124016702014,0.9968318045533197,printed_shape_reconstructed_peak_density
-7.800000000000001,-1.9711712900814347,39.38279239801106,48221901968.27611,0.3013868873017257,0.017716582872999685,0.9964629535636927,printed_shape_reconstructed_peak_density
-7.599999999999998,-1.9206284364896025,37.389054715797464,50063440310.37925,0.3128965019398703,0.019773244705988638,0.9960531603851532,printed_shape_reconstructed_peak_density
-7.399999999999999,-1.8700855828977712,35.447102427927106,51944394777.33596,0.32465246735834974,0.022058470638074652,0.9955980230998591,printed_shape_reconstructed_peak_density
-7.199999999999999,-1.8195427293059392,33.55693553439994,53863967026.93063,0.33664979391831645,0.02459706507739068,0.9950926674789647,printed_shape_reconstructed_peak_density
-7.0,-1.7689998757141077,31.71855403521599,55821258801.95537,0.34888286751222103,0.027416556116133292,0.9945316946878703,printed_shape_reconstructed_peak_density
-6.800000000000001,-1.7184570221222766,29.931957930375276,57815270414.37179,0.36134544008982367,0.030547509825694166,0.9939091230927464,printed_shape_reconstructed_peak_density
-6.599999999999998,-1.6679141685304442,28.19714721987772,59844899480.961205,0.37403062175600754,0.03402388223764283,0.9932183236170976,printed_shape_reconstructed_peak_density
-6.399999999999999,-1.6173713149386126,26.514121903723407,61908939924.190636,0.38693087452619146,0.0378834129337428,0.992451948118541,printed_shape_reconstructed_peak_density
-6.199999999999999,-1.5668284613467813,24.88288198191231,64006081251.39261,0.4000380078212038,0.042168064141368915,0.9916018503202144,printed_shape_reconstructed_peak_density
-6.0,-1.5162856077549498,23.303427454444417,66134908124.64225,0.4133431757790141,0.046924508943476585,0.9906589989600192,printed_shape_reconstructed_peak_density
-5.799999999999997,-1.4657427541631174,21.775758321319703,68293900232.91508,0.4268368764557192,0.0522046715198221,0.9896133830449488,printed_shape_reconstructed_peak_density
-5.599999999999998,-1.4151999005712856,20.299874582538223,70481432477.22604,0.4405089529826628,0.05806632102965256,0.9884539094601906,printed_shape_reconstructed_peak_density
-5.399999999999999,-1.3646570469794543,18.875776238099963,72695775478.48488,0.45434859674053046,0.06457371852734183,0.9871682937435099,printed_shape_reconstructed_peak_density
-5.199999999999999,-1.314114193387623,17.503463288004912,74935096416.75891,0.4683443526047432,0.07179831274925882,0.9857429456774279,printed_shape_reconstructed_peak_density
-5.0,-1.2635713397957915,16.182935732253068,77197460209.51372,0.48248412630946075,0.07981947513053751,0.9841628525879293,printed_shape_reconstructed_peak_density
-4.799999999999997,-1.213028486203959,14.914193570844406,79480831035.21062,0.49675519397006634,0.0887252561832338,0.9824114650213066,printed_shape_reconstructed_peak_density
-4.599999999999998,-1.1624856326121276,13.69723680377898,81783074207.3772,0.5111442137961075,0.09861313326836565,0.9804705920025915,printed_shape_reconstructed_peak_density
-4.399999999999999,-1.111942779020296,12.532065431056761,84101958402.9447,0.5256372400184044,0.10959070230977015,0.9783203166226249,printed_shape_reconstructed_peak_density
-4.199999999999999,-1.0613999254284645,11.418679452677756,86435158247.2612,0.5402197390453825,0.12177624113406726,0.9759389475876243,printed_shape_reconstructed_peak_density
-4.0,-1.0108570718366332,10.357078868641963,88780257256.75609,0.5548766078547256,0.13529903733381662,0.973303028995025,printed_shape_reconstructed_peak_density
-3.799999999999997,-0.9603142182448008,9.347263678949357,91134751138.74886,0.5695921946171804,0.1502993257402477,0.9703874394218924,printed_shape_reconstructed_peak_density
-3.599999999999998,-0.9097713646529693,8.389233883599978,93496051446.37419,0.5843503215398387,0.16692761625784275,0.9671656228700286,printed_shape_reconstructed_peak_density
-3.3999999999999986,-0.8592285110611378,7.482989482593811,95861489585.04243,0.5991343099065152,0.18534310853814132,0.9636100085159393,printed_shape_reconstructed_peak_density
-3.1999999999999993,-0.8086856574693063,6.628530475930852,98228321165.27563,0.6139270072829727,0.20571078351028232,0.9596926935020551,printed_shape_reconstructed_peak_density
-3.0,-0.7581428038774749,5.825856863611104,100593730695.164,0.628710816844775,0.22819663420761954,0.9553864823175415,printed_shape_reconstructed_peak_density
-2.799999999999997,-0.7075999502856425,5.074968645634551,102954836604.08432,0.643467728775527,0.2529603578081793,0.9506663953031115,printed_shape_reconstructed_peak_density
-2.599999999999998,-0.6570570966938108,4.375865822001219,105308696587.71606,0.6581793536732254,0.28014469879551684,0.9455117726115261,printed_shape_reconstructed_peak_density
-2.3999999999999986,-0.6065142431019795,3.7285483927111014,107652313262.79674,0.6728269578924796,0.30986055341092394,0.9399090998491582,printed_shape_reconstructed_peak_density
-2.1999999999999993,-0.555971389510148,3.1330163577641903,109982640118.477,0.6873915007404813,0.3421669955170871,0.9338556536562388,printed_shape_reconstructed_peak_density
-2.0,-0.5054285359183166,2.589269717160491,112296587749.58524,0.7018536734349077,0.37704568501598157,0.9273639897771562,printed_shape_reconstructed_peak_density
-1.7999999999999972,-0.45488568232648413,2.0973084708999896,114591030355.59276,0.7161939397224547,0.41436983802869354,0.9204671485885816,printed_shape_reconstructed_peak_density
-1.5999999999999979,-0.40434282873465266,1.657132618982709,116862812487.59747,0.7303925780474843,0.4538692574308221,0.9132242118467523,printed_shape_reconstructed_peak_density
-1.3999999999999986,-0.35379997514282124,1.2687421614086378,119108756024.22461,0.7444297251514038,0.49509496703862665,0.9057255050463728,printed_shape_reconstructed_peak_density
-1.1999999999999993,-0.30325712155098977,0.9321370981777753,121325667355.98271,0.7582854209748919,0.5373896723982969,0.8980963391952087,printed_shape_reconstructed_peak_density
-1.0,-0.2527142679591583,0.6473174292901227,123510344756.32784,0.771939654727049,0.5798730621596144,0.8904978305847958,printed_shape_reconstructed_peak_density
-0.7999999999999972,-0.20217141436732589,0.4142831547456754,125659585916.47794,0.7853724119779871,0.621452724215697,0.8831232167076697,printed_shape_reconstructed_peak_density
