magnetic_field_g,loss_rate_s,survival,excess_ratio,partial_wave,parameter_status
324.24,0.07541166074647548,0.9850308365585186,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.26,0.07491047653059117,0.9851295778886842,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.28000000000003,0.07441494963693329,0.9852272143666706,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.3,0.07392498364530323,0.9853237646630432,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.32,0.07344048453897606,0.9854192469857629,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.34000000000003,0.0729613606220491,0.985513679096045,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.36,0.07248752244022565,0.9856070783235602,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.38,0.07201888270487748,0.9856994615810076,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.4,0.07155535622026245,0.9857908453780859,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.42,0.07109685981374313,0.9858812458348881,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.44,0.07064331226888597,0.9859706786947461,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.46,0.07019463426129506,0.9860591593365504,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.48,0.06975074829708426,0.986146702786566,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.5,0.06931157865385836,0.9862333237297655,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.52,0.0688770513240803,0.9863190365207062,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.54,0.06844709396074287,0.9864038551939657,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.56,0.06802163582522601,0.9864877934741569,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.58,0.06760060773723807,0.9865708647855453,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.6,0.06718394202676348,0.9866530822612799,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.62,0.06677157248791901,0.9867344587522587,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.64,0.06636343433462341,0.9868150068356463,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.66,0.0659594641580178,0.986894738823055,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.68,0.06555959988554876,0.9869736667684081,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.7,0.06516378074163214,0.987051802475498,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.72,0.06477194720984258,0.9871291575052524,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.74,0.0643840409965531,0.9872057431827231,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.76,0.06400000499595167,0.9872815706038083,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.78000000000003,0.0636197832563882,0.9873566506417212,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.8,0.06324332094798808,0.9874309939532145,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.82,0.06287056433146258,0.9875046109845756,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.84000000000003,0.06250146072808503,0.9875775119773977,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.86,0.06213595849076904,0.987649706974139,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.88,0.06177400697619263,0.9877212058234814,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.9,0.06141555651794174,0.9877920181854938,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
