mapping_row_id,paper_id,check_id,claim_id,claim_ids,supporting_claim_ids,target_ids,item_type,scientific_role,source_ref,scientific_object,disposition,disposition_source,reason_codes,next_action,direct_cause_categories,root_cause_categories,code_fault_statuses,fidelity_status,fidelity_score,fidelity_min_score,fidelity_target_scores,fidelity_missing_target_ids
MAP-0090,10.1007-s11433-024-2478-8,Main Figure 4(e),CLM_T005_TWO_PHOTON_AMPLITUDE_CZ,CLM_T005_TWO_PHOTON_AMPLITUDE_CZ,,T005,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0091,10.1007-s11433-024-2478-8,Main Figure 4(f),CLM_T005_TWO_PHOTON_AMPLITUDE_CZ,CLM_T005_TWO_PHOTON_AMPLITUDE_CZ,,T005,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0099,10.1007-s11433-024-2478-8,Main Figure 6(b),CLM_T007_TOFFOLI_CCZ,CLM_T007_TOFFOLI_CCZ,,T007,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0252,10.1103-PhysRevLett.124.113601,fig2_inset_ipr_mobility_edge,CLM001,CLM001,,T001,figure_inset,,Fig. 2 inset,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0251,10.1103-PhysRevLett.124.113601,fig2_main_state_thresholds,CLM001,CLM001,,T001,figure_panel,,Fig. 2 main panel,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0253,10.1103-PhysRevLett.124.113601,fig3a_aa_susceptibility_threshold,CLM002,CLM002,,T002,figure_panel,,Fig. 3(a),,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0258,10.1103-PhysRevLett.124.113601,fig4a_photon_number_onset,CLM003,CLM003,,T003,figure_panel,,Fig. 4(a),,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0259,10.1103-PhysRevLett.124.113601,fig4b_threshold_landscape,CLM003,CLM003,,T003,figure_panel,,Fig. 4(b),,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0260,10.1103-PhysRevLett.124.113601,figs1a_density_profile_chi0,CLM004,CLM004,,T004,figure_panel,,Fig. S1(a),,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0261,10.1103-PhysRevLett.124.113601,figs1b_density_profile_chi0p5,CLM004,CLM004,,T004,figure_panel,,Fig. S1(b),,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0262,10.1103-PhysRevLett.124.113601,figs1c_density_profile_chi1,CLM004,CLM004,,T004,figure_panel,,Fig. S1(c),,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0263,10.1103-PhysRevLett.124.113601,figs1d_density_profile_chi1p9,CLM004,CLM004,,T004,figure_panel,,Fig. S1(d),,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0264,10.1103-PhysRevLett.124.113601,figs1e_density_profile_chi2p03,CLM004,CLM004,,T004,figure_panel,,Fig. S1(e),,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0443,1106.2978,INV-012,CLM_METHOD,CLM_METHOD,,T014,quantitative_claim,theory_formula_audit,,,attempted_not_reproduced,item_authoritative_state,independent_review_paper_error_candidate,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0452,1106.2978,Isotropic connected-correlation claim,CLM_CORRELATIONS,CLM_CORRELATIONS,,T005,quantitative_claim,theory_analytic_numerical,,,attempted_not_reproduced,item_authoritative_state,independent_review_paper_error_candidate,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0468,1206.2505,finite_g1_corrections,CLM_T015,CLM_T015,,T015,method_claim,,Supplement line 540,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,indispensable_input_unavailable,publication_underspecified,not_applicable,not_applicable_nonreproduced,,,{},
MAP-0460,1206.2505,main_fig3_bottom,CLM_T007,CLM_T007,,T007,numerical_subfigure,,Main Fig. 3 bottom,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0458,1206.2505,main_fig3_upper_left,CLM_T005,CLM_T005,,T005,numerical_subfigure,,Main Fig. 3 upper left,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0459,1206.2505,main_fig3_upper_right,CLM_T006,CLM_T006,,T006,numerical_subfigure,,Main Fig. 3 upper right,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0461,1206.2505,supp_fig1,CLM_T008,CLM_T008,,T008,numerical_figure,,Supplement Fig. 1,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0657,1608.02589,C-MAIN-HIDDEN-ISING-MAP,CLM_C_MAIN_HIDDEN_ISING_MAP,CLM_C_MAIN_HIDDEN_ISING_MAP | CLM_C_MAIN_MEAN_CORR_BETA | CLM_C_MAIN_NU_TYP_AVG | CLM_C_MAIN_TYP_CORR | CLM_C_MAIN_WIGNER_DECAY,CLM_C_MAIN_MEAN_CORR_BETA | CLM_C_MAIN_NU_TYP_AVG | CLM_C_MAIN_TYP_CORR | CLM_C_MAIN_WIGNER_DECAY,T015,quantitative_claim,theory_analytic,"Main text, PDF pp. 3-4, two-period evolution and hidden-Ising mapping",Two-period Floquet evolution maps to a random transverse-field Ising critical theory with hidden Ising symmetry,attempted_not_reproduced,item_authoritative_state,at_least_one_required_target_attempt_failed,none,implementation_not_ready,system_capability_limit,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0658,1608.02589,C-MAIN-MEAN-CORR-BETA,CLM_C_MAIN_MEAN_CORR_BETA,CLM_C_MAIN_HIDDEN_ISING_MAP | CLM_C_MAIN_MEAN_CORR_BETA | CLM_C_MAIN_NU_TYP_AVG | CLM_C_MAIN_TYP_CORR | CLM_C_MAIN_WIGNER_DECAY,CLM_C_MAIN_HIDDEN_ISING_MAP | CLM_C_MAIN_NU_TYP_AVG | CLM_C_MAIN_TYP_CORR | CLM_C_MAIN_WIGNER_DECAY,T015,quantitative_claim,theory_analytic,"Main text, PDF p. 4, critical spatial-correlation paragraph","Mean critical correlations scale as r^{-(2-phi)}, implying beta=2-phi",attempted_not_reproduced,item_authoritative_state,at_least_one_required_target_attempt_failed,none,implementation_not_ready,system_capability_limit,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0660,1608.02589,C-MAIN-NU-TYP-AVG,CLM_C_MAIN_NU_TYP_AVG,CLM_C_MAIN_HIDDEN_ISING_MAP | CLM_C_MAIN_MEAN_CORR_BETA | CLM_C_MAIN_NU_TYP_AVG | CLM_C_MAIN_TYP_CORR | CLM_C_MAIN_WIGNER_DECAY,CLM_C_MAIN_HIDDEN_ISING_MAP | CLM_C_MAIN_MEAN_CORR_BETA | CLM_C_MAIN_TYP_CORR | CLM_C_MAIN_WIGNER_DECAY,T015,quantitative_claim,theory_analytic,"Main text, PDF p. 4, critical exponent paragraph",The infinite-randomness transition has nu_typ=1 and nu_avg=2,attempted_not_reproduced,item_authoritative_state,at_least_one_required_target_attempt_failed,none,implementation_not_ready,system_capability_limit,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0659,1608.02589,C-MAIN-TYP-CORR,CLM_C_MAIN_TYP_CORR,CLM_C_MAIN_HIDDEN_ISING_MAP | CLM_C_MAIN_MEAN_CORR_BETA | CLM_C_MAIN_NU_TYP_AVG | CLM_C_MAIN_TYP_CORR | CLM_C_MAIN_WIGNER_DECAY,CLM_C_MAIN_HIDDEN_ISING_MAP | CLM_C_MAIN_MEAN_CORR_BETA | CLM_C_MAIN_NU_TYP_AVG | CLM_C_MAIN_WIGNER_DECAY,T015,quantitative_claim,theory_analytic,"Main text, PDF p. 4, critical spatial-correlation paragraph",Typical critical correlations scale as exp(-sqrt(r)),attempted_not_reproduced,item_authoritative_state,at_least_one_required_target_attempt_failed,none,implementation_not_ready,system_capability_limit,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0661,1608.02589,C-MAIN-WIGNER-DECAY,CLM_C_MAIN_WIGNER_DECAY,CLM_C_MAIN_HIDDEN_ISING_MAP | CLM_C_MAIN_MEAN_CORR_BETA | CLM_C_MAIN_NU_TYP_AVG | CLM_C_MAIN_TYP_CORR | CLM_C_MAIN_WIGNER_DECAY,CLM_C_MAIN_HIDDEN_ISING_MAP | CLM_C_MAIN_MEAN_CORR_BETA | CLM_C_MAIN_NU_TYP_AVG | CLM_C_MAIN_TYP_CORR,T015,quantitative_claim,theory_analytic,"Main text, PDF p. 4, temporal Wigner-response paragraph",The half-frequency Wigner response decays with the stated logarithmic critical law,attempted_not_reproduced,item_authoritative_state,at_least_one_required_target_attempt_failed,none,implementation_not_ready,system_capability_limit,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0662,1608.02589,C-SI-HIDDEN-SYMM,CLM_C_SI_HIDDEN_SYMM,CLM_C_SI_HIDDEN_SYMM | CLM_C_SI_RANDOM_ROT | CLM_C_SI_ZN_UNIVERSALITY,CLM_C_SI_RANDOM_ROT | CLM_C_SI_ZN_UNIVERSALITY,T016,quantitative_claim,theory_analytic,"Supplement Sec. I, PDF p. 7, hidden Ising symmetry construction",The constructed finite-depth hidden symmetry commutes with U(T) and squares to the identity,attempted_not_reproduced,item_authoritative_state,at_least_one_required_target_attempt_failed,none,implementation_not_ready,system_capability_limit,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0663,1608.02589,C-SI-RANDOM-ROT,CLM_C_SI_RANDOM_ROT,CLM_C_SI_HIDDEN_SYMM | CLM_C_SI_RANDOM_ROT | CLM_C_SI_ZN_UNIVERSALITY,CLM_C_SI_HIDDEN_SYMM | CLM_C_SI_ZN_UNIVERSALITY,T016,quantitative_claim,theory_analytic,"Supplement Sec. II, PDF p. 7, Eq. S3",The randomly rotated hidden symmetry is correct through second order in the perturbation,attempted_not_reproduced,item_authoritative_state,at_least_one_required_target_attempt_failed,none,implementation_not_ready,system_capability_limit,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0664,1608.02589,C-SI-ZN-UNIVERSALITY,CLM_C_SI_ZN_UNIVERSALITY,CLM_C_SI_HIDDEN_SYMM | CLM_C_SI_RANDOM_ROT | CLM_C_SI_ZN_UNIVERSALITY,CLM_C_SI_HIDDEN_SYMM | CLM_C_SI_RANDOM_ROT,T016,quantitative_claim,theory_analytic,"Supplement Sec. III, PDF p. 7",The Zn generalization has the same random-Ising critical exponents for any n,attempted_not_reproduced,item_authoritative_state,at_least_one_required_target_attempt_failed,none,implementation_not_ready,system_capability_limit,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0684,1708.05014,M1-C-N040,CLM_BTC,CLM_BTC,,T001,figure_series,theory_numerical,"Main Fig. 1(c), PDF p. 1, N_b=40",Finite-size boundary magnetization dynamics for N_b=40,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0685,1708.05014,M1-C-N080,CLM_BTC,CLM_BTC,,T001,figure_series,theory_numerical,"Main Fig. 1(c), PDF p. 1, N_b=80",Finite-size boundary magnetization dynamics for N_b=80,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0686,1708.05014,M1-C-N160,CLM_BTC,CLM_BTC,,T001,figure_series,theory_numerical,"Main Fig. 1(c), PDF p. 1, N_b=160",Finite-size boundary magnetization dynamics for N_b=160,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0687,1708.05014,M1-C-NINF,CLM_BTC,CLM_BTC,,T001,figure_series,theory_numerical,"Main Fig. 1(c), PDF p. 1, N_b->infinity",Thermodynamic-limit boundary magnetization dynamics,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0689,1708.05014,M2-L-INSET-ZOOM,CLM_BTC,CLM_BTC,,T003,figure_panel,supporting_duplicate,"Main Fig. 2 left inset, PDF p. 3",Zoom of leading eigenvalues already contained in M2-L-SPECTRUM,attempted_not_reproduced,target_projection,fresh_independent_review_inconclusive_target_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0688,1708.05014,M2-L-SPECTRUM,CLM_BTC,CLM_BTC,,T002,figure_panel,theory_numerical,"Main Fig. 2 left main axes, PDF p. 3",Strong-dissipation full Liouvillian spectrum,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0691,1708.05014,M2-R-INSET-ZOOM,CLM_BTC,CLM_BTC,,T005,figure_panel,supporting_duplicate,"Main Fig. 2 right inset, PDF p. 3",Zoom of leading eigenvalues already contained in M2-R-SPECTRUM,attempted_not_reproduced,target_projection,fresh_independent_review_inconclusive_target_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0690,1708.05014,M2-R-SPECTRUM,CLM_BTC,CLM_BTC,,T004,figure_panel,theory_numerical,"Main Fig. 2 right main axes, PDF p. 3",BTC full Liouvillian spectrum,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0692,1708.05014,M3-L-J01,CLM_BTC,CLM_BTC,,T006,figure_series,theory_numerical,"Main Fig. 3 left, PDF p. 3, j=1",Liouvillian real-part scaling branch j=1,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0693,1708.05014,M3-L-J02,CLM_BTC,CLM_BTC,,T006,figure_series,theory_numerical,"Main Fig. 3 left, PDF p. 3, j=2",Liouvillian real-part scaling branch j=2,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0694,1708.05014,M3-L-J03,CLM_BTC,CLM_BTC,,T006,figure_series,theory_numerical,"Main Fig. 3 left, PDF p. 3, j=3",Liouvillian real-part scaling branch j=3,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0695,1708.05014,M3-L-J04,CLM_BTC,CLM_BTC,,T006,figure_series,theory_numerical,"Main Fig. 3 left, PDF p. 3, j=4",Liouvillian real-part scaling branch j=4,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0696,1708.05014,M3-L-J05,CLM_BTC,CLM_BTC,,T006,figure_series,theory_numerical,"Main Fig. 3 left, PDF p. 3, j=5",Liouvillian real-part scaling branch j=5,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0697,1708.05014,M3-L-J06,CLM_BTC,CLM_BTC,,T006,figure_series,theory_numerical,"Main Fig. 3 left, PDF p. 3, j=6",Liouvillian real-part scaling branch j=6,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0698,1708.05014,M3-L-J07,CLM_BTC,CLM_BTC,,T006,figure_series,theory_numerical,"Main Fig. 3 left, PDF p. 3, j=7",Liouvillian real-part scaling branch j=7,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0699,1708.05014,M3-L-J08,CLM_BTC,CLM_BTC,,T006,figure_series,theory_numerical,"Main Fig. 3 left, PDF p. 3, j=8",Liouvillian real-part scaling branch j=8,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0700,1708.05014,M3-L-J09,CLM_BTC,CLM_BTC,,T006,figure_series,theory_numerical,"Main Fig. 3 left, PDF p. 3, j=9",Liouvillian real-part scaling branch j=9,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0701,1708.05014,M3-L-J10,CLM_BTC,CLM_BTC,,T006,figure_series,theory_numerical,"Main Fig. 3 left, PDF p. 3, j=10",Liouvillian real-part scaling branch j=10,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0702,1708.05014,M3-R-BANDS,CLM_BTC,CLM_BTC,,T007,figure_panel,theory_numerical,"Main Fig. 3 right, PDF p. 3",Imaginary Liouvillian band cloud under nu=j^2/N_b<0.025,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,paper_scale_execution_not_run,review_or_evidence_process_gap,not_found_after_checks,not_applicable_nonreproduced,,,{},
