rank_descending,open_bitstring,probability,scaled_Np,conditional_probability,scaled_conditional_Lp
32,111010110100,1.95463843748682232e-05,5.12396738556545550e+00,1.24481639672440001e-03,5.09876796098314244e+00
33,010001000001,1.94305728531953830e-05,5.09360809002805048e+00,1.23744091088808764e-03,5.06855797099760697e+00
34,011000101100,1.91011118087342027e-05,5.00724185398881882e+00,1.21645910154873321e-03,4.98261647994361123e+00
35,110110010110,1.90746028471493642e-05,5.00029268876312294e+00,1.21477087167419073e-03,4.97570149037748521e+00
36,100110100011,1.90678763129028224e-05,4.99852936816959748e+00,1.21434249065176529e-03,4.97394684170963064e+00
37,001111011101,1.90356558272514228e-05,4.99008296117899697e+00,1.21229052093296385e-03,4.96554197374141992e+00
38,001110001011,1.90021740135340903e-05,4.98130590460388056e+00,1.21015822321958238e-03,4.95680808230740944e+00
39,101100000110,1.86396567818731286e-05,4.88627418742734942e+00,1.18707122229848500e-03,4.86224372653459458e+00
40,001001111101,1.85119055784303108e-05,4.85278497595203540e+00,1.17893535483077250e-03,4.82891921338684416e+00
41,000010010011,1.85047874315041981e-05,4.85091899644423652e+00,1.17848203385652068e-03,4.82706241067630870e+00
42,001100100110,1.84556613999637096e-05,4.83804090203208670e+00,1.17535343020303733e-03,4.81424765011164091e+00
43,010011101100,1.80656499184093061e-05,4.73580173221148915e+00,1.15051545107407280e-03,4.71251128759940219e+00
44,111001111110,1.79833740454781817e-05,4.71423360577783246e+00,1.14527569144818719e-03,4.69104923217177472e+00
45,001010110000,1.79609457883871939e-05,4.70835417275097257e+00,1.14384734226394063e-03,4.68519871391310083e+00
46,101100110000,1.79427658956096511e-05,4.70358842293869639e+00,1.14268955122769794e-03,4.68045640182865075e+00
47,100110010100,1.77834574471389375e-05,4.66182666902278964e+00,1.13254395268682175e-03,4.63890003020522190e+00
48,101101101101,1.77731214281245379e-05,4.65911714365427887e+00,1.13188570072066661e-03,4.63620383015185045e+00
49,011000111001,1.77257982325190450e-05,4.64671165186547253e+00,1.12887191112636927e-03,4.62385934797360854e+00
50,011011110010,1.76310122352562527e-05,4.62186407139901512e+00,1.12283544109131233e-03,4.59913396671001529e+00
51,011001100101,1.76138601188783448e-05,4.61736774700324482e+00,1.12174310425313989e-03,4.59465975502086099e+00
52,111011011101,1.74526488774495218e-05,4.57510718733012745e+00,1.11147632586496318e-03,4.55260703074288919e+00
53,000001110000,1.73659316682439338e-05,4.55237479124013777e+00,1.10595371862328372e-03,4.52998643148097013e+00
54,110001011110,1.73085737557512407e-05,4.53733875862765323e+00,1.10230086556445460e-03,4.51502434535200603e+00
55,001010101100,1.72183175113736149e-05,4.51367862570152489e+00,1.09655287397924400e-03,4.49148057181898341e+00
56,100010010000,1.71828586936271146e-05,4.50438330938218634e+00,1.09429467026786833e-03,4.48223096941718868e+00
57,000001011011,1.71058846450653893e-05,4.48420502439602142e+00,1.08939255865815815e-03,4.46215192026381580e+00
58,100110100000,1.70695317860899072e-05,4.47467534053275262e+00,1.08707741770663413e-03,4.45266910292637341e+00
59,111011110010,1.70651326801621148e-05,4.47352214130841741e+00,1.08679725954107160e-03,4.45152157508022928e+00
60,010010001001,1.69184575540421126e-05,4.43507213704681558e+00,1.07745621730614255e-03,4.41326066608595990e+00
61,110101011110,1.69013557656413454e-05,4.43058900582828485e+00,1.07636708561783113e-03,4.40879958269063632e+00
62,110100100100,1.68149647882614906e-05,4.40794212945402020e+00,1.07086525453188564e-03,4.38626408256260358e+00
63,111001110100,1.66720469104029326e-05,4.37047706528066637e+00,1.06176349359587670e-03,4.34898326976871097e+00
64,110101000000,1.66020355965048812e-05,4.35212401941017557e+00,1.05730480549146347e-03,4.33072048329303438e+00
65,000100000101,1.66012537682499058e-05,4.35191906782410332e+00,1.05725501456273990e-03,4.33051653964898264e+00
66,010111100111,1.65536161220736267e-05,4.33943114470486879e+00,1.05422119910488811e-03,4.31809003153362170e+00
67,001111011100,1.64833985977182690e-05,4.32102404200025791e+00,1.04974937843572481e-03,4.29977345407272882e+00
68,101110111111,1.64422473952767832e-05,4.31023650118743706e+00,1.04712865377577444e-03,4.28903896586557210e+00
69,110100100000,1.64170935003574695e-05,4.30364255855770850e+00,1.04552672166206319e-03,4.28247745192781082e+00
70,001101010110,1.63635639228304689e-05,4.28961010098647044e+00,1.04211767707676310e-03,4.26851400530642167e+00
71,010100101110,1.62885596760000204e-05,4.26994818770534934e+00,1.03734101278489771e-03,4.24894878836694101e+00
72,111100010101,1.61922162419163343e-05,4.24469233452091554e+00,1.03120535699485262e-03,4.22381714225091631e+00
73,010000111010,1.61110173059924329e-05,4.22340652066208033e+00,1.02603418237267501e-03,4.20263601099847683e+00
74,101010000101,1.60373438575352553e-05,4.20409346818972196e+00,1.02134227030935558e-03,4.18341793918712046e+00
75,011010101001,1.60120659117110512e-05,4.19746700635958181e+00,1.01973243798261911e-03,4.17682406597680789e+00
76,111001111111,1.59935714490497799e-05,4.19261879393970549e+00,1.01855461348434716e-03,4.17199969683188598e+00
77,000100001011,1.57878938567985452e-05,4.13870164719659783e+00,1.00545598437919549e-03,4.11834771201718475e+00
78,101101001000,1.57656819826496427e-05,4.13287893765970793e+00,1.00404141559694618e-03,4.11255363828509157e+00
79,101110001111,1.57276875619253668e-05,4.12291892823336337e+00,1.00162173137327798e-03,4.10264261170494660e+00
80,100000010011,1.57222317430819009e-05,4.12148871805846184e+00,1.00127427618035563e-03,4.10121943523473664e+00
81,110110001111,1.56675362830467460e-05,4.10715063138300618e+00,9.97790982074787513e-04,4.08695186257832965e+00
82,001010110110,1.56464228904784462e-05,4.10161588220158180e+00,9.96446370367811730e-04,4.08144433302655685e+00
83,001101011101,1.56008554805910938e-05,4.08967065910407168e+00,9.93544398427826173e-04,4.06955785596037600e+00
84,110000000010,1.54996476818507398e-05,4.06313964191108035e+00,9.87098954353250345e-04,4.04315731703091341e+00
85,010001001111,1.54908197240494345e-05,4.06082544574121496e+00,9.86536743644103424e-04,4.04085450196624762e+00
86,101110001101,1.54691444656043526e-05,4.05514340679138741e+00,9.85156349367688261e-04,4.03520040701005112e+00
87,101101111000,1.54295696242699506e-05,4.04476909958462194e+00,9.82636015660643628e-04,4.02487712014599630e+00
88,100100000101,1.54236512856093136e-05,4.04321764261476790e+00,9.82259104777032837e-04,4.02333329316672650e+00
89,111110100111,1.53895119485951037e-05,4.03426822025251486e+00,9.80084932527395354e-04,4.01442788363221137e+00
90,000001111011,1.53160083765820822e-05,4.01499969987073335e+00,9.75403839088075293e-04,3.99525412490475640e+00
91,101101010101,1.50921034755080799e-05,3.95630437348359010e+00,9.61144399243935260e-04,3.93684745930315882e+00
92,000010000010,1.50837119835908326e-05,3.95410459422643523e+00,9.60609984974204593e-04,3.93465849845434201e+00
93,001001110010,1.50709142073587985e-05,3.95074973397386486e+00,9.59794955381533250e-04,3.93132013724276019e+00
94,010010011100,1.50336435749199136e-05,3.94097946130380583e+00,9.57421365796552737e-04,3.92159791430268001e+00
95,100111001000,1.49986752183169222e-05,3.93181271643047126e+00,9.55194397226248994e-04,3.91247625103871588e+00
96,111000011101,1.49542492341094227e-05,3.92016671122638050e+00,9.52365117267280135e-04,3.90088752032677943e+00
97,011001000010,1.47849321415861723e-05,3.87578125132396556e+00,9.41582115716894236e-04,3.85672034597639879e+00
98,100110101100,1.46899049219883724e-05,3.85087043586971989e+00,9.35530283376864898e-04,3.83193204071163862e+00
99,001001101110,1.46756916912496303e-05,3.84714452271094309e+00,9.34625110208533940e-04,3.82822445141415502e+00
100,010101111001,1.46310465150421056e-05,3.83544105763919774e+00,9.31781870952007687e-04,3.81657854341942349e+00
101,111100010110,1.46237691303595775e-05,3.83353333490898107e+00,9.31318408881256208e-04,3.81468020277762543e+00
102,110110100111,1.46113563574927322e-05,3.83027940097857478e+00,9.30527898324565563e-04,3.81144227153742055e+00
103,110101101000,1.45969164131933997e-05,3.82649405622017058e+00,9.29608286846204078e-04,3.80767554292205190e+00
104,100111101101,1.45530447890270890e-05,3.81499337317471721e+00,9.26814311445650066e-04,3.79623141968138267e+00
105,110011100110,1.45400770750516545e-05,3.81159396476234091e+00,9.25988459325121434e-04,3.79284872939569739e+00
106,011101111111,1.44816198689030693e-05,3.79626975891372620e+00,9.22265597473800273e-04,3.77759988725268592e+00
107,011001000101,1.44556023395669855e-05,3.78944941970344784e+00,9.20608664585411069e-04,3.77081309014184374e+00
108,101011000101,1.43921064835516824e-05,3.77280436202417224e+00,9.16564915052196804e-04,3.75424989205379811e+00
109,110110100001,1.43819009854434607e-05,3.77012905192809056e+00,9.15914975342723564e-04,3.75158773900379572e+00
110,110011110001,1.43078480318303039e-05,3.75071651445612320e+00,9.11198894398257278e-04,3.73227067145526181e+00
111,001110100010,1.42821179040727116e-05,3.74397151584523691e+00,9.09560264751556628e-04,3.72555884442237595e+00
112,010010101110,1.42662430003252607e-05,3.73981000507726513e+00,9.08549267520444414e-04,3.72141779976374032e+00
113,001100111010,1.42279283185545357e-05,3.72976604113916022e+00,9.06109187391620119e-04,3.71142323155607601e+00
114,001001000101,1.41504817524812758e-05,3.70946388852245157e+00,9.01176983385545798e-04,3.69122092394719559e+00
115,101110001100,1.40724499174061454e-05,3.68900831114851657e+00,8.96207506376134918e-04,3.67086594611664863e+00
116,001010010001,1.40369138582871165e-05,3.67969274646681788e+00,8.93944383528555409e-04,3.66159619493296296e+00
117,110111100001,1.40297324008802903e-05,3.67781017049636283e+00,8.93487030610442884e-04,3.65972287738037405e+00
118,100100010011,1.40137598915493524e-05,3.67362307301031343e+00,8.92469817343238890e-04,3.65555637183790649e+00
119,111011101101,1.40052451468847550e-05,3.67139098378495721e+00,8.91927553691346285e-04,3.65333525991975439e+00
120,000110101110,1.39847508455784649e-05,3.66601852566332109e+00,8.90622368966836235e-04,3.64798922328816122e+00
121,111001101000,1.39823754141826501e-05,3.66539582057549662e+00,8.90471089021957767e-04,3.64736958063393901e+00
122,011011001001,1.39317354105967325e-05,3.65212084747546983e+00,8.87246067678625137e-04,3.63415989321164856e+00
123,001011000000,1.39030011507686035e-05,3.64458833366708479e+00,8.85416119126718887e-04,3.62666442394304056e+00
124,110111011111,1.38065647363455438e-05,3.61930810624456623e+00,8.79274541860414595e-04,3.60150852346025818e+00
125,011010111111,1.37421738028864996e-05,3.60242840938387854e+00,8.75173789095454809e-04,3.58471184013498290e+00
126,101000101010,1.36897076087441388e-05,3.58867471138662353e+00,8.71832466348005470e-04,3.57102578216143041e+00
127,011000010010,1.36766781475380255e-05,3.58525911630820815e+00,8.71002681839587239e-04,3.56762698481494933e+00
128,000110101111,1.36596135922100521e-05,3.58078574551631190e+00,8.69915921348865225e-04,3.56317561384495196e+00
129,001101000110,1.36302247742475427e-05,3.57308164322034783e+00,8.68044287097820993e-04,3.55550939995267479e+00
130,001000111001,1.36013943218687254e-05,3.56552391311195516e+00,8.66208212499171510e-04,3.54798883839660650e+00
131,010001111011,1.35922132986754832e-05,3.56311716296798586e+00,8.65623516731889417e-04,3.54559392453381905e+00
132,010110101100,1.35331813942360837e-05,3.54764230341062392e+00,8.61864055075619358e-04,3.53019516958973689e+00
133,111000101100,1.35192799122522738e-05,3.54399811331746006e+00,8.60978735705021842e-04,3.52656890144776947e+00
134,111100011001,1.35140234593549079e-05,3.54262016572913296e+00,8.60643977182434707e-04,3.52519773053925256e+00
135,010100011101,1.34969455674673912e-05,3.53814329883817180e+00,8.59556367349569635e-04,3.52074288066383723e+00
136,100000001111,1.33933614584443138e-05,3.51098934616242619e+00,8.52959587357981835e-04,3.49372246981829360e+00
137,100100100110,1.33143931584826478e-05,3.49028828013727521e+00,8.47930471347139265e-04,3.47312321063788243e+00
138,000110011011,1.33123869828665454e-05,3.48976237323656768e+00,8.47802707549306510e-04,3.47259989012195947e+00
139,000011000101,1.33101967192197709e-05,3.48918820876314761e+00,8.47663220059018552e-04,3.47202854936173999e+00
140,110110110000,1.32931752560335400e-05,3.48472613431765632e+00,8.46579203902163248e-04,3.46758841918326066e+00
141,001111101100,1.32794742095789576e-05,3.48113448719586627e+00,8.45706649318571022e-04,3.46401443560886690e+00
142,110011010101,1.32343134680107165e-05,3.46929586975820126e+00,8.42830576152596585e-04,3.45223403992103561e+00
143,110110110011,1.32184205745763464e-05,3.46512964310174176e+00,8.41818433243755903e-04,3.44808830256642418e+00
144,111001101010,1.31766256707921947e-05,3.45417335984414908e+00,8.39156714302173807e-04,3.43718590178170391e+00
145,000100111011,1.31610250794073245e-05,3.45008375841615367e+00,8.38163186722748325e-04,3.43311641281637714e+00
146,011111010000,1.30885648260680739e-05,3.43108873776478918e+00,8.33548537295129540e-04,3.41421480876085059e+00
147,000001000101,1.30873708787581350e-05,3.43077575164117254e+00,8.33472500460913411e-04,3.41390336188790133e+00
148,111010010011,1.30622754404152589e-05,3.42419713305221762e+00,8.31874291168950195e-04,3.40735709662802000e+00
149,111001110010,1.30461002560404979e-05,3.41995690551948028e+00,8.30844170490691513e-04,3.40313772232987244e+00
150,110001000010,1.30094896196743893e-05,3.41035964685992310e+00,8.28512612921321226e-04,3.39358766252573174e+00
151,011001001011,1.29925097260943345e-05,3.40590846963727323e+00,8.27431244135272762e-04,3.38915837597807723e+00
152,000010000011,1.29899333619822771e-05,3.40523309124348206e+00,8.27267167739909113e-04,3.38848631906266773e+00
153,001010010101,1.29660388463292304e-05,3.39896928733212977e+00,8.25745439510981770e-04,3.38225332023698133e+00
154,000010111001,1.29565328243909413e-05,3.39647734071713892e+00,8.25140046117018872e-04,3.37977362889530930e+00
155,010110100101,1.29248093761807115e-05,3.38816122910951645e+00,8.23119730352457092e-04,3.37149841552366425e+00
156,111101110101,1.28474734707814081e-05,3.36788808552452146e+00,8.18194573799188997e-04,3.35132497428147813e+00
157,110111100010,1.28073700181474793e-05,3.35737520603725281e+00,8.15640575348807405e-04,3.34086379662871513e+00
158,001101100011,1.27922758199523411e-05,3.35341835254558651e+00,8.14679297546817924e-04,3.33692640275176622e+00
159,010100111100,1.27691214977844988e-05,3.34734858591521967e+00,8.13204708725847637e-04,3.33088648694107192e+00
160,100100111100,1.27685035397873239e-05,3.34718659193400825e+00,8.13165353915637273e-04,3.33072528963845027e+00
161,101110101110,1.27548124432527815e-05,3.34359755312405715e+00,8.12293432995201065e-04,3.32715390154834356e+00
162,001010011011,1.27401517997955915e-05,3.33975435340561555e+00,8.11359766235557095e-04,3.32332960250084186e+00
163,101101100100,1.27288629544020868e-05,3.33679505031878065e+00,8.10640833282207942e-04,3.32038485312392373e+00
164,001110101100,1.27263014477988701e-05,3.33612356673178700e+00,8.10477703091025273e-04,3.31971667186083952e+00
165,000111101001,1.26968454758071276e-05,3.32840186040998365e+00,8.08601792118767869e-04,3.31203294051847319e+00
166,010011010010,1.26906269292236911e-05,3.32677170573441527e+00,8.08205762418215683e-04,3.31041080286501144e+00
167,111010111010,1.26625107344725314e-05,3.31940121397756727e+00,8.06415175495923237e-04,3.30307655883130158e+00
168,110001001011,1.26151108146887888e-05,3.30697560940577784e+00,8.03396499703069780e-04,3.29071206278377382e+00
169,111100100011,1.26060477543446826e-05,3.30459978251493247e+00,8.02819316429453683e-04,3.28834792009504229e+00
170,011010001111,1.26034822701513105e-05,3.30392725622654515e+00,8.02655932924443202e-04,3.28767870125851935e+00
171,100101110101,1.25907036674878116e-05,3.30057742220992489e+00,8.01842124405298330e-04,3.28434534156410196e+00
172,111000111011,1.25895410036977333e-05,3.30027263687333861e+00,8.01768079869899335e-04,3.28404205514710767e+00
173,110010000011,1.25793555759398310e-05,3.29760258809917106e+00,8.01119418345725559e-04,3.28138513754409189e+00
174,100111011000,1.25702278812971842e-05,3.29520981771476906e+00,8.00538118820578104e-04,3.27900413468908791e+00
175,100001001010,1.25427860921764644e-05,3.28801611734750709e+00,7.98790481590193574e-04,3.27184581259343288e+00
176,101001010110,1.25307161465127820e-05,3.28485205351144671e+00,7.98021804070015318e-04,3.26869730947078274e+00
177,101101000000,1.25205651890100363e-05,3.28219104090784697e+00,7.97375337792696173e-04,3.26604938359888353e+00
178,101001010011,1.25035509891076706e-05,3.27773087048864120e+00,7.96291784199897588e-04,3.26161114808278052e+00
179,101111010000,1.24850166565623835e-05,3.27287220641788945e+00,7.95111420578051482e-04,3.25677637868769887e+00
180,010010111101,1.24785332013703801e-05,3.27117260754003691e+00,7.94698520106248041e-04,3.25508513835519198e+00
181,011000011011,1.24672941441982658e-05,3.26822635613671020e+00,7.93982757928279209e-04,3.25215337647423164e+00
182,111000000111,1.24443000725644457e-05,3.26219859822233405e+00,7.92518374702804677e-04,3.24615526278268796e+00
183,110011100011,1.24404624200798390e-05,3.26119258064940931e+00,7.92273972840744183e-04,3.24515419275568817e+00
184,110111011001,1.23503637875043814e-05,3.23757376471154856e+00,7.86536018802728803e-04,3.22165153301597718e+00
185,010001111101,1.23488533852904809e-05,3.23717782183358782e+00,7.86439828458496571e-04,3.22125753736600196e+00
186,101010100011,1.22898476627746759e-05,3.22170982571040465e+00,7.82682034204604574e-04,3.20586561210206034e+00
187,011001010100,1.22757128930894722e-05,3.21800448064604661e+00,7.81781857848168750e-04,3.20217848974609920e+00
188,010100110100,1.22042203116189275e-05,3.19926312936903212e+00,7.77228834846476705e-04,3.18352930753116858e+00
189,111100100000,1.21836676163653839e-05,3.19387536362448721e+00,7.75919931288773877e-04,3.17816803855881780e+00
190,101100101111,1.21821229217512905e-05,3.19347043119957030e+00,7.75821557024425172e-04,3.17776509757204551e+00
191,000101110101,1.21501850627450446e-05,3.18509811308823698e+00,7.73787586454483672e-04,3.16943395411756512e+00
192,110100110101,1.20858517876197371e-05,3.16823353101378835e+00,7.69690505674985024e-04,3.15265231124473866e+00
193,110000011010,1.20734560287728979e-05,3.16498405720664255e+00,7.68901078660430494e-04,3.14941881819312330e+00
194,100110010000,1.20070025809180508e-05,3.14756368457218150e+00,7.64668974148306865e-04,3.13208411811146492e+00
195,111000100110,1.19108831265346503e-05,3.12236654632229937e+00,7.58547582561712344e-04,3.10701089817277376e+00
196,100010101110,1.19079239686399356e-05,3.12159082083514727e+00,7.58359127848186256e-04,3.10623898766617090e+00
197,101000001111,1.19044883944204715e-05,3.12069020566696009e+00,7.58140332441397248e-04,3.10534280167996313e+00
198,010011010110,1.18321427666351562e-05,3.10172523341680639e+00,7.53532982970961580e-04,3.08647109824905863e+00
199,111010011101,1.17296885910320665e-05,3.07486748600751003e+00,7.47008163072935541e-04,3.05974543594674397e+00
200,100101101101,1.16973751190960384e-05,3.06639670322031188e+00,7.44950271499249922e-04,3.05131631206092768e+00
201,111101010111,1.16551784051688180e-05,3.05533508784457464e+00,7.42262963177817820e-04,3.04030909717634179e+00
202,000010100100,1.16490067182469133e-05,3.05371721714811883e+00,7.41869917746576144e-04,3.03869918308997589e+00
203,001110101011,1.16461303827680942e-05,3.05296320306035929e+00,7.41686737599401777e-04,3.03794887720714968e+00
204,001011001101,1.16438374643014401e-05,3.05236212824183673e+00,7.41540712511134679e-04,3.03735075844560765e+00
205,111001100000,1.16237814105938833e-05,3.04710455409872294e+00,7.40263437694987469e-04,3.03211904079866867e+00
206,011110101100,1.16205295982851096e-05,3.04625211101285176e+00,7.40056345211620795e-04,3.03127078998679877e+00
207,110011110101,1.15801324771479422e-05,3.03566224808947016e+00,7.37483644408874718e-04,3.02073300749875084e+00
208,001001111011,1.15653231797137374e-05,3.03178007962287799e+00,7.36540510583379550e-04,3.01686993134952264e+00
209,101010101100,1.15563324418248069e-05,3.02942321162972217e+00,7.35967933183480382e-04,3.01452465431953565e+00
210,011101010110,1.15522702739524856e-05,3.02835833869500037e+00,7.35709233002580744e-04,3.01346501837857073e+00
211,101101101010,1.15469209109720942e-05,3.02695603528586865e+00,7.35368557478027849e-04,3.01206961143000207e+00
212,100010100111,1.15412512883303863e-05,3.02546977772808079e+00,7.35007486136531399e-04,3.01059066321523261e+00
213,100101101100,1.15392652533925818e-05,3.02494915058534497e+00,7.34881005002853004e-04,3.01007259649168590e+00
214,010001001011,1.15178490694949528e-05,3.01933502647368490e+00,7.33517109954042335e-04,3.00448608237175740e+00
215,001010101000,1.14858276049241256e-05,3.01094079166522999e+00,7.31477814942728334e-04,2.99613313000541526e+00
216,100100101010,1.14552649891660568e-05,3.00292898531994679e+00,7.29531427084350367e-04,2.98816072533749910e+00
217,101011101100,1.14432558509276873e-05,2.99978086178558767e+00,7.28766622100321068e-04,2.98502808412291509e+00
218,000011010000,1.14421288164449782e-05,2.99948541645815236e+00,7.28694846626307905e-04,2.98473409178135718e+00
219,010100101111,1.14246384148052866e-05,2.99490041261071704e+00,7.27580966006300366e-04,2.98017163676180630e+00
220,010110000110,1.14210596842114453e-05,2.99396226985792513e+00,7.27353053649864743e-04,2.97923810774984599e+00
221,010000110001,1.14059795672350608e-05,2.99000910767326777e+00,7.26392672613827123e-04,2.97530438702623590e+00
222,111001000101,1.13983543702954200e-05,2.98801020804672257e+00,7.25907060032150719e-04,2.97331531789168935e+00
223,100111101111,1.13486698016444603e-05,2.97498569648228539e+00,7.22742885802546723e-04,2.96035486024723138e+00
224,010101100001,1.13396503505183110e-05,2.97262130148627213e+00,7.22168479792925796e-04,2.95800209323182406e+00
225,101010010110,1.13259580562772923e-05,2.96903194870475451e+00,7.21296482596251874e-04,2.95443039271424768e+00
226,010011011101,1.12812798808482922e-05,2.95731983308509472e+00,7.18451141776020336e-04,2.94277587671457930e+00
227,110010000001,1.12467409329384355e-05,2.94826565512421324e+00,7.16251520206157011e-04,2.93376622676441912e+00
228,111100010010,1.12415171761751998e-05,2.94689627863127157e+00,7.15918843945081529e-04,2.93240358479905394e+00
229,010001101100,1.12102134200029068e-05,2.93869018677324201e+00,7.13925256373334257e-04,2.92423785010517712e+00
230,000011100100,1.11996781097681943e-05,2.93592841840707353e+00,7.13254312495774454e-04,2.92148966398269216e+00
231,010100001111,1.11381974316686351e-05,2.91981162752734269e+00,7.09338900074105963e-04,2.90545213470353803e+00
232,010001110011,1.11110209481695609e-05,2.91268747543696138e+00,7.07608158898850328e-04,2.89836301884969094e+00
233,111011110100,1.10937871835747214e-05,2.90816974745101176e+00,7.06510622273482020e-04,2.89386750883218236e+00
234,100100110010,1.10791334897023277e-05,2.90432836952452700e+00,7.05577398099890602e-04,2.89004502261715190e+00
235,110001100010,1.10754672696772154e-05,2.90336729194226395e+00,7.05343913957057157e-04,2.88908867156810611e+00
236,001001010110,1.10583837793409498e-05,2.89888895745155395e+00,7.04255947585577806e-04,2.88463236131052669e+00
237,011010110011,1.10477850089493742e-05,2.89611055338602474e+00,7.03580962231994261e-04,2.88186762130224849e+00
238,100110011101,1.10295369146399985e-05,2.89132692495138777e+00,7.02418827764072357e-04,2.87710751852164037e+00
239,111100100101,1.10157981313978680e-05,2.88772538535716272e+00,7.01543869903689991e-04,2.87352369112551420e+00
240,110100100011,1.10034894316409177e-05,2.88449873356807673e+00,7.00759987269134301e-04,2.87031290785437410e+00
241,100011101011,1.09797399145148214e-05,2.87827294015057333e+00,6.99247493307802873e-04,2.86411773258876057e+00
242,110010100110,1.09766228024451103e-05,2.87745580792417099e+00,6.99048979242982132e-04,2.86330461897925481e+00
243,111101110010,1.09763397623501764e-05,2.87738161066152465e+00,6.99030953763469035e-04,2.86323078661516917e+00
244,010000100101,1.08965740901155495e-05,2.85647151827925061e+00,6.93951056899214450e-04,2.84242352905918239e+00
245,111110011010,1.08939970457874395e-05,2.85579596157090254e+00,6.93786937184120728e-04,2.84175129470615850e+00
246,110100010101,1.08621400303159749e-05,2.84744483610715093e+00,6.91758115154990361e-04,2.83344123967484052e+00
247,111000001111,1.08260640507326414e-05,2.83798773451525754e+00,6.89460607337075517e-04,2.82403064765266132e+00
248,101001101010,1.08190345043224704e-05,2.83614498110110969e+00,6.89012928908927557e-04,2.82219695681096727e+00
249,110000101000,1.08115943964278875e-05,2.83419460145719215e+00,6.88539103769558866e-04,2.82025616904011311e+00
250,010010010100,1.08073141451561961e-05,2.83307255926782586e+00,6.88266514892612799e-04,2.81913964500014202e+00
251,111100001000,1.07975822947830109e-05,2.83052141308359761e+00,6.87646739558071341e-04,2.81660104522986021e+00
252,000001001001,1.07787117477593568e-05,2.82557461240462882e+00,6.86444964032751877e-04,2.81167857267815169e+00
253,000011111001,1.07557121282047899e-05,2.81954540013611643e+00,6.84980227486551587e-04,2.80567901178491530e+00
