target_id,series_id,series_kind,n,site,x,delta,epsilon,magnetization,generated_data_provenance
T001,delta_0.5_epsilon_1,finite_transfer,100,22,0.21212121212121213,0.5,1.0,4.154600127417692e-07,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,23,0.2222222222222222,0.5,1.0,2.1860325506624387e-07,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,24,0.23232323232323232,0.5,1.0,1.1502282206737923e-07,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,25,0.24242424242424243,0.5,1.0,6.05217410431926e-08,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,26,0.25252525252525254,0.5,1.0,3.1844820636445105e-08,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,27,0.26262626262626265,0.5,1.0,1.6755839857329972e-08,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,28,0.2727272727272727,0.5,1.0,8.816446863829522e-09,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,29,0.2828282828282828,0.5,1.0,4.6389638364475815e-09,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,30,0.29292929292929293,0.5,1.0,2.440890953753629e-09,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,31,0.30303030303030304,0.5,1.0,1.2843274522466952e-09,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,32,0.31313131313131315,0.5,1.0,6.757765968362377e-10,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,33,0.32323232323232326,0.5,1.0,3.5557442623489546e-10,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,34,0.3333333333333333,0.5,1.0,1.870931413163908e-10,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,35,0.3434343434343434,0.5,1.0,9.844307590777155e-11,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,36,0.35353535353535354,0.5,1.0,5.1797930123456124e-11,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,37,0.36363636363636365,0.5,1.0,2.725457964524544e-11,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,38,0.37373737373737376,0.5,1.0,1.434056592382568e-11,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,39,0.3838383838383838,0.5,1.0,7.54557880317642e-12,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,40,0.3939393939393939,0.5,1.0,3.970249632416359e-12,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,41,0.40404040404040403,0.5,1.0,2.0890130013060296e-12,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,42,0.41414141414141414,0.5,1.0,1.099159733759513e-12,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,43,0.42424242424242425,0.5,1.0,5.783270670607722e-13,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,44,0.43434343434343436,0.5,1.0,3.0425244526494887e-13,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,45,0.4444444444444444,0.5,1.0,1.5997137937420167e-13,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,46,0.45454545454545453,0.5,1.0,8.400247376719545e-14,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,47,0.46464646464646464,0.5,1.0,4.385505224579102e-14,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,48,0.47474747474747475,0.5,1.0,2.236733120775734e-14,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,49,0.48484848484848486,0.5,1.0,1.052577269810117e-14,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,50,0.494949494949495,0.5,1.0,3.0600845498926378e-15,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,51,0.5050505050505051,0.5,1.0,-3.021591152360803e-15,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,52,0.5151515151515151,0.5,1.0,-1.0489514492391692e-14,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,53,0.5252525252525253,0.5,1.0,-2.2368271352469047e-14,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,54,0.5353535353535354,0.5,1.0,-4.385398063550897e-14,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,55,0.5454545454545454,0.5,1.0,-8.39685393494335e-14,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,56,0.5555555555555556,0.5,1.0,-1.5999225663423112e-13,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,57,0.5656565656565656,0.5,1.0,-3.0424087620237884e-13,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,58,0.5757575757575758,0.5,1.0,-5.78330683538624e-13,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,59,0.5858585858585859,0.5,1.0,-1.0991857370841386e-12,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,60,0.5959595959595959,0.5,1.0,-2.0890161384326414e-12,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,61,0.6060606060606061,0.5,1.0,-3.970280034744526e-12,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,62,0.6161616161616161,0.5,1.0,-7.545598153286545e-12,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,63,0.6262626262626263,0.5,1.0,-1.4340631922959285e-11,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,64,0.6363636363636364,0.5,1.0,-2.7254604785430744e-11,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,65,0.6464646464646465,0.5,1.0,-5.179801229885788e-11,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,66,0.6565656565656566,0.5,1.0,-9.844311933887245e-11,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,67,0.6666666666666666,0.5,1.0,-1.8709318297292822e-10,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,68,0.6767676767676768,0.5,1.0,-3.555744417551425e-10,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,69,0.6868686868686869,0.5,1.0,-6.757766549652766e-10,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,70,0.696969696969697,0.5,1.0,-1.2843275325974511e-09,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,71,0.7070707070707071,0.5,1.0,-2.4408909587043435e-09,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,72,0.7171717171717171,0.5,1.0,-4.638963888598159e-09,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,73,0.7272727272727273,0.5,1.0,-8.816446867611534e-09,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,74,0.7373737373737373,0.5,1.0,-1.6755839889984145e-08,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,75,0.7474747474747475,0.5,1.0,-3.18448206738674e-08,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,76,0.7575757575757576,0.5,1.0,-6.052174110420865e-08,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,77,0.7676767676767676,0.5,1.0,-1.1502282210774583e-07,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,78,0.7777777777777778,0.5,1.0,-2.186032551153629e-07,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,79,0.7878787878787878,0.5,1.0,-4.1546001278626943e-07,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,80,0.797979797979798,0.5,1.0,-7.895903568775421e-07,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,81,0.8080808080808081,0.5,1.0,-1.500632822739703e-06,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,82,0.8181818181818182,0.5,1.0,-2.8519837521142964e-06,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,83,0.8282828282828283,0.5,1.0,-5.420254174740609e-06,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,84,0.8383838383838383,0.5,1.0,-1.0301305292122174e-05,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,85,0.8484848484848485,0.5,1.0,-1.9577844008978134e-05,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,86,0.8585858585858586,0.5,1.0,-3.720809792260756e-05,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,87,0.8686868686868687,0.5,1.0,-7.071476054168039e-05,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,88,0.8787878787878788,0.5,1.0,-0.00013439486664620082,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,89,0.8888888888888888,0.5,1.0,-0.0002554202268732637,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,90,0.898989898989899,0.5,1.0,-0.0004854314299648364,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,91,0.9090909090909091,0.5,1.0,-0.0009225724841072662,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,92,0.9191919191919192,0.5,1.0,-0.0017533681090520462,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,93,0.9292929292929293,0.5,1.0,-0.003332312396912188,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,94,0.9393939393939394,0.5,1.0,-0.00633312870998789,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,95,0.9494949494949495,0.5,1.0,-0.012036242248607505,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,96,0.9595959595959596,0.5,1.0,-0.022875127618784845,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,97,0.9696969696969697,0.5,1.0,-0.04347465369735601,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,98,0.9797979797979798,0.5,1.0,-0.08262447954838699,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,99,0.98989898989899,0.5,1.0,-0.1570295342239139,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,100,1.0,0.5,1.0,-0.298437881283583,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,1,0.0,0.5,0.2,0.017425630292907546,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,2,0.010101010101010102,0.5,0.2,0.01078684595213555,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,3,0.020202020202020204,0.5,0.2,0.006677293368404666,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,4,0.030303030303030304,0.5,0.2,0.004133390513370028,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,5,0.04040404040404041,0.5,0.2,0.002558659054409537,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,6,0.050505050505050504,0.5,0.2,0.0015838658688395368,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,7,0.06060606060606061,0.5,0.2,0.0009804475848986163,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,8,0.0707070707070707,0.5,0.2,0.0006069184806904382,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,9,0.08080808080808081,0.5,0.2,0.0003756958024856385,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,10,0.09090909090909091,0.5,0.2,0.0002325639117872303,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,11,0.10101010101010101,0.5,0.2,0.00014396214359579796,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,12,0.1111111111111111,0.5,0.2,8.91157128783545e-05,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,13,0.12121212121212122,0.5,0.2,5.516457370984449e-05,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,14,0.13131313131313133,0.5,0.2,3.4148076633166046e-05,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,15,0.1414141414141414,0.5,0.2,2.1138405670958993e-05,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,16,0.15151515151515152,0.5,0.2,1.3085135046116851e-05,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,17,0.16161616161616163,0.5,0.2,8.09998454189893e-06,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,18,0.1717171717171717,0.5,0.2,5.014067439719106e-06,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,19,0.18181818181818182,0.5,0.2,3.103817317175188e-06,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,20,0.1919191919191919,0.5,0.2,1.921330746789878e-06,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,21,0.20202020202020202,0.5,0.2,1.1893457189438742e-06,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,22,0.21212121212121213,0.5,0.2,7.362309907038999e-07,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,23,0.2222222222222222,0.5,0.2,4.557430720364636e-07,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,24,0.23232323232323232,0.5,0.2,2.821149209063721e-07,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,25,0.24242424242424243,0.5,0.2,1.746353010755357e-07,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,26,0.25252525252525254,0.5,0.2,1.0810306765005519e-07,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,27,0.26262626262626265,0.5,0.2,6.691816124083383e-08,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,28,0.2727272727272727,0.5,0.2,4.142380415436789e-08,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,29,0.2828282828282828,0.5,0.2,2.5642239984926565e-08,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,30,0.29292929292929293,0.5,0.2,1.587310687942388e-08,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,31,0.30303030303030304,0.5,0.2,9.825799984017543e-09,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,32,0.31313131313131315,0.5,0.2,6.082384836190075e-09,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,33,0.32323232323232326,0.5,0.2,3.765129013376734e-09,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,34,0.3333333333333333,0.5,0.2,2.3306969406668915e-09,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,35,0.3434343434343434,0.5,0.2,1.442752029450517e-09,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,36,0.35353535353535354,0.5,0.2,8.930945371163031e-10,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,37,0.36363636363636365,0.5,0.2,5.528442254584053e-10,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,38,0.37373737373737376,0.5,0.2,3.4222134674073204e-10,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,39,0.3838383838383838,0.5,0.2,2.1184037820135563e-10,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,40,0.3939393939393939,0.5,0.2,1.311304031110103e-10,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,41,0.40404040404040403,0.5,0.2,8.1167063982723e-11,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,42,0.41414141414141414,0.5,0.2,5.0235272417805874e-11,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,43,0.42424242424242425,0.5,0.2,3.108231929810532e-11,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,44,0.43434343434343436,0.5,0.2,1.9217366214595622e-11,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,45,0.4444444444444444,0.5,0.2,1.1858368880337017e-11,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,46,0.45454545454545453,0.5,0.2,7.279850518311188e-12,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,47,0.46464646464646464,0.5,0.2,4.408268235090339e-12,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,48,0.47474747474747475,0.5,0.2,2.5703051188700704e-12,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,49,0.48484848484848486,0.5,0.2,1.3350110347196702e-12,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,50,0.494949494949495,0.5,0.2,4.127444066437346e-13,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,51,0.5050505050505051,0.5,0.2,-4.1274208320888275e-13,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,52,0.5151515151515151,0.5,0.2,-1.335008252871549e-12,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,53,0.5252525252525253,0.5,0.2,-2.570304350071575e-12,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,54,0.5353535353535354,0.5,0.2,-4.408266203542568e-12,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,55,0.5454545454545454,0.5,0.2,-7.27984770357542e-12,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,56,0.5555555555555556,0.5,0.2,-1.1858367029855175e-11,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,57,0.5656565656565656,0.5,0.2,-1.921736097188771e-11,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,58,0.5757575757575758,0.5,0.2,-3.1082321720076595e-11,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,59,0.5858585858585859,0.5,0.2,-5.023526379103084e-11,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,60,0.5959595959595959,0.5,0.2,-8.116706491501033e-11,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,61,0.6060606060606061,0.5,0.2,-1.3113040402019982e-10,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,62,0.6161616161616161,0.5,0.2,-2.118403763105449e-10,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,63,0.6262626262626263,0.5,0.2,-3.422213477421279e-10,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,64,0.6363636363636364,0.5,0.2,-5.528442251675834e-10,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,65,0.6464646464646465,0.5,0.2,-8.930945355202695e-10,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,66,0.6565656565656566,0.5,0.2,-1.4427520338952853e-09,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,67,0.6666666666666666,0.5,0.2,-2.3306969481775032e-09,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,68,0.6767676767676768,0.5,0.2,-3.76512901734453e-09,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,69,0.6868686868686869,0.5,0.2,-6.082384842317234e-09,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,70,0.696969696969697,0.5,0.2,-9.825799987119175e-09,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,71,0.7070707070707071,0.5,0.2,-1.5873106877228123e-08,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,72,0.7171717171717171,0.5,0.2,-2.5642239982736078e-08,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,73,0.7272727272727273,0.5,0.2,-4.142380415306252e-08,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,74,0.7373737373737373,0.5,0.2,-6.69181612355089e-08,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,75,0.7474747474747475,0.5,0.2,-1.081030676415986e-07,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,76,0.7575757575757576,0.5,0.2,-1.746353010629413e-07,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,77,0.7676767676767676,0.5,0.2,-2.821149208993416e-07,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,78,0.7777777777777778,0.5,0.2,-4.557430720347765e-07,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,79,0.7878787878787878,0.5,0.2,-7.36230990694515e-07,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,80,0.797979797979798,0.5,0.2,-1.1893457189413389e-06,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,81,0.8080808080808081,0.5,0.2,-1.921330746790936e-06,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,82,0.8181818181818182,0.5,0.2,-3.103817317168908e-06,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,83,0.8282828282828283,0.5,0.2,-5.014067439707456e-06,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,84,0.8383838383838383,0.5,0.2,-8.099984541891635e-06,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,85,0.8484848484848485,0.5,0.2,-1.3085135046114713e-05,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,86,0.8585858585858586,0.5,0.2,-2.1138405670953925e-05,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,87,0.8686868686868687,0.5,0.2,-3.414807663315877e-05,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,88,0.8787878787878788,0.5,0.2,-5.5164573709838516e-05,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,89,0.8888888888888888,0.5,0.2,-8.911571287835592e-05,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,90,0.898989898989899,0.5,0.2,-0.00014396214359579745,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,91,0.9090909090909091,0.5,0.2,-0.0002325639117872241,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,92,0.9191919191919192,0.5,0.2,-0.00037569580248563914,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,93,0.9292929292929293,0.5,0.2,-0.0006069184806904398,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,94,0.9393939393939394,0.5,0.2,-0.000980447584898624,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,95,0.9494949494949495,0.5,0.2,-0.0015838658688395368,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,96,0.9595959595959596,0.5,0.2,-0.0025586590544095437,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,97,0.9696969696969697,0.5,0.2,-0.004133390513370064,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,98,0.9797979797979798,0.5,0.2,-0.0066772933684046834,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,99,0.98989898989899,0.5,0.2,-0.010786845952135627,independent_numerics
T001,delta_0.5_epsilon_0.2,finite_transfer,100,100,1.0,0.5,0.2,-0.01742563029290761,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,1,0.0,0.5,0.04,0.0007105357092330916,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,2,0.010101010101010102,0.5,0.04,0.0004439112863190203,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,3,0.020202020202020204,0.5,0.04,0.000277336138860774,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,4,0.030303030303030304,0.5,0.04,0.00017326735383548438,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,5,0.04040404040404041,0.5,0.04,0.0001082497795940762,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,6,0.050505050505050504,0.5,0.04,6.762967473545094e-05,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,7,0.06060606060606061,0.5,0.04,4.2252029722129646e-05,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,8,0.0707070707070707,0.5,0.04,2.6397199493019663e-05,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,9,0.08080808080808081,0.5,0.04,1.6491802776265675e-05,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,10,0.09090909090909091,0.5,0.04,1.0303348992879569e-05,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,11,0.10101010101010101,0.5,0.04,6.437076765303843e-06,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,12,0.1111111111111111,0.5,0.04,4.021600870847955e-06,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,13,0.12121212121212122,0.5,0.04,2.5125183610641345e-06,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,14,0.13131313131313133,0.5,0.04,1.5697103510308034e-06,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,15,0.1414141414141414,0.5,0.04,9.806856038615193e-07,independent_numerics
T001,delta_0.5_epsilon_0.04,finite_transfer,100,16,0.15151515151515152,0.5,0.04,6.126889925837084e-07,independent_numerics
