trajectory,g0,g1,sites,scaled_time,time,magnetization_z,magnetization_y,normalized_z,normalized_y
across,0.3,1.4,12,1.95,7.772790917398263,0.005271026902880185,0.009996091866545497,0.46643410792601614,0.8845559467683554
across,0.3,1.4,12,1.9666666666666666,7.8392250278033755,0.006350701814095888,0.013222904240623496,0.43293648922281724,0.9014244262828811
across,0.3,1.4,12,1.9833333333333334,7.90565913820849,0.007728896874849359,0.01639134850913139,0.42648906719353524,0.904492717253372
across,0.3,1.4,12,2.0,7.972093248613603,0.009393310847485015,0.019352015335823477,0.43666925978276855,0.899622119314976
across,0.3,1.4,12,2.0166666666666666,8.038527359018715,0.011317430408261248,0.02195023479785549,0.4582680400807715,0.8888140432286883
across,0.3,1.4,12,2.033333333333333,8.104961469423829,0.01346048993291872,0.024035944279115866,0.48861334849315596,0.8725004273204144
across,0.3,1.4,12,2.05,8.171395579828943,0.015768396982227373,0.02547446203866881,0.5263182229084947,0.8502876738107192
across,0.3,1.4,12,2.0666666666666664,8.237829690234054,0.01817567080147249,0.026157351237077464,0.5706254602052033,0.8212104384173402
across,0.3,1.4,12,2.0833333333333335,8.30426380063917,0.020608360409327897,0.026012464973701428,0.6209836995770619,0.7838234781247531
across,0.3,1.4,12,2.1,8.370697911044283,0.022987822767199698,0.025012244194144998,0.6766827168381285,0.7362747454127225
across,0.3,1.4,12,2.1166666666666667,8.437132021449397,0.02523515757861318,0.02317940597380256,0.7364679294042183,0.6764724598674088
across,0.3,1.4,12,2.1333333333333333,8.503566131854509,0.027276021432980385,0.020589310866891777,0.7981380128243794,0.602474657130697
across,0.3,1.4,12,2.15,8.570000242259622,0.02904548796760366,0.01736852758613499,0.858258050923571,0.5132183921342581
across,0.3,1.4,12,2.1666666666666665,8.636434352664736,0.0304925891124838,0.013689405841212485,0.9122823262259976,0.4095619089413498
across,0.3,1.4,12,2.183333333333333,8.70286846306985,0.031584170156490815,0.009760800971482984,0.9554161151958888,0.2952626742817251
across,0.3,1.4,12,2.2,8.769302573474963,0.03230772078962477,0.005815438696020117,0.984183063967897,0.1771544427858423
across,0.3,1.4,12,2.216666666666667,8.835736683880077,0.032672905084508104,0.002094733268161511,0.9979511241588517,0.0639808861308115
across,0.3,1.4,12,2.2333333333333334,8.90217079428519,0.032711602249930034,-0.001167854423584367,0.999363308767566,-0.035678804480285216
across,0.3,1.4,12,2.25,8.968604904690302,0.03247638071647066,-0.003763639998379353,0.9933518145434896,-0.11511808086984632
across,0.3,1.4,12,2.2666666666666666,9.035039015095416,0.03203745201683644,-0.005524353393648946,0.9854567433099231,-0.1699264754680695
across,0.3,1.4,12,2.283333333333333,9.10147312550053,0.03147827750833731,-0.0063352565317091325,0.980342782942389,-0.19730187006912026
across,0.3,1.4,12,2.3,9.167907235905643,0.030890118840453222,-0.006144561756354067,0.9807844596950598,-0.1950944479493699
across,0.3,1.4,12,2.3166666666666664,9.234341346310755,0.030365920917036777,-0.004968244238248128,0.9868783358394564,-0.1614656317943391
across,0.3,1.4,12,2.3333333333333335,9.30077545671587,0.02999398391103937,-0.0028897110054235025,0.9953910714802174,-0.09589898235885937
across,0.3,1.4,12,2.35,9.367209567120984,0.02985191095373268,-5.422557325613834e-05,0.9999983501936969,-0.0018164828334939626
