scaled_time_t_over_tstar,time,g1,physical_diagonal_rate,physical_off_diagonal_rate,printed_diagonal_rate,printed_off_diagonal_rate,dominant_physical_rate
0.8150000000000001,0.12801990063378407,20.0,1.249931047623895,0.04283140843424058,-1.249931047623895,-0.04283140843424058,0.04283140843424058
0.824875,0.12957106200649404,20.0,1.3033165597274547,0.038323118590643926,-1.3033165597274547,-0.038323118590643926,0.038323118590643926
0.83475,0.13112222337920398,20.0,1.3599682099812844,0.0340746188367239,-1.3599682099812844,-0.0340746188367239,0.0340746188367239
0.8446250000000001,0.13267338475191398,20.0,1.420278559752342,0.030083710804873775,-1.420278559752342,-0.030083710804873775,0.030083710804873775
0.8545,0.13422454612462392,20.0,1.484717612506107,0.026348346367384336,-1.484717612506107,-0.026348346367384336,0.026348346367384336
0.864375,0.13577570749733386,20.0,1.5538546133112217,0.02286662329956221,-1.5538546133112217,-0.02286662329956221,0.02286662329956221
0.8742500000000001,0.13732686887004383,20.0,1.628388104468676,0.0196367812969405,-1.628388104468676,-0.0196367812969405,0.0196367812969405
0.884125,0.1388780302427538,20.0,1.7091882992185603,0.016657198328364074,-1.7091882992185603,-0.016657198328364074,0.016657198328364074
0.894,0.14042919161546374,20.0,1.7973583769317631,0.013926387308499998,-1.7973583769317631,-0.013926387308499998,0.013926387308499998
0.903875,0.1419803529881737,20.0,1.8943258418763247,0.011442993074955008,-1.8943258418763247,-0.011442993074955008,0.011442993074955008
0.9137500000000001,0.14353151436088368,20.0,2.0019835835293986,0.009205789656697716,-2.0019835835293986,-0.009205789656697716,0.009205789656697716
0.923625,0.14508267573359362,20.0,2.122917091018321,0.0072136778218978475,-2.122917091018321,-0.0072136778218978475,0.0072136778218978475
0.9335,0.1466338371063036,20.0,2.260789865353538,0.005465682894620273,-2.260789865353538,-0.005465682894620273,0.005465682894620273
0.9433750000000001,0.14818499847901356,20.0,2.421040913085089,0.003960952831056057,-2.421040913085089,-0.003960952831056057,0.003960952831056057
0.95325,0.14973615985172353,20.0,2.6122572561260533,0.0026987565471471306,-2.6122572561260533,-0.0026987565471471306,0.0026987565471471306
0.963125,0.15128732122443347,20.0,2.849198002782617,0.0016784824905820101,-2.849198002782617,-0.0016784824905820101,0.0016784824905820101
0.973,0.15283848259714344,20.0,3.160635514898804,0.0008996374512009057,-3.160635514898804,-0.0008996374512009057,0.0008996374512009057
0.982875,0.15438964396985339,20.0,3.6157537931077197,0.00036184560487339325,-3.6157537931077197,-0.00036184560487339325,0.00036184560487339325
0.99275,0.15594080534256335,20.0,4.475192720381266,6.484778689958068e-05,-4.475192720381266,-6.484778689958068e-05,6.484778689958068e-05
1.0026249999999999,0.1574919667152733,20.0,5.491094511306702,8.500991942172968e-06,-5.491094511306702,-8.500991942172968e-06,8.500991942172968e-06
1.0125,0.15904312808798327,20.0,3.930508185447189,0.00019277809843880981,-3.930508185447189,-0.00019277809843880981,0.00019277809843880981
1.022375,0.16059428946069326,20.0,3.3484341982145787,0.0006177678163625328,-3.3484341982145787,-0.0006177678163625328,0.0006177678163625328
1.03225,0.16214545083340318,20.0,2.9830822756032673,0.0012836748581193237,-2.9830822756032673,-0.0012836748581193237,0.0012836748581193237
1.042125,0.16369661220611315,20.0,2.7162610318548857,0.0021908203332803543,-2.7162610318548857,-0.0021908203332803543,0.0021908203332803543
1.0519999999999998,0.1652477735788231,20.0,2.5060410779431286,0.0033396423687693144,-2.5060410779431286,-0.0033396423687693144,0.0033396423687693144
1.061875,0.16679893495153306,20.0,2.332631262801493,0.004730696957053437,-2.332631262801493,-0.004730696957053437,0.004730696957053437
1.07175,0.16835009632424303,20.0,2.185102672007795,0.006364659035837218,-2.185102672007795,-0.006364659035837218,0.006364659035837218
1.0816249999999998,0.16990125769695297,20.0,2.0567783902116092,0.008242323803727239,-2.0567783902116092,-0.008242323803727239,0.008242323803727239
1.0915,0.17145241906966296,20.0,1.9432789251165206,0.010364608277347255,-1.9432789251165206,-0.010364608277347255,0.010364608277347255
1.101375,0.1730035804423729,20.0,1.8415758410482108,0.012732553096420636,-1.8415758410482108,-0.012732553096420636,0.012732553096420636
1.1112499999999998,0.17455474181508285,20.0,1.7494875009587905,0.01534732458443516,-1.7494875009587905,-0.01534732458443516,0.01534732458443516
1.121125,0.17610590318779282,20.0,1.665390116598485,0.01821021707364655,-1.665390116598485,-0.01821021707364655,0.01821021707364655
1.131,0.17765706456050281,20.0,1.5880424164894757,0.021322655504392003,-1.5880424164894757,-0.021322655504392003,0.021322655504392003
1.1408749999999999,0.17920822593321276,20.0,1.5164742080721092,0.02468619830997242,-1.5164742080721092,-0.02468619830997242,0.02468619830997242
1.15075,0.18075938730592273,20.0,1.4499127812453456,0.028302540599727765,-1.4499127812453456,-0.028302540599727765,0.028302540599727765
1.160625,0.18231054867863267,20.0,1.3877327092078637,0.032173517654400505,-1.3877327092078637,-0.032173517654400505,0.032173517654400505
1.1704999999999999,0.1838617100513426,20.0,1.3294206517677272,0.03630110874946153,-1.3294206517677272,-0.03630110874946153,0.03630110874946153
1.180375,0.1854128714240526,20.0,1.2745500829039444,0.04068744132376486,-1.2745500829039444,-0.04068744132376486,0.04068744132376486
1.19025,0.18696403279676257,20.0,1.2227627631396494,0.04533479551274293,-1.2227627631396494,-0.04533479551274293,0.04533479551274293
1.2001249999999999,0.18851519416947252,20.0,1.173754905655731,0.05024560906734613,-1.173754905655731,-0.05024560906734613,0.05024560906734613
1.21,0.19006635554218249,20.0,1.1272666777822495,0.055422482682100996,-1.1272666777822495,-0.055422482682100996,0.055422482682100996
1.2198749999999998,0.19161751691489243,20.0,1.0830741171053264,0.060868185758025,-1.0830741171053264,-0.060868185758025,0.060868185758025
