scaled_time,time,loschmidt_rate
1.1449999999999998,2.6811376223472103,0.11631557591394681
1.1475,2.6869916346230776,0.1169948071799065
1.15,2.692845646898945,0.11767904634119465
1.1524999999999999,2.698699659174812,0.1183681911675363
1.1549999999999998,2.7045536714506793,0.11906213931651227
1.1574999999999998,2.7104076837265465,0.11976078841632272
1.16,2.7162616960024137,0.12046403614880781
1.1624999999999999,2.722115708278281,0.12117178033263186
1.1649999999999998,2.727969720554148,0.12188391900649852
1.1675,2.733823732830016,0.12260035051229315
1.17,2.739677745105883,0.12332097357803529
1.1724999999999999,2.7455317573817504,0.12404568740052084
1.1749999999999998,2.7513857696576176,0.12477439172754837
1.1775,2.757239781933485,0.1255069869396016
1.18,2.763093794209352,0.12624337413088849
1.1824999999999999,2.7689478064852193,0.1269834551896083
1.1849999999999998,2.7748018187610866,0.12772713287734136
1.1874999999999998,2.780655831036954,0.12847431090745184
1.1899999999999997,2.786509843312821,0.12922489402238374
1.1925,2.7923638555886883,0.12997878806974747
1.1949999999999998,2.7982178678645555,0.13073590007709093
1.1974999999999998,2.8040718801404227,0.1314961383252407
1.2,2.8099258924162904,0.13225941242012232
1.2025,2.8157799046921577,0.1330256333629419
1.2049999999999998,2.821633916968025,0.1337947136186546
1.2075,2.827487929243892,0.13456656718259438
1.21,2.8333419415197594,0.13534110964520069
1.2125,2.8391959537956266,0.13611825825473323
1.2149999999999999,2.845049966071494,0.136897931977896
1.2174999999999998,2.850903978347361,0.1376800515582903
1.2199999999999998,2.8567579906232283,0.13846453957260862
1.2225,2.8626120028990956,0.1392513204845099
1.2249999999999999,2.868466015174963,0.1400403206960869
1.2274999999999998,2.87432002745083,0.14083146859687087
1.2299999999999998,2.8801740397266973,0.14162469461030855
1.2325,2.886028052002565,0.14241993123765356
1.2349999999999999,2.891882064278432,0.1432171130992134
1.2374999999999998,2.8977360765542994,0.144016176972908
1.24,2.9035900888301667,0.14481706183010054
1.2425,2.909444101106034,0.14561970886864578
1.2449999999999999,2.915298113381901,0.14642406154313534
1.2474999999999998,2.9211521256577684,0.14723006559230367
1.2499999999999998,2.9270061379336356,0.14803766906357105
