quench,g0,g1,sites,correlation_distance,scaled_time,time,phase_shift_scaled,sigma_z_correlation,spin_z_correlation,absolute_spin_z_correlation,cluster_magnetization
g0_0.8_g1_1.6,0.8,1.6,256,48,0.7333333333333333,2.90440343567666,-0.06666666666666665,0.15900788081282685,0.03975197020320671,0.03975197020320671,0.1993789612853039
g0_0.8_g1_1.6,0.8,1.6,256,48,0.75,2.9770135215685767,-0.06666666666666665,0.1712462800097265,0.042811570002431625,0.042811570002431625,0.20690956962506984
g0_0.8_g1_1.6,0.8,1.6,256,48,0.7666666666666666,3.049623607460493,-0.06666666666666665,0.1824165014844443,0.045604125371111075,0.045604125371111075,0.21355122423229297
g0_0.8_g1_1.6,0.8,1.6,256,48,0.7833333333333333,3.1222336933524097,-0.06666666666666665,0.19240158438557667,0.04810039609639417,0.04810039609639417,0.21931802501480394
g0_0.8_g1_1.6,0.8,1.6,256,48,0.7999999999999999,3.194843779244326,-0.06666666666666665,0.20111421040556945,0.050278552601392364,0.050278552601392364,0.22422879521014324
g0_0.8_g1_1.6,0.8,1.6,256,48,0.8166666666666667,3.2674538651362424,-0.06666666666666665,0.20849336951936548,0.05212334237984137,0.05212334237984137,0.22830537089573993
g0_0.8_g1_1.6,0.8,1.6,256,48,0.8333333333333333,3.3400639510281587,-0.06666666666666665,0.21450026638679895,0.05362506659669974,0.05362506659669974,0.23157086733157894
g0_0.8_g1_1.6,0.8,1.6,256,48,0.85,3.4126740369200754,-0.06666666666666665,0.2191141542246522,0.05477853855616305,0.05477853855616305,0.23404815435325066
g0_0.8_g1_1.6,0.8,1.6,256,48,0.8666666666666667,3.485284122811992,-0.06666666666666665,0.22232872418847016,0.05558218104711754,0.05558218104711754,0.23575873482676638
g0_0.8_g1_1.6,0.8,1.6,256,48,0.8833333333333333,3.5578942087039085,-0.06666666666666665,0.22414951142081102,0.056037377855202755,0.056037377855202755,0.23672215328355467
g0_0.8_g1_1.6,0.8,1.6,256,48,0.9,3.6305042945958252,-0.06666666666666665,0.22459254216172725,0.05614813554043181,0.05614813554043181,0.2369559780643481
g0_0.8_g1_1.6,0.8,1.6,256,48,0.9166666666666666,3.7031143804877416,-0.06666666666666665,0.22368418746591756,0.05592104686647939,0.05592104686647939,0.23647631354213763
g0_0.8_g1_1.6,0.8,1.6,256,48,0.9333333333333333,3.7757244663796583,-0.06666666666666665,0.22146195610288805,0.05536548902572201,0.05536548902572201,0.2352987229581198
g0_0.8_g1_1.6,0.8,1.6,256,48,0.95,3.8483345522715746,-0.06666666666666665,0.21797579213534823,0.05449394803383706,0.05449394803383706,0.23343938835131714
g0_0.8_g1_1.6,0.8,1.6,256,48,0.9666666666666667,3.9209446381634914,-0.06666666666666665,0.21328936733042958,0.053322341832607395,0.053322341832607395,0.23091630915248795
g0_0.8_g1_1.6,0.8,1.6,256,48,0.9833333333333333,3.9935547240554072,-0.06666666666666665,0.20748088297568942,0.051870220743922356,0.051870220743922356,0.22775034740680936
g0_0.8_g1_1.6,0.8,1.6,256,48,1.0,4.066164809947324,-0.06666666666666665,0.20064300926965004,0.05016075231741251,0.05016075231741251,0.22396596240815814
g0_0.8_g1_1.6,0.8,1.6,256,48,1.0166666666666666,4.138774895839241,-0.06666666666666665,0.19288176656739095,0.04822044164184774,0.04822044164184774,0.21959153362970926
g0_0.8_g1_1.6,0.8,1.6,256,48,1.0333333333333332,4.2113849817311575,-0.06666666666666665,0.184314354224942,0.0460785885562355,0.0460785885562355,0.21465923822709215
g0_0.8_g1_1.6,0.8,1.6,256,48,1.0499999999999998,4.283995067623073,-0.06666666666666665,0.17506611973002556,0.04376652993250639,0.04376652993250639,0.2092045169983344
g0_0.8_g1_1.6,0.8,1.6,256,48,1.0666666666666667,4.35660515351499,-0.06666666666666665,0.16526699894474497,0.041316749736186244,0.041316749736186244,0.2032652201833512
g0_0.8_g1_1.6,0.8,1.6,256,48,1.0833333333333333,4.429215239406906,-0.06666666666666665,0.1550478257227906,0.03876195643069765,0.03876195643069765,0.19688056387235803
g0_0.8_g1_1.6,0.8,1.6,256,48,1.0999999999999999,4.501825325298823,-0.06666666666666665,0.14453690005016484,0.03613422501254121,0.03613422501254121,0.19009004448561007
g0_0.8_g1_1.6,0.8,1.6,256,48,1.1166666666666667,4.5744354111907395,-0.06666666666666665,0.13385712811181685,0.03346428202795421,0.03346428202795421,0.18293245209080375
g0_0.8_g1_1.6,0.8,1.6,256,48,1.1333333333333333,4.647045497082656,-0.06666666666666665,0.12312392718168709,0.030780981795421773,0.030780981795421773,0.1754450962421628
g0_0.8_g1_1.6,0.8,1.6,256,48,1.15,4.719655582974572,-0.06666666666666665,0.11244395078594734,0.028110987696486834,0.028110987696486834,0.1676633164901817
g0_0.8_g1_1.6,0.8,1.6,256,48,1.1666666666666667,4.79226566886649,-0.06666666666666665,0.10191456248655732,0.02547864062163933,0.02547864062163933,0.15962030140818345
g0_0.8_g1_1.6,0.8,1.6,256,48,1.1833333333333333,4.864875754758406,-0.06666666666666665,0.09162389129106865,0.022905972822767164,0.022905972822767164,0.15134719297947738
g0_0.8_g1_1.6,0.8,1.6,256,48,1.2,4.937485840650322,-0.06666666666666665,0.08165125042150008,0.02041281260537502,0.02041281260537502,0.14287341462068798
g0_0.8_g1_1.6,0.8,1.6,256,48,1.2166666666666666,5.010095926542238,-0.06666666666666665,0.07206769628148149,0.018016924070370373,0.018016924070370373,0.13422713611774026
g0_0.8_g1_1.6,0.8,1.6,256,48,1.2333333333333334,5.082706012434156,-0.06666666666666665,0.06293653942973405,0.015734134857433513,0.015734134857433513,0.12543577981355047
g0_0.8_g1_1.6,0.8,1.6,256,48,1.25,5.155316098326072,-0.06666666666666665,0.054313681413457195,0.013578420353364299,0.013578420353364299,0.11652647919406257
g0_0.8_g1_1.6,0.8,1.6,256,48,1.2666666666666666,5.227926184217988,-0.06666666666666665,0.04624772464639306,0.011561931161598265,0.011561931161598265,0.10752642076065894
