scaled_time,time,work_density,rate,mean_work_density
1.05,2.4586851558642544,0.065,0.016465692081352568,0.1292128134984721
1.05,2.4586851558642544,0.07,0.01382156611359614,0.1292128134984721
1.05,2.4586851558642544,0.075,0.01144412740913224,0.1292128134984721
1.05,2.4586851558642544,0.08,0.009320152277960979,0.1292128134984721
1.05,2.4586851558642544,0.085,0.007438083781339554,0.1292128134984721
1.05,2.4586851558642544,0.09,0.005787726541562389,0.1292128134984721
1.05,2.4586851558642544,0.095,0.004360009426011956,0.1292128134984721
1.05,2.4586851558642544,0.1,0.003146798155271604,0.1292128134984721
1.05,2.4586851558642544,0.105,0.0021407453178135735,0.1292128134984721
1.05,2.4586851558642544,0.11,0.0013351688840708455,0.1292128134984721
1.05,2.4586851558642544,0.115,0.000723952767279221,0.1292128134984721
1.05,2.4586851558642544,0.12,0.00030146468145192395,0.1292128134984721
1.05,2.4586851558642544,0.125,6.248774982210844e-05,0.1292128134984721
1.05,2.4586851558642544,0.13,2.1631805706877555e-06,0.1292128134984721
1.05,2.4586851558642544,0.135,0.0001159419552397541,0.1292128134984721
1.05,2.4586851558642544,0.14,0.0003995439384961597,0.1292128134984721
1.05,2.4586851558642544,0.145,0.0008489231629615086,0.1292128134984721
1.05,2.4586851558642544,0.15,0.0014602383021397498,0.1292128134984721
1.05,2.4586851558642544,0.155,0.0022298275407984618,0.1292128134984721
1.05,2.4586851558642544,0.16,0.0031541872017033824,0.1292128134984721
1.05,2.4586851558642544,0.165,0.0042299536020894285,0.1292128134984721
1.05,2.4586851558642544,0.17,0.0054538877013139905,0.1292128134984721
1.05,2.4586851558642544,0.17500000000000002,0.0068228621691999655,0.1292128134984721
1.05,2.4586851558642544,0.18,0.00833385055754482,0.1292128134984721
1.05,2.4586851558642544,0.185,0.009983918298864525,0.1292128134984721
1.05,2.4586851558642544,0.19,0.011770215289547824,0.1292128134984721
1.05,2.4586851558642544,0.195,0.013689969841489999,0.1292128134984721
1.05,2.4586851558642544,0.2,0.01574048380860424,0.1292128134984721
1.05,2.4586851558642544,0.20500000000000002,0.017919128713794835,0.1292128134984721
1.05,2.4586851558642544,0.21,0.020223342718881612,0.1292128134984721
1.05,2.4586851558642544,0.215,0.022650628295393938,0.1292128134984721
1.05,2.4586851558642544,0.22,0.02519855046852544,0.1292128134984721
1.05,2.4586851558642544,0.225,0.027864735520153172,0.1292128134984721
