chi_over_J,alpha,energy_over_J,overlap,f1_alpha
2.03,188,0.00010447983888438852,-0.046683288001502406,0.0008326471455354023
2.03,189,0.000612858364070509,0.0007057199126143302,1.902473082918336e-07
2.03,190,0.001241910426667113,0.0051079595588523884,9.964243515253328e-06
2.03,191,0.009663369290431913,0.0050789577684928955,9.819833389508549e-06
2.03,192,0.010309096306342023,-0.0006967716655624607,1.847690123282451e-07
2.03,193,0.010669004232548992,0.007668939008773622,2.2379957555169688e-05
2.03,194,0.01217995471656877,-0.07442005678854081,0.0021062943078751714
2.03,195,0.012504666475112076,0.0015302824534189896,8.904891426637813e-07
2.03,196,0.013450887289903332,0.0008432399569771225,2.70290977775226e-07
2.03,197,0.013765415258882785,0.002818278326912698,3.0188743312783598e-06
2.03,198,0.0621586325557958,1.4728513253859525e-05,8.096168181735043e-11
2.03,199,0.1342554870773934,0.00012113817287337027,5.333254287051031e-09
2.03,200,0.136902306798744,-0.0006477108426252869,1.5232634335921398e-07
2.03,201,0.137176458057754,-0.0001092425581718705,4.332645714143687e-09
2.03,202,0.1378721593370584,-0.00019455318716554403,1.373841007797788e-08
2.03,203,0.1381229223462042,0.0036606565920442712,4.86338026661083e-06
2.03,204,0.14007046365575038,0.03644894426152999,0.00048181830815316896
2.03,205,0.14033894420824308,-0.000551948013482538,1.1047587630824294e-07
2.03,206,0.14099606348122548,-0.0012649506500528275,5.801159322654038e-07
2.03,207,0.14426011853473242,0.0004554046941441394,7.510156740786853e-08
2.03,208,0.14472245518813084,6.739231655490881e-07,1.6443795279288692e-13
2.03,209,0.1454473148495901,-0.002542497273580594,2.3398516324841083e-06
2.03,210,0.14566547713656003,0.0034367902098753956,4.275029143879785e-06
2.03,211,0.14587627702556552,-8.340054834797619e-05,2.5173158658336043e-09
2.03,212,0.1699862302932542,5.494737781687226e-05,1.083230285447845e-09
2.03,213,0.1702170123200035,0.0002829113576521708,2.871386521554808e-08
2.03,214,0.17076313423237327,-1.698010401949541e-05,1.0341570705776201e-10
2.03,215,0.1708342332230807,0.00041296305738066264,6.116699466983732e-08
2.03,216,0.1719047409940226,-0.00109262530070279,4.2802636810152363e-07
2.03,217,0.17301315844493112,0.0011327345108650877,4.598452739714446e-07
2.03,218,0.17353990745711323,0.00020803445371390074,1.5507579540347838e-08
2.03,219,0.17372873855490162,0.000636504079896217,1.4515984071171992e-07
2.03,220,0.184412509657578,-0.007547113014121423,2.0330427608317245e-05
2.03,221,0.18453784469593773,0.00017929685673609286,1.1473891275415334e-08
2.03,222,0.18504156284072057,0.00048400139046204054,8.359504278346522e-08
2.03,223,0.18547502067303687,0.0018256211308377583,1.1891631481432914e-06
2.03,224,0.18616015004773284,-2.0969493963933134e-05,1.5685193607548996e-10
2.03,225,0.18878245561862822,-0.0015028633914425642,8.049092998966508e-07
2.03,226,0.18899013245044385,-0.0025233882572976377,2.2690493853157617e-06
2.03,227,0.1890334820094178,0.0002944399926876468,3.089318468155311e-08
2.03,228,0.19009696180676156,3.9730109213387234e-06,5.622688848491188e-12
2.03,229,0.1902824024659676,0.00361381248716467,4.651650481354215e-06
2.03,230,0.19057518491627115,0.008905838934071675,2.8247513933906367e-05
2.03,231,0.19065173445957706,-0.0001403640330802518,7.016659392749617e-09
2.03,232,0.19082497397533038,-0.00047614304403086093,8.073592267592486e-08
2.03,233,1.8880259787692295,0.0003752620648484112,3.125707371312817e-08
2.03,234,1.8881471848436164,3.145494652043904e-05,2.1960650873381361e-10
2.03,235,1.8882852380445547,-0.000516627207018628,5.923911274178896e-08
2.03,236,1.8885032907498573,0.0004422698968301838,4.341179467433913e-08
2.03,237,1.8886284811697744,4.145326164562713e-06,3.8136280110177136e-12
2.03,238,1.8894587819310307,-3.2385340375785075e-06,2.3272220605242175e-12
2.03,239,1.8896592669972379,-0.0009856928623111368,2.1557817799872517e-07
2.03,240,1.8905086445364176,-9.430692941878742e-06,1.9729993538585758e-11
2.03,241,1.8918815347788374,-0.0008253549903176837,1.5107376310303296e-07
2.03,242,1.8926564503498264,-0.001107010913862259,2.717294189401507e-07
2.03,243,1.8930176883174883,-0.00106848253051288,2.531237650825361e-07
2.03,244,1.8934566064058658,-0.000376183990862218,3.1373027299037456e-08
2.03,245,1.8935884873294084,-0.00036319586501665403,2.9243200497280424e-08
2.03,246,1.9006039107338657,0.0006093715781131487,8.219257616814206e-08
2.03,247,1.900727669694113,5.999858115469393e-05,7.967797136183107e-10
2.03,248,1.9011541796323315,0.0006250371762580013,8.64623448577178e-08
2.03,249,1.9020554887805978,-0.0019007240892643157,7.994049741231128e-07
2.03,250,1.902532639612396,-7.901469668906188e-05,1.3813336528011381e-09
2.03,251,1.9031773776055116,-0.0006721889457169998,9.995479278699111e-08
2.03,252,1.9032630148345442,0.004936501780355424,5.390775667972537e-06
2.03,253,1.9033975647463195,0.0001932583830650952,8.26183315729676e-09
2.03,254,1.9329267138475381,0.00026417285554381225,1.5337285526798217e-08
2.03,255,1.9331229601534312,-0.009678080753986709,2.0584099569749355e-05
2.03,256,1.9335611931972418,-0.014992745956896437,4.9393969773513825e-05
2.03,257,1.9337389205873503,-0.0002853007530803127,1.788547352152189e-08
2.03,258,1.9343361827972363,0.0035719060683272815,2.8030940759426817e-06
2.03,259,1.9369293649391266,0.003878116777469502,3.3024178128147556e-06
2.03,260,1.937544575662075,0.0005617243927457389,6.927525874858264e-08
2.03,261,1.9378587289000013,0.0023290913076071677,1.1908982737017504e-06
2.03,262,1.94005765041462,-0.034265491106257616,0.00025763565021276144
2.03,263,1.9402878891355118,-0.0006284560836726783,8.666025564509151e-08
2.03,264,1.9409917917456811,-0.0002710064918733776,1.6112480857900247e-08
2.03,265,1.941287653257532,-0.0005225720329391975,5.990556445211176e-08
2.03,266,1.945883782976717,-1.416952929018407e-05,4.3999529116079874e-11
2.03,267,1.988811941736847,0.0011511069791922156,2.8767490633602887e-07
