chi_over_J,state,alpha,k_over_k1,probability
1.0,ground,0,-1.4625,2.2985120568497564e-11
1.0,ground,0,-1.46,3.5618820658653754e-09
1.0,ground,0,-1.4575,1.4664941862755054e-10
1.0,ground,0,-1.455,2.6443094907721366e-09
1.0,ground,0,-1.4525000000000001,2.9832091536841456e-10
1.0,ground,0,-1.45,2.0507427108561094e-09
1.0,ground,0,-1.4475,4.966209377816376e-10
1.0,ground,0,-1.4449999999999998,1.5591738362414183e-09
1.0,ground,0,-1.4425,7.323897200886454e-10
1.0,ground,0,-1.44,1.1529849489726084e-09
1.0,ground,0,-1.4375,1.0579236942657591e-09
1.0,ground,0,-1.435,7.817156798695321e-10
1.0,ground,0,-1.4325,1.7103303453838213e-09
1.0,ground,0,-1.43,3.514155376507813e-10
1.0,ground,0,-1.4275,4.197298249002463e-09
1.0,ground,0,-1.4249999999999998,1.2974161490583029e-10
1.0,ground,0,-1.4224999999999999,3.7307763582561567e-08
1.0,ground,0,-1.42,2.8803113090421714e-07
1.0,ground,0,-1.4175,7.222919587671166e-07
1.0,ground,0,-1.415,7.56711387697746e-07
1.0,ground,0,-1.4125,2.9189031074379606e-07
1.0,ground,0,-1.4100000000000001,1.6019509323803526e-08
1.0,ground,0,-1.4075,4.645575407257982e-09
1.0,ground,0,-1.405,8.32251141462812e-10
1.0,ground,0,-1.4024999999999999,1.400771993427563e-09
1.0,ground,0,-1.4,4.2398665956016916e-10
1.0,ground,0,-1.3975,9.01693519578216e-10
1.0,ground,0,-1.395,6.412252147704925e-10
1.0,ground,0,-1.3925,7.828221070276476e-10
1.0,ground,0,-1.3900000000000001,8.580855964283158e-10
1.0,ground,0,-1.3875,8.349390005305359e-10
1.0,ground,0,-1.385,9.960953979378643e-10
1.0,ground,0,-1.3824999999999998,1.038174690385829e-09
1.0,ground,0,-1.38,1.0383016536098815e-09
1.0,ground,0,-1.3775,1.4037901873828212e-09
1.0,ground,0,-1.375,9.853643073514437e-10
1.0,ground,0,-1.3725,1.9514418598726957e-09
1.0,ground,0,-1.37,8.531412633194889e-10
1.0,ground,0,-1.3675,2.720768244692147e-09
1.0,ground,0,-1.365,6.743601159191473e-10
1.0,ground,0,-1.3624999999999998,3.853618232045122e-09
1.0,ground,0,-1.3599999999999999,4.962309283504911e-10
1.0,ground,0,-1.3575,6.167649592631158e-09
1.0,ground,0,-1.355,3.5535630757176846e-10
1.0,ground,0,-1.3525,2.5895496311254546e-08
1.0,ground,0,-1.35,4.972641568164664e-08
1.0,ground,0,-1.3475000000000001,3.373810691015794e-08
1.0,ground,0,-1.345,2.765734574122595e-08
1.0,ground,0,-1.3425,2.7186310869125852e-08
1.0,ground,0,-1.3399999999999999,3.263591800030953e-09
1.0,ground,0,-1.3375,8.153907834499364e-09
1.0,ground,0,-1.335,4.8249810983406e-09
1.0,ground,0,-1.3325,6.052105673567962e-09
1.0,ground,0,-1.33,7.452042490695055e-09
1.0,ground,0,-1.3275000000000001,4.736846096992991e-09
1.0,ground,0,-1.325,1.1180531222245195e-08
1.0,ground,0,-1.3225,3.344222036106159e-09
1.0,ground,0,-1.3199999999999998,1.6123824914850904e-08
1.0,ground,0,-1.3175,1.8669373366347715e-09
1.0,ground,0,-1.315,2.2345491897708106e-08
1.0,ground,0,-1.3125,6.449746381568794e-10
1.0,ground,0,-1.31,2.962087195919991e-08
1.0,ground,0,-1.3075,3.527285237727045e-10
1.0,ground,0,-1.305,3.97970534272863e-08
1.0,ground,0,-1.3025,2.7071629389629114e-09
1.0,ground,0,-1.2999999999999998,4.7712160976344295e-08
1.0,ground,0,-1.2974999999999999,9.056141540186092e-09
1.0,ground,0,-1.295,5.784921790397024e-08
1.0,ground,0,-1.2925,2.4151010480925378e-08
1.0,ground,0,-1.29,6.669585352192051e-08
1.0,ground,0,-1.2875,5.4555736763369396e-08
1.0,ground,0,-1.2850000000000001,7.276487594139517e-08
1.0,ground,0,-1.2825,1.1266502962364709e-07
1.0,ground,0,-1.28,7.334143886812381e-08
1.0,ground,0,-1.2774999999999999,2.221237404001635e-07
1.0,ground,0,-1.275,6.454754107690913e-08
1.0,ground,0,-1.2725,4.3103597387270533e-07
1.0,ground,0,-1.27,4.2427415409511336e-08
1.0,ground,0,-1.2675,8.469544934842217e-07
1.0,ground,0,-1.2650000000000001,9.902408159510661e-09
1.0,ground,0,-1.2625,1.7408483196311776e-06
1.0,ground,0,-1.26,1.702245760185515e-08
1.0,ground,0,-1.2574999999999998,3.922976516200625e-06
1.0,ground,0,-1.255,4.1007996360040205e-07
1.0,ground,0,-1.2525,1.0526758656095257e-05
1.0,ground,0,-1.25,3.890387828946098e-06
1.0,ground,0,-1.2475,4.039807282757673e-05
1.0,ground,0,-1.245,4.742039523089691e-05
1.0,ground,0,-1.2425,0.00041056608369568256
1.0,ground,0,-1.24,0.005323464583746872
1.0,ground,0,-1.2374999999999998,0.014093364037900884
1.0,ground,0,-1.2349999999999999,0.01490517089540203
1.0,ground,0,-1.2325,0.006466526971366423
1.0,ground,0,-1.23,0.0007016874640703606
1.0,ground,0,-1.2275,2.3600006588543175e-05
1.0,ground,0,-1.225,5.301722800953513e-05
1.0,ground,0,-1.2225000000000001,9.850529553589571e-07
1.0,ground,0,-1.22,1.1896557840741898e-05
1.0,ground,0,-1.2175,5.664625690380329e-09
1.0,ground,0,-1.2149999999999999,3.924367353056699e-06
1.0,ground,0,-1.2125,5.224089023367266e-08
1.0,ground,0,-1.21,1.5538886463775753e-06
1.0,ground,0,-1.2075,1.1146066581683236e-07
1.0,ground,0,-1.205,6.730762999358777e-07
1.0,ground,0,-1.2025000000000001,1.3097024769891527e-07
1.0,ground,0,-1.2,3.0155100509138876e-07
1.0,ground,0,-1.1975,1.2650198509014726e-07
1.0,ground,0,-1.1949999999999998,1.3367288483074123e-07
1.0,ground,0,-1.1925,1.1112152715220597e-07
1.0,ground,0,-1.19,5.58616267890031e-08
1.0,ground,0,-1.1875,9.205927924877611e-08
1.0,ground,0,-1.185,2.047445770562731e-08
1.0,ground,0,-1.1825,7.303523925721875e-08
1.0,ground,0,-1.18,5.647161192166047e-09
