target_probability,method,M,N_shot,N_q,repetitions,percentile,error
0.020833333333333332,classical,85,100,8600,1000,81.05694691387022,0.0021124031007751926
0.020833333333333332,classical,86,100,8700,1000,81.05694691387022,0.0019827586206896536
0.020833333333333332,classical,87,100,8800,1000,81.05694691387022,0.0019696969696969685
0.020833333333333332,classical,88,100,8900,1000,81.05694691387022,0.0019569288389513113
0.020833333333333332,classical,89,100,9000,1000,81.05694691387022,0.0019444444444444457
0.020833333333333332,classical,90,100,9100,1000,81.05694691387022,0.0020421245421245425
0.020833333333333332,classical,91,100,9200,1000,81.05694691387022,0.0019202898550724629
0.020833333333333332,classical,92,100,9300,1000,81.05694691387022,0.0019623655913978515
0.020833333333333332,classical,93,100,9400,1000,81.05694691387022,0.0018971631205673758
0.020833333333333332,classical,94,100,9500,1000,81.05694691387022,0.001991228070175436
0.020833333333333332,classical,95,100,9600,1000,81.05694691387022,0.0018750000000000008
0.020833333333333332,classical,96,100,9700,1000,81.05694691387022,0.0019673539518900336
0.020833333333333332,classical,97,100,9800,1000,81.05694691387022,0.0018537414965986397
0.020833333333333332,classical,98,100,9900,1000,81.05694691387022,0.0018939393939393957
0.020833333333333332,classical,99,100,10000,1000,81.05694691387022,0.0019666666666666686
0.020833333333333332,classical,199,100,20000,1000,81.05694691387022,0.0013166666666666674
0.020833333333333332,classical,299,100,30000,1000,81.05694691387022,0.0010666666666666672
0.020833333333333332,classical,399,100,40000,1000,81.05694691387022,0.0008916666666666691
0.020833333333333332,classical,499,100,50000,1000,81.05694691387022,0.0008333333333333318
0.020833333333333332,classical,599,100,60000,1000,81.05694691387022,0.0007833333333333338
0.020833333333333332,classical,699,100,70000,1000,81.05694691387022,0.000695238095238096
0.020833333333333332,classical,799,100,80000,1000,81.05694691387022,0.0006416666666666689
0.020833333333333332,classical,899,100,90000,1000,81.05694691387022,0.0006417655518840379
0.020833333333333332,classical,999,100,100000,1000,81.05694691387022,0.0005833333333333315
0.020833333333333332,conventional,7,,127,,81.05694691387022,0.005613265732456626
0.020833333333333332,conventional,8,,255,,81.05694691387022,0.0025799054363249
0.020833333333333332,conventional,9,,511,,81.05694691387022,0.0009715991742944262
0.020833333333333332,conventional,10,,1023,,81.05694691387022,0.0007383054794497419
0.020833333333333332,conventional,11,,2047,,81.05694691387022,0.0002739215880258397
0.020833333333333332,conventional,12,,4095,,81.05694691387022,0.00017505496117064742
0.020833333333333332,conventional,13,,8191,,81.05694691387022,7.082757617529398e-05
0.020833333333333332,conventional,14,,16383,,81.05694691387022,3.6160561550292736e-05
0.020833333333333332,conventional,15,,32767,,81.05694691387022,1.988874615522704e-05
0.020833333333333332,conventional,16,,65535,,81.05694691387022,6.863109165183151e-06
0.020833333333333332,conventional,17,,131071,,81.05694691387022,6.5473394364155835e-06
