target_id,panel,a,series_id,schedule,stage_M,n_query,error,evidence_kind
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,9,10000,0.004714045207910317,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,10,12100,0.004489498134619003,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,10,12100,0.004285495643554834,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,11,14400,0.00389622324252032,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,11,14400,0.003928371006591931,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,12,16900,0.003739470874117298,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,12,16900,0.003626188621469475,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,13,19600,0.003228299320803001,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,13,19600,0.003367175148507369,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,14,22500,0.003098254068278607,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,14,22500,0.003142696805273544,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,15,25600,0.002921627396390182,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,15,25600,0.002946278254943948,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,16,28900,0.002790509404801696,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,16,28900,0.00277296776935901,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,17,32400,0.002656024969847072,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,17,32400,0.00261891400439462,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,18,36100,0.002429313255426991,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,18,36100,0.002481076425215956,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,19,40000,0.002310364299075894,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,19,40000,0.002357022603955158,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,20,44100,0.002212342562312925,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,20,44100,0.002244783432338246,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,21,48400,0.002121315424481804,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,21,48400,0.002142747821777417,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,22,52900,0.002090059362165304,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,22,52900,0.002049584873004486,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,23,57600,0.001880299224488249,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,23,57600,0.001964185503295965,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,24,62500,0.001935314795180476,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,24,62500,0.001885618083164127,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,25,67600,0.001787465632837655,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,25,67600,0.001813094310734737,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,26,72900,0.001723170353467837,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,26,72900,0.001745942669596414,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,27,78400,0.001687966599544685,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,27,78400,0.001683587574253685,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,28,84100,0.001619787130080856,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,28,84100,0.001625532830313902,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,29,90000,0.001552068631548566,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,29,90000,0.001571348402636772,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,30,96100,0.001467686884678387,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,30,96100,0.001520659744487199,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,31,102400,0.001431125553649256,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,31,102400,0.001473139127471974,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,0,100,0.04737099433673716,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,0,100,0.04714045207910317,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,1,400,0.02905239481518106,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,1,400,0.0149071198499986,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,2,900,0.01157967966079252,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,2,900,0.007968190728895957,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,3,1600,0.005697013880059881,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,3,1600,0.005143444998736397,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,4,2500,0.003666238022699303,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,4,2500,0.003669879217087869,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,5,3600,0.002761424965781815,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,5,3600,0.002787473366690303,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,6,4900,0.002293029815935458,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,6,4900,0.00220997848043932,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,7,6400,0.001787095598250143,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,7,6400,0.001807753815155468,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,8,8100,0.001523393231008755,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,8,8100,0.001514369501414182,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,9,10000,0.001271083309313303,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,9,10000,0.001292611223882469,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,10,12100,0.001109205826620835,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,10,12100,0.001120171354516583,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,11,14400,0.0009973506272175133,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,11,14400,0.0009829463743659809,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,12,16900,0.000900318002690938,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,12,16900,0.0008716272672808178,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,13,19600,0.0008019564045486277,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,13,19600,0.0007798471181595515,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,LIS_SIM,LIS,14,22500,0.0007280851011207199,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,LIS_CRB,LIS,14,22500,0.0007031190992144491,analytic_reference
