h,real_E,imag_E
0,-1.842024896720413,-2.285360935983846e-16
0,-1.832922566666736,-2.220624634481146e-16
0,-1.823814058711369,-8.881609938042473e-16
0,-1.743311536948416,-1.170505733352417e-16
0,-1.814743817967962,-6.037951370654564e-17
0,-1.805729349282934,-1.40786970842377e-16
0,-1.814731967213754,-1.094201781997171e-15
0,-1.796833466808839,-3.702506060891628e-16
0,1.860106970357568,-2.220260752168839e-16
0,-1.805717039894468,4.43201028114786e-17
0,-1.744302320131009,3.274054069818049e-16
0,-1.796820031977854,-2.164078470541976e-16
0,-1.788122231672596,5.495596588242317e-17
0,-1.78810766229673,-4.439681139400826e-16
0,1.860102783598964,5.960656225743807e-16
0,1.851094897372239,-1.594361954928685e-16
0,-1.747141896322399,1.539577764760198e-16
0,-1.771631827612957,2.78403620360201e-16
0,-1.744277996686765,2.220485929132009e-16
0,1.851090916436203,2.959225089520324e-17
0,-1.76412296583241,8.450424244023949e-16
0,-1.751597834670297,-2.523025381568111e-16
0,1.842026132235178,2.954819050669332e-16
0,-1.747118479802042,-1.376779658639848e-16
0,-1.771614609412133,-3.757244686814485e-16
0,-1.764104218699171,-4.440893261144543e-16
0,1.83292410130967,-6.663915505966568e-16
0,1.842022203274567,1.047211519205739e-15
0,-1.751575845093869,-1.043022155062945e-18
0,-1.757359224606424,9.490191168822399e-17
0,1.832920143613381,-5.376622778099618e-16
0,1.82381594942513,1.312289168311015e-16
0,1.823811908413519,-1.105684811189586e-16
0,-1.779683020286189,-5.990426565243807e-16
0,-1.757338853715369,7.505886921422833e-18
0,1.743304671783083,-2.106035993128333e-16
0,1.814734277764488,-7.283539323572658e-16
0,-1.77966719642602,-7.554423769601525e-16
0,1.74428804302207,1.667843406002233e-16
0,1.8057198136715,-1.343150805975103e-16
0,1.814730216644685,-1.241455955224964e-15
0,1.805714990157284,-1.52657632563068e-16
0,1.796823366589336,1.211691756646154e-16
0,1.796818364928465,-1.107612226600209e-16
0,1.788111638867953,-3.860589828551161e-16
0,1.747127895679289,5.39751039109291e-17
0,1.744277953963719,1.100791939906186e-16
0,1.788106240373736,-3.117152144338242e-16
0,1.747118318352154,1.005719792651608e-15
0,1.757346345907298,-7.139422742630558e-17
0,1.757338316926932,-6.126999633998874e-16
0,1.779671909653836,2.647973729757943e-16
0,1.751584352356615,-3.558648801055181e-17
0,1.779666000797391,3.598640541864415e-16
0,1.764110704523766,-1.698696873786889e-16
0,1.751575511163751,1.283737024031514e-15
0,1.764103465658869,-1.658016000533728e-16
0,1.77161363595196,4.131420805695776e-16
0,1.77162016041116,-1.261444418949095e-16
0,1.61893733573584,1.898749669473323e-16
0,-1.619965780232059,-7.632890014907005e-17
0,1.619964138203145,-1.467088991559733e-16
0,-1.605034399281648,-9.545103571956978e-17
0,-1.618940419065058,8.674518128440904e-20
0,1.618920623661141,5.042734642210812e-16
0,-1.615930017704943,-1.560687296199789e-16
0,-1.618920761623571,-5.741941677771419e-19
0,-1.61119048375034,1.111354815862028e-16
0,-1.61117340077712,7.076087947882115e-16
0,-1.615911463789993,-3.074754373778544e-16
0,1.605031794668419,7.001248227445864e-17
0,1.605017296314505,4.441022866159763e-16
0,1.615927064825315,9.949394374340453e-17
0,1.61591094700243,8.790600683935968e-16
0,1.611187693885618,-4.15939450242212e-17
0,1.611172346802245,-2.355721408993839e-16
0,-1.542018744932624,4.672385883136895e-16
0,-1.605018959286835,5.428275425511436e-16
0,-1.59776699553384,2.108450798811949e-16
0,-1.597753200739081,5.721708154400616e-16
0,-1.589635870091257,4.437658368826359e-16
0,-1.589648112591734,-9.699079852794125e-17
0,1.597764582264237,3.274984060862994e-16
0,1.597750920196854,3.202965336963781e-16
0,-1.580883654792731,-1.976459010707204e-16
0,-1.562012068440894,4.434235179495834e-17
0,-1.57163157762335,2.203926519087511e-16
0,1.542017343973755,1.559564364195453e-16
0,1.58963299900218,7.54675667066131e-16
0,1.589645886939089,-5.434064202906216e-17
0,1.58088160610861,4.746529432912255e-16
0,1.580869414664232,-1.43208882816236e-16
0,-1.562003685257314,-6.886572215771666e-17
0,-1.5716220371307,9.133303846741667e-17
0,-1.580872830925496,-2.217280129798925e-16
0,1.552115625109431,-2.420665197996728e-16
0,1.571629696515431,-1.120567652693367e-16
0,1.552105114891559,-1.336144881303412e-15
0,1.571618121566422,7.982174200484283e-17
0,1.562010342226543,1.190296529212935e-16
0,1.561999318397968,6.269460611683259e-16
0,-1.542012437398982,3.050605782470133e-16
0,-1.53177398429759,7.407800632148368e-17
0,-1.552117220271637,-3.714897201509757e-16
0,-1.53176860102407,6.160248357157974e-17
0,-1.552109878277935,-4.449576430405101e-16
0,-1.511027452143766,-9.110928034457485e-17
0,1.542007254838449,8.827258242865903e-16
0,-1.481120865676546,-2.647146279366419e-16
0,-1.511024084879254,4.174212990107014e-16
0,-1.521430033640208,2.219103109633352e-16
0,-1.521425600342177,8.881591316893914e-16
0,-1.478304383701444,-5.702802511380779e-16
0,-1.500604543545644,2.219865342616266e-16
0,1.531772696946578,1.118181700583436e-16
0,1.521428866761225,2.251329658544509e-16
0,-1.50060263813885,-2.156492049829321e-16
0,1.521419807738331,8.392751942942122e-16
0,1.511026399110339,-1.720905290017727e-16
0,1.511018052447068,1.066002825148676e-16
0,1.531763099521236,6.868227066184491e-16
0,-1.469269383986073,-4.027155068284561e-16
0,-1.469260698329288,-4.440593365896724e-16
0,1.481120179205103,4.100772633905114e-16
0,1.5006035919866,7.279013385447561e-16
0,1.47829718592945,6.923038886653753e-17
0,1.500596464195772,8.822924843422395e-16
0,-1.43884692907885,1.146592788984651e-16
0,-1.438843344062475,4.045098197652782e-16
0,-1.490214104311091,-2.291715325815089e-16
0,-1.490215413444314,-1.554470830146337e-15
0,-1.448885338544365,2.868719572662052e-16
0,-1.448880982030657,5.586295592632212e-16
0,1.409701871543118,-5.996566425702002e-16
0,1.409690855883498,-1.992661187677962e-16
0,1.490213224096415,-4.299194665253239e-16
0,1.49020942892297,1.185333449095864e-17
0,1.469268893375673,-5.586089061094175e-16
0,1.469252241752681,-5.245626519898757e-16
0,-1.459041497316021,4.924096252244938e-16
0,-1.45903588384298,-4.439901976235252e-16
0,1.428942243894077,2.748416300779156e-16
0,1.428953671397484,1.528884962591747e-16
0,1.459041058731226,2.19648043379321e-16
0,1.459027649459109,9.785272584554619e-18
0,1.419230734731257,-1.772131347366188e-15
0,1.419219532984221,-1.055271814386012e-16
0,1.438846636388871,-3.138656353859389e-17
0,1.438834879425099,-1.176883147769236e-16
0,1.448872666346164,6.551014087917217e-16
0,1.448884974253087,1.774513257160199e-16
0,-1.400391547129448,-1.879295958078705e-16
0,-1.409702076688731,-6.661893017131902e-16
0,-1.419230931751053,-4.397435522298043e-16
0,1.400380432931058,3.600134271209837e-16
0,1.400391235924527,-1.514522463565085e-17
0,-1.419228322381469,8.367138789154375e-16
0,-1.391324374663525,-3.642185475481296e-16
0,-1.391322085478604,-8.854950394141348e-16
0,-1.409699776220268,2.155955482571585e-16
0,1.297671323976895,-6.270708499845893e-17
0,1.297684410838399,2.654150819382836e-16
0,1.298296484132402,2.657732441624885e-16
0,1.298309089784398,3.900887102370365e-16
0,1.2995425797775,2.823223109710732e-16
0,1.373995766752593,8.934354311626617e-16
0,1.299555131967047,-6.640965812186525e-16
0,1.373981296551702,4.363471319102119e-16
0,1.391323664496613,-8.173888667350723e-17
0,1.382528986816536,-4.361074829980977e-16
0,1.38252055218303,1.053782657528429e-16
0,1.391313267039597,-6.931558775182031e-16
0,-1.298307027255309,-1.32878622881861e-16
