modulation_depth,mode_index,normalized_intensity
0.2,43,5.215801189026325e-19
0.2,44,1.138020854691974e-19
0.2,45,4.337988564888149e-20
0.2,46,4.035495356622893e-21
0.2,47,8.757813782935865e-21
0.2,48,1.230923798159601e-21
0.2,49,1.19286994219818e-22
0.2,50,1.463267589301694e-22
0.2,51,1.480220690412927e-23
0.2,52,5.657016980661696e-24
0.2,53,1.317111024108889e-24
0.2,54,4.418470474529329e-26
0.2,55,4.305649744848922e-25
0.2,56,4.790669059399383e-26
0.2,57,7.287810559839032e-27
0.2,58,3.65099888561505e-27
0.2,59,3.153051415416166e-28
0.2,60,5.91470146513333e-28
0.3,-60,4.471507248794377e-23
0.3,-59,2.665571705150451e-22
0.3,-58,1.613716488689862e-21
0.3,-57,1.815975763793473e-21
0.3,-56,1.017480547442527e-20
0.3,-55,3.905500140276058e-20
0.3,-54,1.113444769549843e-19
0.3,-53,7.164848744999035e-19
0.3,-52,9.87010156215337e-19
0.3,-51,5.212817099772721e-18
0.3,-50,2.744742485415351e-17
0.3,-49,3.911446963285433e-17
0.3,-48,2.12327414360713e-16
0.3,-47,5.082825073937448e-16
0.3,-46,1.932532186719646e-15
0.3,-45,1.149540795859747e-14
0.3,-44,1.062996356189017e-14
0.3,-43,4.986252690573923e-14
0.3,-42,1.921571513265874e-13
0.3,-41,4.007702228375663e-13
0.3,-40,2.222015059694723e-12
0.3,-39,2.898931651355655e-12
0.3,-38,1.249276122551579e-11
0.3,-37,6.218847975227576e-11
0.3,-36,6.045643290466672e-11
0.3,-35,2.491062118685919e-10
0.3,-34,5.667002566917881e-10
0.3,-33,1.627600677717551e-09
0.3,-32,8.584590431730417e-09
0.3,-31,6.053134907944729e-09
0.3,-30,2.133188938929127e-08
0.3,-29,7.682243692664816e-08
0.3,-28,1.117209288275399e-07
0.3,-27,5.025908965922395e-07
0.3,-26,5.60545614027016e-07
0.3,-25,1.782549893792183e-06
0.3,-24,7.910628919589857e-06
0.3,-23,4.949583739273453e-06
0.3,-22,1.337126608851755e-05
0.3,-21,2.457795770087786e-05
0.3,-20,4.84862811979063e-05
0.3,-19,0.0002174215608456718
0.3,-18,0.0001117160278398629
0.3,-17,0.000245435459433073
0.3,-16,0.0007485687507608352
0.3,-15,0.0007193952481854617
0.3,-14,0.002616968823233515
0.3,-13,0.002349275626458761
0.3,-12,0.00469168238431347
0.3,-11,0.01746857571924533
0.3,-10,0.006769212414547181
0.3,-9,0.01087135137712761
0.3,-8,0.01327606907424502
0.3,-7,0.01313592363367205
0.3,-6,0.04514335687401885
0.3,-5,0.01734719886066089
0.3,-4,0.01986969921524565
0.3,-3,0.04571993300446504
0.3,-2,0.02477942383320391
0.3,-1,0.06702952796544477
0.3,0,0.05745584324842053
0.3,1,0.07481173804995535
0.3,2,0.2486621469761923
0.3,3,0.06710670281908991
0.3,4,0.05582820727030202
0.3,5,0.04953986924432675
0.3,6,0.01887031295706012
0.3,7,0.05135436759189586
0.3,8,0.02047863697960988
0.3,9,0.01548844049747092
0.3,10,0.02843855544982656
0.3,11,0.0059161622634655
0.3,12,0.005025737279843256
0.3,13,0.002482544492411442
0.3,14,0.0009077843474116587
0.3,15,0.002693800315233869
0.3,16,0.0007020194788852704
0.3,17,0.0004099243593543667
0.3,18,0.0004098043814377646
0.3,19,7.043828605305106e-05
0.3,20,7.078525060915324e-05
0.3,21,2.369482441265351e-05
0.3,22,9.305425686975534e-06
0.3,23,2.197874421564871e-05
0.3,24,4.120229166565114e-06
0.3,25,2.169825330705479e-06
0.3,26,1.260684124602803e-06
0.3,27,1.916164017412857e-07
0.3,28,2.369197193631112e-07
0.3,29,5.68492724830235e-08
0.3,30,2.086546097409974e-08
0.3,31,3.004523573939494e-08
0.3,32,4.426564393923284e-09
0.3,33,2.390148453011931e-09
0.3,34,8.764935959638376e-10
0.3,35,1.328247319504627e-10
0.3,36,1.93756547054298e-10
0.3,37,3.467976931815031e-11
0.3,38,1.165813547489951e-11
0.3,39,9.48137254334846e-12
0.3,40,1.186020034899372e-12
0.3,41,7.381311786669477e-13
0.3,42,1.860837150463517e-13
0.3,43,3.247620130998891e-14
0.3,44,4.581397291201822e-14
0.3,45,6.493769942548217e-15
0.3,46,2.213151400330854e-15
0.3,47,1.061655842958231e-15
0.3,48,1.221526831798772e-16
0.3,49,9.575200346863161e-17
0.3,50,1.793111100294058e-17
0.3,51,3.72341513044721e-18
0.3,52,3.784690314920547e-18
0.3,53,4.511739322271452e-19
0.3,54,1.746807937944309e-19
0.3,55,5.350467490994442e-20
0.3,56,6.289404912182699e-21
0.3,57,6.215264991143559e-21
0.3,58,9.439007572814776e-22
0.3,59,2.294559240994292e-22
