gamma_initial_prime,a_minus,role,provenance
1.4909255,6.109752698052388,curve,supplement_eq_11
1.5009249999999998,6.082328406835511,curve,supplement_eq_11
1.5109244999999998,6.054994327931763,curve,supplement_eq_11
1.520924,6.02775336034855,curve,supplement_eq_11
1.5309234999999999,6.000608242391961,curve,supplement_eq_11
1.5409229999999998,5.973561558164183,curve,supplement_eq_11
1.5509224999999998,5.9466157438147045,curve,supplement_eq_11
1.560922,5.919773093554139,curve,supplement_eq_11
1.5709214999999999,5.893035765439343,curve,supplement_eq_11
1.5809209999999998,5.866405786938046,curve,supplement_eq_11
1.5909204999999997,5.839885060281136,curve,supplement_eq_11
1.60092,5.813475367610303,curve,supplement_eq_11
1.6109194999999998,5.787178375928607,curve,supplement_eq_11
1.6209189999999998,5.760995641861244,curve,supplement_eq_11
1.6309185,5.734928616233492,curve,supplement_eq_11
1.6409179999999999,5.708978648472661,curve,supplement_eq_11
1.6509174999999998,5.683146990840586,curve,supplement_eq_11
1.6609169999999998,5.65743480250295,curve,supplement_eq_11
1.6709165,5.631843153441597,curve,supplement_eq_11
1.6809159999999999,5.6063730282156685,curve,supplement_eq_11
1.6909154999999998,5.581025329577242,curve,supplement_eq_11
1.7009149999999997,5.555800881946992,curve,supplement_eq_11
1.7109145,5.530700434755084,curve,supplement_eq_11
1.7209139999999998,5.505724665652445,curve,supplement_eq_11
1.7309134999999998,5.480874183597264,curve,supplement_eq_11
1.740913,5.456149531821503,curve,supplement_eq_11
1.7509124999999999,5.431551190681898,curve,supplement_eq_11
1.7609119999999998,5.407079580399907,curve,supplement_eq_11
1.7709114999999997,5.382735063694771,curve,supplement_eq_11
1.780911,5.358517948313792,curve,supplement_eq_11
1.7909104999999998,5.334428489463723,curve,supplement_eq_11
1.8009099999999998,5.310466892147047,curve,supplement_eq_11
1.8109094999999997,5.286633313406778,curve,supplement_eq_11
1.8209089999999999,5.262927864483268,curve,supplement_eq_11
1.8309084999999998,5.239350612886411,curve,supplement_eq_11
1.8409079999999998,5.2159015843864225,curve,supplement_eq_11
1.8509075,5.1925807649263955,curve,supplement_eq_11
1.8609069999999999,5.169388102459541,curve,supplement_eq_11
1.8709064999999998,5.146323508714063,curve,supplement_eq_11
1.8809059999999997,5.1233868608884094,curve,supplement_eq_11
1.8909055,5.1005780032795895,curve,supplement_eq_11
1.9009049999999998,5.077896748847106,curve,supplement_eq_11
1.9109044999999998,5.055342880714984,curve,supplement_eq_11
1.9209039999999997,5.032916153614279,curve,supplement_eq_11
1.9309034999999999,5.010616295268339,curve,supplement_eq_11
1.9409029999999998,4.988443007723036,curve,supplement_eq_11
1.9509024999999998,4.966395968624057,curve,supplement_eq_11
1.960902,4.94447483244331,curve,supplement_eq_11
1.9709014999999999,4.922679231656404,curve,supplement_eq_11
1.9809009999999998,4.901008777873059,curve,supplement_eq_11
1.9909004999999997,4.879463062922299,curve,supplement_eq_11
2.0009,4.858041659894107,curve,supplement_eq_11
2.0108995,4.836744124139301,curve,supplement_eq_11
2.020899,4.815569994229128,curve,supplement_eq_11
2.0308984999999997,4.7945187928762545,curve,supplement_eq_11
2.040898,4.773590027818519,curve,supplement_eq_11
2.0508975,4.752783192666969,curve,supplement_eq_11
2.0608969999999998,4.7320977677195035,curve,supplement_eq_11
2.0708965,4.71153322074148,curve,supplement_eq_11
2.0808959999999996,4.691089007714527,curve,supplement_eq_11
2.0908955,4.670764573554812,curve,supplement_eq_11
2.100895,4.650559352801931,curve,supplement_eq_11
2.1108944999999997,4.630472770279553,curve,supplement_eq_11
2.120894,4.610504241728896,curve,supplement_eq_11
2.1308935,4.590653174416111,curve,supplement_eq_11
2.1408929999999997,4.570918967714539,curve,supplement_eq_11
2.1508925,4.551301013662848,curve,supplement_eq_11
2.160892,4.53179869749995,curve,supplement_eq_11
2.1708914999999998,4.512411398177619,curve,supplement_eq_11
2.180891,4.493138488851643,curve,supplement_eq_11
2.1908904999999996,4.473979337352361,curve,supplement_eq_11
2.20089,4.454933306635368,curve,supplement_eq_11
2.2108895,4.435999755213157,curve,supplement_eq_11
2.2208889999999997,4.4171780375684255,curve,supplement_eq_11
2.2308885,4.398467504549782,curve,supplement_eq_11
2.240888,4.379867503750492,curve,supplement_eq_11
2.2508874999999997,4.3613773798709445,curve,supplement_eq_11
2.260887,4.342996475065471,curve,supplement_eq_11
2.2708865,4.324724129274111,curve,supplement_eq_11
2.2808859999999997,4.306559680539896,curve,supplement_eq_11
2.2908855,4.288502465312245,curve,supplement_eq_11
2.3008849999999996,4.270551818736984,curve,supplement_eq_11
2.3108845,4.252707074933505,curve,supplement_eq_11
2.320884,4.2349675672595835,curve,supplement_eq_11
2.3308834999999997,4.217332628564317,curve,supplement_eq_11
2.340883,4.199801591429649,curve,supplement_eq_11
2.3508825,4.182373788400926,curve,supplement_eq_11
2.3608819999999997,4.165048552206907,curve,supplement_eq_11
2.3708815,4.147825215969651,curve,supplement_eq_11
2.380881,4.130703113404641,curve,supplement_eq_11
2.3908804999999997,4.113681579011583,curve,supplement_eq_11
2.40088,4.0967599482561825,curve,supplement_eq_11
2.4108794999999996,4.079937557743293,curve,supplement_eq_11
2.420879,4.0632137453817485,curve,supplement_eq_11
2.4308785,4.046587850541233,curve,supplement_eq_11
2.4408779999999997,4.030059214201465,curve,supplement_eq_11
2.4508775,4.013627179094021,curve,supplement_eq_11
2.460877,3.997291089837092,curve,supplement_eq_11
2.4708764999999997,3.981050293063421,curve,supplement_eq_11
2.480876,3.9649041375417284,curve,supplement_eq_11
2.4908755,3.948851974291851,curve,supplement_eq_11
2.5008749999999997,3.9328931566938694,curve,supplement_eq_11
2.5108745,3.917027040591425,curve,supplement_eq_11
2.5208739999999996,3.9012529843895063,curve,supplement_eq_11
2.5308734999999998,3.8855703491468776,curve,supplement_eq_11
2.540873,3.8699784986633965,curve,supplement_eq_11
2.5508724999999997,3.8544767995624,curve,supplement_eq_11
2.560872,3.839064621368375,curve,supplement_eq_11
2.5708715,3.823741336580094,curve,supplement_eq_11
2.5808709999999997,3.808506320739389,curve,supplement_eq_11
2.5908705,3.793358952495763,curve,supplement_eq_11
2.60087,3.7782986136669745,curve,supplement_eq_11
2.6108694999999997,3.7633246892958,curve,supplement_eq_11
2.620869,3.748436567703069,curve,supplement_eq_11
2.6308684999999996,3.733633640537196,curve,supplement_eq_11
2.6408679999999998,3.7189153028203,curve,supplement_eq_11
2.6508675,3.704280952991051,curve,supplement_eq_11
2.6608669999999996,3.6897299929444243,curve,supplement_eq_11
2.6708665,3.67526182806843,curve,supplement_eq_11
2.680866,3.6608758672779946,curve,supplement_eq_11
2.6908654999999997,3.6465715230460667,curve,supplement_eq_11
2.700865,3.632348211432113,curve,supplement_eq_11
2.7108645,3.618205352108053,curve,supplement_eq_11
2.7208639999999997,3.604142368381806,curve,supplement_eq_11
2.7308635,3.5901586872184916,curve,supplement_eq_11
2.7408629999999996,3.5762537392594247,curve,supplement_eq_11
2.7508624999999998,3.5624269588389734,curve,supplement_eq_11
2.760862,3.548677783999394,curve,supplement_eq_11
2.7708614999999996,3.535005656503697,curve,supplement_eq_11
2.780861,3.5214100218466724,curve,supplement_eq_11
2.7908605,3.5078903292641086,curve,supplement_eq_11
2.8008599999999997,3.494446031740319,curve,supplement_eq_11
2.8108595,3.4810765860140385,curve,supplement_eq_11
2.820859,3.467781452582751,curve,supplement_eq_11
2.8308584999999997,3.454560095705534,curve,supplement_eq_11
2.840858,3.4414119834044805,curve,supplement_eq_11
2.8508574999999996,3.428336587464756,curve,supplement_eq_11
2.8608569999999998,3.415333383433367,curve,supplement_eq_11
2.8708565,3.402401850616682,curve,supplement_eq_11
2.8808559999999996,3.3895414720767825,curve,supplement_eq_11
2.8908555,3.3767517346266693,curve,supplement_eq_11
2.900855,3.3640321288244204,curve,supplement_eq_11
2.9108544999999997,3.3513821489663056,curve,supplement_eq_11
2.920854,3.338801293078931,curve,supplement_eq_11
2.9308535,3.3262890629104716,curve,supplement_eq_11
2.9408529999999997,3.313844963920999,curve,supplement_eq_11
2.9508525,3.301468505271983,curve,supplement_eq_11
2.9608519999999996,3.289159199815004,curve,supplement_eq_11
2.9708514999999998,3.2769165640796847,curve,supplement_eq_11
2.980851,3.2647401182609337,curve,supplement_eq_11
2.9908504999999996,3.2526293862054794,curve,supplement_eq_11
3.00085,3.2405838953977772,curve,supplement_eq_11
3.0108495,3.2286031769452994,curve,supplement_eq_11
3.0208489999999997,3.216686765563243,curve,supplement_eq_11
3.0308485,3.2048341995586935,curve,supplement_eq_11
3.040848,3.1930450208142735,curve,supplement_eq_11
3.0508474999999997,3.181318774771304,curve,supplement_eq_11
3.060847,3.169655010412495,curve,supplement_eq_11
3.0708464999999996,3.1580532802442254,curve,supplement_eq_11
3.0808459999999998,3.1465131402783926,curve,supplement_eq_11
3.0908455,3.1350341500138956,curve,supplement_eq_11
3.1008449999999996,3.1236158724177545,curve,supplement_eq_11
3.1108445,3.1122578739058904,curve,supplement_eq_11
3.120844,3.1009597243236042,curve,supplement_eq_11
3.1308434999999997,3.089720996925751,curve,supplement_eq_11
3.140843,3.078541268356645,curve,supplement_eq_11
3.1508425,3.067420118629717,curve,supplement_eq_11
3.1608419999999997,3.0563571311069353,curve,supplement_eq_11
3.1708415,3.0453518924780028,curve,supplement_eq_11
3.1808409999999996,3.0344039927393704,curve,supplement_eq_11
3.1908404999999997,3.0235130251730538,curve,supplement_eq_11
