series_kind,chord_id,endpoint,gamma_final_prime,gamma_initial_prime,y,z,provenance
locus,-1,locus,,0.0015103752145645471,0.003020736647119102,-4.5624457615355036e-06,independent_steady_state_formula
locus,-1,locus,,0.001526026134841849,0.003052038054781273,-4.657489836128101e-06,independent_steady_state_formula
locus,-1,locus,,0.0015418392342274707,0.0030836638070629763,-4.754513842896946e-06,independent_steady_state_formula
locus,-1,locus,,0.0015578161932656045,0.003115617264625515,-4.853559026851515e-06,independent_steady_state_formula
locus,-1,locus,,0.0015739587099147005,0.0031479018229452925,-4.954667492181107e-06,independent_steady_state_formula
locus,-1,locus,,0.0015902684997279174,0.003180520912674295,-5.057882220151818e-06,independent_steady_state_formula
locus,-1,locus,,0.0016067472960354442,0.0032134780000042957,-5.163247087376289e-06,independent_steady_state_formula
locus,-1,locus,,0.0016233968501287105,0.0032467765870348333,-5.270806884463993e-06,independent_steady_state_formula
locus,-1,locus,,0.001640218931446506,0.0032804202121449848,-5.380607335059967e-06,independent_steady_state_formula
locus,-1,locus,,0.0016572153277630277,0.0033144124503689844,-5.492695115280096e-06,independent_steady_state_formula
locus,-1,locus,,0.0016743878453778773,0.0033487569137757244,-5.607117873551206e-06,independent_steady_state_formula
locus,-1,locus,,0.001691738309308026,0.003383457251852182,-5.723924250864391e-06,independent_steady_state_formula
locus,-1,locus,,0.0017092685634817685,0.0034185171518908005,-5.843163901450176e-06,independent_steady_state_formula
locus,-1,locus,,0.0017269804709346885,0.003453940339380882,-5.964887513884313e-06,independent_steady_state_formula
locus,-1,locus,,0.0017448759140076529,0.003489730578404015,-6.089146832633162e-06,independent_steady_state_formula
locus,-1,locus,,0.0017629567945468582,0.003525891672033604,-6.215994680047824e-06,independent_steady_state_formula
locus,-1,locus,,0.0017812250341059505,0.003562427462738506,-6.3454849788163695e-06,independent_steady_state_formula
locus,-1,locus,,0.0017996825741502394,0.0035993418327908504,-6.4776727748836785e-06,independent_steady_state_formula
locus,-1,locus,,0.0018183313762630282,0.003636638704678077,-6.612614260848684e-06,independent_steady_state_formula
locus,-1,locus,,0.0018371734223540813,0.003674322041519211,-6.750366799848884e-06,independent_steady_state_formula
locus,-1,locus,,0.0018562107148702536,0.0037123958474854575,-6.890988949942342e-06,independent_steady_state_formula
locus,-1,locus,,0.0018754452770083005,0.003750864168225129,-7.034540488997486e-06,independent_steady_state_formula
locus,-1,locus,,0.0018948791529298952,0.003789731091292968,-7.181082440101307e-06,independent_steady_state_formula
locus,-1,locus,,0.0019145144079788716,0.003829000746583896,-7.330677097496725e-06,independent_steady_state_formula
locus,-1,locus,,0.0019343531289007202,0.0038686773067712495,-7.4833880530601774e-06,independent_steady_state_formula
locus,-1,locus,,0.0019543974240643584,0.003908764987749536,-7.639280223330647e-06,independent_steady_state_formula
locus,-1,locus,,0.0019746494236861966,0.003949268049081761,-7.798419877101609e-06,independent_steady_state_formula
locus,-1,locus,,0.0019951112800565313,0.003990190794451382,-7.960874663587684e-06,independent_steady_state_formula
locus,-1,locus,,0.0020157851677682767,0.004031537572118912,-8.126713641177832e-06,independent_steady_state_formula
locus,-1,locus,,0.0020366732839480726,0.004073312775383255,-8.296007306787452e-06,independent_steady_state_formula
locus,-1,locus,,0.0020577778484897865,0.0041155208430477905,-8.468827625821755e-06,independent_steady_state_formula
locus,-1,locus,,0.00207910110429043,0.004158166259891272,-8.64524806276315e-06,independent_steady_state_formula
locus,-1,locus,,0.0021006453174885267,0.004201253557143584,-8.825343612395686e-06,independent_steady_state_formula
locus,-1,locus,,0.0021224127777049466,0.004244787312966417,-9.009190831679771e-06,independent_steady_state_formula
locus,-1,locus,,0.002144405798286236,0.00428877215293889,-9.196867872290699e-06,independent_steady_state_formula
locus,-1,locus,,0.0021666267165504688,0.004333212750548184,-9.388454513834837e-06,independent_steady_state_formula
locus,-1,locus,,0.002189077894035648,0.004378113827685256,-9.584032197757588e-06,independent_steady_state_formula
locus,-1,locus,,0.0022117617167506766,0.004423480155145639,-9.783684061957467e-06,independent_steady_state_formula
locus,-1,locus,,0.002234680595428935,0.00446931655313543,-9.987494976121078e-06,independent_steady_state_formula
locus,-1,locus,,0.0022578369657844798,0.004515627891782482,-1.0195551577793927e-05,independent_steady_state_formula
locus,-1,locus,,0.0022812332887709014,0.004562419091652876,-1.0407942309202439e-05,independent_steady_state_formula
locus,-1,locus,,0.002304872050842864,0.0046096951242727184,-1.0624757454842813e-05,independent_steady_state_formula
locus,-1,locus,,0.002328755764220353,0.0046574610126553125,-1.0846089179852621e-05,independent_steady_state_formula
locus,-1,locus,,0.0023528869671556635,0.004705721831833769,-1.1072031569181551e-05,independent_steady_state_formula
locus,-1,locus,,0.0023772682242031535,0.004754482709399108,-1.1302680667577816e-05,independent_steady_state_formula
locus,-1,locus,,0.0024019021264917936,0.004803748826043907,-1.1538134520407317e-05,independent_steady_state_formula
locus,-1,locus,,0.00242679129200054,0.0048535254161115446,-1.1778493215322792e-05,independent_steady_state_formula
locus,-1,locus,,0.002451938365836561,0.004903817768151115,-1.2023858924800738e-05,independent_steady_state_formula
locus,-1,locus,,0.0024773460205163482,0.004954631225478058,-1.2274335949564106e-05,independent_steady_state_formula
locus,-1,locus,,0.002503016956249739,0.005005971186740554,-1.2530030762909237e-05,independent_steady_state_formula
locus,-1,locus,,0.002528953901226881,0.005057843106491766,-1.2791052055955839e-05,independent_steady_state_formula
locus,-1,locus,,0.0025551596119081734,0.005110252495767973,-1.3057510783839269e-05,independent_steady_state_formula
locus,-1,locus,,0.002581636873317211,0.005163204922672652,-1.332952021286466e-05,independent_steady_state_formula
locus,-1,locus,,0.0026083884993367626,0.005216706012966579,-1.3607195968642962e-05,independent_steady_state_formula
locus,-1,locus,,0.002635417333007819,0.005270761450664011,-1.389065608522937e-05,independent_steady_state_formula
locus,-1,locus,,0.002662726246831737,0.005325376978634985,-1.418002105528487e-05,independent_steady_state_formula
locus,-1,locus,,0.0026903181430755177,0.005380558399213848,-1.4475413881282382e-05,independent_steady_state_formula
locus,-1,locus,,0.002718195954080244,0.005436311574814023,-1.4776960127779076e-05,independent_steady_state_formula
locus,-1,locus,,0.0027463626425727194,0.005492642428549109,-1.5084787974777172e-05,independent_steady_state_formula
locus,-1,locus,,0.0027748212019803285,0.005549556944860378,-1.5399028272195755e-05,independent_steady_state_formula
locus,-1,locus,,0.0028035746567491703,0.005607061170150723,-1.5719814595476915e-05,independent_steady_state_formula
locus,-1,locus,,0.0028326260626654783,0.005665161213425122,-1.6047283302349588e-05,independent_steady_state_formula
locus,-1,locus,,0.002861978507180378,0.005723863246937694,-1.6381573590775372e-05,independent_steady_state_formula
locus,-1,locus,,0.002891635109738005,0.0057831735068454085,-1.6722827558100846e-05,independent_steady_state_formula
locus,-1,locus,,0.0029215990221070284,0.005843098293868508,-1.707119026144148e-05,independent_steady_state_formula
locus,-1,locus,,0.0029518734287156028,0.005903643973957736,-1.7426809779322826e-05,independent_steady_state_formula
locus,-1,locus,,0.0029824615469897986,0.0059648169789684,-1.778983727460511e-05,independent_steady_state_formula
locus,-1,locus,,0.0030133666276955314,0.006026623807341375,-1.8160427058717883e-05,independent_steady_state_formula
locus,-1,locus,,0.003044591955284042,0.006089071024791108,-1.8538736657232167e-05,independent_steady_state_formula
locus,-1,locus,,0.003076140848240951,0.006152165265000671,-1.8924926876797682e-05,independent_steady_state_formula
locus,-1,locus,,0.003108016659438933,0.006215913230323967,-1.9319161873473765e-05,independent_steady_state_formula
locus,-1,locus,,0.0031402227764940446,0.00628032169249515,-1.9721609222482896e-05,independent_steady_state_formula
locus,-1,locus,,0.0031727626221257446,0.006345397493345308,-2.0132439989416388e-05,independent_steady_state_formula
locus,-1,locus,,0.0032056396545206453,0.006411147545526523,-2.0551828802922526e-05,independent_steady_state_formula
locus,-1,locus,,0.0032388573677000322,0.0064775788332433505,-2.0979953928908003e-05,independent_steady_state_formula
