series_kind,branch,alpha,gamma_prime,y,z,provenance
bifurcation,lower_alpha_gt_half,0.733534,4.282031738419245,0.22516356351826608,-0.964157525320793,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.734532,4.26381048215169,0.22606749398556983,-0.9639089505294367,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.73553,4.245743641998896,0.22697082105397867,-0.9636599204091991,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.736528,4.22782926334303,0.22787354411136182,-0.9634104381357042,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.737526,4.210065424416695,0.2287756625542454,-0.9631605068676496,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.738524,4.192450235615704,0.2296771757877501,-0.9629101297469024,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.739522,4.174981838829001,0.23057808322553075,-0.9626593098985929,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.74052,4.157658406785299,0.2314783842897144,-0.962408050431209,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.741518,4.140478142415886,0.23237807841084046,-0.9621563544366898,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.742516,4.12343927823319,0.23327716502780024,-0.9619042249905174,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.743514,4.106540075724599,0.2341756435877779,-0.9616516651518101,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.7445120000000001,4.089778824761156,0.23507351354619022,-0.9613986779634136,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.74551,4.073153843020651,0.23597077436662853,-0.9611452664519919,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.746508,4.056663475424734,0.2368674255208001,-0.9608914336281182,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.747506,4.04030609358965,0.23776346648847016,-0.9606371824863644,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.7485040000000001,4.024080095290215,0.23865889675740373,-0.9603825160053908,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.749502,4.007983903936641,0.23955371582330903,-0.9601274371480348,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.7505,3.992015968063873,0.24044792318978042,-0.959871948861399,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.751498,3.976174760833088,0.24134151836824214,-0.9596160540769395,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.752496,3.9604587795450215,0.24223450087789172,-0.9593597557105525,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.753494,3.944866545164777,0.2431268702456446,-0.9591030566626613,independent_discriminant_zero
