sample,concurrence,entanglement,best_random_decomposition_average_concurrence,lower_bound_gap
30,0.19900815883480083,0.08080031866333355,0.3568724677327992,0.15786430889799835
31,0.0,0.0,0.3467202624609823,0.3467202624609823
32,0.03109063484808755,0.0032527447238963644,0.22269401387819554,0.191603379030108
33,0.19746416763521119,0.07976347590969257,0.48871185938625705,0.29124769175104587
34,0.1558452347269907,0.053719105396111334,0.4593989078433181,0.3035536731163274
35,0.08992604236254964,0.021044869212460272,0.39158630794072197,0.3016602655781723
36,0.0,0.0,0.23101811373040984,0.23101811373040984
37,0.09915543061129584,0.024900624483515175,0.4311342201445032,0.33197878953320736
38,0.0,0.0,0.3062343009897729,0.3062343009897729
39,0.12856012174395492,0.03880554932233844,0.40419520906962714,0.2756350873256722
40,0.02592027609575631,0.0023488638414229535,0.19911770754034255,0.17319743144458624
41,0.1446471735904808,0.047378109471742896,0.2800300151466052,0.1353828415561244
42,0.07352454829822808,0.01484704661361599,0.33247065746627824,0.25894610916805016
43,0.04304973362874276,0.005802247858999836,0.2972876645714125,0.2542379309426697
44,0.0,0.0,0.4255168183834352,0.4255168183834352
45,0.23004353457581178,0.10263272175949323,0.3887977940488713,0.15875425947305954
46,0.027553685268501327,0.0026208017936393637,0.1682680743923336,0.14071438912383227
47,0.17712194295158512,0.06656386004591021,0.43523104169658766,0.25810909874500254
48,0.0,0.0,0.3553244299256933,0.3553244299256933
49,0.3354928368270809,0.18924354567384422,0.4686699620287995,0.1331771252017186
50,0.03841874594098493,0.0047419199693165895,0.44153138991660257,0.40311264397561763
51,0.19448575853296107,0.0777770600960541,0.5120904811016872,0.3176047225687261
52,0.14709146178441246,0.048736643153619474,0.3769145848055043,0.22982312302109187
53,0.1328927963058108,0.04105024286412459,0.40064396196722807,0.26775116566141727
54,0.0,0.0,0.40510856088882724,0.40510856088882724
55,0.05856814139245181,0.009980508569182134,0.25761494684359254,0.19904680545114073
56,0.03602956705955618,0.004230466448693596,0.33852914424598146,0.3024995771864253
57,0.1234090208699879,0.03620009564679413,0.2485499662110645,0.12514094534107661
58,0.08416550383909871,0.01877022567787099,0.33550839115659314,0.25134288731749443
59,0.0,0.0,0.27705112894710315,0.27705112894710315
60,0.07002193906939214,0.013637637790272068,0.3900718679999816,0.3200499289305895
61,0.12694627468560632,0.03798180635578672,0.41729859136566594,0.2903523166800596
62,0.17108019236654665,0.06281357635784139,0.517586140115661,0.3465059477491143
63,0.0,0.0,0.41962044440074986,0.41962044440074986
64,0.18215174900751852,0.0697464110753732,0.4051354668110842,0.22298371780356568
65,0.0,0.0,0.29564574499577767,0.29564574499577767
66,0.11489714359171033,0.03204907317018168,0.373692993568149,0.2587958499764387
67,0.04758703697036071,0.006926604768585401,0.3637450052988732,0.3161579683285125
68,0.0,0.0,0.2980534067990641,0.2980534067990641
69,0.10862499470062836,0.029116855769671563,0.20118753597394048,0.09256254127331212
70,0.0,0.0,0.22174405626324556,0.22174405626324556
71,0.4228686844390967,0.27309910746493754,0.5721612679061212,0.1492925834670245
72,0.05480259772230478,0.008881717664704502,0.4214498118989618,0.366647214176657
73,0.01239967386493046,0.0006192488618803039,0.4596501781271486,0.44725050426221813
74,0.342977320711591,0.19603489278937475,0.418732408808283,0.07575508809669201
75,0.16731783978974712,0.060518863494986294,0.32549098383483516,0.15817314404508803
76,0.15870360867773242,0.055385017166089165,0.2872613414365389,0.1285577327588065
77,0.058631914739986746,0.009999569673229892,0.25307157595946195,0.1944396612194752
78,0.04669927212021485,0.006700101466283091,0.30219367648694373,0.2554944043667289
