sample_id,rank,branch,concurrence,ensemble_average_concurrence,ensemble_average_entanglement,reconstruction_error,concurrence_gap,entanglement_gap,hjw_converse_error,phase_closure_error,component_entanglement_spread
random_rank_3_2,3,positive_concurrence,0.1409485405535446,0.14094854055354447,0.0453500625460125,5.151471817704029e-16,1.3877787807814457e-16,8.604228440844963e-16,3.3438341815022984e-16,0.0,6.036837696399289e-16
random_rank_3_3,3,positive_concurrence,0.3537061973539751,0.3537061973539749,0.2059047236662882,3.1533818424216164e-16,2.220446049250313e-16,2.220446049250313e-16,4.699019771441663e-16,0.0,1.2212453270876722e-15
random_rank_3_4,3,positive_concurrence,0.05564379285528054,0.05564379285528044,0.009122596614042907,3.420058311732974e-16,9.71445146547012e-17,8.500145032286355e-17,6.432363069904236e-16,0.0,7.875644580934704e-16
random_rank_3_5,3,positive_concurrence,0.14607034854011852,0.14607034854011866,0.048167351846426856,6.329034059008487e-16,1.3877787807814457e-16,3.7470027081099033e-16,4.2723531043126604e-16,0.0,8.81239525796218e-16
random_rank_3_6,3,positive_concurrence,0.3470470204745832,0.34704702047458325,0.1997602401767829,6.646891865121339e-16,5.551115123125783e-17,1.942890293094024e-16,5.123986725866783e-16,0.0,1.3877787807814457e-16
random_rank_3_7,3,positive_concurrence,0.14844015278881917,0.14844015278881964,0.04949241240676312,5.407943052457912e-16,4.718447854656915e-16,9.71445146547012e-17,4.2201516335835983e-16,0.0,1.1102230246251565e-15
random_rank_3_8,3,zero_concurrence,0.0,8.726861395562465e-16,2.1545251786318818e-16,3.868083279281657e-16,8.726861395562465e-16,2.1545251786318818e-16,5.854299799295582e-16,9.0929418217991e-17,6.406853007629834e-16
random_rank_3_9,3,positive_concurrence,0.45589218470475823,0.45589218470475834,0.30719653947801007,8.4917859273832285e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.023133583839677e-16,0.0,6.2727600891321345e-15
random_rank_3_10,3,positive_concurrence,0.026675302750910956,0.026675302750910897,0.0024729763588745663,3.5447104202455115e-16,5.898059818321144e-17,4.488596994089988e-16,3.655453828924897e-16,0.0,1.8973538018496328e-15
random_rank_3_11,3,positive_concurrence,0.38228792434356834,0.3822879243435683,0.23294504936811167,6.613210933044719e-16,5.551115123125783e-17,3.0531133177191805e-16,2.1594346199520823e-16,0.0,2.3592239273284576e-15
random_rank_3_12,3,positive_concurrence,0.14953561686546937,0.1495356168654695,0.05010948901266055,1.1975574028362712e-15,1.3877787807814457e-16,7.840950111415168e-16,4.600256402655182e-16,0.0,6.869504964868156e-16
random_rank_3_13,3,positive_concurrence,0.23941342050387193,0.23941342050387185,0.10958015454964991,5.777032887830674e-16,8.326672684688674e-17,3.0531133177191805e-16,2.811964816267239e-16,0.0,4.85722573273506e-16
random_rank_3_14,3,positive_concurrence,0.03236383709473417,0.03236383709473397,0.0034943356641700864,1.067977157843888e-15,2.0122792321330962e-16,1.023053169957322e-15,5.04637588931047e-16,0.0,2.687086664288074e-15
random_rank_3_15,3,positive_concurrence,0.33005739803726253,0.3300573980372624,0.18436071992662503,3.5299171874641337e-16,1.1102230246251565e-16,5.551115123125783e-17,3.2774798648992196e-16,0.0,2.7755575615628914e-17
random_rank_3_16,3,positive_concurrence,0.1411793456172451,0.1411793456172453,0.04547563702629672,4.818973143477428e-16,1.942890293094024e-16,8.534839501805891e-16,4.737923301199427e-16,0.0,8.951173136040325e-16
random_rank_3_17,3,positive_concurrence,0.27034064027035687,0.2703406402703572,0.13360697157752016,7.809379928276247e-16,3.3306690738754696e-16,4.163336342344337e-16,3.839033589254374e-16,0.0,6.106226635438361e-16
random_rank_3_18,3,positive_concurrence,0.12287128057663765,0.12287128057663736,0.035932118689244626,6.635300332786007e-16,2.914335439641036e-16,9.575673587391975e-16,3.635187444614202e-16,0.0,1.824929096727601e-15
random_rank_3_19,3,positive_concurrence,0.4928728830916653,0.492872883091665,0.3467863807051991,7.756117727859472e-16,3.3306690738754696e-16,2.220446049250313e-16,4.598817043740959e-16,0.0,9.992007221626409e-16
random_rank_3_20,3,positive_concurrence,0.09759446001688571,0.09759446001688529,0.024230607939375957,1.0286486030265632e-15,4.163336342344337e-16,1.5612511283791264e-16,3.2835341584827158e-16,0.0,2.213507155346406e-15
random_rank_3_21,3,zero_concurrence,0.0,3.535656054168632e-16,0.0,5.452443131665608e-16,3.535656054168632e-16,0.0,4.974037874777692e-16,2.080593378899442e-18,0.0
random_rank_3_22,3,positive_concurrence,0.15472250411998473,0.15472250411998484,0.05306995952763838,8.260456022057824e-16,1.1102230246251565e-16,3.191891195797325e-16,5.116934394141132e-16,0.0,4.649058915617843e-16
random_rank_3_23,3,positive_concurrence,0.11703562818233698,0.11703562818233679,0.03307357907385407,1.005565198807073e-15,1.942890293094024e-16,4.85722573273506e-17,5.076430474468892e-16,0.0,1.3183898417423734e-16
random_rank_3_24,3,positive_concurrence,0.35752048057969005,0.35752048057969,0.20945116715394851,3.0664749967388606e-16,5.551115123125783e-17,2.7755575615628914e-17,4.341940435234062e-16,0.0,2.498001805406602e-16
random_rank_3_25,3,zero_concurrence,0.0,4.7838329187393046e-15,2.2096476602944462e-16,5.988792064294043e-16,4.7838329187393046e-15,2.2096476602944462e-16,4.3348306540843553e-16,1.0727659881386196e-16,4.805139755722375e-16
random_rank_3_26,3,positive_concurrence,0.35034369738072996,0.35034369738073023,0.20279459021399343,4.173803804695445e-16,2.7755575615628914e-16,5.551115123125783e-17,2.0065884705102253e-16,0.0,6.938893903907228e-16
random_rank_3_27,3,zero_concurrence,0.0,1.4982875461454398e-15,1.5597198717653026e-16,8.111385931216006e-16,1.4982875461454398e-15,1.5597198717653026e-16,3.431051606971205e-16,3.8551618969087543e-16,3.2034265038149176e-16
