branch,source_x,source_y,generated_x,generated_y,distance
lower_chiral_edge,-0.17016656573426922,-0.2005263156048015,-0.17364817766713928,-0.19999999999975895,0.0035211688069751008
lower_chiral_edge,-0.13439830651805063,-0.2005263156048015,-0.1391731009601723,-0.1999999999998459,0.004803714196383436
lower_chiral_edge,-0.09844454992334585,-0.2005263156048015,-0.10452846326771108,-0.19999999999988968,0.0061066365290328994
lower_chiral_edge,-0.06238167722364966,-0.2005263156048015,-0.06975647374415664,-0.1999999999999113,0.0073935533970366915
lower_chiral_edge,-0.02625333486095825,-0.2005263156048015,-0.03489949670251518,-0.19999999999992227,0.008662166167093225
lower_chiral_edge,0.009896830722730949,-0.2005263156048015,1.7771794814217972e-16,-0.19999999999992535,0.009910815630931888
lower_chiral_edge,0.009896830722730949,-0.2005263156048015,0.034899496702514285,-0.19999999999992232,0.025008204937830993
lower_chiral_edge,0.04603608469592125,-0.2005263156048015,0.06975647374415633,-0.1999999999999118,0.02372622735951886
lower_chiral_edge,0.08209895739561682,-0.2005263156048015,0.10452846326771116,-0.1999999999998894,0.02243568010518711
lower_chiral_edge,0.11804180237982269,-0.2005263156048015,0.13917310096017166,-0.19999999999984597,0.02113785201499618
lower_chiral_edge,0.1538209732065402,-0.2005263156048015,0.17364817766713914,-0.19999999999975904,0.019834188787003756
lower_chiral_edge,0.189392823433775,-0.2005263156048015,0.20791169081820265,-0.19999999999957316,0.018526344953020957
lower_chiral_edge,0.22470279500903018,-0.2005263156048015,0.2419218956007018,-0.19999999999914492,0.017227142342909445
lower_chiral_edge,0.25970724149030827,-0.2005263156048015,0.27563735581966264,-0.19999999999806783,0.01593880643787962
lower_chiral_edge,0.29436251643561306,-0.2005263156048015,0.30901699438251373,-0.1999999999951035,0.014663926214258232
lower_chiral_edge,0.32861406179245073,-0.2005263156048015,0.3420201433492876,-0.19999999998618762,0.013416409014298816
lower_chiral_edge,0.3624291427293215,-0.2005263156048015,0.37460659349643216,-0.19999999995701004,0.012188819276144626
lower_chiral_edge,0.3957750244147293,-0.2005263156048015,0.40673664337317694,-0.19999999985377406,0.010974247056631208
lower_chiral_edge,0.42857532557517874,-0.2005263156048015,0.4383711479678455,-0.19999999946220587,0.009809951326618696
lower_chiral_edge,0.4608082229896721,-0.2005263156048015,0.469471567747902,-0.19999999788612816,0.008679317527371536
lower_chiral_edge,0.49243007021621377,-0.2005263156048015,0.5000000219146947,-0.19999999123412254,0.007588226806079622
lower_chiral_edge,0.5233972208128057,-0.2005263156048015,0.5299193643520373,-0.19999996221355734,0.0065433480909099775
lower_chiral_edge,0.5536660283374523,-0.20052603490314563,0.5591933685257606,-0.1999998336693375,0.005552330798480032
lower_chiral_edge,0.5832146695691546,-0.20052519279817793,0.5877874000609832,-0.19999926920226363,0.004602875164463891
lower_chiral_edge,0.6119885864554193,-0.20052154367665131,0.6156710383473669,-0.19999689346383556,0.0037196383940265067
lower_chiral_edge,0.6399877789962402,-0.20050736824302867,0.6428269372135872,-0.19998776419443773,0.0028863138690103174
lower_chiral_edge,0.6672558936336204,-0.20046217527642973,0.6692722453648483,-0.19995767372485707,0.002078508147582091
lower_chiral_edge,0.693880223251551,-0.20034807005330874,0.6950848343785345,-0.1998772915481815,0.0012933369120775985
lower_chiral_edge,0.7200462652285168,-0.2001205613612065,0.7203973331178886,-0.1997064029166606,0.0005429326663009279
lower_chiral_edge,0.7458631356695093,-0.19974554394893193,0.7453479218555963,-0.1994088408074627,0.0006154789025808151
lower_chiral_edge,0.7714399506795201,-0.1992056844892335,0.770038767447509,-0.19896256539348062,0.0014221186112236875
upper_chiral_edge,-0.7877964548177486,0.19815291292880247,-0.7700387674475176,0.19896256539348148,0.017776135627644768
upper_chiral_edge,-0.7622087281972377,0.1986932636163987,-0.7453479218556273,0.19940884080747068,0.016875984155173714
upper_chiral_edge,-0.7363918577562452,0.19906800032701746,-0.7203973331178862,0.19970640291665617,0.01600726011138472
