k_over_pi,drho_actual_b0,drho_theory_b0,drho_actual_b1,drho_theory_b1,drho_actual_b2,drho_theory_b2
-2.684954280964256257e-01,-2.637374106774226235e-03,-3.966711890055890470e-03,-5.530473503941035762e-04,-6.731820862877968201e-04,3.190421402796295158e-03,4.639893971163524568e-03
-2.668329177057356394e-01,-1.947457856375733876e-03,9.845807732041750933e-05,-1.643112133356550153e-05,6.665842140145750638e-04,1.963889072696400895e-03,-7.650423169660905930e-04
-2.651704073150457086e-01,9.494519937358614214e-04,1.058598909531250666e-03,-9.660908519050492860e-04,-2.376024173269207593e-03,1.663866371709454839e-05,1.317425245520908398e-03
-2.635078969243557778e-01,-1.657454324233142984e-04,-1.820927138536671680e-03,-1.958089733282569744e-03,-1.565428440804964363e-03,2.123835119832662155e-03,3.386355583237926885e-03
-2.618453865336657915e-01,-2.452734513344045908e-03,-1.598820043656039216e-03,-3.072379313879269880e-04,-4.052368361632608176e-05,2.759972256802467605e-03,1.639343697158852486e-03
-2.601828761429758607e-01,4.877701492072006317e-04,2.595028697406023648e-03,-1.041437453221660814e-03,-2.250397925099738468e-03,5.536672902407557828e-04,-3.446307826821716361e-04
-2.585203657522859300e-01,1.143813214766309372e-03,-8.321542179483831791e-04,-1.427111528073760072e-03,-2.969120342979280833e-04,2.832982827255525748e-04,1.129066261371519664e-03
-2.568578553615959992e-01,-1.517509264591432316e-03,-2.481301964181845468e-03,-4.970616832624674686e-04,-1.079336398757111716e-03,2.014570878523191944e-03,3.560638319813359473e-03
-2.551953449709060684e-01,-1.262427982103464519e-03,-8.448957301969230215e-04,-1.284768151494308785e-03,-1.621826490643620607e-03,2.547196403169749157e-03,2.466722211048898161e-03
-2.535328345802161376e-01,3.146501718076510912e-05,2.793060814271172178e-03,-1.440622933233520753e-03,-2.436836813610394285e-03,1.409157931431204158e-03,-3.562240101962942584e-04
-2.518703241895261513e-01,-1.953696481944988683e-04,3.103069959111114931e-04,-3.112982324116053690e-05,1.012432833366433546e-03,2.264996396209029150e-04,-1.322739832595159343e-03
-2.502078137988362205e-01,1.788383063038467835e-03,7.409325745336357546e-04,-1.685777702440577341e-03,-6.550839460923356481e-04,-1.026053940846871626e-04,-8.584863278631132792e-05
-2.485453034081463175e-01,1.642558863950038806e-03,6.644268682561389402e-04,-1.826334152620012752e-03,-2.430993554601064508e-03,1.837750842552665631e-04,1.766566656778756827e-03
-2.468827930174563312e-01,3.619712770186467310e-06,-1.233582949315594661e-03,-5.949926222820478561e-04,-1.858011296461755876e-03,5.913728526079076175e-04,3.091594205943337496e-03
-2.452202826267664004e-01,-9.193115984048039202e-04,-2.670966792855430927e-03,7.337372068541569980e-05,-1.002825284940987412e-03,8.459379445719950041e-04,3.673792047393318813e-03
-2.435577722360764974e-01,-9.600035251046135087e-04,-3.070090676978003315e-03,9.471531327243098985e-05,-6.344400587149791717e-04,8.652881082126251400e-04,3.704530719676037663e-03
-2.418952618453865111e-01,-6.404688705645145141e-04,-2.853454871357946794e-03,4.524042584164167380e-07,-4.543627701027704371e-04,6.400166150908326301e-04,3.307817635827111236e-03
-2.402327514546965803e-01,-2.577367753871517841e-04,-2.051032051386019080e-03,1.456311363109974444e-05,-3.248091747476315261e-04,2.431734167809840308e-04,2.375841225051039500e-03
-2.385702410640066495e-01,7.112509423784496576e-05,-2.610639233790447390e-04,-5.919869819756562457e-05,-5.701927772831324624e-04,-1.192638051400463084e-05,8.312566973781873678e-04
-2.369077306733166910e-01,3.151657330873747220e-04,2.209113155809673285e-03,-7.471098991824465241e-04,-1.673584179331966907e-03,4.319443331218808524e-04,-5.355289859226418803e-04
-2.352452202826267325e-01,5.170479509579162247e-04,2.738916292997503957e-03,-2.019952157327004061e-03,-2.910503343347581318e-03,1.502904287129624983e-03,1.715870434829090956e-04
-2.335827098919368294e-01,4.283047127218164718e-04,-7.832004764349389820e-04,-1.915272281254959408e-03,-1.725534909188384007e-03,1.486967830927055090e-03,2.508735394993681211e-03
-2.319201995012468709e-01,-4.885116429986791076e-06,-1.559158241794658456e-03,-8.630892781996690744e-05,1.921718664914281289e-04,9.119401925816728038e-05,1.366986381552869750e-03
-2.302576891105569123e-01,5.262619080523833759e-04,3.007249470156536132e-03,-1.466746147664427236e-03,-2.515816938996657485e-03,9.404844673684964462e-04,-4.914325412417089832e-04
-2.285951787198670093e-01,2.857561757754201182e-04,-1.584582854503251755e-03,-1.406216892334555268e-03,-1.116453614650676166e-03,1.120460752166207996e-03,2.701036478584873963e-03
-2.269326683291770508e-01,3.980690602418679447e-04,1.901676147343649582e-03,-6.319943914228909332e-04,-1.688908796211522310e-03,2.339254639461274543e-04,-2.127673607595867997e-04
-2.252701579384870922e-01,2.351822386670865406e-04,-1.303402856017895402e-03,-1.409582663797009916e-03,-1.375150021055219531e-03,1.174400326393487681e-03,2.678552881682727538e-03
-2.236076475477971892e-01,8.321183662044484564e-04,2.984138705839581556e-03,-1.290670628765144823e-03,-2.798736418149006325e-03,4.585521382856061479e-04,-1.854023008499064949e-04
-2.219451371571072307e-01,-2.402572568956373722e-04,-2.292418183099877767e-03,-8.196877615665454364e-05,-3.594098616485230267e-04,3.222259325599274860e-04,2.651828041529848742e-03
-2.202826267664172721e-01,6.154550576973338849e-04,8.009296520377991082e-04,-1.858457783644795747e-03,-2.518993915844032309e-03,1.243002746163179850e-03,1.718064257589670780e-03
-2.186201163757273691e-01,1.105994153486611342e-03,3.278244725418784106e-03,-1.572124898375215629e-03,-3.304674785381171622e-03,4.661306446913648927e-04,2.643004414545695960e-05
-2.169576059850374106e-01,3.804601768332416256e-04,6.934720709618077093e-04,-2.743132610031062679e-04,-1.729093728183288096e-03,-1.061468863811088070e-04,1.035621641962768125e-03
-2.152950955943474243e-01,-1.593074762245572096e-04,-1.637380387010622679e-03,1.072396609055337180e-04,-6.269522442971017101e-04,5.206769829224633384e-05,2.264332621149368462e-03
-2.136325852036574935e-01,-1.850214784696047055e-04,-2.225756418428545894e-03,-1.409878157129229592e-04,-4.264571118831494870e-04,3.260092915997603313e-04,2.652213524833074189e-03
-2.119700748129675905e-01,-3.755873366964590510e-05,-2.145390039925619725e-03,-3.835610091025842827e-04,-4.087771587335505886e-04,4.211198141235161785e-04,2.554167197518094744e-03
-2.103075644222776042e-01,7.505818467212765910e-05,-1.989018035824812684e-03,-3.780988060269052653e-04,-1.384381082462355478e-04,3.030405798379876003e-04,2.127456147722194945e-03
-2.086450540315876734e-01,8.831253012456241613e-05,-1.367693650735312761e-03,-1.395303859426655357e-04,3.638677005003659697e-04,5.121795051377109331e-05,1.003825956819412403e-03
-2.069825436408977426e-01,-9.063373558571008459e-05,3.104099253947647662e-04,6.168496066263906563e-05,6.372224424507778439e-04,2.894893145022336967e-05,-9.476323671141119063e-04
-2.053200332502077841e-01,-2.002883118845111277e-04,1.696423465719351827e-03,-2.857441823030937300e-04,1.554437598826929109e-04,4.860324295673512651e-04,-1.851867241255983820e-03
-2.036575228595178533e-01,8.905757021297477927e-04,7.056012679748093711e-04,-9.793403944630685309e-04,-2.143143735695209745e-04,8.876464678619910842e-05,-4.912869120989773585e-04
-2.019950124688279225e-01,1.357134006705229545e-03,6.862041368930555307e-04,-1.827902759854449499e-04,1.424670048335781401e-03,-1.174343770584895807e-03,-2.110874201865293141e-03
-2.003325020781379640e-01,-9.004773128020171491e-04,-5.836419712782583199e-04,1.492804749626625016e-03,1.843062043142737992e-03,-5.923273985861676749e-04,-1.259420135386034876e-03
-1.986699916874480332e-01,1.331419431615799009e-03,1.577956049458155170e-03,-6.295533079186954595e-05,-1.991516989906518334e-03,-1.268464239497557600e-03,4.135608889976932680e-04
-1.970074812967581024e-01,-1.775763878214542402e-05,-9.034534375272856941e-04,-3.121366786493773304e-04,-1.158866709739360531e-03,3.298942741863930550e-04,2.062320114432285127e-03
-1.953449709060681438e-01,2.931011935403959878e-04,2.065103506545299186e-03,-6.546604687850954285e-04,-1.448398941805569343e-03,3.615593235744007927e-04,-6.167045737049476261e-04
-1.936824605153782131e-01,8.834720567258702584e-04,-4.171433654908518040e-04,-1.368273685596888001e-04,1.954108895903031422e-03,-7.466446535446813471e-04,-1.536965525362991988e-03
-1.920199501246882823e-01,5.862455350746365035e-04,1.746712011352464199e-04,8.634016603521199595e-04,4.595307682187723276e-04,-1.449647016632638064e-03,-6.342020263479981618e-04
-1.903574397339983237e-01,-4.882860168115010779e-04,-1.623767383592053005e-03,8.699086545264078651e-04,-2.640122797929543141e-04,-3.816227641944003324e-04,1.887779607666897723e-03
-1.886949293433083930e-01,7.225802034918349381e-04,4.475637579376243354e-04,-1.404572049739288842e-03,-1.278228861082404992e-03,6.819921056352429289e-04,8.306651013690827950e-04
-1.870324189526184622e-01,4.972643920886365976e-05,3.457323073787364667e-04,9.590803867975672414e-04,1.538690677054069386e-03,-1.008806685726448826e-03,-1.884423028891786620e-03
-1.853699085619285036e-01,-4.621496047385598160e-04,-1.536632263484893641e-03,1.353861671690881341e-03,-1.121027594502461446e-04,-8.917119911769910701e-04,1.648734957537155476e-03
-1.837073981712385728e-01,4.083713486343620858e-04,-1.222890351850395088e-03,-3.465321022985690114e-04,9.452723466016161539e-04,-6.183926386560401056e-05,2.776180168130306606e-04
-1.820448877805486421e-01,1.005612975860964431e-03,1.136926057076882626e-03,1.185063916779582893e-03,1.608777192246132678e-03,-2.190676756192555530e-03,-2.745703297963490198e-03
-1.803823773898586835e-01,6.004750532709601796e-04,1.345357673000608951e-03,-1.167373229197660178e-03,-2.161522911151907318e-03,5.668981019575358715e-04,8.161652189462071825e-04
-1.787198669991687527e-01,1.019653113362703478e-03,4.411879514587531501e-04,1.129123998426045938e-03,1.617292477509915715e-03,-2.148777020937631121e-03,-2.058480469333281559e-03
-1.770573566084788220e-01,5.931722738721917354e-04,2.071669210418876274e-03,-9.186357300765557454e-04,-2.443476806197560081e-03,3.254633565715758792e-04,3.718075721701198091e-04
-1.753948462177888357e-01,9.625559584007237213e-04,5.397199304962377060e-04,1.537670050668626942e-03,1.518492365579984446e-03,-2.500226049944154205e-03,-2.058212346806486542e-03
-1.737323358270989049e-01,4.672684964061174506e-04,9.438926800073043667e-04,-1.017191512566351097e-03,-1.096331866412243467e-03,5.499233530102953793e-04,1.524391801375384395e-04
-1.720698254364089741e-01,7.585838871472100342e-04,1.485229405410782005e-03,1.145351019320284269e-03,-1.798361074727650123e-04,-1.903934939039619856e-03,-1.305393365335384085e-03
-1.704073150457190156e-01,6.546997110890018234e-04,-1.168401449248658358e-04,1.278777366572225738e-03,3.390758161806090021e-03,-1.933477050925280771e-03,-3.273918025347172505e-03
-1.687448046550290848e-01,4.759013928279376415e-05,-1.273498408576798123e-03,-1.328545450912099746e-04,-2.897223080691155349e-05,8.526444535528199253e-05,1.302470635981040200e-03
-1.670822942643391540e-01,-8.769944603251311754e-05,-7.597349024784196599e-04,1.731972915077928388e-03,-2.836294761803806940e-04,-1.644273450733035880e-03,1.043364306027001883e-03
-1.654197838736491954e-01,5.745990178466775511e-04,2.305622018283857294e-04,2.398271262322004826e-03,2.178869788418673174e-03,-2.972870335903432526e-03,-2.409432050256212800e-03
-1.637572734829592647e-01,6.613069373060109779e-04,-3.094069913318768018e-04,1.262782698040865181e-03,3.298268573944510441e-03,-1.924089655090499562e-03,-2.988861585728613823e-03
-1.620947630922693339e-01,-5.133242026658657586e-05,5.990401756135466105e-05,4.962285452792536411e-04,1.671377941857265289e-03,-4.448960647926991641e-04,-1.731281951259197810e-03
-1.604322527015793753e-01,1.949911188089126224e-04,1.473402305716897285e-03,-6.085273633802401605e-04,-1.342772269565113393e-03,4.135362413201226772e-04,-1.306300489892444521e-04
-1.587697423108894446e-01,1.937764224445304162e-05,-1.142089347422601316e-03,-2.277636860036347244e-04,-7.367403853651116174e-04,2.083859358531503503e-04,1.878829707401640566e-03
-1.571072319201995138e-01,1.872698782126452910e-04,8.623575061364773583e-04,9.517360999672375144e-05,-1.704847634717323625e-03,-2.824436341513081317e-04,8.424900970047648902e-04
-1.554447215295095552e-01,5.111756221846952553e-05,-4.965544490953638325e-04,-2.344463268057483951e-04,-1.114338393829832335e-03,1.833286167236547470e-04,1.610892806496141624e-03
-1.537822111388196245e-01,9.116997415569566554e-05,9.069232077119696034e-04,-1.297175828546826004e-04,-1.303577831963110157e-03,3.854747277054482169e-05,3.966546070022682470e-04
-1.521197007481296937e-01,1.770109304044600873e-04,-1.033628473693682564e-03,-2.371122869004871347e-04,5.333545132888767781e-04,6.010135587675158320e-05,5.002739650978166308e-04
-1.504571903574397351e-01,-9.743431388192086429e-05,6.417654900107134077e-04,1.000560977128361895e-03,2.039917260407876718e-03,-9.031266976329277441e-04,-2.681682755882588195e-03
-1.487946799667498043e-01,-2.089034241661846814e-04,1.443882255843418022e-04,3.461247429936198383e-03,5.086109968141700605e-03,-3.252343964704418333e-03,-5.230498235347596538e-03
-1.471321695760598736e-01,4.399199078727808465e-04,8.262053690030551033e-04,3.049770565548504120e-03,1.925399354898510700e-03,-3.489690573793668982e-03,-2.751604807211711478e-03
-1.454696591853699150e-01,1.297086145893647235e-04,6.716229699220583335e-04,2.938052814925318224e-04,-1.561256074459177337e-03,-4.235139852677427541e-04,8.896330658124843938e-04
-1.438071487946799842e-01,2.190763841775772436e-05,-1.172888688263381640e-04,1.628816898700480298e-03,3.576547934719323009e-03,-1.650724827976790543e-03,-3.459259056875540854e-03
-1.421446384039899979e-01,2.745083507440376769e-04,5.664461192715171053e-04,3.656170230832200829e-03,3.043432004952818966e-03,-3.930678488761274458e-03,-3.609878209302851484e-03
-1.404821280133000672e-01,-9.407033831343447616e-07,9.670219527565788011e-04,-3.303703482249731316e-04,-1.076262804736975547e-03,3.313109253260115850e-04,1.092408361753478526e-04
-1.388196176226101641e-01,-3.336762948136853812e-04,-2.614888838167436281e-04,4.455445282908032656e-03,4.757307407873253083e-03,-4.121768951698134842e-03,-4.495818596663463812e-03
-1.371571072319201778e-01,-1.637170301299617492e-05,-7.774349611897947735e-04,-1.349904625180808893e-05,-3.780489493129544410e-04,2.987073088689395917e-05,1.155483897382503060e-03
-1.354945968412302471e-01,-2.092761016516536676e-05,1.739560324749081380e-04,4.435127767130619958e-03,4.479287086127037992e-03,-4.414200080276042826e-03,-4.653243203581141144e-03
-1.338320864505403163e-01,8.379719462776533123e-05,-5.291513417784933677e-04,7.290024446531817581e-04,2.053361371656760130e-03,-8.127995804221299636e-04,-1.524210017678876827e-03
-1.321695760598503577e-01,1.129292669984488517e-04,8.271646366227096512e-04,1.179888035387877121e-03,-9.437546280202809522e-04,-1.292817185970851490e-03,1.165899184437705315e-04
-1.305070656691604269e-01,9.408019861774363779e-05,-8.913420553522451856e-05,4.751934811055569252e-03,4.290699864373036070e-03,-4.846015028184047502e-03,-4.201565737438191228e-03
-1.288445552784704962e-01,-2.775007749192537343e-04,2.032668192612241431e-04,3.020052287598440355e-03,4.440493547307964792e-03,-2.742551672716087019e-03,-4.643760378931183555e-03
-1.271820448877805376e-01,-1.096746003019059834e-04,5.045830558205305610e-04,4.503559177971849792e-04,9.601096396892751890e-04,-3.406814249969913888e-04,-1.464692687168468689e-03
-1.255195344970906068e-01,4.368672843223231350e-06,-6.171762511561081055e-05,6.895094083375630234e-05,-8.324622081175559168e-04,-7.331967201984479487e-05,8.941798120358766290e-04
-1.238570241064006761e-01,-5.841188546803349757e-05,-5.383523934561477335e-04,7.532193072972703796e-04,-8.076147499094380507e-04,-6.948072855498255151e-04,1.345967089749663861e-03
-1.221945137157107175e-01,-1.229536377244030976e-04,-7.057039909927921833e-04,1.190359978462673940e-03,-4.917553833881394562e-04,-1.067406339871568299e-03,1.197459306580594572e-03
-1.205320033250207867e-01,-1.248015756872573184e-04,-7.301517504207370073e-04,9.411097590862893547e-04,-5.978347889880968567e-04,-8.163081311380881999e-04,1.327986477514108300e-03
-1.188694929343308559e-01,-6.666106373996727452e-05,-6.619645134839080829e-04,2.156706475098246756e-04,-7.354151164445427071e-04,-1.490095610933162007e-04,1.397379595777153982e-03
-1.172069825436408974e-01,9.648337545554996897e-06,-4.114091339180787248e-04,1.684014430997082812e-04,6.013894764335748003e-04,-1.780498433955335358e-04,-1.899803348018509503e-04
-1.155444721529509666e-01,-2.509585021981224073e-05,-3.059077179337369389e-05,2.562653124331626397e-03,4.409092496554023466e-03,-2.537557123091782607e-03,-4.378501711665749689e-03
-1.138819617622610358e-01,-2.306800220106940830e-04,-7.770596114828032502e-05,5.625666099448256574e-03,6.351106590088569613e-03,-5.394986271020529855e-03,-6.273400696312643118e-03
-1.122194513715710634e-01,-2.203883105089676775e-04,-6.071906784196005186e-04,2.806988430608114982e-03,1.030995225195016542e-03,-2.586600179235398755e-03,-4.238046459730973430e-04
-1.105569409808811326e-01,7.843534250756914461e-06,-1.983320592441919204e-04,4.713570212167561557e-04,1.213047256443959901e-03,-4.792005525847686798e-04,-1.014715182173751796e-03
-1.088944305901912157e-01,-2.513907543370379194e-04,-1.446834992178569099e-04,5.844094467831184581e-03,6.301716133051718689e-03,-5.592703535651000202e-03,-6.157032707532030143e-03
-1.072319201995012433e-01,-3.380530454286708592e-05,-3.718302558573478639e-04,2.400773910894993257e-04,-7.941466389172631944e-04,-2.062719138361535087e-04,1.165976860365302865e-03
-1.055694098088113125e-01,-2.296934695300645660e-04,-8.106710057647053408e-05,5.726325934760412295e-03,6.639879121706858574e-03,-5.496632468676487804e-03,-6.558812075498431961e-03
-1.039068994181213818e-01,-1.646842808682331960e-06,-1.549519419987438343e-04,2.342789223730434855e-07,-4.238401876653548079e-04,1.412703452552399597e-06,5.787921185572007972e-04
-1.022443890274314232e-01,-2.149030127087721981e-04,-3.390117418643901338e-04,5.328705335656103159e-03,4.352166732427284815e-03,-5.113802283478796618e-03,-4.013155094232371059e-03
-1.005818786367414924e-01,-1.242659663081881194e-04,8.090673958092540628e-05,3.569840729583995120e-03,5.278713482657965660e-03,-3.445574698151321336e-03,-5.359620217369695863e-03
-9.891936824605156164e-02,-1.396899603762873088e-07,-8.577063173777148383e-05,4.605464009044268892e-07,-3.656654274979848095e-04,-3.207932129933865895e-07,4.514360502133867178e-04
-9.725685785536160310e-02,-9.423641248627835296e-05,-3.261980739708187651e-04,2.427162269486138335e-03,5.603081263950526573e-04,-2.332925930122020652e-03,-2.341101415664955526e-04
-9.559434746467167232e-02,-1.775794565809759099e-04,-2.713650708058233099e-04,5.311252870561389283e-03,4.287713315766819230e-03,-5.133673474845390494e-03,-4.016348347389865452e-03
-9.393183707398169990e-02,-1.664362259722500844e-04,-1.303516395876610037e-04,6.115480165979458871e-03,6.276698030394337047e-03,-5.949043892408245604e-03,-6.146346466282969281e-03
-9.226932668329176912e-02,-1.193908073794742921e-04,-5.336319168724761497e-05,5.999419184655574444e-03,6.747062766071149076e-03,-5.880028392385439062e-03,-6.693699628882190250e-03
-9.060681629260183834e-02,-8.187050190062712500e-05,-3.392641169197127180e-05,6.005610708936015563e-03,6.746396901071432736e-03,-5.923740348693251612e-03,-6.712470542838318462e-03
-8.894430590191187980e-02,-6.374311590208491581e-05,-2.908023262237847191e-05,6.105012947453913874e-03,6.241241297521584429e-03,-6.041270007140386866e-03,-6.212161137498666864e-03
-8.728179551122194901e-02,-6.200201741930744508e-05,-1.635378501319963780e-05,5.213969626533476731e-03,4.168501473635238472e-03,-5.151967409736002423e-03,-4.152147786942647460e-03
-8.561928512053201823e-02,-7.082772078806885696e-05,-2.784591576962838790e-07,2.258976488031694263e-03,4.507858113002093472e-04,-2.188148710369985928e-03,-4.505074370633762692e-04
-8.395677472984205969e-02,-7.918457895985037739e-05,-2.805558286648015317e-06,5.078597506535942330e-06,-2.733472962436618277e-04,7.410599487389646356e-05,2.761528466981703379e-04
-8.229426433915212891e-02,-7.088691566377211236e-05,-3.697197444623563195e-05,3.739244164049915220e-03,5.302891497768244707e-03,-3.668357272204492148e-03,-5.265919516673260581e-03
-8.063175394846219812e-02,-3.988539614938737068e-05,-7.403780001627060625e-05,5.233087532883096138e-03,4.200429357088751245e-03,-5.193202189331502794e-03,-4.126391649403381851e-03
-7.896924355777222571e-02,-7.476196333324226242e-06,-6.051396748126992441e-05,-1.051348094693871360e-07,-3.415741155409535200e-04,7.581257411515274214e-06,4.020880739951519008e-04
-7.730673316708230880e-02,-6.292953086707259809e-07,-7.391372612925265165e-06,5.698541376650045898e-03,6.506449616374730856e-03,-5.697912167702656738e-03,-6.499058283452811835e-03
-7.564422277639237802e-02,-2.050174177366276639e-06,6.042552458486212671e-06,3.296707268125032009e-04,-7.507736106632936302e-04,-3.276205409006305302e-04,7.447310228173716854e-04
-7.398171238570240560e-02,1.502536158670615311e-05,5.912126266256692377e-06,5.758156774297196190e-03,6.285003779203912275e-03,-5.773182103723351055e-03,-6.290915953215458177e-03
