k_over_pi,rho_band0,rho_band1,rho_band2
-2.333333333333333093e-01,3.430659432855528435e-01,1.985636358831472104e-01,4.583704208312975314e-01
-2.305555555555555414e-01,3.288083753615215765e-01,2.016517229587761750e-01,4.695399016796945046e-01
-2.277777777777777457e-01,3.148627681201285888e-01,2.046753287874556737e-01,4.804619030924095480e-01
-2.250000000000000056e-01,3.012315533279155133e-01,2.076324029428203988e-01,4.911360437292612291e-01
-2.222222222222221821e-01,2.879167793870843206e-01,2.105220473464623487e-01,5.015611732664502220e-01
-2.194444444444444420e-01,2.749201376982834955e-01,2.133444999547776666e-01,5.117353623469370616e-01
-2.166666666666666186e-01,2.622429903509284621e-01,2.161011054933899278e-01,5.216559041556749765e-01
-2.138888888888888784e-01,2.498863987892954441e-01,2.187942749756381089e-01,5.313193262350632828e-01
-2.111111111111110827e-01,2.378511527579340867e-01,2.214274358328388037e-01,5.407214114092262491e-01
-2.083333333333333148e-01,2.261377986260842965e-01,2.240049744950179944e-01,5.498572268788983752e-01
-2.055555555555555192e-01,2.147466661063771876e-01,2.265321732024738743e-01,5.587211606911511863e-01
-2.027777777777777513e-01,2.036778923972348554e-01,2.290151427139228146e-01,5.673069648888378058e-01
-1.999999999999999556e-01,1.929314428693696126e-01,2.314607524194800259e-01,5.756078047111486962e-01
-1.972222222222221877e-01,1.825071275645346602e-01,2.338765591791737708e-01,5.836163132562920408e-01
-1.944444444444444475e-01,1.724046129607817168e-01,2.362707360021701342e-01,5.913246510370462339e-01
-1.916666666666666241e-01,1.626234286659575812e-01,2.386520014686019930e-01,5.987245698654423132e-01
-1.888888888888888840e-01,1.531629689161972674e-01,2.410295505833970620e-01,6.058074805004036723e-01
-1.861111111111110883e-01,1.440224889665611685e-01,2.434129875465535220e-01,6.125645234868883904e-01
-1.833333333333333204e-01,1.352010966567969708e-01,2.458122607317228536e-01,6.189866426114789544e-01
-1.805555555555555247e-01,1.266977396095800568e-01,2.482375999881965001e-01,6.250646604022244146e-01
-1.777777777777777568e-01,1.185111886650909163e-01,2.506994562224150180e-01,6.307893551124942322e-01
-1.749999999999999611e-01,1.106400182716361230e-01,2.532084430750722870e-01,6.361515386532913263e-01
-1.722222222222221932e-01,1.030825846343434854e-01,2.557752803889420390e-01,6.411421349767160160e-01
-1.694444444444443976e-01,9.583700247273529982e-02,2.584107390606719123e-01,6.457522584665917886e-01
-1.666666666666666574e-01,8.890112125351191941e-02,2.611255867866347780e-01,6.499732919598537606e-01
-1.638888888888888618e-01,8.227250174918356029e-02,2.639305341479819544e-01,6.537969641028348322e-01
-1.611111111111110938e-01,7.594839372889021500e-02,2.668361804334066223e-01,6.572154258377000957e-01
-1.583333333333332982e-01,6.992571551841166022e-02,2.698529585697875266e-01,6.602213259118002719e-01
-1.555555555555555303e-01,6.420103607613084074e-02,2.729910785213144897e-01,6.628078854025559741e-01
-1.527777777777777346e-01,5.877056012511668731e-02,2.762604685282053496e-01,6.649689713466773178e-01
-1.499999999999999667e-01,5.363011676327934796e-02,2.796707135876265182e-01,6.666991696490965902e-01
-1.472222222222221710e-01,4.877515184856146685e-02,2.832309906342092010e-01,6.679938575172295057e-01
-1.444444444444444031e-01,4.420072432917891009e-02,2.869499999573499882e-01,6.688492757134734124e-01
-1.416666666666666630e-01,3.990150656418550018e-02,2.908358924994208783e-01,6.692626009363963346e-01
-1.388888888888888673e-01,3.587178856133556998e-02,2.948961928155689471e-01,6.692320186230957813e-01
-1.361111111111110994e-01,3.210548595065129684e-02,2.991377176428825502e-01,6.687567964064642378e-01
-1.333333333333333037e-01,2.859615141600204205e-02,3.035664902260757914e-01,6.678373583579225725e-01
-1.305555555555555358e-01,2.533698922572434620e-02,3.081876507776032947e-01,6.664753599966771747e-01
-1.277777777777777402e-01,2.232087243797584164e-02,3.130053637110196130e-01,6.646737638510027413e-01
-1.249999999999999584e-01,1.954036230816542583e-02,3.180227225734391650e-01,6.624369151183950866e-01
-1.222222222222221766e-01,1.698772939439369481e-02,3.232416539100941288e-01,6.597706166955109586e-01
-1.194444444444443948e-01,1.465497584223620330e-02,3.286628216126196156e-01,6.566822025451494182e-01
-1.166666666666666546e-01,1.253385833140833495e-02,3.342855336205501904e-01,6.531806080480414556e-01
-1.138888888888888729e-01,1.061591118306266790e-02,3.401076531484514831e-01,6.492764356684861404e-01
-1.111111111111110911e-01,8.892469156304767808e-03,3.461255168809588834e-01,6.449820139627366888e-01
-1.083333333333333093e-01,7.354689504901605959e-03,3.523338627957491309e-01,6.403114476993513327e-01
-1.055555555555555275e-01,5.993572918856174270e-03,3.587257704184853013e-01,6.352806566626604257e-01
-1.027777777777777457e-01,4.799983039799028510e-03,3.652926163635380474e-01,6.299074005966658341e-01
-9.999999999999996392e-02,3.764664313364038308e-03,3.720240479501555342e-01,6.242112877364804913e-01
-9.722222222222218213e-02,2.878258025906895844e-03,3.789079774900117603e-01,6.182137644840797197e-01
-9.444444444444440034e-02,2.131316467476353053e-03,3.859305995082204510e-01,6.119380840243022757e-01
-9.166666666666666019e-02,1.514315269046398026e-03,3.930764326832875133e-01,6.054092520476627159e-01
-8.888888888888887840e-02,1.017664081294585368e-03,4.003283876780981410e-01,5.986539482406071366e-01
-8.611111111111109662e-02,6.317158971467249978e-04,4.076678613002835960e-01,5.917004228025726231e-01
-8.333333333333331483e-02,3.467754738325056884e-04,4.150748566031683962e-01,5.845783679229998864e-01
-8.055555555555553304e-02,1.531074858052000869e-04,4.225281276539571973e-01,5.773187648602365885e-01
-7.777777777777775126e-02,4.094524120805559939e-05,4.300053467985833766e-01,5.699537079602081668e-01
-7.499999999999996947e-02,5.010250680649110298e-07,4.374832913919480815e-01,5.625162075829825969e-01
-7.222222222222218768e-02,2.197939450599269368e-05,4.449380461889535510e-01,5.550399744165409599e-01
-6.944444444444440590e-02,9.559504538692546868e-05,4.523452169540270185e-01,5.475591880005847845e-01
-6.666666666666662411e-02,2.115971926966771644e-04,4.596801503862958937e-01,5.401082524210085722e-01
-6.388888888888887008e-02,3.603027492018908004e-04,4.669181552048028983e-01,5.327215420459930906e-01
-6.111111111111108829e-02,5.321409300770139515e-04,4.740347192109629071e-01,5.254331398589606739e-01
-5.833333333333330650e-02,7.177122231281916117e-04,4.810057173458810453e-01,5.182765704309900689e-01
-5.555555555555552472e-02,9.078648942106352059e-04,4.878076061758019888e-01,5.112845289299847718e-01
-5.277777777777774293e-02,1.093792269734640554e-03,4.944176008425705815e-01,5.044886068876935914e-01
-4.999999999999996808e-02,1.267153846003018971e-03,5.008138312698514616e-01,4.979190148841471930e-01
-4.722222222222218629e-02,1.420222675893730588e-03,5.069754752735604608e-01,4.916043020505502237e-01
-4.444444444444440451e-02,1.546060298180526637e-03,5.128828671368275138e-01,4.855710725649922122e-01
-4.166666666666662272e-02,1.638718496786534598e-03,5.185175811261257817e-01,4.798437003770861242e-01
-3.888888888888887563e-02,1.693464195567226035e-03,5.238624903003089583e-01,4.744440455041253890e-01
