series,t1,E,root_index,beta_real,beta_imag,abs_beta
transition,1.2018504251546631,0.5557114228456914,1,-0.4525473226660028,-0.2856966504829393,0.5351837584879964
transition,1.2018504251546631,0.5604208416833668,1,-0.45114077028954397,-0.2879125921732062,0.5351837584879964
transition,1.2018504251546631,0.5651302605210421,1,-0.4497223482727775,-0.290123189030723,0.5351837584879964
transition,1.2018504251546631,0.5698396793587175,1,-0.44829205661570337,-0.2923283895289698,0.5351837584879965
transition,1.2018504251546631,0.5745490981963928,1,-0.4468498953183216,-0.29452814195479365,0.5351837584879964
transition,1.2018504251546631,0.5792585170340682,1,-0.44539586438063206,-0.2967223944058952,0.5351837584879964
transition,1.2018504251546631,0.5839679358717436,1,-0.4439299638026349,-0.29891109478828204,0.5351837584879964
transition,1.2018504251546631,0.5886773547094188,1,-0.44245219358433,-0.301094190813693,0.5351837584879964
transition,1.2018504251546631,0.5933867735470942,1,-0.4409625537257176,-0.30327162999699075,0.5351837584879964
transition,1.2018504251546631,0.5980961923847695,1,-0.43946104422679744,-0.3054433596535221,0.5351837584879964
transition,1.2018504251546631,0.6028056112224449,1,-0.4379476650875696,-0.30760932689644516,0.5351837584879965
transition,1.2018504251546631,0.6075150300601203,1,-0.4364224163080341,-0.309769478634024,0.5351837584879964
transition,1.2018504251546631,0.6122244488977956,1,-0.4348852978881909,-0.3119237615668891,0.5351837584879964
transition,1.2018504251546631,0.616933867735471,1,-0.43333630982804006,-0.31407212218526326,0.5351837584879964
transition,1.2018504251546631,0.6216432865731463,1,-0.4317754521275816,-0.3162145067661516,0.5351837584879964
transition,1.2018504251546631,0.6263527054108217,1,-0.43020272478681537,-0.31835086137049734,0.5351837584879964
transition,1.2018504251546631,0.6310621242484971,1,-0.4286181278057415,-0.3204811318402989,0.5351837584879964
transition,1.2018504251546631,0.6357715430861723,1,-0.42702166118436,-0.32260526379569143,0.5351837584879964
transition,1.2018504251546631,0.6404809619238477,1,-0.4254133249226708,-0.32472320263198956,0.5351837584879964
transition,1.2018504251546631,0.645190380761523,1,-0.42379311902067396,-0.32683489351669126,0.5351837584879964
transition,1.2018504251546631,0.6498997995991984,1,-0.42216104347836947,-0.328940281386443,0.5351837584879964
transition,1.2018504251546631,0.6546092184368738,1,-0.4205170982957572,-0.33103931094396405,0.5351837584879964
transition,1.2018504251546631,0.6593186372745491,1,-0.41886128347283735,-0.33313192665492963,0.5351837584879964
transition,1.2018504251546631,0.6640280561122245,1,-0.41719359900960984,-0.33521807274481324,0.5351837584879964
transition,1.2018504251546631,0.6687374749498999,1,-0.41551404490607463,-0.33729769319568526,0.5351837584879964
transition,1.2018504251546631,0.6734468937875752,1,-0.41382262116223173,-0.3393707317429688,0.5351837584879964
transition,1.2018504251546631,0.6781563126252506,1,-0.41211932777808125,-0.3414371318721508,0.5351837584879964
transition,1.2018504251546631,0.6828657314629258,1,-0.410404164753623,-0.34349683681544885,0.5351837584879964
transition,1.2018504251546631,0.6875751503006012,1,-0.4086771320888571,-0.34554978954843096,0.5351837584879964
transition,1.2018504251546631,0.6922845691382766,1,-0.4069382297837836,-0.3475959327865886,0.5351837584879965
transition,1.2018504251546631,0.6969939879759519,1,-0.4051874578384024,-0.3496352089818629,0.5351837584879964
transition,1.2018504251546631,0.7017034068136273,1,-0.4034248162527134,-0.35166756031912083,0.5351837584879965
transition,1.2018504251546631,0.7064128256513026,1,-0.4016503050267169,-0.3536929287125815,0.5351837584879964
transition,1.2018504251546631,0.711122244488978,1,-0.3998639241604126,-0.35571125580219387,0.5351837584879964
transition,1.2018504251546631,0.7158316633266534,1,-0.39806567365380074,-0.3577224829499592,0.5351837584879964
transition,1.2018504251546631,0.7205410821643287,1,-0.39625555350688124,-0.35972655123620384,0.5351837584879964
transition,1.2018504251546631,0.725250501002004,1,-0.394433563719654,-0.36172340145579707,0.5351837584879964
transition,1.2018504251546631,0.7299599198396793,1,-0.3925997042921191,-0.3637129741143127,0.5351837584879964
transition,1.2018504251546631,0.7346693386773547,1,-0.39075397522427646,-0.3656952094241372,0.5351837584879964
transition,1.2018504251546631,0.7393787575150301,1,-0.3888963765161262,-0.3676700473005184,0.5351837584879964
transition,1.2018504251546631,0.7440881763527054,1,-0.3870269081676683,-0.369637427357557,0.5351837584879964
transition,1.2018504251546631,0.7487975951903808,1,-0.3851455701789028,-0.3715972889041387,0.5351837584879964
transition,1.2018504251546631,0.7535070140280562,1,-0.38325236254982953,-0.37354957093980456,0.5351837584879964
transition,1.2018504251546631,0.7582164328657315,1,-0.38134728528044864,-0.37549421215056056,0.5351837584879964
transition,1.2018504251546631,0.7629258517034069,1,-0.37943033837076,-0.37743115090462337,0.5351837584879964
transition,1.2018504251546631,0.7676352705410822,1,-0.37750152182076374,-0.3793603252481016,0.5351837584879964
transition,1.2018504251546631,0.7723446893787576,1,-0.37556083563045983,-0.3812816729006113,0.5351837584879964
transition,1.2018504251546631,0.777054108216433,1,-0.3736082797998482,-0.38319513125082416,0.5351837584879964
transition,1.2018504251546631,0.7817635270541082,1,-0.37164385432892894,-0.3851006373519471,0.5351837584879964
transition,1.2018504251546631,0.7864729458917836,1,-0.369667559217702,-0.38699812791713195,0.5351837584879964
transition,1.2018504251546631,0.7911823647294589,1,-0.3676793944661674,-0.3888875393148134,0.5351837584879964
transition,1.2018504251546631,0.7958917835671343,1,-0.3656793600743251,-0.3907688075639739,0.5351837584879964
transition,1.2018504251546631,0.8006012024048097,1,-0.36366745604217515,-0.3926418683293348,0.5351837584879965
transition,1.2018504251546631,0.805310621242485,1,-0.36164368236971756,-0.3945066569164694,0.5351837584879964
transition,1.2018504251546631,0.8100200400801604,1,-0.35960803905695227,-0.396363108266841,0.5351837584879964
transition,1.2018504251546631,0.8147294589178357,1,-0.35756052610387934,-0.39821115695275927,0.5351837584879964
transition,1.2018504251546631,0.819438877755511,1,-0.3555011435104987,-0.40005073717225653,0.5351837584879965
transition,1.2018504251546631,0.8241482965931864,1,-0.3534298912768104,-0.40188178274388103,0.5351837584879964
transition,1.2018504251546631,0.8288577154308617,1,-0.35134676940281445,-0.4037042271014059,0.5351837584879964
transition,1.2018504251546631,0.8335671342685371,1,-0.3492517778885108,-0.4055180032884513,0.5351837584879964
transition,1.2018504251546631,0.8382765531062124,1,-0.3471449167338996,-0.40732304395301766,0.5351837584879964
transition,1.2018504251546631,0.8429859719438878,1,-0.34502618593898055,-0.40911928134193093,0.5351837584879964
transition,1.2018504251546631,0.8476953907815632,1,-0.3428955855037539,-0.4109066472951926,0.5351837584879964
transition,1.2018504251546631,0.8524048096192385,1,-0.34075311542821957,-0.41268507324023784,0.5351837584879964
transition,1.2018504251546631,0.8571142284569139,1,-0.3385987757123776,-0.41445449018609637,0.5351837584879964
