t1,branch_id,band_index,real_E,imag_E,abs_E
0.6400000000000001,11,11,0.7289871358535206,0.0942526330708186,0.7350549660268283
0.6400000000000001,12,12,0.7289871358535206,-0.0942526330708186,0.7350549660268283
0.6400000000000001,13,13,0.6808933911202781,-0.29290756579290095,0.7412224039854669
0.6400000000000001,14,14,0.6808933911202781,0.29290756579290095,0.7412224039854669
0.6400000000000001,15,15,0.7420585454339823,-0.05787522582516985,0.7443120492212336
0.6400000000000001,16,16,0.7420585454339823,0.05787522582516985,0.7443120492212336
0.6400000000000001,17,17,0.6771248394799797,-0.3212316101776532,0.7494583348112929
0.6400000000000001,18,18,0.6771248394799797,0.3212316101776532,0.7494583348112929
0.6400000000000001,19,19,0.7560208601533003,-0.021004049351913027,0.7563125749821391
0.6400000000000001,20,20,0.7560208601533003,0.021004049351913027,0.7563125749821391
0.6400000000000001,21,21,0.6741948537465466,-0.3479433245375222,0.7586852166139465
0.6400000000000001,22,22,0.6741948537465466,0.3479433245375222,0.7586852166139465
0.6400000000000001,23,23,0.6719629845240214,-0.3730222466603802,0.7685569914287345
0.6400000000000001,24,24,0.6719629845240214,0.3730222466603802,0.7685569914287345
0.6400000000000001,25,25,0.6703031034459107,0.3964687472449072,0.7787770656812932
0.6400000000000001,26,26,0.6703031034459107,-0.3964687472449072,0.7787770656812932
0.6400000000000001,27,27,0.7843230150871653,1.573181356633346e-36,0.7843230150871653
0.6400000000000001,28,28,0.6691050837402398,0.4182977716141324,0.789097356999998
0.6400000000000001,29,29,0.6691050837402398,-0.4182977716141324,0.789097356999998
0.6400000000000001,30,30,0.6682747276225262,-0.43853364227704655,0.7993139977428984
0.6400000000000001,31,31,0.6682747276225262,0.43853364227704655,0.7993139977428984
0.6400000000000001,32,32,0.6677326711234991,0.45720603277279787,0.8092615624688743
0.6400000000000001,33,33,0.6677326711234991,-0.45720603277279787,0.8092615624688743
0.6400000000000001,34,34,0.6674127934808844,0.4743470101403127,0.8188070120187123
0.6400000000000001,35,35,0.6674127934808844,-0.4743470101403127,0.8188070120187123
0.6400000000000001,36,36,0.6672604721049356,0.4899889578740512,0.8278440169936606
0.6400000000000001,37,37,0.6672604721049356,-0.4899889578740512,0.8278440169936606
0.6400000000000001,38,38,0.831688294824808,4.650757472709671e-36,0.831688294824808
0.6400000000000001,39,39,0.6672308826104013,0.5041631788223939,0.8362879657087959
0.6400000000000001,40,40,0.6672308826104013,-0.5041631788223939,0.8362879657087959
0.6400000000000001,41,41,0.6672874472222018,0.5168989994461931,0.8440717462685255
0.6400000000000001,42,42,0.6672874472222018,-0.5168989994461931,0.8440717462685255
0.6400000000000001,43,43,0.6674004747823744,0.5282232303581624,0.8511422764906882
0.6400000000000001,44,44,0.6674004747823744,-0.5282232303581624,0.8511422764906882
0.6400000000000001,45,45,0.6675460009031484,0.538159871605387,0.8574577020052434
0.6400000000000001,46,46,0.6675460009031484,-0.538159871605387,0.8574577020052434
0.6400000000000001,47,47,0.6677048186107135,-0.5467299799914075,0.8629851654677331
0.6400000000000001,48,48,0.6677048186107135,0.5467299799914075,0.8629851654677331
0.6400000000000001,49,49,0.6678616816779759,-0.5539516386454503,0.8676990514064848
0.6400000000000001,50,50,0.6678616816779759,0.5539516386454503,0.8676990514064848
0.6400000000000001,51,51,0.6680046604919576,-0.5598399864170294,0.8715796216240919
0.6400000000000001,52,52,0.6680046604919576,0.5598399864170294,0.8715796216240919
0.6400000000000001,53,53,0.6681246310825821,-0.5644072774570194,0.8746119696789436
0.6400000000000001,54,54,0.6681246310825821,0.5644072774570194,0.8746119696789436
0.6400000000000001,55,55,0.8761331292769098,-1.1734672880106351e-35,0.8761331292769098
0.6400000000000001,56,56,0.6682148802756716,0.5676629505761405,0.8767852369187336
0.6400000000000001,57,57,0.6682148802756716,-0.5676629505761405,0.8767852369187336
0.6400000000000001,58,58,0.6682708129356034,0.5696136945681114,0.878092045551687
0.6400000000000001,59,59,0.6682708129356034,-0.5696136945681114,0.878092045551687
0.6400000000000001,60,60,0.9178243285297659,-4.791314718859996e-36,0.9178243285297659
0.6400000000000001,61,61,0.9572453180411139,2.0173165785717844e-36,0.9572453180411139
