curve,t1,theta,beta_real,beta_imag,abs_beta
C_beta,1.0,3.3078607884594478,-0.4410461927165497,-0.07401524093209566,0.44721359549995804
C_beta,1.0,3.3253626973930954,-0.43968330263473787,-0.08172266138721594,0.44721359549995804
C_beta,1.0,3.3428646063267435,-0.4381857336013948,-0.08940504945587548,0.44721359549995804
C_beta,1.0,3.360366515260391,-0.43655394433538935,-0.09706005195348819,0.44721359549995804
C_beta,1.0,3.377868424194039,-0.43478843466845535,-0.10468532408391538,0.44721359549995804
C_beta,1.0,3.395370333127687,-0.43288974539208835,-0.11227853015769738,0.447213595499958
C_beta,1.0,3.4128722420613347,-0.4308584580918968,-0.11983734430749549,0.4472135954999579
C_beta,1.0,3.4303741509949828,-0.4286951949694567,-0.12735945120052758,0.44721359549995804
C_beta,1.0,3.4478760599286304,-0.4264006186517258,-0.13484254674777377,0.447213595499958
C_beta,1.0,3.4653779688622786,-0.423975431988075,-0.14228433880974117,0.447213595499958
C_beta,1.0,3.4828798777959262,-0.4214203778349995,-0.14968254789856525,0.447213595499958
C_beta,1.0,3.5003817867295743,-0.4187362388285747,-0.15703490787623903,0.4472135954999579
C_beta,1.0,3.517883695663222,-0.4159238371447282,-0.1643391666487501,0.447213595499958
C_beta,1.0,3.53538560459687,-0.41298403424739943,-0.17159308685591862,0.4472135954999579
C_beta,1.0,3.552887513530518,-0.4099177306246662,-0.1787944465567196,0.44721359549995804
C_beta,1.0,3.5703894224641655,-0.40672586551291623,-0.18594103990988448,0.44721359549995804
C_beta,1.0,3.5878913313978136,-0.4034094166091511,-0.19303067784956982,0.447213595499958
C_beta,1.0,3.6053932403314612,-0.3999693997715092,-0.20006118875588721,0.44721359549995804
C_beta,1.0,3.6228951492651094,-0.3964068687080982,-0.20703041912009115,0.4472135954999579
C_beta,1.0,3.640397058198757,-0.39272291465423614,-0.21393623420421704,0.447213595499958
C_beta,1.0,3.657898967132405,-0.3889186660381948,-0.22077651869497164,0.44721359549995804
C_beta,1.0,3.675400876066053,-0.38499528813555317,-0.22754917735167143,0.447213595499958
