t1,W,expected_W,wind_a,wind_b,n_beta
1.7999999999999998,0,0,0.0,0.0,150
1.8200000000000003,0,0,0.0,0.0,150
1.8399999999999999,0,0,0.0,0.0,150
1.8600000000000003,0,0,0.0,0.0,150
1.88,0,0,0.0,0.0,150
1.9000000000000004,0,0,0.0,0.0,150
1.92,0,0,0.0,0.0,150
1.9400000000000004,0,0,0.0,0.0,150
1.96,0,0,0.0,0.0,150
1.9800000000000004,0,0,0.0,0.0,150
2.0,0,0,0.0,0.0,150
2.0200000000000005,0,0,0.0,0.0,150
2.04,0,0,0.0,0.0,150
2.0600000000000005,0,0,0.0,0.0,150
2.08,0,0,0.0,0.0,150
2.1000000000000005,0,0,0.0,0.0,150
2.12,0,0,0.0,0.0,150
2.1399999999999997,0,0,0.0,0.0,150
2.16,0,0,0.0,0.0,150
2.1799999999999997,0,0,0.0,0.0,150
2.2,0,0,0.0,0.0,150
2.2199999999999998,0,0,0.0,0.0,150
2.24,0,0,0.0,0.0,150
2.26,0,0,0.0,0.0,150
2.2800000000000002,0,0,0.0,0.0,150
2.3,0,0,0.0,0.0,150
2.3200000000000003,0,0,0.0,0.0,150
2.34,0,0,0.0,0.0,150
2.3600000000000003,0,0,0.0,0.0,150
2.38,0,0,0.0,0.0,150
2.4000000000000004,0,0,0.0,0.0,150
2.42,0,0,0.0,0.0,150
2.4400000000000004,0,0,0.0,0.0,150
2.46,0,0,0.0,0.0,150
2.4800000000000004,0,0,0.0,0.0,150
2.5,0,0,0.0,0.0,150
2.5200000000000005,0,0,0.0,0.0,150
2.54,0,0,0.0,0.0,150
2.5600000000000005,0,0,0.0,0.0,150
2.58,0,0,0.0,0.0,150
2.6000000000000005,0,0,0.0,0.0,150
2.62,0,0,0.0,0.0,150
2.6399999999999997,0,0,0.0,0.0,150
2.66,0,0,0.0,0.0,150
2.6799999999999997,0,0,0.0,0.0,150
2.7,0,0,0.0,0.0,150
2.7199999999999998,0,0,0.0,0.0,150
2.74,0,0,0.0,0.0,150
2.76,0,0,0.0,0.0,150
2.7800000000000002,0,0,0.0,0.0,150
2.8,0,0,0.0,0.0,150
2.8200000000000003,0,0,0.0,0.0,150
2.84,0,0,0.0,0.0,150
2.8600000000000003,0,0,0.0,0.0,150
2.88,0,0,0.0,0.0,150
2.9000000000000004,0,0,0.0,0.0,150
2.92,0,0,0.0,0.0,150
2.9400000000000004,0,0,0.0,0.0,150
2.96,0,0,0.0,0.0,150
2.9800000000000004,0,0,0.0,0.0,150
3.0,0,0,0.0,0.0,150
