t1,branch_id,band_index,real_E,imag_E,abs_E
1.7199999999999998,67,67,2.496292347158513,0.0,2.496292347158513
1.7199999999999998,68,69,-2.519845803294276,-0.0,2.519845803294276
1.7199999999999998,69,68,2.519845803294276,0.0,2.519845803294276
1.7199999999999998,70,70,-2.5398467963050453,-0.0,2.5398467963050453
1.7199999999999998,71,71,2.5398467963050453,0.0,2.5398467963050453
1.7199999999999998,72,72,-2.556259709648358,-0.0,2.556259709648358
1.7199999999999998,73,73,2.556259709648358,0.0,2.556259709648358
1.7199999999999998,74,74,-2.569055443625466,-0.0,2.569055443625466
1.7199999999999998,75,75,2.569055443625466,0.0,2.569055443625466
1.7199999999999998,76,76,-2.5782113888826284,-0.0,2.5782113888826284
1.7199999999999998,77,77,2.5782113888826284,0.0,2.5782113888826284
1.7199999999999998,78,78,-2.5837114078581407,-0.0,2.5837114078581407
1.7199999999999998,79,79,2.5837114078581407,0.0,2.5837114078581407
1.7400000000000002,0,0,0.6143618609106514,0.0,0.6143618609106514
1.7400000000000002,1,1,-0.6143618609106514,-0.0,0.6143618609106514
1.7400000000000002,2,10,-0.8268225794262951,-0.0,0.8268225794262951
1.7400000000000002,3,11,0.8268225794262951,0.0,0.8268225794262951
1.7400000000000002,4,16,-1.0350275344091073,-0.0,1.0350275344091073
1.7400000000000002,5,17,1.0350275344091073,0.0,1.0350275344091073
1.7400000000000002,6,23,-1.2620905238553137,-0.0,1.2620905238553137
1.7400000000000002,7,22,1.2620905238553137,0.0,1.2620905238553137
1.7400000000000002,8,21,-1.1855875483784704,-0.0,1.1855875483784704
1.7400000000000002,9,25,1.3386905432032727,0.0,1.3386905432032727
1.7400000000000002,10,24,-1.3386905432032727,-0.0,1.3386905432032727
1.7400000000000002,11,20,1.1855875483784704,0.0,1.1855875483784704
1.7400000000000002,12,7,-0.7132380937102896,-0.0,0.7132380937102896
1.7400000000000002,13,6,0.7132380937102896,0.0,0.7132380937102896
1.7400000000000002,14,18,-1.109693892973776,-0.0,1.109693892973776
1.7400000000000002,15,19,1.109693892973776,0.0,1.109693892973776
1.7400000000000002,16,27,-1.4149574728812713,-0.0,1.4149574728812713
1.7400000000000002,17,8,0.7665032679450273,0.0,0.7665032679450273
1.7400000000000002,18,9,-0.7665032679450273,-0.0,0.7665032679450273
1.7400000000000002,19,26,1.4149574728812713,0.0,1.4149574728812713
1.7400000000000002,20,14,-0.9623419428020871,-0.0,0.9623419428020871
1.7400000000000002,21,15,0.9623419428020871,0.0,0.9623419428020871
1.7400000000000002,22,13,-0.8925619108259788,-0.0,0.8925619108259788
1.7400000000000002,23,12,0.8925619108259788,0.0,0.8925619108259788
1.7400000000000002,24,29,-1.490525180727109,-0.0,1.490525180727109
1.7400000000000002,25,28,1.490525180727109,0.0,1.490525180727109
1.7400000000000002,26,5,-0.6688728521986363,-0.0,0.6688728521986363
1.7400000000000002,27,4,0.6688728521986363,0.0,0.6688728521986363
1.7400000000000002,28,30,-1.5650777507163667,-0.0,1.5650777507163667
1.7400000000000002,29,31,1.5650777507163667,0.0,1.5650777507163667
1.7400000000000002,30,32,-1.638339066682198,-0.0,1.638339066682198
1.7400000000000002,31,33,1.638339066682198,0.0,1.638339066682198
1.7400000000000002,32,3,-0.6353302959408846,-0.0,0.6353302959408846
1.7400000000000002,33,2,0.6353302959408846,0.0,0.6353302959408846
1.7400000000000002,34,34,-1.7100649498772726,-0.0,1.7100649498772726
1.7400000000000002,35,35,1.7100649498772726,0.0,1.7100649498772726
1.7400000000000002,36,36,-1.7800372142362801,-0.0,1.7800372142362801
1.7400000000000002,37,37,1.7800372142362801,0.0,1.7800372142362801
1.7400000000000002,38,39,-1.8480591570336928,-0.0,1.8480591570336928
1.7400000000000002,39,38,1.8480591570336928,0.0,1.8480591570336928
1.7400000000000002,40,40,-1.9139521245609028,-0.0,1.9139521245609028
1.7400000000000002,41,41,1.9139521245609028,0.0,1.9139521245609028
1.7400000000000002,42,42,-1.9775528852615816,-0.0,1.9775528852615816
1.7400000000000002,43,43,1.9775528852615816,0.0,1.9775528852615816
1.7400000000000002,44,44,-2.0387116119511224,-0.0,2.0387116119511224
1.7400000000000002,45,45,2.0387116119511224,0.0,2.0387116119511224
1.7400000000000002,46,48,-2.153161692190742,-0.0,2.153161692190742
1.7400000000000002,47,49,2.153161692190742,0.0,2.153161692190742
1.7400000000000002,48,52,-2.2563208666872243,-0.0,2.2563208666872243
1.7400000000000002,49,53,2.2563208666872243,0.0,2.2563208666872243
1.7400000000000002,50,57,-2.3473526630959833,-0.0,2.3473526630959833
1.7400000000000002,51,56,2.3473526630959833,0.0,2.3473526630959833
1.7400000000000002,52,55,-2.3033998084796226,-0.0,2.3033998084796226
1.7400000000000002,53,51,2.206208086384707,0.0,2.206208086384707
1.7400000000000002,54,50,-2.206208086384707,-0.0,2.206208086384707
1.7400000000000002,55,54,2.3033998084796226,0.0,2.3033998084796226
1.7400000000000002,56,47,-2.0972903257903446,-0.0,2.0972903257903446
1.7400000000000002,57,46,2.0972903257903446,0.0,2.0972903257903446
1.7400000000000002,58,59,-2.3880948141270095,-0.0,2.3880948141270095
1.7400000000000002,59,58,2.3880948141270095,0.0,2.3880948141270095
1.7400000000000002,60,60,-2.4255490099250987,-0.0,2.4255490099250987
1.7400000000000002,61,61,2.4255490099250987,0.0,2.4255490099250987
1.7400000000000002,62,62,-2.4596451558418875,-0.0,2.4596451558418875
1.7400000000000002,63,63,2.4596451558418875,0.0,2.4596451558418875
1.7400000000000002,64,64,-2.4903201533504253,-0.0,2.4903201533504253
1.7400000000000002,65,65,2.4903201533504253,0.0,2.4903201533504253
1.7400000000000002,66,66,-2.517517775986798,-0.0,2.517517775986798
1.7400000000000002,67,67,2.517517775986798,0.0,2.517517775986798
1.7400000000000002,68,69,-2.541188574202041,-0.0,2.541188574202041
1.7400000000000002,69,68,2.541188574202041,0.0,2.541188574202041
1.7400000000000002,70,70,-2.561289802900765,-0.0,2.561289802900765
1.7400000000000002,71,71,2.561289802900765,0.0,2.561289802900765
1.7400000000000002,72,72,-2.5777853667742185,-0.0,2.5777853667742185
1.7400000000000002,73,73,2.5777853667742185,0.0,2.5777853667742185
1.7400000000000002,74,74,-2.590645779599864,-0.0,2.590645779599864
1.7400000000000002,75,75,2.590645779599864,0.0,2.590645779599864
1.7400000000000002,76,76,-2.5998481345428073,-0.0,2.5998481345428073
