t1,branch_id,band_index,real_E,imag_E,abs_E
1.0200000000000005,34,36,-0.8960364193268499,-0.46093764979488483,1.0076431817655067
1.0200000000000005,35,37,0.8960364193268499,0.46093764979488483,1.0076431817655067
1.0200000000000005,36,61,-0.9776996509339929,-0.5980244125752968,1.1460932795686747
1.0200000000000005,37,59,0.967999427398192,-0.5828277085513416,1.1299163815515
1.0200000000000005,38,53,-0.9566326701203015,0.5647119495681379,1.1108760738833763
1.0200000000000005,39,52,0.9566326701203015,-0.5647119495681379,1.1108760738833763
1.0200000000000005,40,48,-0.9436589818839402,-0.5435887484694762,1.0890275485738852
1.0200000000000005,41,49,0.9436589818839402,0.5435887484694762,1.0890275485738852
1.0200000000000005,42,17,-0.8012724949920664,0.24714537293506134,0.838521583856982
1.0200000000000005,43,16,0.8012724949920664,-0.24714537293506134,0.838521583856982
1.0200000000000005,44,44,-0.9291577852964413,-0.5193477217058847,1.0644511477837209
1.0200000000000005,45,45,0.9291577852964413,0.5193477217058847,1.0644511477837209
1.0200000000000005,46,41,-0.9132355451041638,-0.49185268737483906,1.0372647814900255
1.0200000000000005,47,40,0.9132355451041638,0.49185268737483906,1.0372647814900255
1.0200000000000005,48,50,-0.9436589818839405,0.5435887484694764,1.0890275485738856
1.0200000000000005,49,51,0.9436589818839405,-0.5435887484694764,1.0890275485738856
1.0200000000000005,50,20,-0.8197847640176565,0.29863348036636983,0.8724843923596661
1.0200000000000005,51,21,0.8197847640176565,-0.29863348036636983,0.8724843923596661
1.0200000000000005,52,14,-0.7846520204578441,-0.19098004944880964,0.8075593925501992
1.0200000000000005,53,15,0.7846520204578441,0.19098004944880964,0.8075593925501992
1.0200000000000005,54,58,-0.967999427398192,0.5828277085513416,1.1299163815515
1.0200000000000005,55,62,0.9776996509339939,-0.5980244125752976,1.146093279568676
1.0200000000000005,56,63,-0.9776996509339939,0.5980244125752976,1.146093279568676
1.0200000000000005,57,35,0.8777579953611726,-0.42640340298822754,0.9758478162605095
1.0200000000000005,58,56,-0.9679994273981912,-0.5828277085513411,1.1299163815514992
1.0200000000000005,59,67,0.9856886425636956,0.6103717302180242,1.1593686855907424
1.0200000000000005,60,64,-0.9856886425636951,0.6103717302180235,1.1593686855907415
1.0200000000000005,61,32,0.8777579953611714,0.42640340298822654,0.975847816260508
