register_qubits,unitary_sample,control_group_registers,complement_registers,control_group_size,negativity,minimum_partial_transpose_eigenvalue
4,2,0,1;2;3,1,0.008676967201655103,-0.005177396225364132
4,2,1,0;2;3,1,0.006456466173594771,-0.004947255882630279
4,2,2,0;1;3,1,0.006056717923982878,-0.0043843234992729995
4,2,3,0;1;2,1,0.006795597711472964,-0.003888957077439377
4,2,0;1,2;3,2,0.008334609361515876,-0.005409830446463974
4,2,0;2,1;3,2,0.011818177390551396,-0.00902856469661926
4,2,0;3,1;2,2,0.010542793491866858,-0.006899297219038962
4,2,1;2,0;3,2,0.010542793491866854,-0.00689929721903897
4,2,1;3,0;2,2,0.011818177390551373,-0.00902856469661925
4,2,2;3,0;1,2,0.008334609361515742,-0.005409830446463902
4,2,0;1;2,3,3,0.006795597711472949,-0.0038889570774393633
4,2,0;1;3,2,3,0.006056717923982887,-0.004384323499273008
4,2,0;2;3,1,3,0.006456466173594793,-0.004947255882630291
4,2,1;2;3,0,3,0.008676967201655048,-0.005177396225364138
5,0,,0;1;2;3;4,0,0.0,0.004687499999999984
5,0,0,1;2;3;4,1,0.00945275461132795,-0.0028897431125326748
5,0,1,0;2;3;4,1,0.00931538854072215,-0.003049183158284957
5,0,2,0;1;3;4,1,0.0070556064476252406,-0.0029848072044521465
5,0,3,0;1;2;4,1,0.008022313524590033,-0.0027242184378186113
5,0,4,0;1;2;3,1,0.008689456766314425,-0.0026197941676431025
5,0,0;1,2;3;4,2,0.012112920406188448,-0.004479333428835035
5,0,0;2,1;3;4,2,0.012607843935433148,-0.0044414807320152985
5,0,0;3,1;2;4,2,0.01251308262321565,-0.004798679485757104
5,0,0;4,1;2;3,2,0.012551592279019606,-0.004286503007766777
5,0,1;2,0;3;4,2,0.012443028499576127,-0.004270864584615204
5,0,1;3,0;2;4,2,0.01324090362685558,-0.003768153438622711
5,0,1;4,0;2;3,2,0.013086976761330813,-0.00454589097331581
5,0,2;3,0;1;4,2,0.01217839051943438,-0.003637568134595898
5,0,2;4,0;1;3,2,0.011830174811836004,-0.005017449492425411
5,0,3;4,0;1;2,2,0.012887911479050216,-0.003932447688133629
5,0,0;1;2,3;4,3,0.012887911479050197,-0.003932447688133663
5,0,0;1;3,2;4,3,0.011830174811836097,-0.00501744949242542
5,0,0;1;4,2;3,3,0.012178390519434342,-0.0036375681345958834
5,0,0;2;3,1;4,3,0.013086976761330747,-0.004545890973315866
5,0,0;2;4,1;3,3,0.013240903626855637,-0.0037681534386227082
5,0,0;3;4,1;2,3,0.012443028499576118,-0.004270864584615171
5,0,1;2;3,0;4,3,0.012551592279019565,-0.004286503007766799
5,0,1;2;4,0;3,3,0.012513082623215576,-0.004798679485757143
5,0,1;3;4,0;2,3,0.012607843935433159,-0.004441480732015296
5,0,2;3;4,0;1,3,0.012112920406188407,-0.004479333428835017
5,0,0;1;2;3,4,4,0.008689456766314404,-0.0026197941676431094
5,0,0;1;2;4,3,4,0.008022313524590038,-0.0027242184378186117
5,0,0;1;3;4,2,4,0.007055606447625286,-0.0029848072044522025
5,0,0;2;3;4,1,4,0.00931538854072219,-0.0030491831582849602
5,0,1;2;3;4,0,4,0.009452754611327911,-0.0028897431125326674
5,1,,0;1;2;3;4,0,0.0,0.004687499999999978
