register_qubits,unitary_sample,control_group_registers,complement_registers,control_group_size,negativity,minimum_partial_transpose_eigenvalue
6,1,1;2;3;5,0;4,4,0.012964790592740878,-0.002392557576748408
6,1,1;2;4;5,0;3,4,0.013219908394587315,-0.002374286805498215
6,1,1;3;4;5,0;2,4,0.013815559715134108,-0.0023363219812620193
6,1,2;3;4;5,0;1,4,0.012668351485344164,-0.0025306273801075333
6,1,0;1;2;3;4,5,5,0.008561892715295243,-0.001576218478580765
6,1,0;1;2;3;5,4,5,0.008040388616951406,-0.0014398149192139528
6,1,0;1;2;4;5,3,5,0.007897222710368329,-0.001474006457516504
6,1,0;1;3;4;5,2,5,0.007522116624163195,-0.0015741892696097366
6,1,0;2;3;4;5,1,5,0.008078371694416919,-0.0014436483375547284
6,1,1;2;3;4;5,0,5,0.008217284094283848,-0.0016980819641042668
6,2,,0;1;2;3;4;5,0,0.0,0.002343749999999975
6,2,0,1;2;3;4;5,1,0.007628040487179083,-0.0015139006238854748
6,2,1,0;2;3;4;5,1,0.007728628439367453,-0.0015020897979789553
6,2,2,0;1;3;4;5,1,0.008850877197284116,-0.0015598871664085762
6,2,3,0;1;2;4;5,1,0.007828778147027737,-0.0014814449488821208
6,2,4,0;1;2;3;5,1,0.007951450035427157,-0.0015374301220763768
6,2,5,0;1;2;3;4,1,0.007621049213795301,-0.0015055925565794236
6,2,0;1,2;3;4;5,2,0.011740179272456745,-0.0024341145418435624
6,2,0;2,1;3;4;5,2,0.014185825683187579,-0.002691253321299404
6,2,0;3,1;2;4;5,2,0.012692633526943463,-0.0022706317928562108
6,2,0;4,1;2;3;5,2,0.012345541858189491,-0.002224092186380951
6,2,0;5,1;2;3;4,2,0.013144424609174478,-0.002722954067327195
6,2,1;2,0;3;4;5,2,0.011781761582722747,-0.0022914162609195196
6,2,1;3,0;2;4;5,2,0.01281352629877178,-0.0023395924497649255
6,2,1;4,0;2;3;5,2,0.01285404434846854,-0.0024964202553167843
6,2,1;5,0;2;3;4,2,0.013143968565202295,-0.002369336336608471
6,2,2;3,0;1;4;5,2,0.013512515208481249,-0.0027267950151070074
6,2,2;4,0;1;3;5,2,0.013443385524370478,-0.002634342679361978
6,2,2;5,0;1;3;4,2,0.012166490855854301,-0.0022582821328307055
6,2,3;4,0;1;2;5,2,0.012251775127248524,-0.002380804001892405
6,2,3;5,0;1;2;4,2,0.01201698315906727,-0.0021619731345166363
6,2,4;5,0;1;2;3,2,0.012966494537327568,-0.0024807872657943678
6,2,0;1;2,3;4;5,3,0.012940098228616331,-0.0026369398034153378
6,2,0;1;3,2;4;5,3,0.013679133597271256,-0.0027399072677623303
6,2,0;1;4,2;3;5,3,0.013564612985264766,-0.002634709636037194
6,2,0;1;5,2;3;4,3,0.013756885888218825,-0.002644866995254838
6,2,0;2;3,1;4;5,3,0.013771217708381089,-0.0025438460749967104
6,2,0;2;4,1;3;5,3,0.013802067359206848,-0.002341153981308138
6,2,0;2;5,1;3;4,3,0.01364387022693522,-0.0028072215374824083
6,2,0;3;4,1;2;5,3,0.01343568288608203,-0.0026294686297839917
6,2,0;3;5,1;2;4,3,0.013074135896008468,-0.002396922914132102
6,2,0;4;5,1;2;3,3,0.014125611233140356,-0.002940127831959941
6,2,1;2;3,0;4;5,3,0.014125611233140439,-0.0029401278319599617
6,2,1;2;4,0;3;5,3,0.013074135896008351,-0.0023969229141320605
6,2,1;2;5,0;3;4,3,0.01343568288608214,-0.002629468629783992
6,2,1;3;4,0;2;5,3,0.013643870226934973,-0.0028072215374823927
6,2,1;3;5,0;2;4,3,0.013802067359206895,-0.0023411539813081193
6,2,1;4;5,0;2;3,3,0.013771217708380988,-0.002543846074996678
6,2,2;3;4,0;1;5,3,0.013756885888218773,-0.002644866995254836
6,2,2;3;5,0;1;4,3,0.01356461298526467,-0.0026347096360371694
6,2,2;4;5,0;1;3,3,0.013679133597271019,-0.0027399072677622704
6,2,3;4;5,0;1;2,3,0.012940098228616337,-0.002636939803415348
6,2,0;1;2;3,4;5,4,0.012966494537327563,-0.0024807872657943934
6,2,0;1;2;4,3;5,4,0.012016983159067232,-0.002161973134516652
6,2,0;1;2;5,3;4,4,0.0122517751272485,-0.0023808040018924066
6,2,0;1;3;4,2;5,4,0.012166490855854334,-0.0022582821328307034
6,2,0;1;3;5,2;4,4,0.013443385524370455,-0.0026343426793619907
6,2,0;1;4;5,2;3,4,0.013512515208481195,-0.002726795015107011
6,2,0;2;3;4,1;5,4,0.013143968565202429,-0.0023693363366085298
6,2,0;2;3;5,1;4,4,0.012854044348468431,-0.0024964202553167734
6,2,0;2;4;5,1;3,4,0.01281352629877173,-0.002339592449764876
6,2,0;3;4;5,1;2,4,0.01178176158272272,-0.002291416260919524
6,2,1;2;3;4,0;5,4,0.013144424609174395,-0.0027229540673272086
6,2,1;2;3;5,0;4,4,0.01234554185818971,-0.002224092186380949
6,2,1;2;4;5,0;3,4,0.012692633526943504,-0.0022706317928562142
6,2,1;3;4;5,0;2,4,0.014185825683187669,-0.002691253321299488
6,2,2;3;4;5,0;1,4,0.011740179272456769,-0.0024341145418435655
6,2,0;1;2;3;4,5,5,0.007621049213795237,-0.0015055925565794197
6,2,0;1;2;3;5,4,5,0.007951450035427137,-0.0015374301220763774
6,2,0;1;2;4;5,3,5,0.007828778147027704,-0.0014814449488820768
6,2,0;1;3;4;5,2,5,0.008850877197284137,-0.0015598871664085788
6,2,0;2;3;4;5,1,5,0.007728628439367506,-0.0015020897979789733
6,2,1;2;3;4;5,0,5,0.007628040487179068,-0.0015139006238854798
