artifact_state,parameter_match,length,dimension,beta,boundary,time,observable,display_offset,mixed_exact,representative,lower_68,upper_68,lower_95,upper_95
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.25,sigma_z,-0.2,-0.4969787025627299,-0.5934589578241968,-0.5920412677002167,-0.40498974546072614,-0.7312688568830803,-0.33562461743417976
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.25,sigma_x_sigma_x,1.0,-0.31471688377328805,-0.22004129702612152,-0.3242828786567092,-0.1635135114343509,-0.5635767293826166,-0.06904313164603708
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.375,sigma_x,0.0,-0.25035621796670965,-0.2635567397527207,-0.33680129122351155,-0.2067101531086913,-0.4358102229471813,-0.1076749864329088
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.375,sigma_y,0.4,0.004947771191744589,-0.04848622813461293,-0.08537514474451376,0.19548045001032344,-0.10025473887460147,0.29155123202389915
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.375,sigma_z,-0.2,-0.45329218979965824,-0.5643162957655059,-0.5568006750570893,-0.35405235675887015,-0.6872573435597727,-0.29403475177592375
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.375,sigma_x_sigma_x,1.0,-0.24910582009878202,-0.17173508094361742,-0.23925465806587934,-0.14176996304892123,-0.4810513313281316,0.06572748858066321
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.5,sigma_x,0.0,-0.2898900961516609,-0.30668812804250467,-0.38162445824311014,-0.22442232869386283,-0.5330037573761024,-0.14417636036188017
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.5,sigma_y,0.4,-0.11576571111642894,-0.13786738522411174,-0.22211535220185405,0.03381720736729238,-0.26317353026268825,0.09676339952150687
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.5,sigma_z,-0.2,-0.42276723804424937,-0.5350284431148529,-0.5249743345550418,-0.3211329044926562,-0.6573031704409311,-0.26576277474855337
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.5,sigma_x_sigma_x,1.0,-0.18286431373075748,-0.13279292957681355,-0.15896692494230233,-0.07878460207121105,-0.40021008168663336,0.20706574542390166
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.625,sigma_x,0.0,-0.2918825854307227,-0.31933222279115747,-0.3937505232621422,-0.2055282140286923,-0.5532028930042993,-0.1631970554969664
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.625,sigma_y,0.4,-0.23368090303988154,-0.23428085629153825,-0.32019197716709913,-0.06404529969328587,-0.421177557550625,-0.027127135008762363
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.625,sigma_z,-0.2,-0.39819626546136433,-0.49944885238906284,-0.49442752690807973,-0.2775698595396041,-0.6325046585351543,-0.23284248495036425
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.625,sigma_x_sigma_x,1.0,-0.15000776964985246,-0.1247756136430661,-0.14188313395777216,-0.023938551824626085,-0.37123387627902366,0.2816680197819683
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.75,sigma_x,0.0,-0.2617973388228229,-0.3015392706072882,-0.3703326527711363,-0.18612164014236054,-0.49724894646358375,-0.15207339148396634
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.75,sigma_y,0.4,-0.3204716311612702,-0.3184961498801031,-0.4651593716214312,-0.16367687324375793,-0.5456835498387054,-0.09262822766753069
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.75,sigma_z,-0.2,-0.3751314985735529,-0.4596739359009952,-0.45903834291900275,-0.23502153641558826,-0.6099803458303643,-0.19025492829170385
