t_over_T,g_plus,g_minus,r_plus,r_minus,concurrence_approx,survival
1.25,0.3057825400371075,0.1942174599628925,0.19647388434778174,0.30352611565221826,0.0,0.9989588756797245
1.2525,0.3044836110569708,0.19551638894302922,0.19784332844830138,0.3021566715516986,0.0,0.998956794517568
1.2550000000000001,0.30321523775195625,0.19678476224804375,0.1991828632183452,0.30081713678165484,0.0,0.9989547133597473
1.2575,0.30197699629692804,0.19802300370307196,0.20049287991573123,0.2995071200842688,0.0,0.9989526322062624
1.26,0.3007684520264469,0.19923154797355308,0.20177378125297574,0.29822621874702426,0.0,0.9989505510571132
1.2625,0.2995891606353301,0.2004108393646699,0.2030259802865254,0.2969740197134746,0.0,0.9989484699122996
1.2650000000000001,0.2984386693327052,0.2015613306672948,0.2042498993483979,0.29575010065160207,0.0,0.9989463887718218
1.2675,0.29731651794942504,0.20268348205057493,0.20544596902024187,0.29455403097975813,0.0,0.9989443076356798
1.27,0.2962222399988646,0.2037777600011354,0.20661462714970155,0.2933853728502985,0.0,0.9989422265038733
1.2725,0.2951553636912639,0.20484463630873614,0.20775631790885243,0.29224368209114754,0.0,0.9989401453764026
1.2750000000000001,0.2941154129019141,0.2058845870980859,0.20887149089436888,0.29112850910563115,0.0,0.9989380642532676
1.2775,0.29310190809360653,0.20689809190639347,0.20996060026898383,0.29003939973101617,0.0,0.9989359831344683
1.28,0.292114367193875,0.207885632806125,0.21102410394371346,0.28897589605628654,0.0,0.9989339020200045
1.2825,0.2911523064276705,0.20884769357232955,0.21206246280023283,0.28793753719976717,0.0,0.9989318209098765
1.285,0.29021524110619235,0.20978475889380765,0.2130761399527233,0.2869238600472767,0.0,0.9989297398040841
1.2875,0.2893026863726947,0.21069731362730532,0.21406560004843672,0.2859343999515633,0.0,0.9989276587026273
1.29,0.2884141579061539,0.21158584209384612,0.21503130860617156,0.2849686913938284,0.0,0.9989255776055062
1.2925,0.2875491725837531,0.2124508274162469,0.2159737313918021,0.2840262686081979,0.0,0.9989234965127206
1.295,0.28670724910320255,0.21329275089679742,0.21689333382995402,0.283106666170046,0.0,0.9989214154242707
1.2975,0.2858879085659598,0.2141120914340402,0.2177905804508873,0.2822094195491127,0.0,0.9989193343401563
1.3,0.2850906750224606,0.2149093249775394,0.21866593437161191,0.2813340656283881,0.0,0.9989172532603776
1.3025,0.2843150759805089,0.21568492401949108,0.21951985681023634,0.28048014318976366,0.0,0.9989151721849344
1.305,0.28356064287800387,0.21643935712199613,0.22035280663252715,0.27964719336747285,0.0,0.9989130911138269
1.3075,0.28282691152120304,0.21717308847879696,0.22116523992964485,0.2788347600703552,0.0,0.9989110100470547
1.31,0.2821134224897451,0.21788657751025492,0.22195760962600455,0.2780423903739955,0.0,0.9989089289846182
1.3125,0.28141972150966005,0.21858027849033995,0.22273036511621014,0.27726963488378986,0.0,0.9989068479265173
1.315,0.28074535979561055,0.21925464020438948,0.22348395192999998,0.27651604807,0.0,0.9989047668727519
1.3175000000000001,0.28008989436360243,0.21991010563639754,0.22421881142414984,0.27578118857585016,0.0,0.998902685823322
1.32,0.2794528883154087,0.2205471116845913,0.2249353805002773,0.27506461949972266,0.0,0.9989006047782276
1.3225,0.27883391109593797,0.22116608890406203,0.2256340913475034,0.2743659086524966,0.0,0.9988985237374688
1.325,0.27823253872477494,0.22176746127522506,0.22631537120893436,0.27368462879106564,0.0,0.9988964427010454
1.3275000000000001,0.27764835400310395,0.22235164599689602,0.22697964217093997,0.27302035782906003,0.0,0.9988943616689575
1.33,0.27708094669721195,0.22291905330278802,0.2276273209742204,0.2723726790257796,0.0,0.9988922806412052
1.3325,0.27652991369974794,0.22347008630025203,0.2282588188456696,0.27174118115433044,0.0,0.9988901996177882
1.335,0.27599485916989575,0.22400514083010425,0.22887454135006244,0.2711254586499376,0.0,0.9988881185987067
1.3375000000000001,0.27547539465359305,0.22452460534640695,0.22947488826061258,0.2705251117393874,0.0,0.9988860375839607
1.34,0.27497113918490396,0.22502886081509607,0.2300602534474711,0.2699397465525289,0.0,0.9988839565735501
1.3425,0.27448171936962595,0.22551828063037402,0.23063102478325753,0.26936897521674247,0.0,0.998881875567475
1.345,0.2740067694521846,0.2259932305478154,0.23118758406473924,0.26881241593526073,0.0,0.9988797945657353
1.3475,0.27354593136683764,0.22645406863316234,0.23173030694980082,0.26826969305019915,0.0,0.9988777135683309
1.35,0.27309885477418205,0.22690114522581797,0.23225956290887,0.26774043709113,0.0,0.998875632575262
1.3525,0.27266519708392484,0.22733480291607516,0.232775715189992,0.26722428481000804,0.0,0.9988735515865286
1.355,0.27224462346484746,0.22775537653515254,0.23327912079677227,0.26672087920322773,0.0,0.9988714706021304
1.3575,0.27183680684286005,0.22816319315713998,0.23377013047843384,0.26622986952156613,0.0,0.9988693896220677
1.36,0.27144142788801096,0.22855857211198904,0.23424908873126107,0.26575091126873895,0.0,0.9988673086463403
1.3625,0.27105817499128365,0.22894182500871638,0.23471633381073054,0.26528366618926946,0.0,0.9988652276749483
1.365,0.2706867442319786,0.22931325576802142,0.235172197753657,0.264827802246343,0.0,0.9988631467078917
1.3675,0.27032683933644897,0.22967316066355103,0.23561700640970612,0.2643829935902939,0.0,0.9988610657451704
1.37,0.2699781716289234,0.23002182837107657,0.23605107948165643,0.26394892051834357,0.0,0.9988589847867844
1.3725,0.2696404599751183,0.23035954002488168,0.2364747305738169,0.2635252694261831,0.0,0.9988569038327337
1.375,0.2693134307193111,0.2306865692806889,0.236888267248033,0.26311173275196703,0.0,0.9988548228830184
1.3775,0.26899681761551425,0.23100318238448575,0.23729199108674026,0.26270800891325974,0.0,0.9988527419376384
1.3800000000000001,0.26869036175336,0.23130963824664003,0.2376861977625494,0.2623138022374506,0.0,0.9988506609965937
1.3825,0.268393811479275,0.23160618852072498,0.23807117711387174,0.2619288228861283,0.0,0.9988485800598843
1.385,0.2681069223134965,0.23189307768650355,0.23844721322611834,0.26155278677388166,0.0,0.9988464991275101
1.3875,0.26782945686345155,0.23217054313654842,0.23881458451802864,0.26118541548197133,0.0,0.9988444181994712
1.3900000000000001,0.26756118473399626,0.23243881526600374,0.23917356383270985,0.2608264361672902,0.0,0.9988423372757677
1.3925,0.26730188243498026,0.23269811756501974,0.23952441853298814,0.2604755814670119,0.0,0.9988402563563993
1.395,0.2670513332865825,0.2329486667134175,0.23986741060069672,0.2601325893993033,0.0,0.9988381754413661
1.3975,0.26680932732283286,0.23319067267716717,0.24020279673954628,0.25979720326045375,0.0,0.9988360945306682
1.4000000000000001,0.26657566119371495,0.23342433880628505,0.24053082848124283,0.25946917151875715,0.0,0.9988340136243056
1.4025,0.2663501380662196,0.23364986193378037,0.24085175229454014,0.25914824770545986,0.0,0.9988319327222781
1.405,0.26613256752469705,0.23386743247530295,0.24116580969693127,0.25883419030306876,0.0,0.998829851824586
1.4075,0.265922765470834,0.23407723452916598,0.24147323736870327,0.25852676263129676,0.0,0.9988277709312289
1.41,0.26572055402356287,0.2342794459764371,0.24177426726909623,0.25822573273090377,0.0,0.998825690042207
1.4125,0.26552576141918827,0.23447423858081176,0.24206912675432635,0.25793087324567365,0.0,0.9988236091575203
1.415,0.2653382219119989,0.2346617780880011,0.24235803869724803,0.25764196130275197,0.0,0.9988215282771689
1.4175,0.26515777567561555,0.23484222432438445,0.24264122160844648,0.2573587783915535,0.0,0.9988194474011525
1.42,0.2649842687053068,0.2350157312946932,0.24291888975856768,0.2570811102414323,0.0,0.9988173665294713
1.4225,0.26481755272149005,0.23518244727850995,0.24319125330170727,0.25680874669829273,0.0,0.9988152856621253
1.425,0.2646574850746192,0.23534251492538077,0.24345851839969307,0.25654148160030693,0.0,0.9988132047991144
1.4275,0.2645039286516458,0.2354960713483542,0.24372088734711092,0.2562791126528891,0.0,0.9988111239404387
1.43,0.2643567517842263,0.23564324821577373,0.24397855869693463,0.25602144130306537,0.0,0.998809043086098
1.4325,0.26421582815883704,0.23578417184116293,0.2442317273866345,0.2557682726133655,0.0,0.9988069622360924
1.435,0.2640810367289438,0.23591896327105621,0.24448058486464885,0.25551941513535115,0.0,0.998804881390422
1.4375,0.26395226162936214,0.23604773837063786,0.24472531921711665,0.25527468078288335,0.0,0.9988028005490867
1.44,0.26382939209293566,0.23617060790706432,0.24496611529477644,0.25503388470522353,0.0,0.9988007197120864
1.4425000000000001,0.26371232236964626,0.23628767763035377,0.24520315483994973,0.25479684516005024,0.0,0.9987986388794212
1.445,0.2636009516482629,0.2363990483517371,0.24543661661353497,0.25456338338646506,0.0,0.998796558051091
1.4475,0.2634951839806263,0.23650481601937368,0.24566667652194743,0.25433332347805254,0.0,0.9987944772270959
1.45,0.26339492820865773,0.23660507179134227,0.24589350774394905,0.254106492256051,0.0,0.9987923964074359
1.4525000000000001,0.26330009789417297,0.23669990210582706,0.24611728085731968,0.25388271914268035,0.0,0.998790315592111
1.455,0.26321061125157585,0.23678938874842412,0.24633816396532984,0.25366183603467013,0.0,0.998788234781121
1.4575,0.26312639108349783,0.23687360891650217,0.246556322822981,0.253443677177019,0.0,0.998786153974466
1.46,0.26304736471944423,0.2369526352805558,0.24677192096298614,0.25322807903701383,0.0,0.998784073172146
1.4625000000000001,0.262973463957503,0.23702653604249702,0.2469851198214712,0.2530148801785288,0.0,0.9987819923741611
1.465,0.262904625009165,0.237095374990835,0.24719607886338102,0.252803921136619,0.0,0.9987799115805112
1.4675,0.26284078844730085,0.23715921155269912,0.24740495570758178,0.25259504429241825,0.0,0.9987778307911962
1.47,0.26278189915733446,0.23721810084266556,0.24761190625165463,0.25238809374834537,0.0,0.9987757500062162
1.4725,0.26272790629164905,0.23727209370835095,0.24781708479638132,0.2521829152036187,0.0,0.9987736692255712
1.475,0.2626787632272583,0.23732123677274172,0.2480206441699263,0.2519793558300737,0.0,0.9987715884492611
1.4775,0.2626344275267704,0.23736557247322962,0.24822273585172402,0.25177726414827595,0.0,0.998769507677286
1.48,0.2625948609026707,0.2374051390973293,0.2484235100960835,0.2515764899039165,0.0,0.9987674269096458
1.4825,0.2625600291849451,0.2374399708150549,0.24862311605552553,0.2513768839444745,0.0,0.9987653461463405
1.485,0.2625299022920631,0.23747009770793692,0.24882170190387148,0.2511782980961285,0.0,0.9987632653873701
1.4875,0.2625044542053381,0.23749554579466192,0.2490194149591042,0.2509805850408958,0.0,0.9987611846327347
1.49,0.26248366294667846,0.23751633705332154,0.2492164018060248,0.2507835981939752,0.0,0.9987591038824342
1.4925,0.262467510559742,0.237532489440258,0.2494128084187306,0.2505871915812694,0.0,0.9987570231364685
1.495,0.26245598309450346,0.23754401690549654,0.24960878028294162,0.2503912197170584,0.0,0.9987549423948378
1.4975,0.26244907059524375,0.23755092940475625,0.24980446251820396,0.25019553748179607,0.0,0.9987528616575418
1.5,0.262446767091966,0.237553232908034,0.25,0.25,0.0,0.9987507809245809
1.5025,0.26244907059524375,0.23755092940475625,0.250195537481796,0.24980446251820398,0.0,0.9987487001959547
1.5050000000000001,0.26245598309450346,0.2375440169054965,0.2503912197170584,0.24960878028294162,0.0,0.9987466194716634
1.5075,0.262467510559742,0.23753248944025804,0.2505871915812694,0.24941280841873062,0.0,0.9987445387517069
1.51,0.26248366294667846,0.23751633705332154,0.25078359819397517,0.24921640180602483,0.0,0.9987424580360853
1.5125,0.2625044542053381,0.23749554579466192,0.25098058504089577,0.24901941495910423,0.0,0.9987403773247984
