mean_phonon,n60_anharmonic,n60_total,n80_anharmonic,n80_total,parameter_match
1.2781378670897654,0.0009883796004293915,0.013333423586263058,0.0002472727837123731,0.005538228439218437,proxy_model
1.3048910982649293,0.0010092200572147955,0.013354264043048462,0.0002524938375881732,0.005543449493094236,proxy_model
1.3322043123627043,0.0010308159549918114,0.013375859940825477,0.00025790449303057247,0.005548860148536636,proxy_model
1.3600892306167431,0.0010531965229353833,0.01339824050876905,0.0002635121107333492,0.005554467766239413,proxy_model
1.38855781960268,0.0010763921626369178,0.013421436148470585,0.00026932434851101967,0.0055602800040170835,proxy_model
1.4176222963734812,0.0011004344957963874,0.013445478481630054,0.0002753491735336478,0.005566304829039711,proxy_model
1.447295133702291,0.0011253564138459027,0.01347040039967957,0.00028159487506928486,0.005572550530575348,proxy_model
1.4775890654350154,0.001151192129580845,0.013496236115414511,0.0002880700777550627,0.005579025733261126,proxy_model
1.508517091954944,0.0011779772308774354,0.013523021216711102,0.0002947837554188206,0.005585739410924884,proxy_model
1.5400924857617557,0.001205748736578485,0.013550792722412152,0.0003017452454740412,0.005592700900980105,proxy_model
1.5723287971672948,0.001234545154632018,0.013579589140465684,0.0003089642639117982,0.005599919919417861,proxy_model
1.605239860110577,0.0012644065425705085,0.013609450528404175,0.0003164509209143864,0.00560740657642045,proxy_model
1.638839798094505,0.0012953745704215645,0.01364041855625523,0.0003242157371163028,0.0056151713926223664,proxy_model
1.6731430302468484,0.0013274925861441154,0.013672536571977782,0.0003322696605392948,0.005623225316045358,proxy_model
1.7081642775080914,0.0013608056836874386,0.013705849669521104,0.0003406240842292717,0.005631579739735335,proxy_model
1.7439185689487982,0.0013953607737737209,0.013740404759607387,0.00034929086462400064,0.005640246520130064,proxy_model
1.7804212482192117,0.0014312066575083065,0.013776250643341974,0.00035828234068167707,0.0056492379961877405,proxy_model
1.8176879801338515,0.0014683941029253087,0.013813438088758975,0.00036761135380167356,0.005658567009307737,proxy_model
1.8557347573939311,0.0015069759245798602,0.013852019910413526,0.0003772912685700271,0.005668246924076091,proxy_model
1.894577907450497,0.0015470070663019773,0.013892051052135644,0.000387335994363542,0.005678291649869605,proxy_model
1.9342340995112095,0.0015885446872307347,0.013933588673064401,0.0003977600078477278,0.005688715663353792,proxy_model
1.9747203516937952,0.001631648251251301,0.013976692237084967,0.0004085783764052182,0.005699534031911282,proxy_model
2.016054038329225,0.0016763796199612412,0.014021423605794907,0.00041980678253276406,0.005710762438038828,proxy_model
2.0582528974177623,0.001722803149296452,0.014067847135130119,0.00043146154924641924,0.005722417204752483,proxy_model
2.101335038241075,0.0017709857899510875,0.014116029775784755,0.0004435596665361074,0.005734515322042171,proxy_model
2.145318949133676,0.0018209971917298566,0.014166041177563524,0.0004561188189123858,0.005747074474418449,proxy_model
2.1902235054170416,0.0018729098119751833,0.01421795379780885,0.00046915741408992304,0.005760113069595987,proxy_model
2.2360679774997894,0.0019267990282157866,0.014271843014049454,0.00048269461285394607,0.0057736502683600095,proxy_model
2.2828720391474144,0.001982743255187388,0.014327787241021055,0.0004967503601577395,0.005787706015663803,proxy_model
2.3306557759251145,0.0020408240663803696,0.014385868052214036,0.0005113454175011536,0.005802301073007217,proxy_model
2.3794396938173437,0.002101126320273337,0.014446170306107004,0.0005265013966420324,0.005817457052148096,proxy_model
2.4292447280277774,0.0021637382914156166,0.014508782277249284,0.0005422407946944795,0.005833196450200543,proxy_model
2.4800922519634816,0.002228751806525814,0.01457379579235948,0.0005585870306699793,0.005849542686176042,proxy_model
2.5320040864071225,0.0022962623857775127,0.014641306371611179,0.0005755644835195374,0.005866520139025601,proxy_model
2.585002508881176,0.0023663693894471777,0.014711413375280844,0.0005931985317372519,0.005884154187243315,proxy_model
2.6391102632081354,0.00243917617010309,0.014784220155936757,0.0006115155945880195,0.005902471250094083,proxy_model
2.6943505692708274,0.00251479023051788,0.014859834216351547,0.0006305431750244828,0.005921498830530546,proxy_model
2.7507471329770294,0.002593323387490752,0.014938367373324418,0.0006503099043607764,0.00594126555986684,proxy_model
2.8083241564326573,0.00267489194176886,0.015019935927602526,0.000670845588773189,0.005961801244279252,proxy_model
2.8671063483278965,0.002759616854260437,0.015104660840094104,0.00069218125770047,0.005983136913206533,proxy_model
2.927118934540718,0.0028476239287351405,0.015192667914568806,0.0007143492142192295,0.006005304869725293,proxy_model
2.98838766896236,0.0029390440012097307,0.015284087987043397,0.000737383087472679,0.006028338742978742,proxy_model
3.0509388445493864,0.0030340131362193755,0.015379057122053043,0.0007613178872338232,0.006052273542739886,proxy_model
3.1147993046070845,0.0031326728301767663,0.015477716816010432,0.0007861900606871922,0.006077145716193256,proxy_model
