mean_phonon,low_l_n60_4K,circ60_300K,circ60_4K,circ60_anharmonic,circ80_300K,circ80_4K,circ80_anharmonic
0.6319670490361866,0.012924247223808494,0.0005937744793952776,0.0001982893376389728,0.00017728137562445873,0.00024467842400038246,8.30195869054946e-05,7.803953202533098e-05
0.645195012148216,0.0129308070376345,0.0005957834940863958,0.000200298352330091,0.00017929039031557692,0.00024556292580107475,8.390408870618689e-05,7.892403382602327e-05
0.6586998552152367,0.012937582597838854,0.0005978586218875728,0.00020237348013126802,0.0001813655181167539,0.00024647653916530477,8.481770207041695e-05,7.983764719025334e-05
0.6724873737258533,0.012944581731732767,0.0006000022638428843,0.00020451712208657932,0.00018350916007206524,0.0002474203216104669,8.576148451557906e-05,8.078142963541544e-05
0.6865634844764343,0.01295181257003042,0.0006022169142343755,0.0002067317724780707,0.00018572381046355661,0.00024839537173806264,8.673653464317483e-05,8.175647976301121e-05
0.700934228110254,0.0129592835590635,0.0006045051643480376,0.00020902002259173277,0.00018801206057721869,0.00024940283089447277,8.774399379958493e-05,8.276393891942132e-05
0.7156057717097847,0.012967003473496226,0.0006068697063950595,0.0002113845646387547,0.00019037660262424062,0.00025044388490030856,8.878504780542075e-05,8.380499292525714e-05
0.7305844114432472,0.012974981429561525,0.0006093133375948191,0.00021382819583851413,0.00019282023382400005,0.000251519765851205,8.986092875631717e-05,8.488087387615356e-05
0.7458765752665568,0.012983226898839717,0.0006118389644263389,0.000216353822670034,0.00019534586065551992,0.00025263175399303534,9.097291689814748e-05,8.599286201798386e-05
0.7614888256818277,0.012991749722602008,0.0006144496070552203,0.00021896446529891538,0.0001979565032844013,0.00025378117967465435,9.212234257976651e-05,8.71422876996029e-05
0.7774278625536141,0.013000560126742009,0.0006171484039433501,0.00022166326218704522,0.00020065530017253114,0.0002549694253814059,9.331058828651805e-05,8.833053340635444e-05
0.7937005259840998,0.01300966873731936,0.0006199386166489907,0.00022445347489268578,0.0002034455128781717,0.00025619792785276527,9.453909075787743e-05,8.955903587771382e-05
0.8103137992484701,0.013019086596740604,0.0006228236348251693,0.00022733849306886444,0.00020633053105435035,0.0002574681802876307,9.580934319274289e-05,9.082928831257928e-05
0.8272748117917259,0.013028825180603401,0.0006258069814246202,0.00023032183966831537,0.00020931387765380126,0.00025878173464092196,9.712289754603413e-05,9.214284266587051e-05
0.8445908422882231,0.013038896415231292,0.0006288923181198699,0.00023340717636356496,0.00021239921434905088,0.00026014020401529995,9.84813669204121e-05,9.350131204024848e-05
0.8622693217652548,0.01304931269592723,0.0006320834509474167,0.00023659830919111187,0.00021559034717659776,0.00026154526515197933,9.988642805709152e-05,9.49063731769279e-05
0.8803178367920126,0.013060086905975321,0.0006353843361853264,0.00023989919442902162,0.0002188912324145075,0.00026299866102477275,0.00010133982392988492,9.63597690497213e-05
0.8987441327352991,0.01307123243642134,0.0006387990864739513,0.00024331394471764644,0.00022230598270313234,0.0002645022035416785,0.00010284336644679063,9.786331156662701e-05
0.9175561170833858,0.01308276320666383,0.0006423319771898847,0.00024684683543357985,0.00022583887341906577,0.00026605777635850373,0.00010439893926361589,9.941888438345227e-05
0.9367618628394451,0.013094693685888864,0.0006459874530836821,0.0002505023113273773,0.0002294943493128632,0.00026766733780920354,0.00010600850071431573,0.00010102844583415212
0.9563696119860093,0.013107038915382873,0.0006497701351923143,0.0002542849934360095,0.00023327703142149537,0.00026933292395781136,0.00010767408686292354,0.00010269403198275992
0.9763877790219497,0.013119814531759288,0.000653684828037775,0.00025819968628147016,0.00023719172426695605,0.0002710566517770403,0.0001093978146821525,0.00010441775980198889
0.9968249545734855,0.013133036791136213,0.0006577365271237374,0.00026225138536743254,0.00024124342335291846,0.00027284072245884806,0.00011118188536396021,0.0001062018304837966
1.017689909080779,0.013146722594303757,0.0006619304267426452,0.0002664452849863403,0.0002454373229718262,0.00027468742486247747,0.00011302858776758963,0.00010804853288742602
1.0389915965616943,0.01316088951292123,0.000666271928106136,0.00027078678634983114,0.00024977882433531705,0.00027659913910571765,0.00011494030201082983,0.00010996024713066622
1.0607391584543389,0.013175555816785966,0.0006707666478122312,0.0002752815060559263,0.00025427354404141224,0.0002785783403053681,0.00011691950321048025,0.00011193944833031664
1.0829419275400347,0.013190740502217194,0.0006754204266632747,0.00027993528490696985,0.00025892732289245577,0.0002806276024731395,0.00011896876537825164,0.00011398871049808802
1.1056094319484002,0.013206463321600049,0.0006802393388491861,0.0002847541970928813,0.00026374623507836723,0.00028274960257348547,0.00012109076547859766,0.00011611071059843404
1.128751399246268,0.013222744814136612,0.0006852297015111921,0.0002897445597548872,0.00026873659774037315,0.0002849471247501294,0.00012328828765524158,0.00011830823277507797
1.152377760612185,0.013239606337852684,0.0006903980847018211,0.00029491294294551625,0.00027390498093100217,0.0002872230647283331,0.0001255642276334453,0.00012058417275328167
1.1764986550982963,0.013257070102910853,0.0006957513217576049,0.00030026618000130004,0.00027925821798678596,0.0002895804344002497,0.0001279215973053619,0.0001229415424251983
1.201124433981431,0.013275159206282425,0.0007012965201015952,0.0003058113783452902,0.00028480341633077615,0.0002920223666010063,0.00013036352950611846,0.00012538347462595485
1.2262656652052661,0.01329389766783277,0.0007070410724935157,0.0003115559307372108,0.0002905479687226967,0.0002945521200834833,0.0001328932829885955,0.0001279132281084319
1.2519331379154686,0.013313310467876757,0.0007129926687460988,0.0003175075269897939,0.0002964995649752798,0.0002971730847000886,0.00013551424760520076,0.00013053419272503715
1.2781378670897654,0.013333423586263058,0.0007191593079269126,0.00032367416617060774,0.00030266620415609366,0.0002998887868001683,0.0001382299497052805,0.0001332498948251169
1.3048910982649293,0.013354264043048462,0.000725549311065782,0.0003300641693094771,0.00030905620729496303,0.0003027028948520608,0.00014104405775717293,0.00013606400287700932
1.3322043123627043,0.013375859940825477,0.0007321713343887221,0.00033668619263241723,0.00031567823061790315,0.00030561922529916835,0.00014396038820428054,0.00013898033332411693
