measurement,polyakov_real,polyakov_imag,polyakov_abs,action,vortex_density,monopole_density
9101,-0.0694444444444444,0.5138888888888888,0.5185598528498463,-7253.246000000001,0.27983539094650206,0.011188271604938271
9102,0.01851851851851849,0.4444444444444444,0.4448300796097894,-7216.736000000001,0.2848508230452675,0.010802469135802469
9103,-0.01388888888888895,0.41203703703703703,0.41227105297950345,-7166.368,0.2906378600823045,0.011959876543209876
9104,-3.289549702593056e-17,0.38888888888888884,0.38888888888888884,-7140.398000000001,0.2934670781893004,0.019675925925925927
9105,-0.032407407407407406,0.3935185185185185,0.3948506863003777,-7143.542000000001,0.29372427983539096,0.016203703703703703
9106,0.004629629629629596,0.38425925925925924,0.3842871475823543,-7175.162,0.2871656378600823,0.015432098765432098
9107,-0.009259259259259217,0.4351851851851852,0.43528367679789476,-7134.6320000000005,0.29642489711934156,0.016203703703703703
9108,-0.05092592592592591,0.43981481481481477,0.44275334133352706,-7122.230000000001,0.29655349794238683,0.02044753086419753
9109,-0.060185185185185223,0.35648148148148145,0.3615263519510118,-7100.976000000001,0.29976851851851855,0.019290123456790122
9110,-6.990293118010244e-17,0.3796296296296296,0.3796296296296296,-7130.09,0.29719650205761317,0.018132716049382717
9111,0.05555555555555549,0.4166666666666666,0.42035405417837646,-7140.862,0.29655349794238683,0.017746913580246913
9112,0.07407407407407397,0.36111111111111094,0.3686301710628588,-7146.7440000000015,0.2943672839506173,0.019290123456790122
9113,0.055555555555555476,0.35185185185185175,0.35621081595687665,-7133.002,0.2959104938271605,0.016975308641975308
9114,0.09259259259259259,0.4259259259259258,0.4358741591088821,-7097.832000000002,0.299511316872428,0.022762345679012346
9115,0.06481481481481483,0.40740740740740733,0.41253091499899003,-7163.05,0.2892232510288066,0.016589506172839507
9116,0.050925925925925895,0.5138888888888888,0.5164060805750351,-7189.252,0.2879372427983539,0.010416666666666666
9117,0.11574074074074073,0.5046296296296294,0.5177325392201579,-7124.150000000001,0.29899691358024694,0.016975308641975308
9118,0.02314814814814817,0.5046296296296297,0.5051602714612717,-7184.768,0.2890946502057613,0.01890432098765432
9119,-0.05092592592592589,0.49537037037037035,0.4979811781305502,-7113.262000000001,0.29886831275720166,0.020833333333333332
9120,-1.644774851296528e-17,0.4444444444444444,0.4444444444444444,-7133.118,0.2966820987654321,0.016589506172839507
