measurement,polyakov_real,polyakov_imag,polyakov_abs,action,vortex_density,monopole_density
36,0.021484374999999774,0.010148735200599376,0.023760791133977423,-7643.3600000000015,0.2589518229166667,0.003173828125
37,0.0947265624999998,-0.005074367600299029,0.094862378473288,-7668.064000000001,0.2567952473958333,0.004150390625
38,0.05371093749999981,-0.0016914558667660215,0.05373756442264669,-7672.720000000001,0.2581380208333333,0.0023193359375
39,0.08593749999999983,0.030446205601797095,0.09117140638268596,-7854.128000000002,0.24873860677083334,0.0020751953125
40,0.03906249999999967,-0.033829117335329124,0.051674830294229694,-7831.104000000001,0.25048828125,0.00146484375
41,0.0009765624999996808,-0.04228639666916148,0.04229767153849106,-7797.712000000001,0.250244140625,0.0037841796875
42,0.08886718749999976,-0.0625838670703594,0.10869276623419118,-7812.016000000001,0.2501220703125,0.0030517578125
43,0.07128906249999972,-0.025371838001496783,0.07566941651488442,-7812.480000000001,0.2502034505208333,0.0029296875
44,-0.004882812500000229,-0.015223102800897816,0.015987017132562953,-7663.184000000001,0.2582194010416667,0.0028076171875
45,0.009765624999999792,-0.03044620560179619,0.03197403426512624,-7622.192000000003,0.2610270182291667,0.0020751953125
46,0.03320312499999967,-0.04397785253592805,0.05510443742056928,-7707.888000000002,0.2560628255208333,0.0025634765625
47,0.027343749999999705,-0.03382911733532916,0.043498159084608995,-7744.304000000002,0.2545572916666667,0.0020751953125
48,0.04492187499999962,-0.05750949947005986,0.07297477223542671,-7709.584000000003,0.2561848958333333,0.0023193359375
49,0.015624999999999672,-0.03382911733532913,0.03726325005534885,-7685.456000000002,0.2570393880208333,0.0028076171875
50,0.01562499999999972,-0.03382911733532915,0.03726325005534888,-7803.888000000001,0.2509765625,0.0025634765625
51,0.003906249999999554,-0.09472152853892246,0.09480203983993382,-7592.848000000002,0.2623697916666667,0.0023193359375
52,-0.02539062500000041,-0.09133861680538949,0.09480203983993396,-7611.280000000002,0.2613932291666667,0.0023193359375
53,-0.045898437500000236,-0.03890348493562852,0.06016766328417702,-7734.336000000001,0.255615234375,0.00146484375
54,-0.007812500000000359,-0.0811898816047906,0.08156489460086318,-7649.664000000001,0.2588297526041667,0.0029296875
55,-0.03710937500000035,-0.06427532293712573,0.07421874999999968,-7689.152000000002,0.2571614583333333,0.00244140625
56,0.01855468749999963,-0.07949842573802413,0.08163501775002428,-7841.392000000002,0.24983723958333334,0.0015869140625
57,0.03613281249999975,-0.00507436760029896,0.036487386117713363,-7915.264000000002,0.24560546875,0.001953125
58,0.06835937499999961,-0.06427532293712582,0.09383134491768934,-7914.352000000002,0.2459716796875,0.0015869140625
59,-0.02246093750000034,-0.06258386707035926,0.0664923614474574,-7857.040000000003,0.24837239583333334,0.0023193359375
60,-0.03417968750000027,-0.05243513186976033,0.06259148577719521,-7762.560000000001,0.2528483072916667,0.0029296875
61,-0.0019531250000002914,-0.04059494080239502,0.04064189852868075,-7771.328000000001,0.2528076171875,0.00244140625
62,-0.001953125000000359,-0.05074367600299391,0.05078124999999947,-7810.816000000002,0.2511393229166667,0.001953125
63,-0.0019531250000003157,-0.04059494080239498,0.040641898528680706,-7862.432000000001,0.24861653645833334,0.001708984375
64,0.02148437499999959,-0.0676582346706587,0.07098742908353937,-7862.240000000002,0.24735514322916666,0.003173828125
65,-0.057617187500000375,-0.05920095533682626,0.08261049211936156,-7897.136000000002,0.2464599609375,0.0020751953125
66,-0.040039062500000375,-0.06934969053742517,0.08007812499999968,-7820.5120000000015,0.2512613932291667,0.001220703125
67,-0.0371093750000003,-0.043977852535927967,0.05754265571350069,-7821.888000000003,0.2509765625,0.00146484375
68,-0.03417968750000029,-0.05581804360329333,0.06545154718795294,-7757.792000000001,0.2528889973958333,0.003173828125
69,-0.06640625000000028,-0.01691455866766423,0.06852658122206588,-7861.808000000002,0.24833170572916666,0.0020751953125
70,-0.028320312500000295,-0.03552057320209555,0.04542852870942555,-7786.8160000000025,0.2511393229166667,0.00341796875
71,0.0009765624999997086,-0.01860601453443074,0.018631625027674147,-7736.768000000002,0.254638671875,0.00244140625
72,0.033203124999999604,-0.10487026373952138,0.11000099875256757,-7904.944000000001,0.24519856770833334,0.0030517578125
