particles,coupling,sector,selector,lower_index,lower_energy,upper_energy,midpoint_offset,spacing
1400,1.15,0,midpoint_nearest,11,-700.0698455242585,-699.5236086531569,0.20327291129228797,0.5462368711016552
600,1.15,0,straddling,5,-300.0939804505445,-299.4598031801157,0.22310818466985438,0.6341772704287791
700,1.15,0,straddling,5,-350.43554582013996,-349.9535598009723,-0.1945528105561607,0.4819860191676639
800,1.15,0,straddling,6,-400.32928199518807,-399.80823548752886,-0.06875874135846516,0.5210465076592072
900,1.15,0,straddling,7,-450.21324080865884,-449.66015808006426,0.06330055563842052,0.5530827285945747
1000,1.15,0,straddling,8,-500.086674954153,-499.51053177760417,0.20139663412140862,0.5761431765488396
1100,1.15,0,straddling,8,-550.4106860322969,-549.9520515583126,-0.1813687953047065,0.4586344739842616
1200,1.15,0,straddling,9,-600.306979797758,-599.812151612955,-0.05956570535647643,0.4948281848030547
1300,1.15,0,straddling,10,-650.1933273316952,-649.6689409705695,0.06886584886774472,0.5243863611257211
1400,1.15,0,straddling,11,-700.0698455242585,-699.5236086531569,0.20327291129228797,0.5462368711016552
600,1.15,0,local_minimum_gap,4,-300.53839484946343,-300.0939804505445,-0.3161876500039398,0.44441439891892287
700,1.15,0,local_minimum_gap,4,-350.8540075562079,-350.43554582013996,-0.6447766881739199,0.41846173606791126
800,1.15,0,local_minimum_gap,5,-400.72208531356375,-400.32928199518807,-0.5256836543759391,0.39280331837568383
900,1.15,0,local_minimum_gap,6,-450.60939372927464,-450.21324080865884,-0.4113172689667408,0.39615292061580476
1000,1.15,0,local_minimum_gap,7,-500.50873596880825,-500.086674954153,-0.29770546148063204,0.4220610146552417
1100,1.15,0,local_minimum_gap,7,-550.7983782858543,-550.4106860322969,-0.6045321590755748,0.38769225355736125
1200,1.15,0,local_minimum_gap,8,-600.6809454738528,-600.306979797758,-0.49396263580547384,0.37396567609482645
1300,1.15,0,local_minimum_gap,9,-650.5776411854937,-650.1933273316952,-0.385484258594488,0.3843138537985169
1400,1.15,0,local_minimum_gap,9,-700.8776358864238,-700.4820842490745,-0.6798600677491322,0.39555163734928556
600,1.15,1,midpoint_nearest,4,-300.41174051076536,-299.79956799216956,-0.1056542514674561,0.6121725185957985
700,1.15,1,midpoint_nearest,5,-350.26040701353435,-349.6464757864007,0.046558600032483355,0.6139312271336621
800,1.15,1,midpoint_nearest,6,-400.11199360761856,-399.4937195263504,0.19714343301552617,0.6182740812681686
900,1.15,1,midpoint_nearest,6,-450.52242774324407,-449.96456914704834,-0.24349844514620145,0.5578585961957288
1000,1.15,1,midpoint_nearest,7,-500.37848120303937,-499.81712247888606,-0.0978018409626884,0.5613587241533082
1100,1.15,1,midpoint_nearest,8,-550.2369335106005,-549.6692031471301,0.04693167113464369,0.5677303634703321
1200,1.15,1,midpoint_nearest,9,-600.0960590020812,-599.5206689895432,0.19163600418778515,0.5753900125380369
1300,1.15,1,midpoint_nearest,9,-650.4829183119944,-649.9547932958753,-0.2188558039348436,0.5281250161190201
1400,1.15,1,midpoint_nearest,10,-700.3462711806322,-699.8125902532088,-0.07943071692056947,0.5336809274234611
600,1.15,1,straddling,4,-300.41174051076536,-299.79956799216956,-0.1056542514674561,0.6121725185957985
700,1.15,1,straddling,5,-350.26040701353435,-349.6464757864007,0.046558600032483355,0.6139312271336621
800,1.15,1,straddling,6,-400.11199360761856,-399.4937195263504,0.19714343301552617,0.6182740812681686
900,1.15,1,straddling,6,-450.52242774324407,-449.96456914704834,-0.24349844514620145,0.5578585961957288
1000,1.15,1,straddling,7,-500.37848120303937,-499.81712247888606,-0.0978018409626884,0.5613587241533082
1100,1.15,1,straddling,8,-550.2369335106005,-549.6692031471301,0.04693167113464369,0.5677303634703321
1200,1.15,1,straddling,9,-600.0960590020812,-599.5206689895432,0.19163600418778515,0.5753900125380369
1300,1.15,1,straddling,9,-650.4829183119944,-649.9547932958753,-0.2188558039348436,0.5281250161190201
1400,1.15,1,straddling,10,-700.3462711806322,-699.8125902532088,-0.07943071692056947,0.5336809274234611
600,1.15,1,local_minimum_gap,3,-300.99724509527823,-300.41174051076536,-0.7044928030218216,0.5855045845128757
700,1.15,1,local_minimum_gap,4,-350.82813856964236,-350.26040701353435,-0.5442727915883552,0.567731556108015
800,1.15,1,local_minimum_gap,5,-400.67123657614053,-400.11199360761856,-0.3916150918795438,0.5592429685219713
900,1.15,1,local_minimum_gap,5,-451.07645257736243,-450.52242774324407,-0.7994401603032202,0.5540248341183656
1000,1.15,1,local_minimum_gap,6,-500.91660480143156,-500.37848120303937,-0.6475430022354658,0.5381235983921897
1100,1.15,1,local_minimum_gap,7,-550.7659585195107,-550.2369335106005,-0.5014460150555351,0.5290250089102528
1200,1.15,1,local_minimum_gap,8,-600.6221426110802,-600.0960590020812,-0.3591008065807273,0.526083608998988
1300,1.15,1,local_minimum_gap,8,-651.0042086621363,-650.4829183119944,-0.7435634870653303,0.5212903501419532
1400,1.15,1,local_minimum_gap,9,-700.8571405648183,-700.3462711806322,-0.6017058727252333,0.5108693841860941
600,1.2,0,midpoint_nearest,7,-300.0675112733933,-299.39036583430004,0.2710614461533396,0.6771454390932377
700,1.2,0,midpoint_nearest,8,-350.1149783326619,-349.46907467678045,0.20797349527879305,0.6459036558814546
800,1.2,0,midpoint_nearest,9,-400.15803775772474,-399.53903491615563,0.15146366305981473,0.6190028415691131
900,1.2,0,midpoint_nearest,10,-450.1976783028584,-449.6025495353419,0.09988608089986428,0.5951287675164849
1000,1.2,0,midpoint_nearest,11,-500.2345633839821,-499.66109838533134,0.05216911534330393,0.5734649986507634
1100,1.2,0,midpoint_nearest,12,-550.2691708327394,-549.7156812559549,0.007573955652787845,0.5534895767845001
1200,1.2,0,midpoint_nearest,13,-600.3018674328616,-599.7670001445647,-0.03443378871315872,0.5348672882969367
1300,1.2,0,midpoint_nearest,14,-650.3329509984769,-649.8155629650583,-0.07425698176757578,0.5173880334185696
1400,1.2,0,midpoint_nearest,15,-700.3626749537414,-699.8617459523347,-0.11221045303796018,0.5009290014066892
600,1.2,0,straddling,7,-300.0675112733933,-299.39036583430004,0.2710614461533396,0.6771454390932377
700,1.2,0,straddling,8,-350.1149783326619,-349.46907467678045,0.20797349527879305,0.6459036558814546
800,1.2,0,straddling,9,-400.15803775772474,-399.53903491615563,0.15146366305981473,0.6190028415691131
900,1.2,0,straddling,10,-450.1976783028584,-449.6025495353419,0.09988608089986428,0.5951287675164849
1000,1.2,0,straddling,11,-500.2345633839821,-499.66109838533134,0.05216911534330393,0.5734649986507634
1100,1.2,0,straddling,12,-550.2691708327394,-549.7156812559549,0.007573955652787845,0.5534895767845001
1200,1.2,0,straddling,13,-600.3018674328616,-599.7670001445647,-0.03443378871315872,0.5348672882969367
1300,1.2,0,straddling,14,-650.3329509984769,-649.8155629650583,-0.07425698176757578,0.5173880334185696
1400,1.2,0,straddling,15,-700.3626749537414,-699.8617459523347,-0.11221045303796018,0.5009290014066892
600,1.2,0,local_minimum_gap,6,-300.5535748380306,-300.0675112733933,-0.3105430557119462,0.4860635646373339
700,1.2,0,local_minimum_gap,7,-350.5813806954536,-350.1149783326619,-0.3481795140577333,0.46640236279171177
800,1.2,0,local_minimum_gap,8,-400.6089659125426,-400.15803775772474,-0.383501835133643,0.4509281548178592
900,1.2,0,local_minimum_gap,9,-450.6365331940461,-450.1976783028584,-0.41710574845222936,0.4388548911877024
