panel,kind,depth,L,p,scaled_x,I3,standard_error
d,collapse,1,16,0.1325,-0.12458745813159193,-2.9166666666666665,0.8110105395357665
a,scan,1,16,0.15000000000000002,,-0.625,0.35355339059327373
d,collapse,1,16,0.15000000000000002,-0.02491749162631845,-0.625,0.35355339059327373
a,scan,1,16,0.16750000000000004,,-0.08333333333333333,0.35355339059327373
d,collapse,1,16,0.16750000000000004,0.07475247487895503,-0.08333333333333333,0.35355339059327373
a,scan,1,16,0.18500000000000003,,0.0,0.35355339059327373
d,collapse,1,16,0.18500000000000003,0.17442244138422835,0.0,0.35355339059327373
a,scan,1,16,0.2025,,0.0,0.35355339059327373
d,collapse,1,16,0.2025,0.2740924078895017,0.0,0.35355339059327373
a,scan,1,16,0.22000000000000003,,0.0,0.35355339059327373
d,collapse,1,16,0.22000000000000003,0.37376237439477517,0.0,0.35355339059327373
a,scan,1,16,0.23750000000000002,,0.0,0.35355339059327373
d,collapse,1,16,0.23750000000000002,0.4734323409000485,0.0,0.35355339059327373
a,scan,1,16,0.255,,0.0,0.35355339059327373
d,collapse,1,16,0.255,0.5731023074053218,0.0,0.35355339059327373
a,scan,1,16,0.2725,,0.0,0.35355339059327373
d,collapse,1,16,0.2725,0.6727722739105952,0.0,0.35355339059327373
a,scan,1,16,0.29000000000000004,,0.0,0.35355339059327373
d,collapse,1,16,0.29000000000000004,0.7724422404158687,0.0,0.35355339059327373
a,scan,1,24,0.010000000000000009,,-60.375,1.3054183480754606
d,collapse,1,24,0.010000000000000009,-1.0604907724834962,-60.375,1.3054183480754606
a,scan,1,24,0.02750000000000001,,-59.625,1.4671502179070703
d,collapse,1,24,0.02750000000000001,-0.9319464364248906,-59.625,1.4671502179070703
a,scan,1,24,0.04500000000000001,,-52.45833333333333,0.6574889099191454
d,collapse,1,24,0.04500000000000001,-0.8034021003662851,-52.45833333333333,0.6574889099191454
a,scan,1,24,0.06250000000000001,,-43.0,0.7842699567619335
d,collapse,1,24,0.06250000000000001,-0.6748577643076795,-43.0,0.7842699567619335
a,scan,1,24,0.08000000000000002,,-34.08333333333333,0.7285286324187733
d,collapse,1,24,0.08000000000000002,-0.5463134282490739,-34.08333333333333,0.7285286324187733
a,scan,1,24,0.09750000000000002,,-21.541666666666664,1.4141258728016342
d,collapse,1,24,0.09750000000000002,-0.4177690921904683,-21.541666666666664,1.4141258728016342
a,scan,1,24,0.11500000000000002,,-12.333333333333334,1.185226520443204
d,collapse,1,24,0.11500000000000002,-0.2892247561318627,-12.333333333333334,1.185226520443204
a,scan,1,24,0.1325,,-5.791666666666666,1.1000315652036738
d,collapse,1,24,0.1325,-0.16068042007325722,-5.791666666666666,1.1000315652036738
a,scan,1,24,0.15000000000000002,,-1.0833333333333335,0.35355339059327373
d,collapse,1,24,0.15000000000000002,-0.032136084014651525,-1.0833333333333335,0.35355339059327373
a,scan,1,24,0.16750000000000004,,-0.29166666666666663,0.35355339059327373
d,collapse,1,24,0.16750000000000004,0.09640825204395417,-0.29166666666666663,0.35355339059327373
a,scan,1,24,0.18500000000000003,,0.0,0.35355339059327373
d,collapse,1,24,0.18500000000000003,0.22495258810255966,0.0,0.35355339059327373
