campaign,label,L,m,d,p,time,observable,mean,standard_deviation,standard_error,realizations
transition,d5,16,11,5,0.5675000000000001,65,tripartite_mutual_information,-1.1666666666666665,1.247219128924647,0.4409585518440984,8
transition,d5,16,11,5,0.6025,65,half_chain_entropy,3.083333333333333,1.560931752674644,0.5518727136428218,8
transition,d5,16,11,5,0.6025,65,tripartite_mutual_information,-0.16666666666666666,0.25197631533948484,0.0890870806374748,8
transition,d5,16,11,5,0.6375000000000001,65,half_chain_entropy,1.5000000000000002,1.0837911120705754,0.38317802236740667,8
transition,d5,16,11,5,0.6375000000000001,65,tripartite_mutual_information,0.0,0.0,0.0,8
transition,d5,16,11,5,0.6725000000000001,65,half_chain_entropy,1.25,0.5270462766947299,0.18633899812498247,8
transition,d5,16,11,5,0.6725000000000001,65,tripartite_mutual_information,0.0,0.0,0.0,8
transition,d5,24,11,5,0.42750000000000005,97,half_chain_entropy,27.75,1.6690459207925608,0.5900968443520824,8
transition,d5,24,11,5,0.42750000000000005,97,tripartite_mutual_information,-20.708333333333332,1.4191155304938665,0.5017331074496788,8
transition,d5,24,11,5,0.4625,97,half_chain_entropy,22.625,1.9553548778706893,0.6913223468842788,8
transition,d5,24,11,5,0.4625,97,tripartite_mutual_information,-15.208333333333332,1.5526475085202969,0.5489437910335498,8
transition,d5,24,11,5,0.49750000000000005,97,half_chain_entropy,16.625,2.339702192418161,0.827209643107957,8
transition,d5,24,11,5,0.49750000000000005,97,tripartite_mutual_information,-9.5,2.3435151998789108,0.8285577448240625,8
transition,d5,24,11,5,0.5325,97,half_chain_entropy,13.0,0.9428090415820637,0.3333333333333334,8
transition,d5,24,11,5,0.5325,97,tripartite_mutual_information,-6.666666666666666,1.3801311186847087,0.48795003647426666,8
transition,d5,24,11,5,0.5675000000000001,97,half_chain_entropy,6.75,0.6606874726434099,0.23358829607557835,8
transition,d5,24,11,5,0.5675000000000001,97,tripartite_mutual_information,-1.3333333333333333,0.9258200997725514,0.32732683535398854,8
transition,d5,24,11,5,0.6025,97,half_chain_entropy,4.041666666666667,1.3851537075901699,0.4897257898113486,8
transition,d5,24,11,5,0.6025,97,tripartite_mutual_information,0.08333333333333334,0.38832158167381164,0.137292411841319,8
transition,d5,24,11,5,0.6375000000000001,97,half_chain_entropy,1.25,0.7506610843064022,0.26539877154295183,8
transition,d5,24,11,5,0.6375000000000001,97,tripartite_mutual_information,0.0,0.0,0.0,8
transition,d5,24,11,5,0.6725000000000001,97,half_chain_entropy,0.9583333333333333,0.45206756062017917,0.15983001883449466,8
transition,d5,24,11,5,0.6725000000000001,97,tripartite_mutual_information,0.0,0.0,0.0,8
transition,d7,8,11,7,0.5275000000000001,65,half_chain_entropy,10.0,0.47140452079103146,0.16666666666666657,8
transition,d7,8,11,7,0.5275000000000001,65,tripartite_mutual_information,-6.583333333333333,1.0196482431125649,0.36050009356492196,8
transition,d7,8,11,7,0.5625000000000001,65,half_chain_entropy,8.75,1.1919039057889358,0.42140166715304417,8
transition,d7,8,11,7,0.5625000000000001,65,tripartite_mutual_information,-4.875,1.4246971273789757,0.503706499953334,8
transition,d7,8,11,7,0.5975000000000001,65,half_chain_entropy,7.166666666666666,1.2344267996967353,0.4364357804719847,8
transition,d7,8,11,7,0.5975000000000001,65,tripartite_mutual_information,-4.125,1.6517186816085248,0.5839707401889459,8
transition,d7,8,11,7,0.6325000000000001,65,half_chain_entropy,6.208333333333333,1.2840597820232218,0.45398368965877006,8
transition,d7,8,11,7,0.6325000000000001,65,tripartite_mutual_information,-2.541666666666667,1.332589077995783,0.47114138679297357,8
transition,d7,8,11,7,0.6675000000000002,65,half_chain_entropy,4.416666666666667,1.4114047938360887,0.4990069503603497,8
transition,d7,8,11,7,0.6675000000000002,65,tripartite_mutual_information,-1.458333333333333,1.1675166971376632,0.4127794868472811,8
transition,d7,8,11,7,0.7025000000000001,65,half_chain_entropy,2.7916666666666665,1.140001392368963,0.40305135755309984,8
