panel,kind,depth,L,p,scaled_x,entropy,entropy_density,subtracted_entropy,standard_error
d,probability_scan_and_collapse,1,16,0.2725,0.8083583703555363,0.45833333333333326,0.005208333333333332,-4.708333333333332,0.659813104279113
a,size_scaling,1,16,0.29000000000000004,,0.375,0.004261363636363636,,0.659813104279113
d,probability_scan_and_collapse,1,16,0.29000000000000004,0.9351596833524833,0.375,0.004261363636363636,-4.791666666666665,0.659813104279113
a,size_scaling,1,24,0.010000000000000009,,86.91666666666666,0.6584595959595959,,1.165793079198853
d,probability_scan_and_collapse,1,24,0.010000000000000009,-1.4610407366735574,86.91666666666666,0.6584595959595959,80.84895833333333,1.165793079198853
a,size_scaling,1,24,0.02750000000000001,,76.125,0.5767045454545454,,1.0383022293055921
d,probability_scan_and_collapse,1,24,0.02750000000000001,-1.2916447092331451,76.125,0.5767045454545454,70.05729166666667,1.0383022293055921
a,size_scaling,1,24,0.04500000000000001,,65.54166666666667,0.4965277777777778,,0.827776767325478
d,probability_scan_and_collapse,1,24,0.04500000000000001,-1.1222486817927324,65.54166666666667,0.4965277777777778,59.47395833333334,0.827776767325478
a,size_scaling,1,24,0.06250000000000001,,55.33333333333333,0.41919191919191917,,0.6416017990835984
d,probability_scan_and_collapse,1,24,0.06250000000000001,-0.95285265435232,55.33333333333333,0.41919191919191917,49.265625,0.6416017990835984
a,size_scaling,1,24,0.08000000000000002,,46.08333333333333,0.3491161616161616,,1.0205945257778075
d,probability_scan_and_collapse,1,24,0.08000000000000002,-0.7834566269119076,46.08333333333333,0.3491161616161616,40.015625,1.0205945257778075
a,size_scaling,1,24,0.09750000000000002,,32.458333333333336,0.24589646464646467,,0.8990162676724439
d,probability_scan_and_collapse,1,24,0.09750000000000002,-0.6140605994714952,32.458333333333336,0.24589646464646467,26.390625000000004,0.8990162676724439
a,size_scaling,1,24,0.11500000000000002,,25.083333333333336,0.19002525252525254,,0.900807668644588
d,probability_scan_and_collapse,1,24,0.11500000000000002,-0.4446645720310828,25.083333333333336,0.19002525252525254,19.015625000000004,0.900807668644588
a,size_scaling,1,24,0.1325,,15.458333333333334,0.11710858585858586,,0.9953742673383588
d,probability_scan_and_collapse,1,24,0.1325,-0.27526854459067046,15.458333333333334,0.11710858585858586,9.390625000000004,0.9953742673383588
a,size_scaling,1,24,0.15000000000000002,,8.541666666666666,0.06470959595959595,,0.7550728517464081
d,probability_scan_and_collapse,1,24,0.15000000000000002,-0.10587251715025792,8.541666666666666,0.06470959595959595,2.473958333333335,0.7550728517464081
a,size_scaling,1,24,0.16750000000000004,,4.583333333333333,0.03472222222222222,,0.5712577424156718
d,probability_scan_and_collapse,1,24,0.16750000000000004,0.06352351029015464,4.583333333333333,0.03472222222222222,-1.4843749999999982,0.5712577424156718
a,size_scaling,1,24,0.18500000000000003,,2.583333333333333,0.01957070707070707,,0.6251556088318948
