campaign,label,L,m,d,p,time,observable,mean,standard_deviation,standard_error,realizations
dynamics,L48,48,11,44,0.4,7,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,8,half_chain_entropy_density,0.16493055555555555,0.00473622070585537,0.0009667770032125028,24
dynamics,L48,48,11,44,0.4,8,measurement_entropy_change,-3.875,1.034723235417589,0.21121199598123402,24
dynamics,L48,48,11,44,0.4,9,half_chain_entropy_density,0.16493055555555555,0.00473622070585537,0.0009667770032125028,24
dynamics,L48,48,11,44,0.4,9,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,10,half_chain_entropy_density,0.20628156565656564,0.005469708678972916,0.001116499608763024,24
dynamics,L48,48,11,44,0.4,10,measurement_entropy_change,-3.7916666666666665,1.0206207261596578,0.2083333333333334,24
dynamics,L48,48,11,44,0.4,11,half_chain_entropy_density,0.20628156565656564,0.005469708678972916,0.001116499608763024,24
dynamics,L48,48,11,44,0.4,11,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,12,half_chain_entropy_density,0.24763257575757572,0.006590445291330506,0.0013452690117906475,24
dynamics,L48,48,11,44,0.4,12,measurement_entropy_change,-4.166666666666667,0.8681147322824314,0.1772031776903984,24
dynamics,L48,48,11,44,0.4,13,half_chain_entropy_density,0.24763257575757572,0.006590445291330506,0.0013452690117906475,24
dynamics,L48,48,11,44,0.4,13,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,14,half_chain_entropy_density,0.2892992424242425,0.005450666989572319,0.001112612740190355,24
dynamics,L48,48,11,44,0.4,14,measurement_entropy_change,-3.875,1.1539158284426272,0.23554208215044742,24
dynamics,L48,48,11,44,0.4,15,half_chain_entropy_density,0.2892992424242425,0.005450666989572319,0.001112612740190355,24
dynamics,L48,48,11,44,0.4,15,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,16,half_chain_entropy_density,0.3312815656565655,0.004323057175824056,0.0008824403508038533,24
dynamics,L48,48,11,44,0.4,16,measurement_entropy_change,-3.625,0.7109393663377318,0.14511989046542054,24
dynamics,L48,48,11,44,0.4,17,half_chain_entropy_density,0.3312815656565655,0.004323057175824056,0.0008824403508038533,24
dynamics,L48,48,11,44,0.4,17,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,18,half_chain_entropy_density,0.3723169191919191,0.0056381907246381945,0.001150890862321376,24
dynamics,L48,48,11,44,0.4,18,measurement_entropy_change,-4.0,1.3831281496162493,0.28232985128664,24
dynamics,L48,48,11,44,0.4,19,half_chain_entropy_density,0.3723169191919191,0.0056381907246381945,0.001150890862321376,24
dynamics,L48,48,11,44,0.4,19,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,20,half_chain_entropy_density,0.41335227272727276,0.006446897511474491,0.001315967443927597,24
dynamics,L48,48,11,44,0.4,20,measurement_entropy_change,-4.208333333333333,1.250362266345818,0.2552291288481008,24
dynamics,L48,48,11,44,0.4,21,half_chain_entropy_density,0.41335227272727276,0.006446897511474491,0.001315967443927597,24
dynamics,L48,48,11,44,0.4,21,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,22,half_chain_entropy_density,0.4556502525252526,0.005747769050432175,0.0011732584444100185,24
dynamics,L48,48,11,44,0.4,22,measurement_entropy_change,-3.7083333333333335,1.1220775245117836,0.2290431155749295,24
dynamics,L48,48,11,44,0.4,23,half_chain_entropy_density,0.4556502525252526,0.005747769050432175,0.0011732584444100185,24
dynamics,L48,48,11,44,0.4,23,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,24,half_chain_entropy_density,0.4943181818181817,0.0043260624296981845,0.0008830537956821148,24
dynamics,L48,48,11,44,0.4,24,measurement_entropy_change,-4.458333333333333,1.0206207261596576,0.20833333333333337,24
dynamics,L48,48,11,44,0.4,25,half_chain_entropy_density,0.49368686868686856,0.004129319185132076,0.000842893749054901,24
