phase,cosine_potential,harmonic_comparator
-0.7875,-35.28094987339683,-34.49609375
-0.78525,-35.36057703839404,-34.5845609375
-0.783,-35.44002519054551,-34.672775
-0.78075,-35.51929392764516,-34.7607359375
-0.7785,-35.598382848395154,-34.84844375
-0.77625,-35.677291552408,-34.9358984375
-0.774,-35.756019640208564,-35.0231
-0.77175,-35.83456671323607,-35.1100484375
-0.7695000000000001,-35.91293237384612,-35.196743749999996
-0.76725,-35.99111622531273,-35.2831859375
-0.765,-36.069117871830315,-35.369375
-0.76275,-36.146936918515706,-35.4553109375
-0.7605,-36.224572971410154,-35.54099375
-0.75825,-36.30202563748129,-35.6264234375
-0.756,-36.37929452462517,-35.7116
-0.75375,-36.45637924166822,-35.7965234375
-0.7515000000000001,-36.533279398369224,-35.881193749999994
-0.74925,-36.6099946054213,-35.9656109375
-0.747,-36.68652447445387,-36.049775
-0.74475,-36.76286861803464,-36.1336859375
-0.7424999999999999,-36.83902664967155,-36.217343750000005
-0.74025,-36.91499818381473,-36.300748437500005
-0.738,-36.99078283585843,-36.3839
-0.73575,-37.06638022214304,-36.4667984375
-0.7335,-37.14178995995693,-36.549443749999995
-0.73125,-37.217011667538486,-36.6318359375
-0.729,-37.29204496407795,-36.713975000000005
-0.72675,-37.36688946971943,-36.795860937499995
-0.7245,-37.441544805562785,-36.87749375
-0.7222500000000001,-37.51601059366551,-36.958873437499996
-0.72,-37.590286457044755,-37.04
-0.71775,-37.66437201967907,-37.120873437499995
-0.7155,-37.73826690651049,-37.20149375
-0.7132499999999999,-37.811970743446295,-37.2818609375
-0.711,-37.88548315736096,-37.361975
-0.70875,-37.95880377609806,-37.4418359375
-0.7065,-38.03193222847211,-37.52144375
-0.70425,-38.10486814427048,-37.600798437499996
-0.702,-38.17761115425526,-37.6799
-0.69975,-38.2501608901651,-37.7587484375
-0.6975,-38.322516984717126,-37.83734375
-0.69525,-38.39467907160877,-37.9156859375
-0.6930000000000001,-38.46664678551961,-37.993775
-0.69075,-38.53841976211326,-38.0716109375
-0.6885,-38.60999763803916,-38.14919375
-0.68625,-38.681380050934486,-38.2265234375
-0.6839999999999999,-38.75256663942592,-38.3036
-0.68175,-38.82355704313151,-38.3804234375
-0.6795,-38.894350902662474,-38.45699375
-0.67725,-38.96494785962507,-38.5333109375
-0.675,-39.03534755662234,-38.609375
-0.67275,-39.10554963725598,-38.6851859375
-0.6705,-39.1755537461281,-38.76074375
-0.66825,-39.245359528843046,-38.8360484375
-0.6659999999999999,-39.3149666320092,-38.911100000000005
-0.6637500000000001,-39.384374703240745,-38.9858984375
-0.6615,-39.45358339115947,-39.060443750000005
-0.65925,-39.52259234539653,-39.1347359375
-0.657,-39.591401216594264,-39.208775
