detuning_MHz,excited_population,derived_mean_photons
-9.19,1.5251816085847064e-05,4.0
-9.18,1.526558588653264e-05,4.0
-9.17,1.5279383702408172e-05,4.0
-9.16,1.5293209632188013e-05,4.0
-9.15,1.5307063775078535e-05,4.0
-9.14,1.5320946230781255e-05,4.0
-9.129999999999999,1.533485709949595e-05,4.0
-9.120000000000001,1.5348796481923776e-05,4.0
-9.11,1.5362764479270496e-05,4.0
-9.1,1.5376761193249637e-05,4.0
-9.09,1.539078672608573e-05,4.0
-9.08,1.5404841180517518e-05,4.0
-9.07,1.5418924659801266e-05,4.0
-9.06,1.5433037267714067e-05,4.0
-9.05,1.5447179108557084e-05,4.0
-9.04,1.5461350287159003e-05,4.0
-9.03,1.5475550908879266e-05,4.0
-9.02,1.548978107961162e-05,4.0
-9.01,1.5504040905787417e-05,4.0
-9.0,1.551833049437915e-05,4.0
-8.99,1.5532649952903807e-05,4.0
-8.98,1.5546999389426527e-05,4.0
-8.969999999999999,1.5561378912564003e-05,4.0
-8.96,1.55757886314881e-05,4.0
-8.95,1.5590228655929387e-05,4.0
-8.94,1.56046990961808e-05,4.0
-8.93,1.5619200063101252e-05,4.0
-8.92,1.563373166811928e-05,4.0
-8.91,1.5648294023236795e-05,4.0
-8.9,1.5662887241032705e-05,4.0
-8.89,1.5677511434666792e-05,4.0
-8.879999999999999,1.5692166717883376e-05,4.0
-8.870000000000001,1.570685320501519e-05,4.0
-8.86,1.5721571010987213e-05,4.0
-8.85,1.5736320251320488e-05,4.0
-8.84,1.575110104213609e-05,4.0
-8.83,1.5765913500159027e-05,4.0
-8.82,1.5780757742722153e-05,4.0
-8.81,1.5795633887770233e-05,4.0
-8.8,1.5810542053863908e-05,4.0
-8.79,1.582548236018381e-05,4.0
-8.78,1.5840454926534544e-05,4.0
-8.77,1.5855459873348908e-05,4.0
-8.76,1.5870497321691985e-05,4.0
-8.75,1.5885567393265328e-05,4.0
-8.74,1.590067021041122e-05,4.0
-8.73,1.5915805896116834e-05,4.0
-8.719999999999999,1.5930974574018615e-05,4.0
-8.71,1.5946176368406502e-05,4.0
-8.7,1.5961411404228384e-05,4.0
-8.69,1.5976679807094336e-05,4.0
-8.68,1.5991981703281177e-05,4.0
-8.67,1.600731721973684e-05,4.0
-8.66,1.6022686484084943e-05,4.0
-8.65,1.6038089624629185e-05,4.0
-8.64,1.6053526770357982e-05,4.0
-8.629999999999999,1.606899805094914e-05,4.0
-8.620000000000001,1.6084503596774315e-05,4.0
-8.61,1.6100043538903855e-05,4.0
-8.6,1.611561800911136e-05,4.0
-8.59,1.6131227139878556e-05,4.0
-8.58,1.614687106439998e-05,4.0
-8.57,1.6162549916587892e-05,4.0
-8.56,1.6178263831077024e-05,4.0
-8.55,1.6194012943229582e-05,4.0
-8.54,1.620979738914014e-05,4.0
-8.53,1.6225617305640623e-05,4.0
-8.52,1.624147283030533e-05,4.0
-8.51,1.6257364101455993e-05,4.0
-8.5,1.627329125816688e-05,4.0
-8.49,1.628925444026995e-05,4.0
-8.48,1.6305253788359998e-05,4.0
-8.469999999999999,1.6321289443799947e-05,4.0
-8.46,1.6337361548726e-05,4.0
-8.45,1.6353470246053134e-05,4.0
-8.44,1.636961567948029e-05,4.0
-8.43,1.638579799349585e-05,4.0
-8.42,1.6402017333383043e-05,4.0
-8.41,1.6418273845225505e-05,4.0
-8.4,1.6434567675912725e-05,4.0
-8.39,1.6450898973145667e-05,4.0
-8.379999999999999,1.6467267885442382e-05,4.0
-8.370000000000001,1.6483674562143714e-05,4.0
-8.36,1.650011915341897e-05,4.0
-8.35,1.6516601810271697e-05,4.0
-8.34,1.6533122684545515e-05,4.0
-8.33,1.6549681928929974e-05,4.0
-8.32,1.6566279696966427e-05,4.0
-8.31,1.6582916143054043e-05,4.0
-8.3,1.659959142245574e-05,4.0
-8.29,1.6616305691304353e-05,4.0
-8.28,1.6633059106608644e-05,4.0
-8.27,1.664985182625948e-05,4.0
-8.26,1.6666684009036087e-05,4.0
-8.25,1.6683555814612295e-05,4.0
-8.24,1.6700467403562787e-05,4.0
-8.23,1.671741893736958e-05,4.0
-8.219999999999999,1.673441057842836e-05,4.0
-8.21,1.6751442490054972e-05,4.0
-8.2,1.676851483649202e-05,4.0
-8.19,1.678562778291532e-05,4.0
-8.18,1.6802781495440656e-05,4.0
-8.17,1.6819976141130433e-05,4.0
-8.16,1.6837211888000416e-05,4.0
-8.15,1.6854488905026582e-05,4.0
-8.14,1.687180736215191e-05,4.0
-8.129999999999999,1.6889167430293422e-05,4.0
-8.120000000000001,1.6906569281349065e-05,4.0
-8.11,1.692401308820479e-05,4.0
-8.1,1.694149902474168e-05,4.0
-8.09,1.69590272658431e-05,4.0
-8.08,1.6976597987401873e-05,4.0
-8.07,1.6994211366327673e-05,4.0
-8.06,1.7011867580554256e-05,4.0
-8.05,1.7029566809047e-05,4.0
-8.04,1.7047309231810244e-05,4.0
-8.03,1.7065095029894967e-05,4.0
-8.02,1.708292438540625e-05,4.0
-8.01,1.710079748151111e-05,4.0
-8.0,1.7118714502446074e-05,4.0
-7.99,1.7136675633525126e-05,4.0
-7.9799999999999995,1.7154681061147463e-05,4.0
-7.97,1.7172730972805537e-05,4.0
-7.96,1.7190825557092956e-05,4.0
-7.95,1.7208965003712686e-05,4.0
-7.9399999999999995,1.7227149503485105e-05,4.0
-7.93,1.7245379248356225e-05,4.0
-7.92,1.7263654431406073e-05,4.0
-7.91,1.7281975246856958e-05,4.0
-7.9,1.730034189008195e-05,4.0
-7.89,1.7318754557613402e-05,4.0
-7.88,1.733721344715149e-05,4.0
-7.87,1.735571875757295e-05,4.0
-7.86,1.7374270688939725e-05,4.0
-7.85,1.739286944250785e-05,4.0
-7.84,1.74115152207363e-05,4.0
-7.83,1.743020822729602e-05,4.0
-7.82,1.744894866707888e-05,4.0
-7.81,1.7467736746206882e-05,4.0
-7.8,1.7486572672041347e-05,4.0
-7.79,1.750545665319223e-05,4.0
-7.78,1.75243888995274e-05,4.0
-7.77,1.7543369622182245e-05,4.0
-7.76,1.7562399033569092e-05,4.0
-7.75,1.7581477347386902e-05,4.0
-7.74,1.760060477863095e-05,4.0
-7.7299999999999995,1.7619781543602654e-05,4.0
-7.72,1.7639007859919416e-05,4.0
-7.71,1.765828394652465e-05,4.0
-7.7,1.7677610023697816e-05,4.0
-7.6899999999999995,1.769698631306461e-05,4.0
-7.68,1.7716413037607132e-05,4.0
-7.67,1.7735890421674363e-05,4.0
-7.66,1.7755418690992455e-05,4.0
-7.6499999999999995,1.777499807267533e-05,4.0
-7.64,1.779462879523534e-05,4.0
-7.63,1.7814311088593873e-05,4.0
-7.62,1.7834045184092296e-05,4.0
-7.61,1.78538313145028e-05,4.0
-7.6,1.787366971403939e-05,4.0
-7.59,1.7893560618369083e-05,4.0
-7.58,1.7913504264623055e-05,4.0
-7.57,1.7933500891407957e-05,4.0
-7.56,1.795355073881743e-05,4.0
-7.55,1.7973654048443482e-05,4.0
-7.54,1.7993811063388257e-05,4.0
-7.53,1.8014022028275682e-05,4.0
-7.52,1.8034287189263375e-05,4.0
-7.51,1.805460679405458e-05,4.0
-7.5,1.8074981091910183e-05,4.0
-7.49,1.8095410333660993e-05,4.0
-7.4799999999999995,1.811589477171995e-05,4.0
-7.47,1.8136434660094532e-05,4.0
-7.46,1.8157030254399327e-05,4.0
-7.45,1.8177681811868644e-05,4.0
-7.4399999999999995,1.8198389591369237e-05,4.0
-7.43,1.82191538534132e-05,4.0
-7.42,1.8239974860170978e-05,4.0
-7.41,1.8260852875484437e-05,4.0
-7.3999999999999995,1.8281788164880136e-05,4.0
-7.39,1.830278099558265e-05,4.0
-7.38,1.8323831636528133e-05,4.0
-7.37,1.834494035837781e-05,4.0
-7.36,1.836610743353181e-05,4.0
-7.35,1.8387333136143012e-05,4.0
-7.34,1.840861774213102e-05,4.0
-7.33,1.8429961529196297e-05,4.0
-7.32,1.84513647768345e-05,4.0
-7.31,1.8472827766350756e-05,4.0
-7.3,1.8494350780874335e-05,4.0
-7.29,1.8515934105373182e-05,4.0
-7.28,1.853757802666888e-05,4.0
-7.27,1.8559282833451453e-05,4.0
-7.26,1.8581048816294618e-05,4.0
-7.25,1.8602876267670918e-05,4.0
-7.24,1.862476548196709e-05,4.0
-7.2299999999999995,1.864671675549975e-05,4.0
-7.22,1.8668730386530914e-05,4.0
-7.21,1.8690806675283902e-05,4.0
-7.2,1.8712945923959332e-05,4.0
-7.1899999999999995,1.8735148436751242e-05,4.0
-7.18,1.87574145198634e-05,4.0
-7.17,1.8779744481525735e-05,4.0
-7.16,1.8802138632010972e-05,4.0
-7.1499999999999995,1.882459728365141e-05,4.0
-7.14,1.8847120750855804e-05,4.0
-7.13,1.8869709350126545e-05,4.0
-7.12,1.8892363400076898e-05,4.0
-7.11,1.8915083221448363e-05,4.0
-7.1,1.893786913712843e-05,4.0
-7.09,1.896072147216819e-05,4.0
-7.08,1.8983640553800436e-05,4.0
-7.07,1.9006626711457656e-05,4.0
-7.06,1.9029680276790466e-05,4.0
-7.05,1.905280158368595e-05,4.0
-7.04,1.9075990968286474e-05,4.0
-7.03,1.9099248769008456e-05,4.0
-7.02,1.912257532656137e-05,4.0
-7.01,1.9145970983967042e-05,4.0
-7.0,1.9169436086579024e-05,4.0
-6.99,1.9192970982102236e-05,4.0
-6.9799999999999995,1.9216576020612736e-05,4.0
-6.97,1.9240251554577684e-05,4.0
-6.96,1.926399793887559e-05,4.0
-6.95,1.928781553081676e-05,4.0
-6.9399999999999995,1.931170469016377e-05,4.0
-6.93,1.9335665779152346e-05,4.0
-6.92,1.9359699162512406e-05,4.0
-6.91,1.938380520748925e-05,4.0
-6.8999999999999995,1.940798428386499e-05,4.0
-6.89,1.9432236763980203e-05,4.0
-6.88,1.9456563022755877e-05,4.0
-6.87,1.9480963437715376e-05,4.0
-6.86,1.9505438389006924e-05,4.0
-6.85,1.9529988259425942e-05,4.0
-6.84,1.9554613434438018e-05,4.0
-6.83,1.9579314302201778e-05,4.0
-6.82,1.9604091253592177e-05,4.0
-6.81,1.962894468222396e-05,4.0
-6.8,1.9653874984475356e-05,4.0
-6.79,1.9678882559512072e-05,4.0
-6.78,1.9703967809311432e-05,4.0
-6.77,1.972913113868692e-05,4.0
-6.76,1.975437295531271e-05,4.0
-6.75,1.9779693669748816e-05,4.0
-6.74,1.9805093695466137e-05,4.0
-6.7299999999999995,1.983057344887202e-05,4.0
-6.72,1.9856133349335935e-05,4.0
-6.71,1.9881773819215487e-05,4.0
-6.7,1.99074952838827e-05,4.0
-6.6899999999999995,1.99332981717505e-05,4.0
-6.68,1.995918291429956e-05,4.0
-6.67,1.9985149946105438e-05,4.0
-6.66,2.0011199704865816e-05,4.0
-6.6499999999999995,2.003733263142831e-05,4.0
-6.64,2.0063549169818254e-05,4.0
-6.63,2.00898497672671e-05,4.0
-6.62,2.0116234874240827e-05,4.0
-6.61,2.0142704944468855e-05,4.0
-6.6,2.0169260434973083e-05,4.0
-6.59,2.0195901806097444e-05,4.0
-6.58,2.0222629521537567e-05,4.0
-6.57,2.024944404837088e-05,4.0
-6.56,2.027634585708702e-05,4.0
-6.55,2.0303335421618447e-05,4.0
-6.54,2.0330413219371562e-05,4.0
-6.53,2.0357579731258047e-05,4.0
-6.52,2.0384835441726517e-05,4.0
-6.51,2.0412180838794572e-05,4.0
-6.5,2.0439616414081208e-05,4.0
-6.49,2.0467142662839464e-05,4.0
-6.4799999999999995,2.0494760083989557e-05,4.0
-6.47,2.0522469180152223e-05,4.0
-6.46,2.0550270457682557e-05,4.0
-6.45,2.057816442670418e-05,4.0
-6.4399999999999995,2.0606151601143676e-05,4.0
-6.43,2.0634232498765533e-05,4.0
-6.42,2.0662407641207322e-05,4.0
-6.41,2.0690677554015477e-05,4.0
-6.3999999999999995,2.0719042766681184e-05,4.0
-6.39,2.0747503812676877e-05,4.0
-6.38,2.0776061229493015e-05,4.0
-6.37,2.080471555867532e-05,4.0
-6.36,2.0833467345862383e-05,4.0
-6.35,2.0862317140823698e-05,4.0
-6.34,2.0891265497498112e-05,4.0
-6.33,2.092031297403268e-05,4.0
-6.32,2.0949460132821966e-05,4.0
-6.31,2.09787075405478e-05,4.0
-6.3,2.1008055768219364e-05,4.0
-6.29,2.103750539121389e-05,4.0
-6.28,2.1067056989317633e-05,4.0
-6.27,2.1096711146767446e-05,4.0
-6.26,2.1126468452292698e-05,4.0
-6.25,2.1156329499157727e-05,4.0
-6.24,2.1186294885204735e-05,4.0
-6.2299999999999995,2.1216365212897252e-05,4.0
-6.22,2.1246541089363815e-05,4.0
-6.21,2.1276823126442516e-05,4.0
-6.2,2.1307211940725764e-05,4.0
-6.1899999999999995,2.1337708153605643e-05,4.0
-6.18,2.13683123913198e-05,4.0
-6.17,2.13990252849978e-05,4.0
-6.16,2.1429847470708035e-05,4.0
-6.1499999999999995,2.1460779589505155e-05,4.0
-6.14,2.149182228747805e-05,4.0
-6.13,2.1522976215798338e-05,4.0
-6.12,2.1554242030769403e-05,4.0
-6.11,2.158562039387607e-05,4.0
-6.1,2.1617111971834738e-05,4.0
-6.09,2.1648717436644144e-05,4.0
-6.08,2.168043746563666e-05,4.0
-6.07,2.171227274153027e-05,4.0
-6.06,2.1744223952481065e-05,4.0
-6.05,2.1776291792136294e-05,4.0
-6.04,2.1808476959688133e-05,4.0
-6.03,2.1840780159928048e-05,4.0
-6.02,2.1873202103301737e-05,4.0
-6.01,2.1905743505964682e-05,4.0
-6.0,2.1938405089838486e-05,4.0
-5.99,2.1971187582667668e-05,4.0
-5.9799999999999995,2.2004091718077318e-05,4.0
-5.97,2.2037118235631226e-05,4.0
-5.96,2.2070267880890807e-05,4.0
-5.95,2.2103541405474748e-05,4.0
-5.9399999999999995,2.2136939567119215e-05,4.0
-5.93,2.2170463129738884e-05,4.0
-5.92,2.220411286348857e-05,4.0
-5.91,2.22378895448258e-05,4.0
-5.8999999999999995,2.2271793956573813e-05,4.0
-5.89,2.2305826887985547e-05,4.0
-5.88,2.233998913480828e-05,4.0
-5.87,2.2374281499349045e-05,4.0
-5.859999999999999,2.240870479054086e-05,4.0
-5.85,2.2443259824009623e-05,4.0
-5.84,2.2477947422141975e-05,4.0
-5.83,2.2512768414153864e-05,4.0
-5.82,2.2547723636159884e-05,4.0
-5.81,2.2582813931243586e-05,4.0
-5.8,2.261804014952849e-05,4.0
-5.79,2.2653403148250004e-05,4.0
-5.78,2.2688903791828222e-05,4.0
-5.77,2.2724542951941617e-05,4.0
-5.76,2.2760321507601496e-05,4.0
-5.75,2.2796240345227495e-05,4.0
-5.74,2.2832300358723964e-05,4.0
-5.7299999999999995,2.2868502449557182e-05,4.0
-5.72,2.2904847526833595e-05,4.0
-5.71,2.2941336507378995e-05,4.0
-5.7,2.297797031581863e-05,4.0
-5.6899999999999995,2.3014749884658333e-05,4.0
-5.68,2.3051676154366577e-05,4.0
-5.67,2.3088750073457602e-05,4.0
-5.66,2.3125972598575563e-05,4.0
-5.6499999999999995,2.3163344694579606e-05,4.0
-5.64,2.3200867334630096e-05,4.0
-5.63,2.3238541500275948e-05,4.0
-5.62,2.327636818154281e-05,4.0
-5.609999999999999,2.3314348377022648e-05,4.0
-5.6,2.3352483093964218e-05,4.0
-5.59,2.3390773348364643e-05,4.0
-5.58,2.342922016506239e-05,4.0
-5.57,2.346782457783104e-05,4.0
-5.56,2.350658762947455e-05,4.0
-5.55,2.354551037192347e-05,4.0
-5.54,2.358459386633253e-05,4.0
-5.53,2.3623839183179348e-05,4.0
-5.52,2.3663247402364424e-05,4.0
-5.51,2.3702819613312367e-05,4.0
-5.5,2.3742556915074445e-05,4.0
-5.49,2.3782460416432366e-05,4.0
-5.4799999999999995,2.3822531236003412e-05,4.0
-5.47,2.3862770502346926e-05,4.0
-5.46,2.3903179354072062e-05,4.0
-5.45,2.394375893994704e-05,4.0
-5.4399999999999995,2.3984510419009663e-05,4.0
-5.43,2.402543496067936e-05,4.0
