x,ground_marginal,excited_marginal
-3.896038996210454,2.0965638542858514e-11,0.00013195174754358313
-3.882921019792237,2.3838081740401042e-11,0.0001423267111521571
-3.86980304337402,2.709474370277387e-11,0.0001534646006501693
-3.856685066955803,3.078572048541163e-11,0.00016541715431414022
-3.8435670905375856,3.496746337833496e-11,0.00017823927590561163
-3.830449114119369,3.9703561668809275e-11,0.00019198920271554183
-3.817331137701152,4.506561876982735e-11,0.00020672868070914055
-3.804213161282935,5.113423246562796e-11,0.0002225231469460554
-3.7910951848647176,5.800009121605483e-11,0.00023944191944616226
-3.777977208446501,6.576519977833952e-11,0.00025755839466569494
-3.764859232028284,7.454424886056724e-11,0.0002769502527420475
-3.751741255610067,8.44661451295585e-11,0.00029769967065822574
-3.7386232791918497,9.567571967244163e-11,0.0003198935434696035
-3.725505302773633,1.0833563497243923e-10,0.0003436237137262567
-3.7123873263554157,1.2262851262355787e-10,0.0003689872092136864
-3.6992693499371985,1.387593063959062e-10,0.0003960864891231459
-3.6861513735189817,1.5695794789493545e-10,0.0004250296987500257
-3.673033397100765,1.7748229495781994e-10,0.00045593093280472854
-3.6599154206825477,2.0062141612423924e-10,0.000488910507405194
-3.6467974442643305,2.2669924803531134e-10,0.0005240952408036415
-3.6336794678461137,2.560786664840946e-10,0.0005616187428821308
-3.6205614914278965,2.891660160972522e-10,0.0006016217134321906
-3.6074435150096793,3.2641614830693314e-10,0.0006442522492129256
-3.5943255385914625,3.683380224139167e-10,0.0006896661597597708
-3.5812075621732458,4.155009301911181e-10,0.0007380272918922167
-3.5680895857550285,4.685414106770861e-10,0.0007895078628434955
-3.5549716093368113,5.281709286134296e-10,0.000844288801908274
-3.5418536329185946,5.951843974431426e-10,0.0009025601004758972
-3.528735656500378,6.704696359684453e-10,0.0009645211702865485
-3.5156176800821606,7.550178567322155e-10,0.001030381209715876
-3.5024997036639434,8.499352940064818e-10,0.001100359577860247
-3.4893817272457266,9.564560900209568e-10,0.0011746861761596382
-3.4762637508275094,1.0759565698271702e-09,0.0012536018372584284
-3.463145774409292,1.2099710480574859e-09,0.001337358720765894
-3.4500277979910754,1.3602093249013957e-09,0.0014262207155382146
-3.4369098215728586,1.5285760439858286e-09,0.001520463848062013
-3.4237918451546414,1.7171921016265539e-09,0.0016203766964761892
-3.410673868736424,1.928418315233693e-09,0.0017262608097239017
-3.3975558923182074,2.164881578637493e-09,0.0018384311312801575
-3.38443791589999,2.4295037538922126e-09,0.001957216426852557
-3.371319939481773,2.725533572866627e-09,0.0020829597154032927
-3.3582019630635562,3.056581847804992e-09,0.0022160187027899696
-3.3450839866453395,3.4266603182153884e-09,0.0023567662172706205
-3.3319660102271222,3.840224492104829e-09,0.002505590646065136
-3.318848033808905,4.30222087293301e-09,0.0026628963721109142
-3.3057300573906883,4.818138999918571e-09,0.002829104210095261
-3.2926120809724715,5.394068768736748e-09,0.0030046518407906213
-3.2794941045542543,6.036763542444043e-09,0.0031899942426617056
-3.266376128136037,6.753709608925886e-09,0.0033856041196558178
-3.2532581517178203,7.5532025915721e-09,0.0035919723240294874
-3.240140175299603,8.444431474548567e-09,0.0038096082730057746
-3.2270221988813863,9.437570963285629e-09,0.004039040357997777
-3.213904222463169,1.0543882964989489e-08,0.004280816345075272
-3.200786246044952,1.1775828043481032e-08,0.004535503765292343
-3.187668269626735,1.3147187777876223e-08,0.004803690293435955
-3.174550293208518,1.4673199035969144e-08,0.005085984113697379
-3.161432316790301,1.637070126111585e-08,0.005383014270711479
-3.148314340372084,1.8258297966433063e-08,0.0056954310043531705
-3.135196363953867,2.0356533732726498e-08,0.0060239060666252425
-3.12207838753565,2.2688088117303e-08,0.006369133018919039
-3.108960411117433,2.5277988000272026e-08,0.006731827507877597
-3.095842434699216,2.8153840023732133e-08,0.007112727518041993
-3.0827244582809987,3.134608491799785e-08,0.007512593599413918
-3.069606481862782,3.488827565847743e-08,0.007932209068023633
-3.0564885054445647,3.881738155765123e-08,0.008372380177550478
-3.043370529026348,4.317412056964061e-08,0.008833936260004501
-3.0302525526081308,4.8003322270880633e-08,0.0093177298334434
-3.017134576189914,5.335432418030138e-08,0.009824636674666883
-3.0040165997716968,5.928140429709067e-08,0.010355555854804471
-2.99089862335348,6.584425296448634e-08,0.010911409735688821
-2.977780646935263,7.310848741520348e-08,0.011493143924889962
-2.9646626705170456,8.114621261900372e-08,0.012101727187271602
-2.951544694098829,9.003663233679522e-08,0.01273815131092399
-2.9384267176806116,9.986671458956787e-08,0.013403430925325316
-2.925308741262395,1.1073191607572565e-07,0.014098603269587463
-2.9121907648441776,1.2273697041824342e-07,0.014824727908652961
-2.899072788425961,1.359967454948527e-07,0.01558288639532549
-2.8859548120077436,1.5063717550163385e-07,0.01637418187604146
-2.872836835589527,1.6679627382433603e-07,0.0171997386383194
-2.8597188591713096,1.8462523324408297e-07,0.018060701597863663
-2.8466008827530924,2.0428962048635098e-07,0.018958235723343157
-2.8334829063348757,2.259706726359766e-07,0.019893525396921158
-2.8203649299166584,2.4986670348809914e-07,0.020867773708673105
-2.8072469534984417,2.761946284871957e-07,0.021882201683099595
-2.7941289770802245,3.05191617525602e-07,0.022938047436021576
-2.7810110006620077,3.3711688553092763e-07,0.02403656526023051
-2.7678930242437905,3.722536314707015e-07,0.025179024638364883
-2.7547750478255737,4.1091113714428583e-07,0.026366709181587254
-2.7416570714073565,4.534270379188382e-07,0.027600915492753352
-2.7285390949891397,5.001697783998379e-07,0.028882951952885382
-2.7154211185709225,5.515412669098486e-07,0.03021413742989754
-2.7023031421527053,6.079797435837797e-07,0.031595799908661085
-2.6891851657344885,6.699628778774611e-07,0.03302927504164984
-2.6760671893162713,7.38011112331046e-07,0.03451590461956648
-2.6629492128980545,8.126912705320167e-07,0.03605703496151863
-2.6498312364798373,8.946204483869526e-07,0.0376540152244951
-2.6367132600616205,9.84470209038845e-07,0.03930819563207602
-2.6235952836434033,1.0829711030605442e-06,0.04102092562251079
-2.6104773072251866,1.190917536916818e-06,0.04279355191649798
-2.5973593308069693,1.3091730141205648e-06,0.04462741650521762
-2.584241354388752,1.4386757750148072e-06,0.04652385455938283
-2.5711233779705354,1.5804448626942996e-06,0.04848419226030872
-2.558005401552318,1.7355866442407346e-06,0.05050974455422897
-2.5448874251341014,1.9053018181864155e-06,0.05260181283133172
-2.531769448715884,2.0908929409452447e-06,0.0547616825312363
-2.5186514722976674,2.2937725068586165e-06,0.056990620676881286
-2.50553349587945,2.515471618500676e-06,0.05928987333905678
-2.4924155194612334,2.7576492859728254e-06,0.061660663034071694
-2.479297543043016,3.022102396095233e-06,0.06410418605731787
-2.466179566624799,3.3107763946732724e-06,0.06662160975575693
-2.453061590206582,3.6257767273827425e-06,0.06921406974263217
-2.439943613788365,3.969381087279571e-06,0.07188266705797822
-2.4268256373701482,4.344052519499162e-06,0.0746284652787746
-2.413707660951931,4.7524534363695485e-06,0.07745248758286748
-2.4005896845337142,5.197460598919651e-06,0.08035571377105043
-2.387471708115497,5.682181123622939e-06,0.08333907725197391
-2.3743537316972803,6.209969576174095e-06,0.08640346199481395
-2.361235755279063,6.7844462171555255e-06,0.08954969945490285
-2.348117778860846,7.40951646760781e-06,0.09277856547777825
-2.334999802442629,8.089391665775484e-06,0.09609077718736703
-2.321881826024412,8.828611189653274e-06,0.09948698986426503
-2.308763849606195,9.632066023406904e-06,0.10296779382031412
-2.295645873187978,1.0505023849286338e-05,0.10653371127591281
-2.282527896769761,1.1453155750280617e-05,0.11018519324671272
-2.269409920351544,1.2482564612484565e-05,0.11392261644657141
-2.256291943933327,1.3599815319948145e-05,0.1177462802138234
-2.24317396751511,1.4811966838660974e-05,0.12165640346812527
-2.2300559910968927,1.6126606290274686e-05,0.12565312170529588
-2.216938014678676,1.7551885120186043e-05,0.12973648403773594
-2.2038200382604587,1.909655746867995e-05,0.13390645028815
-2.190702061842242,2.077002085795879e-05,0.13816288814441663
-2.1775840854240247,2.2582359312057966e-05,0.14250557038356532
-2.164466109005808,2.4544389030846356e-05,0.14693417217289825
-2.1513481325875907,2.6667706743539516e-05,0.1514482684563724
-2.138230156169374,2.8964740871384142e-05,0.1560473314343964
-2.1251121797511567,3.1448805633408836e-05,0.16073072814523137
-2.1119942033329395,3.413415823334633e-05,0.16549771815618144
-2.0988762269147228,3.703605927002197e-05,0.17034745137274862
-2.0857582504965055,4.017083651763504e-05,0.17527896597388054
-2.0726402740782888,4.3555952226429386e-05,0.18029118648137277
-2.0595222976600716,4.721007409824234e-05,0.18538292197140466
-2.046404321241855,5.115315009529295e-05,0.19055286443606126
-2.0332863448236376,5.540648724433921e-05,0.19579958730256622
-2.020168368405421,5.999283460193038e-05,0.2011215441177727
-2.0070503919872036,6.493647054992794e-05,0.2065170674052785
-1.9939324155689864,7.026329459369762e-05,0.21198436770230414
-1.9808144391507696,7.600092383839557e-05,0.21752153278323869
-1.9676964627325524,8.21787943215296e-05,0.22312652707648187
-1.9545784863143356,8.882826738245178e-05,0.2287971912809174
-1.9414605098961184,9.598274125160985e-05,0.23453124218803723
-1.9283425334779016,0.00010367776804419159,0.24032627271538126
-1.9152245570596844,0.00011195117634424377,0.24617975215659813
-1.9021065806414676,0.00012084319956635511,0.2520890266530263
-1.8889886042232504,0.000130396610282572,0.2580513198912887
-1.8758706278050332,0.00014065686070228057,0.2640637340309417
-1.8627526513868164,0.00015167222949233534,0.2701232508657661
-1.8496346749685992,0.00016349397512369673,0.27622673322179897
