t_us,P00,P01,P11,phi00,phi01,phi11,omega1p_MHz,omega2p_MHz,delta1_MHz,delta2_MHz
0.154375,0.7607840690360157,0.2592060798917263,0.11936484407941846,1.5844588801233348,-2.608640079026433,0.10065436729784416,431.16105056689383,377.64911884731373,-6.704129383938474,-1.9324005094624288
0.155,0.7510608767706903,0.2640471365552622,0.11879216880445496,1.6003379126983148,-2.5880790445424466,0.2270982545647282,431.12031651627393,376.58343398615375,-6.49401749413251,-1.7251220550420303
0.155625,0.7407851931753422,0.2689382574641139,0.11858878379003206,1.6157490246721142,-2.5662978974222463,0.3530917360399002,431.1377901471796,375.4209633172114,-6.283080889981613,-1.517049895012691
0.15625,0.7299966561243488,0.2737853441596934,0.118756690434725,1.6306661233570718,-2.5433738088599336,0.4783370095108239,431.20601957410065,374.1622058204497,-6.071507068336549,-1.3083699833467008
0.15687500000000001,0.7187370334871968,0.27849770271955754,0.11929154746820457,1.6450621950851865,-2.5193968367819153,0.6025372636597055,431.3169908435668,372.8079956243778,-5.8594838170781545,-1.0992685569501972
0.1575,0.7070500972370589,0.2829888576199913,0.12018274874697976,1.6589092769086449,-2.4944665810215607,0.725404703714787,431.4621754777869,371.3594986342443,-5.647199034977351,-0.8899319567318159
0.15812500000000002,0.6949814925360932,0.2871773173048267,0.12141360124933945,1.6721784546920846,-2.4686894235149435,0.8466678878948954,431.63258143359695,369.81820770379096,-5.4348405515276,-0.6805464486455031
0.15875,0.6825785997251655,0.2909872856600181,0.12296160039222437,1.684839891395768,-2.4421763261260514,0.9660778593737724,431.81880716415804,368.18593637197154,-5.222595946926706,-0.4712980448832363
0.15937500000000002,0.6698903872269937,0.2943493140157102,0.12479879988235432,1.696862889353854,-2.4150411332925845,1.0834127161859186,432.01109845081317,366.4648111922782,-5.010652372383923,-0.26237232539254157
0.16,0.656967253268598,0.29720088926463595,0.1268922727497986,1.7082159903598821,-2.3873993147313897,1.1984804458093272,432.1994076545393,364.6572626884374,-4.799196370928676,-0.053954259893971644
0.160625,0.6438608542205179,0.29948695453060215,0.1292046582173924,1.7188671174853924,-2.3593670815279175,1.3111200320982626,432.3734550206429,362.7660149761881,-4.588413698896151,0.15377196942728677
0.16125,0.630623917463592,0.3011603589122976,0.1316947860074168,1.7287837627456444,-2.331060813054492,1.4212009966155499,432.52279165680466,360.7940740966285,-4.3784891482646335,0.3606231443819075
0.161875,0.6173100371446447,0.3021822321383229,0.13431836680473683,1.737933224838585,-2.302596738750788,1.528621647376628,432.6368637934405,358.74471511218115,-4.169606370018695,0.5664171862160359
0.1625,0.6039734519219833,0.3025222790696109,0.13702873600161353,1.7462829010024326,-2.274090825396218,1.6333063674887853,432.7050779265934,356.62146802155235,-3.9619476987107203,0.7709733298585781
0.163125,0.590668804570301,0.3021589887348732,0.13977763767118873,1.7538006363965124,-2.245658826154343,1.7352022846736155,432.71686643735023,354.42810255514473,-3.7556939783929497,0.9741122968051448
0.16375,0.5774508839658835,0.30107975346997634,0.1425160361593505,1.760455133320125,-2.217416452752283,1.8342756299960037,432.661753278065,352.1686119171741,-3.5510243900900504,1.1756564664696412
0.164375,0.5643743503884924,0.29928089554396725,0.14519494256019072,1.7662164210732243,-2.189479637333182,1.9305080366181144,432.52941931452136,349.84719554524787,-3.348116280981152,1.3754300458356967
0.165,0.5514934454255237,0.2967676006568259,0.1477662422682786,1.7710563854853332,-2.1619648560237685,2.023892963945361,432.30976691459875,347.4682409623493,-3.147144995458387,1.57325923724191
0.165625,0.5388616882038202,0.29355375915865684,0.1501835082897667,1.774949355012902,-2.1349894915191996,2.1144323725440834,431.9929833779819,345.03630480002556,-2.9482837082272555,1.7689724041366732
0.16625,0.5265315603305659,0.28966171649457806,0.15240278415414588,1.7778727377636017,-2.1086722156887827,2.202133726249599,431.5696028079884,342.55609307508246,-2.7517032596117503,1.962400234640647
0.166875,0.5145541827625786,0.2851219346971854,0.15438332096543173,1.7798077006381163,-2.083133374461717,2.2870073601982774,431.03056603561896,340.0324408052405,-2.5575719932257153,2.1533759027564567
0.1675,0.5029789886269412,0.27997256743757903,0.15608825518820005,1.7807398779289176,-2.0584953557609946,2.3690642243334246,430.36727821741266,337.47029105196134,-2.36605559616851,2.3417352270685208
0.168125,0.49185339660510974,0.2742589526839476,0.1574852163842861,1.780660092314923,-2.0348829177373347,2.4483139891980876,429.5716637425583,334.8746734810542,-2.177316941901612,2.5273168267774033
0.16875,0.4812224897642442,0.26803302926550626,0.1585468562273591,1.779565066567245,-2.012423449983311,2.524763484587613,428.6362181008735,332.25068253364645,-1.991515935959371,2.709962274916428
0.169375,0.47112870475226565,0.2613526859243418,0.15925129142454916,1.7774580999170322,-1.991247135447602,2.5984154328531126,427.5540563816228,329.6034553017001,-1.8088093646446814,2.889516248600758
0.17,0.4616115362216966,0.25428105300749715,0.15958245407394475,1.7743496793759288,-1.9714869751053472,2.669267437795984,426.3189580936045,326.93814920342544,-1.6293507468572628,3.065826676162196
0.170625,0.45270726132660544,0.2468857475421323,0.15953034431986218,1.770257993766629,-1.9532786301063378,2.737311195591186,424.92540801934666,324.2599195547236,-1.4532901891992267,3.2387448810259385
0.17125,0.4444486891733214,0.23923808232111177,0.1590911824615843,1.765209317141366,-1.9367600261508224,2.802531902941883,423.3686328404958,321.5738971331323,-1.2807742444990786,3.408125722189053
0.171875,0.4368649400434577,0.23141224944414288,0.1582674607284637,1.7592382290185533,-1.922070652031449,2.864907846762918,421.644633297412,318.885165830707,-1.1119457738925327,3.573827731163166
0.17250000000000001,0.4299812589224908,0.2234844889923137,0.15706789800542212,1.7523876418494577,-1.9093504698073893,2.9244101674792446,419.7502116734116,316.1987404917862,-0.946943812594057,3.7357132452483213
0.173125,0.4238188672643046,0.21553225415573782,0.15550730304769353,1.744708611716674,-1.898738340275714,2.981002795258153,417.68299442290623,313.51954503072983,-0.7859034394905243,3.8936485370074596
0.17375000000000002,0.41839485605742777,0.2076333847806253,0.15360635296925668,1.7362599166670307,-1.89036985752076,3.0346425670129697,415.4414497926365,310.8523909234288,-0.6289556506834678,4.047503939815851
0.174375,0.41372212228687766,0.1998653013556328,0.15139129428135986,1.7271073980902667,-1.8843744841083048,3.0852795433176077,413.024900316165,308.201956164723,-0.4762272371034079,4.1971539693627715
0.17500000000000002,0.40980934994378065,0.19230423073114014,0.148893574242674,1.7173230735127945,-1.8808718883439353,3.132857559006805,410.4335300935361,305.57276478179836,-0.3278406663151721,4.342477440987321
0.175625,0.40666103591944314,0.18502447348874948,0.14614941111340657,1.7069840429584318,-1.8799674125072272,-3.1058702497298682,407.6683868003637,302.96916699120356,-0.18391396862917306,4.4833575827341114
0.17625,0.4042775603725633,0.1780977213595747,0.1431993130832418,1.6961712242849316,-1.88174665309427,-3.0645990328347175,404.7313784033562,300.3953200843273,-0.04456062762930557,4.619682144018898
0.176875,0.40265530040023545,0.17159243180475953,0.1400875566493247,1.6849679642588677,-1.8862692184796117,-3.026582457114042,401.6252645922433,297.8551701230281,0.09011052477619542,4.751343499798513
0.1775,0.40178678499584236,0.1655732659819799,0.13686163556788847,1.6734585804685684,-1.8935618520741642,-2.99188934855081,398.3536429710035,295.352434523624,0.21999540867914147,4.8782387501439395
