t_us,omega1_MHz,omega2_MHz,delta1_MHz,delta2_MHz,P00,P01,P11,phi00_rad,phi01_rad,phi11_rad
2.312499999999999972e-02,1.708960896582614186e+00,2.491196642248708848e+00,1.755368846883192191e+01,1.806711243773407816e+01,9.984994057339054985e-01,9.953636723672889541e-01,9.922377877464474416e-01,4.618435641848589088e-04,1.461773454150584088e-03,2.461703028644293082e-03
2.375000000000000028e-02,1.788607967646662411e+00,2.607300244382891208e+00,1.751532643379202625e+01,1.803076393730305327e+01,9.982814643211006533e-01,9.946946702130150531e-01,9.911207652063216411e-01,5.459498232396662156e-04,1.727635944312992970e-03,2.909321558562137817e-03
2.437500000000000083e-02,1.869300940277323519e+00,2.724928484369275594e+00,1.747529271760555858e+01,1.799273785431975625e+01,9.980410210330408205e-01,9.939576606539802794e-01,9.898910098146957992e-01,6.419998325669300883e-04,2.031184048888901288e-03,3.420367452751538629e-03
2.500000000000000139e-02,1.951011065643725173e+00,2.844039454291144686e+00,1.743354377914196718e+01,1.795298649824195891e+01,9.977768189850535485e-01,9.931490804000063788e-01,9.885428101895868958e-01,7.511981848622589775e-04,2.376207650510795376e-03,4.001215818298015092e-03
2.562500000000000194e-02,2.033713551519067853e+00,2.964597013876192566e+00,1.739003589279946027e+01,1.791146195496863669e+01,9.974876227045653687e-01,9.922654788258349345e-01,9.870706816952685703e-01,8.748158727748870083e-04,2.766704133960804727e-03,4.658590332059885444e-03
2.624999999999999903e-02,2.117387544045227887e+00,3.086570763914326054e+00,1.734472521261128719e+01,1.786811615562681865e+01,9.971722242721380303e-01,9.913035414370239273e-01,9.854694088151966236e-01,1.014189577401744665e-03,3.206875918327345247e-03,5.399559000354501107e-03
2.687499999999999958e-02,2.202016078860023818e+00,3.209935975014610587e+00,1.729756783692886657e+01,1.782290094598122110e+01,9.968294490511487860e-01,9.902601122917037424e-01,9.837340856894738472e-01,1.170720727983612288e-03,3.701127215163488391e-03,6.231528593051180280e-03
2.750000000000000014e-02,2.287586001842484951e+00,3.334673472073591771e+00,1.724851987361247652e+01,1.777576815639253383e+01,9.964581609334922652e-01,9.891322151499740700e-01,9.818601543892473416e-01,1.345874354682195665e-03,4.254060065686592930e-03,7.162237834212824804e-03
2.812500000000000069e-02,2.374087859928444288e+00,3.460769475114350513e+00,1.719753750565998018e+01,1.772666967225003276e+01,9.960572670351459657e-01,9.879170731416737627e-01,9.798434405324647489e-01,1.541177757991025760e-03,4.870469713146096530e-03,8.199749435427616806e-03
2.875000000000000125e-02,2.461515762643387895e+00,3.588215397439340926e+00,1.714457705720316127e+01,1.767555750480314813e+01,9.956257217824406869e-01,9.866121267640514114e-01,9.776801858814508916e-01,1.758219019544215956e-03,5.555339368214114865e-03,9.352441059637710968e-03
2.937500000000000180e-02,2.549867215190510183e+00,3.717007602318526338e+00,1.708959505980098115e+01,1.762238386231645748e+01,9.951625303372724218e-01,9.852150500429011082e-01,9.753670776019596200e-01,1.998645379844478202e-03,6.313834425710483297e-03,1.062899530277040989e-02
2.999999999999999889e-02,2.639142924118208722e+00,3.847147119705843554e+00,1.703254831895862154e+01,1.756710122147191910e+01,9.946667513171905117e-01,9.837237647137043739e-01,9.729012739049188729e-01,2.264161508754114135e-03,7.151296190280483772e-03,1.203838877803226765e-02
3.062499999999999944e-02,2.729346576771544797e+00,3.978639324739861927e+00,1.697339398080081807e+01,1.750966239894202303e+01,9.941374987741093960e-01,9.821364523027054094e-01,9.702804258352323297e-01,2.556527694507214604e-03,8.073235166948364641e-03,1.358988038361207649e-02
3.125000000000000000e-02,2.820484595905369041e+00,4.111493580036981399e+00,1.691208959882778373e+01,1.745002062305696811e+01,9.935739434032214712e-01,9.804515640113516950e-01,9.675026950159293371e-01,2.877557976542180658e-03,9.085323969941910827e-03,1.529299882906739322e-02
3.187500000000000056e-02,2.912565871001870033e+00,4.245722844026049714e+00,1.684859320068171940e+01,1.738812960548912301e+01,9.929753129614857787e-01,9.786678283307594928e-01,9.645667671999659243e-01,3.229118246660973336e-03,1.019338990000838788e-02,1.715752948918469051e-02
3.250000000000000111e-02,3.005601467991070308e+00,4.381343247800392859e+00,1.678286335485203651e+01,1.732394361287757079e+01,9.923408918826243097e-01,9.767842563355542129e-01,9.614718615254583822e-01,3.613124341938768209e-03,1.140340723681219047e-02,1.919350064696419625e-02
3.312500000000000167e-02,3.099604319218272064e+00,4.518373643175324084e+00,1.671485923724706169e+01,1.725741753831578151e+01,9.916700200829420275e-01,9.748001446283759419e-01,9.582177354124766788e-01,4.031540151481495006e-03,1.272148928911549966e-02,2.141116917995507934e-02
3.375000000000000222e-02,3.194588895636950365e+00,4.656835124835204454e+00,1.664454069756029142e+01,1.718850697262525529e+01,9.909620909593231941e-01,9.727150759273086589e-01,9.548046850802979213e-01,4.486375757605983935e-03,1.415388024148427244e-02,2.382100573681530942e-02
3.437500000000000278e-02,3.290570863327810791e+00,4.796750529632377358e+00,1.657186832535923315e+01,1.711716827533829033e+01,9.902165485874835360e-01,9.705289173084441501e-01,9.512335417028605633e-01,4.979685630344636051e-03,1.570694683241284639e-02,2.643367944404081266e-02
3.500000000000000333e-02,3.387566726554398944e+00,4.938143916260057331e+00,1.649680351582507853e+01,1.704335864531304523e+01,9.894328841349323556e-01,9.682418161345837104e-01,9.475056632567773196e-01,5.513566892398073967e-03,1.738716989518486120e-02,2.926004217662307033e-02
3.562500000000000389e-02,3.485593459661593396e+00,5.081040028661214514e+00,1.641930853507170696e+01,1.696703619090444093e+01,9.886106315090787966e-01,9.658541937187480331e-01,9.436229221504602860e-01,6.090157669816270714e-03,1.920113578962974812e-02,3.231111242124443117e-02
3.624999999999999750e-02,3.584668130205222347e+00,5.225463746654844144e+00,1.633934658497288339e+01,1.688815999961475001e+01,9.877493622665918238e-01,9.633667367876915799e-01,9.395876887546139589e-01,6.711635541817887948e-03,2.115552775031323898e-02,3.559805875676098907e-02
3.687499999999999806e-02,3.684807515768242059e+00,5.371439527358952581e+00,1.625688186742675612e+01,1.680669020714823603e+01,9.868486798153975892e-01,9.607803868260614832e-01,9.354028109835027527e-01,7.380216101290949793e-03,2.325711717471325157e-02,3.913218297436709542e-02
3.749999999999999861e-02,3.786027716970941093e+00,5.518990841065511077e+00,1.617187964798750244e+01,1.672258806579442592e+01,9.859082129457215071e-01,9.580963273962653792e-01,9.310715901030084396e-01,8.098151635680950200e-03,2.551275487364735445e-02,4.292490285915274290e-02
3.812499999999999917e-02,3.888343769219254398e+00,5.668139605275881898e+00,1.608430631879418726e+01,1.663581601206558958e+01,9.849276087312761607e-01,9.553159695425672560e-01,9.265977529656620471e-01,8.867729936185824585e-03,2.792936230567924852e-02,4.698773465588107490e-02
3.874999999999999972e-02,3.991769255756010715e+00,5.818905620635582032e+00,1.599412946072773956e+01,1.654633773351426029e+01,9.839065248461796864e-01,9.524409354005618500e-01,9.219854208946852703e-01,9.691273241453487661e-03,3.051392281745355858e-02,5.133227524480448584e-02
3.937500000000000028e-02,4.096315924584875034e+00,5.971306012514396855e+00,1.590131790472755036e+01,1.645411823465758161e+01,9.828446213474435478e-01,9.494730401449832380e-01,9.172390754586826622e-01,1.057113732032564056e-02,3.327347291288408615e-02,5.597018405823903087e-02
4.000000000000000083e-02,4.201993311825670929e+00,6.125354681961617587e+00,1.580584179219993146e+01,1.635912390193597332e+01,9.817415519769665533e-01,9.464142724199392509e-01,9.123635213962840718e-01,1.150971069659269264e-02,3.621509357581511462e-02,6.091316477541314223e-02
4.062500000000000139e-02,4.308808374032651045e+00,6.281061769726895783e+00,1.570767263445151052e+01,1.626132256763458273e+01,9.805969550408935032e-01,9.432667734061265241e-01,9.073638469658059647e-01,1.250941401721618849e-02,3.934590167313346820e-02,6.617294684173721797e-02
4.125000000000000194e-02,4.416765131964543123e+00,6.438433136974554216e+00,1.560678337108147851e+01,1.616068357269668709e+01,9.794104439280353347e-01,9.400328146894808556e-01,9.022453820091997923e-01,1.357269956403003158e-02,4.267304146824998923e-02,7.176126686899596263e-02
4.187500000000000250e-02,4.525864328236641754e+00,6.597469866234170865e+00,1.550314842726768028e+01,1.605717782835957053e+01,9.781815973327214753e-01,9.367147751050379778e-01,8.970136540323180308e-01,1.470205090753926025e-02,4.620367627829394253e-02,7.768984998488584481e-02
4.250000000000000305e-02,4.636103101211577204e+00,6.758167786022705847e+00,1.539674376988236659e+01,1.595077787654420121e+01,9.769099492510637806e-01,9.333151167385710378e-01,8.916743426151552132e-01,1.589998270008271056e-02,4.994498031215100636e-02,8.397039121359221869e-02
4.312500000000000361e-02,4.747474677396838594e+00,6.920517022444371946e+00,1.528754696237467670e+01,1.584145794893130166e+01,9.755949788230443565e-01,9.298363602768254799e-01,8.862332324763462221e-01,1.716904060429963463e-02,5.390413073048423015e-02,9.061453698345600660e-02
4.375000000000000416e-02,4.859968084514232345e+00,7.084501580924537301e+00,1.517553721835797909e+01,1.572919402465768712e+01,9.742361000961744510e-01,9.262810599048209026e-01,8.806961655261077437e-01,1.851180135152624001e-02,5.808829997294984865e-02,9.763386687289060673e-02
4.437499999999999778e-02,4.973567887289873646e+00,7.250098961063955905e+00,1.506069545384142927e+01,1.561396388656786982e+01,9.728326517895770076e-01,9.226517779557469323e-01,8.750689922511365459e-01,1.993087292343400166e-02,6.250464840177911985e-02,1.050398757211894463e-01
4.499999999999999833e-02,5.088253947883695005e+00,7.417279807410633197e+00,1.494300433804635198e+01,1.549574717595747764e+01,9.713838871402372677e-01,9.189510595252781133e-01,8.693575227838603592e-01,2.142889484889672763e-02,6.716031731455478215e-02,1.128439562462667800e-01
4.562499999999999889e-02,5.204001212735507309e+00,7.586007598739807456e+00,1.482244834274947642e+01,1.537452544574632718e+01,9.698889639157749487e-01,9.151814072676429657e-01,8.635674780170248255e-01,2.300853860673069198e-02,7.206242238216177542e-02,1.210573823261908849e-01
4.624999999999999944e-02,5.320779527451416691e+00,7.756238378209063811e+00,1.469901379009624520e+01,1.525028221202047263e+01,9.683469346803115219e-01,9.113452565952763207e-01,8.577044411328235141e-01,2.467250812358951981e-02,7.721804757033190469e-02,1.296912931150534243e-01
4.687500000000000000e-02,5.438553481190449901e+00,7.927920526516690991e+00,1.457268889882914742e+01,1.512300300388423757e+01,9.667567374018175563e-01,9.074449515072536832e-01,8.517738099237003313e-01,2.642354035491354530e-02,8.263423960471269480e-02,1.387566781756609802e-01
4.750000000000000056e-02,5.557282281838052285e+00,8.100994579938852524e+00,1.444346382887728097e+01,1.499267541156465278e+01,9.651171864905969677e-01,9.034827212736999957e-01,8.457807502893037732e-01,2.826440593544030447e-02,8.831800303977013766e-02,1.482643638211223747e-01
4.812500000000000111e-02,5.676919663071156918e+00,8.275393094855912679e+00,1.431133072425499542e+01,1.485928913271250984e+01,9.634269643592561216e-01,8.994606582037477649e-01,8.397301513007063845e-01,3.019790988439109355e-02,9.427629599088287182e-02,1.582250008639933259e-01
4.875000000000000167e-02,5.797413824230441826e+00,8.451040560102681454e+00,1.417628375421917752e+01,1.472283601684596910e+01,9.616846135944784324e-01,8.953806967232027514e-01,8.336265822284832927e-01,3.222689234907574057e-02,1.005160265865223390e-01,1.686490539746076378e-01
4.937500000000000222e-02,5.918707403719902338e+00,8.627853358192281163e+00,1.403831915263624630e+01,1.458331010788435123e+01,9.598885298301808033e-01,8.912445939844653164e-01,8.274742519351775405e-01,3.435422936932871346e-02,1.070440501932910654e-01,1.795467928489821452e-01
5.000000000000000278e-02,6.040737486453407357e+00,8.805739776171146005e+00,1.389743525551171111e+01,1.444070768472168353e+01,9.580369554099714691e-01,8.870539122253499054e-01,8.212769710344759444e-01,3.658283364393101478e-02,1.138671674606883955e-01,1.909282853807041935e-01
5.062500000000000333e-02,6.163435645663550844e+00,8.984600066564945919e+00,1.375363253663699048e+01,1.429502729979131104e+01,9.561279739243306874e-01,8.828100030848580193e-01,8.150381172184761880e-01,3.891565527901847538e-02,1.209921232247170575e-01,2.028033930200593693e-01
5.125000000000000389e-02,6.286728019181279770e+00,9.164326558573291592e+00,1.360691364130982528e+01,1.414626981557503349e+01,9.541595057044128803e-01,8.785139940725484875e-01,8.087606041500640108e-01,4.135568249746203462e-02,1.284256062998049841e-01,2.151817684870140912e-01
5.187500000000000444e-02,6.410535420086461045e+00,9.344803819368019404e+00,1.345728341808662876e+01,1.399443843901193496e+01,9.521293043498589848e-01,8.741667773737271663e-01,8.024468543089252615e-01,4.390594228736866000e-02,1.361742501770231428e-01,2.280728559823536894e-01
5.249999999999999806e-02,6.534773481421286334e+00,9.525908865045604301e+00,1.330474894852696721e+01,1.383953875376440834e+01,9.500349543624589943e-01,8.697690011551181266e-01,7.960987761664222173e-01,4.656950096723091320e-02,1.442446346333079721e-01,2.414858940132702247e-01
5.312499999999999861e-02,6.659352834451302883e+00,9.707511420482948239e+00,1.314931957489222647e+01,1.368157875030061099e+01,9.478738699508665322e-01,8.653210635149877206e-01,7.897177460457882603e-01,4.934946464488795120e-02,1.526432882414885672e-01,2.554299209161586259e-01
5.374999999999999917e-02,6.784179319754215953e+00,9.889474227046960664e+00,1.299100692576270788e+01,1.352056885375506212e+01,9.456432950639456214e-01,8.608231091978890692e-01,7.833045949993063806e-01,5.224897954738701861e-02,1.613766917545560731e-01,2.699137831206397942e-01
5.437499999999999972e-02,6.909154230215755810e+00,1.007165339681596805e+01,1.282982493953907976e+01,1.335652194953092575e+01,9.433403047016091225e-01,8.562750291674917635e-01,7.768596010028355758e-01,5.527123219908919999e-02,1.704512823200526606e-01,2.849461461554271269e-01
5.500000000000000028e-02,7.034174584815880316e+00,1.025389881168495165e+01,1.266578988579659004e+01,1.318945340660993715e+01,9.409618075423891170e-01,8.516764631015910636e-01,7.703824867299836621e-01,5.841944942597121493e-02,1.798734584619680610e-01,3.005355083492601276e-01
5.562500000000000083e-02,7.159133431898876410e+00,1.043605456545025589e+01,1.249892038446207820e+01,1.301938109853803560e+01,9.385045499163970906e-01,8.470268048417619600e-01,7.638724231232103534e-01,6.169689816506678665e-02,1.896495857484595260e-01,3.166902171296203106e-01
5.625000000000000139e-02,7.283920180438379965e+00,1.061795944670318192e+01,1.232923742278635793e+01,1.284632542205714145e+01,9.359651211409854010e-01,8.423252107967033053e-01,7.573280389272685209e-01,6.510688505937960169e-02,1.997860030444000567e-01,3.334184877693074367e-01
5.687500000000000194e-02,7.408420957634370474e+00,1.079944746010841250e+01,1.215676437008635880e+01,1.267030931335561306e+01,9.333399602243168669e-01,8.375706112636909229e-01,7.507474362919140942e-01,6.865275582039889746e-02,2.102890292286024310e-01,3.507284243772944565e-01
5.750000000000000250e-02,7.532518991014649501e+00,1.098034838340327646e+01,1.198152699023383683e+01,1.249135826191253784e+01,9.306253639294189695e-01,8.327617245973845117e-01,7.441282124862301783e-01,7.233789434255967488e-02,2.211649702369564430e-01,3.686280428767875761e-01
5.812500000000000305e-02,7.656095013059392329e+00,1.116048835722943089e+01,1.180355345186945648e+01,1.230950032191302768e+01,9.278174961781924246e-01,8.278970741202121841e-01,7.374674876968894122e-01,7.616572155660630838e-02,2.324201262750666686e-01,3.871252956613264740e-01
5.875000000000000361e-02,7.779027686224795346e+00,1.133969050470087048e+01,1.162287433632347344e+01,1.212476612121436226e+01,9.249123987614992215e-01,8.229750076344619636e-01,7.307619388081602052e-01,8.013969401182777230e-02,2.440607990276992267e-01,4.062280975703179142e-01
5.937500000000000416e-02,7.901194046111821301e+00,1.151777557742248170e+01,1.143952264322630086e+01,1.193718886784501620e+01,9.219060033079986560e-01,8.179937193637649706e-01,7.240078389835116202e-01,8.426330218051038268e-02,2.560932986778535758e-01,4.259443527798434936e-01
5.999999999999999778e-02,8.022469960408965761e+00,1.169456262450286665e+01,1.125353379379465224e+01,1.174680435402110135e+01,9.187941444510225875e-01,8.129512741216261551e-01,7.172011027885825118e-01,8.854006848166891264e-02,2.685239505359721668e-01,4.462819821640814921e-01
6.062499999999999833e-02,8.142730601135115265e+00,1.186986968095497907e+01,1.106494563178111612e+01,1.155365095766719641e+01,9.155725741197221490e-01,8.078456334777354142e-01,7.103373365144598495e-01,9.297354502513113794e-02,2.813591010700940420e-01,4.672489506483689103e-01
6.124999999999999889e-02,8.261850927619853735e+00,1.204351447174905942e+01,1.087379842207744218e+01,1.135776964143101608e+01,9.122369768681019009e-01,8.026746836695423104e-01,7.034118932802002622e-01,9.756731108131529162e-02,2.946051231210253807e-01,4.888532940477744448e-01
6.187499999999999944e-02,8.379706177585397597e+00,1.221531512767550431e+01,1.068013484696395210e+01,1.115920394918367187e+01,9.087829861436372836e-01,7.974362649875949005e-01,6.964199324159388027e-01,1.023249702865064725e-01,3.082684200832314647e-01,5.111031448659794085e-01
6.250000000000000000e-02,8.496172363636365077e+00,1.238509090909090915e+01,1.048400000000000176e+01,1.095800000000000018e+01,9.052062013861483791e-01,7.921282023487198343e-01,6.893564825544460373e-01,1.072501475980449648e-01,3.223554288324864681e-01,5.340067565189849930e-01
6.312500000000000056e-02,8.611126772421807019e+00,1.255266293355948370e+01,1.028544137755252486e+01,1.075420647961568932e+01,9.015022058376029879e-01,7.867483367615895062e-01,6.822165077912627495e-01,1.123464860185290209e-01,3.368726211856992725e-01,5.575725254473095083e-01
6.375000000000000111e-02,8.724448463708249335e+00,1.271785490336479540e+01,1.008450886796222967e+01,1.054787462936055498e+01,8.976665849348339776e-01,7.812945573845847536e-01,6.749949762131937092e-01,1.176176431128422156e-01,3.518265036870558138e-01,5.818090105893315434e-01
6.437500000000000167e-02,8.836018766593193519e+00,1.288049382885305150e+01,9.881254738349214861e+00,1.033905823256976930e+01,8.936949451498273911e-01,7.757648338761138351e-01,6.676869300435119836e-01,1.230672873464761369e-01,3.672236155279424152e-01,6.067249497075571929e-01
6.500000000000000222e-02,8.945721770095774517e+00,1.304041074357984620e+01,9.675733619062063084e+00,1.012781359847728169e+01,8.895829331365251447e-01,7.701572487423712365e-01,6.602875566110930627e-01,1.286990942781690850e-01,3.830705244262483933e-01,6.323292720889268637e-01
