target_id,n_sites,thermal_ratio,rate_ratio,gamma_rec,gamma_abs,eta_rescue,eta_rescue_sem,eta_deph,delta_eta,samples,parameter_match,artifact_stage
T004,6,0.08048087385839177,0.35035693237132,0.17517846618566,7.034546548427449e-07,0.9609029121673911,0.001995918095440938,0.6624271723114653,0.2984757398559258,15,paper_subset,exploratory
T004,6,0.1318191168228237,0.35035693237132,0.17517846618566,8.889069359907722e-05,0.9607790401543977,0.0019952190001712097,0.6624271723114653,0.29835186784293244,15,paper_subset,exploratory
T004,6,0.21590570190034555,0.35035693237132,0.17517846618566,0.0017060036919058828,0.9585064160391479,0.0019818604210462307,0.6624271723114653,0.2960792437276826,15,paper_subset,exploratory
T004,6,0.3536305904380761,0.35035693237132,0.17517846618566,0.010360449254607405,0.9463241422359069,0.001894741159182599,0.6624271723114653,0.2838969699244416,15,paper_subset,exploratory
T004,6,0.5792093186649748,0.35035693237132,0.17517846618566,0.031165561942567966,0.9171936949295123,0.0016078180182572052,0.6624271723114653,0.254766522618047,15,paper_subset,exploratory
T004,6,0.9486832980505137,0.35035693237132,0.17517846618566,0.061051190920246245,0.8766368518204533,0.0011070500852311158,0.6624271723114653,0.21420967950898795,15,paper_subset,exploratory
T004,6,1.5538424037693628,0.35035693237132,0.17517846618566,0.09204148059073905,0.8369697940306271,0.000609219960038456,0.6624271723114653,0.1745426217191618,15,paper_subset,exploratory
T004,6,2.5450286947322147,0.35035693237132,0.17517846618566,0.11825962066886694,0.8055447036831717,0.00040587228971959667,0.6624271723114653,0.14311753137170635,15,paper_subset,exploratory
T004,6,4.168486483119412,0.35035693237132,0.17517846618566,0.137814701031235,0.7833876561148145,0.0005320175444840603,0.6624271723114653,0.12096048380334923,15,paper_subset,exploratory
T004,6,6.827537778224365,0.35035693237132,0.17517846618566,0.151311341100802,0.7687179464529799,0.0006908133296021544,0.6624271723114653,0.10629077414151455,15,paper_subset,exploratory
T004,6,11.182781160944813,0.35035693237132,0.17517846618566,0.16019343725928376,0.7593337960531172,0.0008045357644944112,0.6624271723114653,0.09690662374165193,15,paper_subset,exploratory
T004,6,18.31620688975598,0.35035693237132,0.17517846618566,0.16587073897449534,0.7534454389697304,0.0008782864320024038,0.6624271723114653,0.09101826665826507,15,paper_subset,exploratory
T004,6,29.999999999999996,0.35035693237132,0.17517846618566,0.16943543295251298,0.7497913552411275,0.0009246160155706767,0.6624271723114653,0.08736418292966219,15,paper_subset,exploratory
T004,6,0.029999999999999995,0.5011246951423022,0.2505623475711511,8.364366987573979e-16,0.9831015056400346,0.0014472224360636374,0.6624271723114653,0.3206743333285693,15,paper_subset,exploratory
T004,6,0.04913681120862191,0.5011246951423022,0.2505623475711511,3.6344669060434566e-10,0.9831015053613326,0.001447222438218342,0.6624271723114653,0.32067433304986726,15,paper_subset,exploratory
T004,6,0.08048087385839177,0.5011246951423022,0.2505623475711511,1.006169614137656e-06,0.9831007340624273,0.0014472283973162496,0.6624271723114653,0.32067356175096196,15,paper_subset,exploratory
T004,6,0.1318191168228237,0.5011246951423022,0.2505623475711511,0.00012714268682891293,0.9830039676437112,0.0014479726972449075,0.6624271723114653,0.3205767953322459,15,paper_subset,exploratory
T004,6,0.21590570190034555,0.5011246951423022,0.2505623475711511,0.002440141755528057,0.9812160670640202,0.0014605747294018745,0.6624271723114653,0.3187888947525549,15,paper_subset,exploratory
T004,6,0.3536305904380761,0.5011246951423022,0.2505623475711511,0.014818821877198945,0.9712638643693343,0.0014973079691722015,0.6624271723114653,0.308836692057869,15,paper_subset,exploratory
T004,6,0.5792093186649748,0.5011246951423022,0.2505623475711511,0.04457691937676748,0.9455357240589426,0.0014260749022664567,0.6624271723114653,0.2831085517474773,15,paper_subset,exploratory
T004,6,0.9486832980505137,0.5011246951423022,0.2505623475711511,0.08732311711634141,0.9067853829241749,0.0011015090668142714,0.6624271723114653,0.24435821061270957,15,paper_subset,exploratory
T004,6,1.5538424037693628,0.5011246951423022,0.2505623475711511,0.13164933997251752,0.8669038534080519,0.000665588465983245,0.6624271723114653,0.20447668109658657,15,paper_subset,exploratory
T004,6,2.5450286947322147,0.5011246951423022,0.2505623475711511,0.16914983229879846,0.8344342618513002,0.0003276348112657839,0.6624271723114653,0.1720070895398349,15,paper_subset,exploratory
T004,6,4.168486483119412,0.5011246951423022,0.2505623475711511,0.19711997582856608,0.8112165884320038,0.0002488096792924106,0.6624271723114653,0.14878941612053853,15,paper_subset,exploratory
T004,6,6.827537778224365,0.5011246951423022,0.2505623475711511,0.21642457355560338,0.7957304703840665,0.00034761729786903574,0.6624271723114653,0.13330329807260122,15,paper_subset,exploratory
T004,6,11.182781160944813,0.5011246951423022,0.2505623475711511,0.22912886828588838,0.7857839299048923,0.00044082253371829845,0.6624271723114653,0.12335675759342701,15,paper_subset,exploratory
T004,6,18.31620688975598,0.5011246951423022,0.2505623475711511,0.2372492616002442,0.779528400984744,0.000504050231910127,0.6624271723114653,0.11710122867327866,15,paper_subset,exploratory
