target_id,series_id,gamma,m,region,source
T003,bloch_boundary_upper,0.34,2.4808326112068526,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.34,2.1155999999999997,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.34,2.1137,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.35000000000000003,1.5050252531694166,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.35000000000000003,2.494974746830583,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.35000000000000003,2.1224999999999996,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.35000000000000003,2.12,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.36,1.4908831175456858,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.36,2.509116882454314,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.36,2.1296,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.36,2.1268000000000002,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.37,1.4767409819219548,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.37,2.523259018078045,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.37,2.1369,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.37,2.1336,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.38,1.4625988462982238,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.38,2.537401153701776,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.38,2.1444,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.38,2.1404,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.39,1.4484567106744928,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.39,2.5515432893255072,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.39,2.1521,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.39,2.1471999999999998,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.4,1.4343145750507618,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.4,2.5656854249492382,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.4,2.16,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.4,2.154,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.41000000000000003,1.420172439427031,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.41000000000000003,2.5798275605729692,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.41000000000000003,2.1681,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.41000000000000003,2.162,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.42,1.4060303038033002,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.42,2.5939696961967,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.42,2.1764,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.42,2.17,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.43,1.3918881681795692,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.43,2.608111831820431,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.43,2.1849,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.43,2.178,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.44,1.3777460325558382,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.44,2.622253967444162,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.44,2.1936,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.44,2.186,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.45,1.3636038969321072,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.45,2.636396103067893,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.45,2.2024999999999997,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.45,2.194,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.46,1.3494617613083761,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.46,2.650538238691624,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.46,2.2116,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.46,2.2024,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.47000000000000003,1.3353196256846451,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.47000000000000003,2.664680374315355,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.47000000000000003,2.2209000000000003,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.47000000000000003,2.2108,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.48,1.3211774900609143,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.48,2.678822509939086,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.48,2.2304000000000004,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.48,2.2192000000000003,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.49,1.3070353544371835,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.49,2.6929646455628165,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.49,2.2401,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.49,2.2276000000000002,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.5,1.2928932188134525,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.5,2.7071067811865475,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.5,2.25,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.5,2.236,open_boundary_transition,supplement_disk_table_reference
T003,fig2_marker_star,0.15,1.7878679656440357,topological_example_for_fig2b,main_text_fig2_caption
T003,fig2_marker_square,0.15,2.2121320343559643,trivial_example_for_fig2a,main_text_fig2_caption
