t_over_T,g_plus,g_minus,r_plus,r_minus,concurrence,trace_error,minimum_eigenvalue,max_mode_residual
0.325,0.4997838604605852,0.00021613953941482245,0.4595467953017199,0.04045320469828012,0.283207614424439,0.0,6.065016400917978e-12,0.021045490129649774
0.35000000000000003,0.4979339194121254,0.0020660805878745803,0.44041879535102857,0.0595812046489714,0.3345962148191453,0.0,5.347862377876521e-09,0.06944906680434798
0.375,0.49984936320215567,0.00015063679784430017,0.4196207228102791,0.08037927718972088,0.4002266824167129,0.0,2.0524918388714413e-12,0.018398394901849368
0.4,0.4983886035866659,0.0016113964133340486,0.39189686089617637,0.10810313910382363,0.4577443986114105,0.0,2.5312451901348604e-09,0.0611693286870024
0.42500000000000004,0.4996382889793377,0.000361711020662292,0.36141094572343335,0.13858905427656668,0.5249180404958056,0.0,2.8447143260439494e-11,0.027995463035048383
0.45,0.49946103168918793,0.0005389683108120713,0.3264774382408415,0.17352256175915848,0.58685554876411,0.0,9.41966351174708e-11,0.034621974721072465
0.47500000000000003,0.49882344741691864,0.0011765525830813583,0.28884528265697534,0.21115471734302463,0.645053881345606,0.0,9.83093437873096e-10,0.05199530456459411
0.5,0.4997767376196254,0.00022326238037459478,0.24999999999999992,0.2500000000000001,0.7062070645109366,0.0,6.684841473816864e-12,0.021483831765040432
0.525,0.49843998902739284,0.001560010972607162,0.2112145812733855,0.2887854187266145,0.7537627184930533,0.0,2.2961262585570817e-09,0.06018335679742851
0.55,0.49987272299290153,0.00012727700709844192,0.1733963492760267,0.3266036507239733,0.8077059524361667,0.0,1.2378990128716487e-12,0.016794658198713373
0.5750000000000001,0.4988880090814549,0.0011119909185451082,0.13892389631270657,0.3610761036872934,0.8453861151488906,0.0,8.297000666831284e-10,0.05078157214293899
0.6000000000000001,0.49978710656134806,0.00021289343865191213,0.1073042168537851,0.3926957831462149,0.8853777059618162,0.0,5.79573153026829e-12,0.021326508379805327
0.625,0.49904709076381126,0.0009529092361887648,0.08092393349437846,0.41907606650562157,0.9117239666081738,0.0,5.216975413457327e-10,0.04726774419091615
0.65,0.49999153868109647,8.461318903529857e-06,0.058000907030083426,0.4419990929699166,0.9401780876173264,0.0,3.5562776096824416e-16,0.003943803963074595
0.675,0.4996819861836561,0.00031801381634388726,0.04053866829955041,0.45946133170044956,0.9573377028359494,0.0,1.9328308716317755e-11,0.027247416525986196
0.7000000000000001,0.49985080423671974,0.00014919576328026318,0.026896811125807857,0.4731031888741921,0.9721362487325912,0.0,1.994109881296494e-12,0.017919769607749308
0.7250000000000001,0.49911303982279265,0.0008869601772073799,0.01775355249505922,0.4822464475049408,0.9785493773966442,0.0,4.205621587469537e-10,0.045393779262170815
0.75,0.4997534446925771,0.00024655530742287435,0.010349174557810759,0.48965082544218924,0.9886118854933884,0.0,9.004168787671174e-12,0.023289912066362946
0.775,0.4992017222113808,0.0007982777886192116,0.006430700759071789,0.4935692992409282,0.9903616101677067,0.0,3.064665640278989e-10,0.04305344066464226
0.8,0.49986784790778893,0.00013215209221104085,0.003043048489413891,0.4969569515105861,0.9964239696866505,0.0,1.3857477712288621e-12,0.01667852736415777
0.8250000000000001,0.4995995947109332,0.00040040528906679085,0.0017561705090380075,0.498243829490962,0.9966420021311776,0.0,3.8595603764899906e-11,0.030296635941793243
0.8500000000000001,0.4999083916483027,9.160835169727544e-05,0.0006478162449178315,0.49935218375508217,0.9989856189213325,0.0,4.614522378799306e-13,0.013763711078234538
0.875,0.4987412220069968,0.001258777993003224,0.0014493373321219916,0.498550662667878,0.9935256665493505,0.0,1.2044556973172794e-09,0.054557584954110665
0.9,0.4999519153180545,4.808468194550386e-05,9.941513301939264e-05,0.49990058486698064,0.999708259048982,0.0,6.676731460060153e-14,0.01047719780094228
0.925,0.4990054127376067,0.0009945872623932928,0.001003847319255402,0.4989961526807446,0.9950242100152762,0.0,5.933150723566957e-10,0.04852380409962896
0.9500000000000001,0.49989382225175794,0.00010617774824203674,0.00010700373904515281,0.49989299626095485,0.9994683577053581,0.0,7.186379484234538e-13,0.015707324042946016
0.9750000000000001,0.49995682935936164,4.317064063835696e-05,4.31836459321433e-05,0.49995681635406786,0.999784142342134,0.0,4.8283521307045175e-14,0.01002521882819959
1.0,0.5,0.0,0.0,0.5,0.9999999999999997,0.0,-1.54766024271572e-16,9.613728325315964e-16
1.0250000000000001,0.4999596311841541,4.036881584587593e-05,4.038182128543455e-05,0.4999596181787146,0.9997981548338151,0.0,3.95040031709503e-14,0.009683013321684157
1.05,0.4998723025796873,0.00012769742031271125,0.00012852333998544796,0.4998714766600145,0.9993607936942686,0.0,1.2502373667706124e-12,0.017264121654666332
1.075,0.4990652696647723,0.0009347303352276737,0.0009439926180596636,0.49905600738194034,0.9953227485900438,0.0,4.923601200785574e-10,0.0470062128933873
1.1,0.499947238106636,5.276189336400616e-05,0.00010409138391967443,0.49989590861608035,0.9996848805134154,0.0,8.811415335140797e-14,0.010949142823001749
1.125,0.49884183313587394,0.0011581668641260923,0.0013488032809003958,0.49865119671909963,0.9940270797840737,0.0,9.376340155044892e-10,0.05224575182537746
1.1500000000000001,0.4999159479675519,8.405203244812864e-05,0.0006402767433689449,0.499359723256631,0.9990233795960933,0.0,3.5646914924802644e-13,0.013907906505654067
1.175,0.4983701847185733,0.001629815281426722,0.0029789026407602004,0.4970210973592398,0.9905168172521512,0.0,2.619287357435518e-09,0.06180728066842118
1.2000000000000002,0.49986120703404524,0.00013879296595473156,0.0030496119986802572,0.49695038800131974,0.996390846430871,0.0,1.605320835412913e-12,0.01704188061259462
1.225,0.49909549548396814,0.0009045045160318288,0.006534526564635851,0.4934654734353642,0.9898337022622645,0.0,4.460555279373715e-10,0.04571656368137896
1.25,0.4995665202422722,0.00043347975772781155,0.01052853784493607,0.48947146215506393,0.9876845443233329,0.0,4.8979949290045665e-11,0.031128131060329037
1.2750000000000001,0.49931677769118793,0.0006832223088120704,0.017563609021242488,0.4824363909787575,0.979554171458857,0.0,1.920223877609029e-10,0.0393445378184252
1.3,0.49922030419529967,0.0007796958047003311,0.027459813395325716,0.4725401866046743,0.9690456361630237,0.0,2.8553238031508457e-10,0.042146955774138226
1.3250000000000002,0.49978386046058515,0.0002161395394148502,0.04045320469828026,0.4595467953017197,0.9578325281198546,0.0,6.0650148574121896e-12,0.021045490129650034
1.35,0.4979339194121254,0.0020660805878745803,0.05958120464897143,0.44041879535102857,0.9303346940300554,0.0,5.3478623648254375e-09,0.0694490668043481
1.375,0.49984936320215567,0.00015063679784430017,0.08037927718972071,0.4196207228102793,0.9155024149741025,0.0,2.0524918306062527e-12,0.018398394901849368
1.4000000000000001,0.4983886035866659,0.0016113964133340763,0.10810313910382377,0.39189686089617626,0.878937814898818,0.0,2.5312451806303037e-09,0.061169328687002686
1.425,0.4996382889793377,0.000361711020662292,0.13858905427656681,0.3614109457234332,0.8487530946201581,0.0,2.8447139834138283e-11,0.027995463035048383
1.4500000000000002,0.4994610316891879,0.0005389683108120991,0.17352256175915892,0.3264774382408411,0.8059132104988981,0.0,9.419663679777241e-11,0.034621974721072805
1.475,0.49882344741691864,0.0011765525830813583,0.21115471734302488,0.2888452826569751,0.755366511923641,0.0,9.830934299270798e-10,0.05199530456459399
1.5,0.4997767376196254,0.00022326238037459478,0.25000000000000017,0.24999999999999983,0.706207058991309,0.0,6.684841473419817e-12,0.021483831765040432
1.5250000000000001,0.49843998902739284,0.001560010972607162,0.2887854187266148,0.2112145812733852,0.6435866535512289,0.0,2.2961262689315413e-09,0.06018335679742826
1.55,0.49987272299290153,0.00012727700709844192,0.3266036507239732,0.17339634927602682,0.5883593175418876,0.0,1.2378930537367844e-12,0.016794658198713373
1.5750000000000002,0.49888800908145486,0.001111990918545136,0.3610761036872935,0.13892389631270652,0.5223280030547345,0.0,8.297000517914422e-10,0.05078157214293922
1.6,0.49978710656134806,0.00021289343865191213,0.392695783146215,0.10730421685378502,0.4622991830321541,0.0,5.795772381582075e-12,0.021326508379805327
1.625,0.49904709076381126,0.0009529092361887648,0.4190760665056218,0.08092393349437824,0.39775688978900237,0.0,5.216975434281632e-10,0.04726774419091615
1.6500000000000001,0.49999153868109647,8.461318903529857e-06,0.4419990929699166,0.058000907030083426,0.34054663671266183,0.0,3.9559087302701433e-16,0.0039438039630745655
1.675,0.4996819861836561,0.00031801381634388726,0.4594613317004498,0.040538668299550246,0.2829277142325345,0.0,1.9328312071732897e-11,0.027247416525986196
1.7000000000000002,0.49985080423671974,0.00014919576328026318,0.4731031888741923,0.026896811125807718,0.23097057951934513,0.0,1.9941143808612414e-12,0.01791976960774952
1.725,0.49911303982279265,0.0008869601772073799,0.48224644750494083,0.017753552495059194,0.1818070239609377,0.0,4.205621762583011e-10,0.045393779262170815
1.75,0.4997534446925771,0.00024655530742287435,0.4896508254421893,0.01034917455781073,0.14163291932784214,0.0,9.004166407111546e-12,0.023289912066362946
1.7750000000000001,0.4992017222113808,0.0007982777886192116,0.4935692992409283,0.006430700759071706,0.10450777728723792,0.0,3.064665709019948e-10,0.043053440664642034
1.8,0.49986784790778893,0.00013215209221104085,0.49695695151058616,0.0030430484894138354,0.07603145631474238,0.0,1.385721044315204e-12,0.01667852736415777
1.8250000000000002,0.4995995947109332,0.00040040528906679085,0.498243829490962,0.0017561705090379798,0.051267615825063055,0.0,3.859561017069245e-11,0.03029663594179296
1.85,0.4999083916483027,9.160835169727544e-05,0.49935218375508217,0.0006478162449178315,0.03316864800012854,0.0,4.614522111752317e-13,0.013763711078234538
1.875,0.4987412220069968,0.001258777993003224,0.498550662667878,0.0014493373321219916,0.0171622012525249,0.0,1.2044556973227851e-09,0.054557584954110665
1.9000000000000001,0.4999519153180545,4.808468194550386e-05,0.49990058486698064,9.941513301936489e-05,0.010036226024878615,0.0,6.67639335048108e-14,0.01047719780094228
1.925,0.4990054127376067,0.0009945872623932928,0.4989961526807446,0.001003847319255402,0.002753300653724989,0.0,5.933150723566957e-10,0.04852380409962896
1.9500000000000002,0.49989382225175794,0.00010617774824203674,0.49989299626095485,0.00010700373904515281,0.0010903525747703896,0.0,7.186379482116956e-13,0.015707324042946273
1.975,0.49995682935936164,4.317064063835696e-05,0.49995681635406786,4.31836459321433e-05,9.659585337945008e-05,0.0,4.8283521307045175e-14,0.01002521882819959
2.0,0.5,0.0,0.5,0.0,3.5768028105923587e-13,0.0,-1.54766024271572e-16,9.613728325315964e-16
