physics_phase,caption_phase,gamma,p,L,ell,chord_length,parameter_status,correlation_positive,correlation_positive_sem
algebraic,CFT,0.3,1.25,96,9.0,8.870446327465567,paper_subset_reconstructed_numerics,0.0031392631039994703,0.0001302982222238867
algebraic,CFT,0.3,1.25,96,12.0,11.693944300853191,paper_subset_reconstructed_numerics,0.0024157009236453987,5.676500738166901e-05
algebraic,CFT,0.3,1.25,96,16.0,15.27887453682195,paper_subset_reconstructed_numerics,0.0019223081116183413,5.8398260217512806e-05
algebraic,CFT,0.3,1.25,96,21.0,19.385630791477553,paper_subset_reconstructed_numerics,0.001478015811036882,1.3348295230458715e-05
algebraic,CFT,0.3,1.25,96,24.0,21.607591587770543,paper_subset_reconstructed_numerics,0.001321905953638707,2.6280972036778087e-05
algebraic,CFT,0.3,1.25,96,28.0,24.24309229935679,paper_subset_reconstructed_numerics,0.0011577499004892045,8.152046243125876e-05
algebraic,CFT,0.3,1.25,96,32.0,26.463786980246017,paper_subset_reconstructed_numerics,0.001126262170070891,1.4518783471341013e-05
algebraic,CFT,0.3,1.25,96,36.0,28.231678928755336,paper_subset_reconstructed_numerics,0.0010691091792731614,5.263824841454944e-05
algebraic,CFT,0.3,1.25,96,40.0,29.5165190234935,paper_subset_reconstructed_numerics,0.0010785650542260313,3.7280600741044104e-05
algebraic,CFT,0.3,1.25,96,44.0,30.296323294214563,paper_subset_reconstructed_numerics,0.0010402323287054206,4.807599600365933e-05
algebraic,CFT,0.3,1.25,96,48.0,30.557749073643905,paper_subset_reconstructed_numerics,0.001028777390965705,8.421212933787014e-05
CFT,algebraic,0.3,5.0,24,1.0,0.9971466573496368,paper_subset_reconstructed_numerics,0.019319329863711255,0.0010015814191813848
CFT,algebraic,0.3,5.0,24,2.0,1.9772318589307383,paper_subset_reconstructed_numerics,0.013813983086639673,0.0006305558182394035
CFT,algebraic,0.3,5.0,24,3.0,2.923486075213298,paper_subset_reconstructed_numerics,0.010049108752875999,0.0003831803977276784
CFT,algebraic,0.3,5.0,24,4.0,3.8197186342054876,paper_subset_reconstructed_numerics,0.008617964709442956,0.0006119321837805688
CFT,algebraic,0.3,5.0,24,5.0,4.650594748340343,paper_subset_reconstructed_numerics,0.007660417358258247,0.0003036309770097721
CFT,algebraic,0.3,5.0,24,6.0,5.401897896942636,paper_subset_reconstructed_numerics,0.0063531033819614335,0.000499123603097574
CFT,algebraic,0.3,5.0,24,7.0,6.060773074839197,paper_subset_reconstructed_numerics,0.007175212360665065,0.0006397631427823893
CFT,algebraic,0.3,5.0,24,8.0,6.615946745061504,paper_subset_reconstructed_numerics,0.005698697930916621,0.0004678709965269801
CFT,algebraic,0.3,5.0,24,9.0,7.057919732188834,paper_subset_reconstructed_numerics,0.006069983730914829,0.00047552941388944646
CFT,algebraic,0.3,5.0,24,10.0,7.379129755873375,paper_subset_reconstructed_numerics,0.00598183674720735,0.0003308840036225666
CFT,algebraic,0.3,5.0,24,11.0,7.574080823553641,paper_subset_reconstructed_numerics,0.006313373741337037,0.00014833587900900679
CFT,algebraic,0.3,5.0,24,12.0,7.639437268410976,paper_subset_reconstructed_numerics,0.006184295715638225,0.0003283909973878042
CFT,algebraic,0.3,5.0,32,1.0,0.9983943930356184,paper_subset_reconstructed_numerics,0.019584965233968337,0.0010971639968151367
CFT,algebraic,0.3,5.0,32,2.0,1.9871737022884115,paper_subset_reconstructed_numerics,0.013449847239250284,0.0004633956738395375
CFT,algebraic,0.3,5.0,32,3.0,2.956815442488522,paper_subset_reconstructed_numerics,0.009952150782494031,0.0004464764764871208
CFT,algebraic,0.3,5.0,32,4.0,3.8979814336177308,paper_subset_reconstructed_numerics,0.008272399746381612,0.00045675207924164763
CFT,algebraic,0.3,5.0,32,5.0,4.801607732687796,paper_subset_reconstructed_numerics,0.006859912476520132,0.0002718506883909842
CFT,algebraic,0.3,5.0,32,6.0,5.658991924466292,paper_subset_reconstructed_numerics,0.006119127518804447,0.00036226095717551375
CFT,algebraic,0.3,5.0,32,7.0,6.461876930492518,paper_subset_reconstructed_numerics,0.005595173294665361,0.0002051316464109935
CFT,algebraic,0.3,5.0,32,8.0,7.2025305292568484,paper_subset_reconstructed_numerics,0.005095990494237745,0.00022703394638104403
CFT,algebraic,0.3,5.0,32,9.0,7.873819821720744,paper_subset_reconstructed_numerics,0.004668722244270913,0.0002109192942548471
CFT,algebraic,0.3,5.0,32,11.0,8.983176232889269,paper_subset_reconstructed_numerics,0.003767963237471858,0.00034478870725704807
CFT,algebraic,0.3,5.0,32,12.0,9.410559642918447,paper_subset_reconstructed_numerics,0.004197728568430356,0.0004137032185272455
CFT,algebraic,0.3,5.0,32,13.0,9.74731421925113,paper_subset_reconstructed_numerics,0.0035754531806579115,0.00022406175606050487
CFT,algebraic,0.3,5.0,32,15.0,10.136868386523963,paper_subset_reconstructed_numerics,0.0034795928761220197,0.0001009903847501348
CFT,algebraic,0.3,5.0,32,16.0,10.185916357881302,paper_subset_reconstructed_numerics,0.0031976007754077806,9.418048309239856e-05
CFT,algebraic,0.3,5.0,48,1.0,0.9992862058229084,paper_subset_reconstructed_numerics,0.018139679281757894,0.0005016980109164619
CFT,algebraic,0.3,5.0,48,2.0,1.9942933146992736,paper_subset_reconstructed_numerics,0.01188942541977655,0.00020804421982292473
CFT,algebraic,0.3,5.0,48,3.0,2.980760553432617,paper_subset_reconstructed_numerics,0.008791268695596547,0.00019871404742573135
CFT,algebraic,0.3,5.0,48,4.0,3.9544637178614765,paper_subset_reconstructed_numerics,0.007491469270324137,0.00027169148710994755
CFT,algebraic,0.3,5.0,48,5.0,4.911233261550139,paper_subset_reconstructed_numerics,0.00601687359881505,0.0003397499252106111
CFT,algebraic,0.3,5.0,48,6.0,5.846972150426596,paper_subset_reconstructed_numerics,0.005437971727165838,0.0002842443427117514
CFT,algebraic,0.3,5.0,48,8.0,7.639437268410975,paper_subset_reconstructed_numerics,0.004369304649569659,0.00020555418127850684
CFT,algebraic,0.3,5.0,48,10.0,9.301189496680687,paper_subset_reconstructed_numerics,0.003324627755268069,5.858703987784715e-05
CFT,algebraic,0.3,5.0,48,12.0,10.803795793885271,paper_subset_reconstructed_numerics,0.002702291186568743,0.00010392420037466412
CFT,algebraic,0.3,5.0,48,14.0,12.121546149678394,paper_subset_reconstructed_numerics,0.0024514580859579674,7.446405742128144e-05
CFT,algebraic,0.3,5.0,48,15.0,12.703919887550578,paper_subset_reconstructed_numerics,0.0023247264902802457,9.375984551043628e-05
CFT,algebraic,0.3,5.0,48,16.0,13.231893490123008,paper_subset_reconstructed_numerics,0.0022547850121251408,7.935191552395859e-05
CFT,algebraic,0.3,5.0,48,18.0,14.115839464377668,paper_subset_reconstructed_numerics,0.002169176298093927,0.00010669931891774523
CFT,algebraic,0.3,5.0,48,19.0,14.468026643692282,paper_subset_reconstructed_numerics,0.002122400355474836,7.415677254801327e-05
CFT,algebraic,0.3,5.0,48,20.0,14.75825951174675,paper_subset_reconstructed_numerics,0.0021102015475524755,7.722508261011996e-05
CFT,algebraic,0.3,5.0,48,22.0,15.148161647107282,paper_subset_reconstructed_numerics,0.0021531368079287707,8.065580736870425e-05
CFT,algebraic,0.3,5.0,48,24.0,15.278874536821952,paper_subset_reconstructed_numerics,0.0022092107885736097,4.1499852552586115e-05
CFT,algebraic,0.3,5.0,64,1.0,0.9995984531496791,paper_subset_reconstructed_numerics,0.01832481039772021,0.0007654751705532141
CFT,algebraic,0.3,5.0,64,2.0,1.9967887860712368,paper_subset_reconstructed_numerics,0.011786127887732494,0.0007793927751930203
CFT,algebraic,0.3,5.0,64,3.0,2.9891686799091075,paper_subset_reconstructed_numerics,0.008686470401767933,0.000495060125022742
CFT,algebraic,0.3,5.0,64,4.0,3.974347404576823,paper_subset_reconstructed_numerics,0.007005791621539991,0.00019102055630576244
CFT,algebraic,0.3,5.0,64,6.0,5.913630884977044,paper_subset_reconstructed_numerics,0.005284684555359247,0.0001281243753740376
CFT,algebraic,0.3,5.0,64,7.0,6.863063736944095,paper_subset_reconstructed_numerics,0.004294500083651443,0.0001274652034264784
CFT,algebraic,0.3,5.0,64,9.0,8.710080840133957,paper_subset_reconstructed_numerics,0.003381362808956169,5.007809352421527e-05
CFT,algebraic,0.3,5.0,64,12.0,11.317983848932585,paper_subset_reconstructed_numerics,0.0023847676499169617,9.032232953559683e-05
CFT,algebraic,0.3,5.0,64,15.0,13.68088668691583,paper_subset_reconstructed_numerics,0.0019566691174644304,8.888161409226106e-05
CFT,algebraic,0.3,5.0,64,16.0,14.405061058513697,paper_subset_reconstructed_numerics,0.0018982360464585473,7.097052076134445e-05
CFT,algebraic,0.3,5.0,64,19.0,16.362809467364322,paper_subset_reconstructed_numerics,0.0014704219638798665,5.5622839646212574e-05
CFT,algebraic,0.3,5.0,64,20.0,16.93855985006744,paper_subset_reconstructed_numerics,0.001470233848709774,5.100085598119671e-05
CFT,algebraic,0.3,5.0,64,21.0,17.473503758449127,paper_subset_reconstructed_numerics,0.0014583136138092779,6.83167081374839e-05
CFT,algebraic,0.3,5.0,64,24.0,18.821119285836893,paper_subset_reconstructed_numerics,0.001213236675637227,6.404070384882016e-05
CFT,algebraic,0.3,5.0,64,25.0,19.18097819042758,paper_subset_reconstructed_numerics,0.0012235658765954792,4.4160239839087695e-05
CFT,algebraic,0.3,5.0,64,27.0,19.76131441914081,paper_subset_reconstructed_numerics,0.0011748246576978954,0.00011093166714294187
CFT,algebraic,0.3,5.0,64,29.0,20.1513383873644,paper_subset_reconstructed_numerics,0.001092535489663003,0.0001020494521170697
CFT,algebraic,0.3,5.0,64,32.0,20.371832715762604,paper_subset_reconstructed_numerics,0.001224469139819559,0.00010251241322792403
CFT,algebraic,0.3,5.0,80,1.0,0.9997429988692578,paper_subset_reconstructed_numerics,0.01793285243458117,0.0008166930090341406
CFT,algebraic,0.3,5.0,80,2.0,1.9979444664970771,paper_subset_reconstructed_numerics,0.01170600752273117,0.00032562713618521067
CFT,algebraic,0.3,5.0,80,3.0,2.9930652485714617,paper_subset_reconstructed_numerics,0.008815072339123549,5.98841801518747e-05
CFT,algebraic,0.3,5.0,80,4.0,3.983570940974246,paper_subset_reconstructed_numerics,0.006870183854088335,0.00022805198669376622
CFT,algebraic,0.3,5.0,80,5.0,4.967934255721029,paper_subset_reconstructed_numerics,0.005352166883253549,0.00016434002924171022
CFT,algebraic,0.3,5.0,80,6.0,5.944637375928548,paper_subset_reconstructed_numerics,0.004462891661447045,8.602127622251405e-05
CFT,algebraic,0.3,5.0,80,8.0,7.869053144667728,paper_subset_reconstructed_numerics,0.0032141010290634513,6.228486613797772e-05
CFT,algebraic,0.3,5.0,80,11.0,10.661082672421951,paper_subset_reconstructed_numerics,0.0023266365032825658,6.743291393219418e-05
CFT,algebraic,0.3,5.0,80,14.0,13.305316693274213,paper_subset_reconstructed_numerics,0.001966504071304198,6.810043941969749e-05
CFT,algebraic,0.3,5.0,80,18.0,16.53805874770126,paper_subset_reconstructed_numerics,0.0015098694805332617,5.551263404423333e-05
CFT,algebraic,0.3,5.0,80,20.0,18.006326323142122,paper_subset_reconstructed_numerics,0.0013717186798418222,5.593876016556541e-05
CFT,algebraic,0.3,5.0,80,23.0,19.9979314309483,paper_subset_reconstructed_numerics,0.0011495529488051229,6.387237175729025e-05
CFT,algebraic,0.3,5.0,80,24.0,20.601448592019356,paper_subset_reconstructed_numerics,0.0010817737679507794,2.598749925342446e-05
CFT,algebraic,0.3,5.0,80,27.0,22.21792837657231,paper_subset_reconstructed_numerics,0.0010012013243027836,2.6124651212125297e-05
