L,p,gamma,ell,chord_length,entropy,entropy_sem,correlation_positive,correlation_positive_sem,correlation_connected,trajectories,samples_per_trajectory,max_invariant_residual,stationary_relative_drift
24,1.25,1.5,1.0,0.9971466573496368,0.5251333046782967,0.023696779032779412,0.022410334728939572,0.000990082170083284,-0.022410334728939572,4,5,5.329070518200751e-15,0.17785982804598244
24,1.25,1.5,2.0,1.9772318589307383,0.9163695536143617,0.03610186797437297,0.012262224496005582,0.0008555121473394178,-0.012262224496005582,4,5,5.329070518200751e-15,0.17785982804598244
24,1.25,1.5,3.0,2.923486075213298,1.280562648628539,0.021784518557233696,0.007966643456251234,0.0004947499317195967,-0.007966643456251234,4,5,5.329070518200751e-15,0.17785982804598244
24,1.25,1.5,4.0,3.8197186342054876,1.532580476711251,0.05161476370079649,0.0070017962126847815,0.0005221987876157569,-0.0070017962126847815,4,5,5.329070518200751e-15,0.17785982804598244
24,1.25,1.5,5.0,4.650594748340343,1.7278271231027218,0.06301761100851087,0.005910270592800481,0.0003233993792994328,-0.005910270592800481,4,5,5.329070518200751e-15,0.17785982804598244
24,1.25,1.5,6.0,5.401897896942636,1.8688067367680539,0.06683701162206473,0.005072064449288372,0.00021384972720691004,-0.005072064449288372,4,5,5.329070518200751e-15,0.17785982804598244
24,1.25,1.5,7.0,6.060773074839197,1.9827480998089908,0.05794489129415709,0.004501995910024557,0.0003915971123969644,-0.004501995910024557,4,5,5.329070518200751e-15,0.17785982804598244
24,1.25,1.5,8.0,6.615946745061504,2.1259570558257117,0.05011146753562908,0.0038780468541394462,0.00013020226112248114,-0.0038780468541394462,4,5,5.329070518200751e-15,0.17785982804598244
24,1.25,1.5,9.0,7.057919732188834,2.260344379562966,0.04939473887629813,0.003910133979891115,0.00012773739679777874,-0.003910133979891115,4,5,5.329070518200751e-15,0.17785982804598244
24,1.25,1.5,10.0,7.379129755873375,2.345023217456596,0.05023392757544033,0.0040097744098955305,0.00023090674265270934,-0.0040097744098955305,4,5,5.329070518200751e-15,0.17785982804598244
24,1.25,1.5,11.0,7.574080823553641,2.421528856460543,0.0530699721585129,0.0040109517933078764,0.0002784788551880007,-0.0040109517933078764,4,5,5.329070518200751e-15,0.17785982804598244
24,1.25,1.5,12.0,7.639437268410976,2.4216135894604682,0.04625781771109366,0.00396053537440818,0.0006495586543604763,-0.00396053537440818,4,5,5.329070518200751e-15,0.17785982804598244
24,1.25,2.0,1.0,0.9971466573496368,0.4782280240979763,0.02036355829229767,0.020348831352246785,0.0010080563086287064,-0.020348831352246785,4,5,5.329070518200751e-15,0.30254933650491067
24,1.25,2.0,2.0,1.9772318589307383,0.8045902880214328,0.03381587400511854,0.011025245491223112,0.0007763842764600227,-0.011025245491223112,4,5,5.329070518200751e-15,0.30254933650491067
24,1.25,2.0,3.0,2.923486075213298,1.0638196324877724,0.04559383457166243,0.007604621494167896,0.000527439472719653,-0.007604621494167896,4,5,5.329070518200751e-15,0.30254933650491067
24,1.25,2.0,4.0,3.8197186342054876,1.2901864862427608,0.03832705356313039,0.006171186522347601,0.00021448210085117845,-0.006171186522347601,4,5,5.329070518200751e-15,0.30254933650491067
24,1.25,2.0,5.0,4.650594748340343,1.4558388234755526,0.05312571791010529,0.005040421774467166,0.00014660591432707318,-0.005040421774467166,4,5,5.329070518200751e-15,0.30254933650491067
24,1.25,2.0,6.0,5.401897896942636,1.625322366982204,0.057424930955706915,0.004301932355080971,0.0002090420219860053,-0.004301932355080971,4,5,5.329070518200751e-15,0.30254933650491067
24,1.25,2.0,7.0,6.060773074839197,1.7297508381126732,0.03802166432535255,0.003962196039263419,0.00013716605933956653,-0.003962196039263419,4,5,5.329070518200751e-15,0.30254933650491067
24,1.25,2.0,8.0,6.615946745061504,1.8225344226645885,0.05452801588802502,0.003492806120932947,0.0003116779208279147,-0.003492806120932947,4,5,5.329070518200751e-15,0.30254933650491067
24,1.25,2.0,9.0,7.057919732188834,1.928996283539759,0.06080881470656731,0.0034244338677072573,0.0003022304253579076,-0.0034244338677072573,4,5,5.329070518200751e-15,0.30254933650491067
24,1.25,2.0,10.0,7.379129755873375,1.9795811630620626,0.05684755847293948,0.003164155744051516,0.00018736299137500157,-0.003164155744051516,4,5,5.329070518200751e-15,0.30254933650491067
24,1.25,2.0,11.0,7.574080823553641,2.0135325978041116,0.05223987528280907,0.003099076766303094,0.00019621135654436232,-0.003099076766303094,4,5,5.329070518200751e-15,0.30254933650491067
24,1.25,2.0,12.0,7.639437268410976,2.0465085439399444,0.034462138640698615,0.002888751884661919,0.0002603003992065106,-0.002888751884661919,4,5,5.329070518200751e-15,0.30254933650491067
24,1.4,0.3,1.0,0.9971466573496368,0.6138131839248931,0.01387317474487408,0.017019843176270897,0.001157076938433611,-0.017019843176270897,4,5,3.552713678800501e-15,0.12073002940691616
24,1.4,0.3,2.0,1.9772318589307383,1.1354243153360561,0.015543410287828137,0.011803863606653496,0.0005321038975951273,-0.011803863606653496,4,5,3.552713678800501e-15,0.12073002940691616
24,1.4,0.3,3.0,2.923486075213298,1.604628317166659,0.025888923710213025,0.01089678829757194,0.0003114456834517621,-0.01089678829757194,4,5,3.552713678800501e-15,0.12073002940691616
24,1.4,0.3,4.0,3.8197186342054876,2.0497549637632035,0.022075355826363184,0.009518907243893673,0.0006176870001391515,-0.009518907243893673,4,5,3.552713678800501e-15,0.12073002940691616
24,1.4,0.3,5.0,4.650594748340343,2.425602064338796,0.025761016369216072,0.009126435101065724,0.0002871529263284367,-0.009126435101065724,4,5,3.552713678800501e-15,0.12073002940691616
24,1.4,0.3,6.0,5.401897896942636,2.76895027694213,0.03740928265525852,0.008905197568871178,0.0004328250962366902,-0.008905197568871178,4,5,3.552713678800501e-15,0.12073002940691616
24,1.4,0.3,7.0,6.060773074839197,3.064304278486947,0.03917160782307624,0.008295706467410246,0.0002019581466759807,-0.008295706467410246,4,5,3.552713678800501e-15,0.12073002940691616
24,1.4,0.3,8.0,6.615946745061504,3.2891185923113904,0.05722280661112573,0.007291034871181528,0.00038155459625565513,-0.007291034871181528,4,5,3.552713678800501e-15,0.12073002940691616
24,1.4,0.3,9.0,7.057919732188834,3.4538223886160653,0.07168383974839782,0.00688159602587159,0.0003154019107235892,-0.00688159602587159,4,5,3.552713678800501e-15,0.12073002940691616
24,1.4,0.3,10.0,7.379129755873375,3.5967249985951693,0.06428009684824729,0.007276084448174095,0.000181707566185338,-0.007276084448174095,4,5,3.552713678800501e-15,0.12073002940691616
24,1.4,0.3,11.0,7.574080823553641,3.638788005778514,0.048429394872958074,0.006988335843854302,0.0006216768005345397,-0.006988335843854302,4,5,3.552713678800501e-15,0.12073002940691616
24,1.4,0.3,12.0,7.639437268410976,3.6530797938183515,0.04823175733878234,0.006897941117466248,0.0007086817605013394,-0.006897941117466248,4,5,3.552713678800501e-15,0.12073002940691616
24,1.4,1.0,1.0,0.9971466573496368,0.5282167403409473,0.0225190515215467,0.02237013137455012,0.0006754511290313105,-0.02237013137455012,4,5,3.552713678800501e-15,0.2627769599816231
24,1.4,1.0,2.0,1.9772318589307383,0.9558950239045285,0.03364641250126409,0.012690629614790064,0.00105108971679623,-0.012690629614790064,4,5,3.552713678800501e-15,0.2627769599816231
24,1.4,1.0,3.0,2.923486075213298,1.2629244684918182,0.030051622161728915,0.00923864824442091,0.0005836213578593025,-0.00923864824442091,4,5,3.552713678800501e-15,0.2627769599816231
