gamma,L,p,inverse_p,c_eff,fit_relative_rms,parameter_status
1.5,32,3.0,0.3333333333333333,2.2903048266616715,0.012490378833221422,reduced_scale
1.5,32,5.0,0.2,2.423071337533183,0.01500570043091863,reduced_scale
1.5,48,1.15,0.8695652173913044,6.475621750007122,0.010716312859745659,reduced_scale
1.5,48,1.25,0.8,5.130878333804315,0.005790946021572403,reduced_scale
1.5,48,1.4,0.7142857142857143,4.8517590256143945,0.007448793294501161,reduced_scale
1.5,48,1.6,0.625,4.014189128144508,0.00809706125306942,reduced_scale
1.5,48,2.0,0.5,2.7494140350574834,0.012173268520347176,reduced_scale
1.5,48,3.0,0.3333333333333333,2.5083068423043215,0.012284819471148222,reduced_scale
1.5,48,5.0,0.2,2.2256686505720022,0.01423558654081249,reduced_scale
1.5,64,1.15,0.8695652173913044,6.9813169032010425,0.0024071597219904135,reduced_scale
1.5,64,1.25,0.8,5.638229306247759,0.007110199738850529,reduced_scale
1.5,64,1.4,0.7142857142857143,5.343168354256102,0.005328615099366377,reduced_scale
1.5,64,1.6,0.625,3.227744319258866,0.005304917678090718,reduced_scale
1.5,64,2.0,0.5,2.3275665367921636,0.012854059202592744,reduced_scale
1.5,64,3.0,0.3333333333333333,1.7488947866476185,0.014500519651529598,reduced_scale
1.5,64,5.0,0.2,1.7744864702338914,0.024887022259837577,reduced_scale
1.5,80,1.15,0.8695652173913044,7.0582236285513895,0.004500366715603827,reduced_scale
1.5,80,1.25,0.8,5.9905603581400975,0.006234710088469092,reduced_scale
1.5,80,1.4,0.7142857142857143,5.347270174389227,0.004929983006328597,reduced_scale
1.5,80,1.6,0.625,4.08937456252414,0.01261242359251001,reduced_scale
1.5,80,2.0,0.5,1.8661892415592711,0.006435498821679706,reduced_scale
1.5,80,3.0,0.3333333333333333,0.7840316786676915,0.009480421478584473,reduced_scale
1.5,80,5.0,0.2,2.7351142153862082,0.04200336045286405,reduced_scale
1.5,96,1.15,0.8695652173913044,9.118551983870631,0.004190057772978082,reduced_scale
1.5,96,1.25,0.8,6.887965707880851,0.003488390145550222,reduced_scale
1.5,96,1.4,0.7142857142857143,5.427587648427,0.009006209305508894,reduced_scale
1.5,96,1.6,0.625,3.3522542726947604,0.01237617626277303,reduced_scale
1.5,96,2.0,0.5,2.60992149136756,0.008969016169152959,reduced_scale
1.5,96,3.0,0.3333333333333333,0.42809814059925844,0.021082774395465267,reduced_scale
1.5,96,5.0,0.2,1.6715555396618478,0.010506933233931119,reduced_scale
