physics_phase,caption_phase,gamma,p,L,ell,chord_length,parameter_status,entropy,entropy_sem
algebraic,CFT,0.3,1.25,96,12.0,11.693944300853191,paper_subset_reconstructed_numerics,5.291273817792025,0.110762352956913
algebraic,CFT,0.3,1.25,96,16.0,15.27887453682195,paper_subset_reconstructed_numerics,6.502247113770825,0.12023936607620715
algebraic,CFT,0.3,1.25,96,21.0,19.385630791477553,paper_subset_reconstructed_numerics,7.655667118415172,0.14102950678175383
algebraic,CFT,0.3,1.25,96,24.0,21.607591587770543,paper_subset_reconstructed_numerics,8.20674570210644,0.13381477414712747
algebraic,CFT,0.3,1.25,96,28.0,24.24309229935679,paper_subset_reconstructed_numerics,8.81730794286956,0.1617265239457806
algebraic,CFT,0.3,1.25,96,32.0,26.463786980246017,paper_subset_reconstructed_numerics,9.313665982117254,0.18726175441245801
algebraic,CFT,0.3,1.25,96,36.0,28.231678928755336,paper_subset_reconstructed_numerics,9.706847985898756,0.19159909616541818
algebraic,CFT,0.3,1.25,96,40.0,29.5165190234935,paper_subset_reconstructed_numerics,9.983430493156582,0.17438857133813868
algebraic,CFT,0.3,1.25,96,44.0,30.296323294214563,paper_subset_reconstructed_numerics,10.178302787145281,0.1770124317891997
algebraic,CFT,0.3,1.25,96,48.0,30.557749073643905,paper_subset_reconstructed_numerics,10.199601905907379,0.1883764271318655
CFT,algebraic,0.3,5.0,24,1.0,0.9971466573496368,paper_subset_reconstructed_numerics,0.5674788685077414,0.02588043680572688
CFT,algebraic,0.3,5.0,24,2.0,1.9772318589307383,paper_subset_reconstructed_numerics,1.0877575079551491,0.024568534082691124
CFT,algebraic,0.3,5.0,24,3.0,2.923486075213298,paper_subset_reconstructed_numerics,1.5097568266985908,0.029525958620790778
CFT,algebraic,0.3,5.0,24,4.0,3.8197186342054876,paper_subset_reconstructed_numerics,1.8939105615526086,0.03972110604018204
CFT,algebraic,0.3,5.0,24,5.0,4.650594748340343,paper_subset_reconstructed_numerics,2.217905690069691,0.03858070814702474
CFT,algebraic,0.3,5.0,24,6.0,5.401897896942636,paper_subset_reconstructed_numerics,2.4723882141451887,0.06589623928921129
CFT,algebraic,0.3,5.0,24,7.0,6.060773074839197,paper_subset_reconstructed_numerics,2.700568975463236,0.08178482350541874
CFT,algebraic,0.3,5.0,24,8.0,6.615946745061504,paper_subset_reconstructed_numerics,2.875438867627203,0.10806881496444323
CFT,algebraic,0.3,5.0,24,9.0,7.057919732188834,paper_subset_reconstructed_numerics,3.0326257078697836,0.11451167517979664
CFT,algebraic,0.3,5.0,24,10.0,7.379129755873375,paper_subset_reconstructed_numerics,3.096216618145273,0.11274347894883034
CFT,algebraic,0.3,5.0,24,11.0,7.574080823553641,paper_subset_reconstructed_numerics,3.158351097124039,0.11472330009981255
CFT,algebraic,0.3,5.0,24,12.0,7.639437268410976,paper_subset_reconstructed_numerics,3.1890739731599975,0.10729180194328627
CFT,algebraic,0.3,5.0,32,1.0,0.9983943930356184,paper_subset_reconstructed_numerics,0.5752172514673424,0.010303104977255185
CFT,algebraic,0.3,5.0,32,2.0,1.9871737022884115,paper_subset_reconstructed_numerics,1.0732303529057878,0.0323599624095965
CFT,algebraic,0.3,5.0,32,3.0,2.956815442488522,paper_subset_reconstructed_numerics,1.4840073823858262,0.06534481821127477
CFT,algebraic,0.3,5.0,32,4.0,3.8979814336177308,paper_subset_reconstructed_numerics,1.8975570196256863,0.0772890436922182
CFT,algebraic,0.3,5.0,32,5.0,4.801607732687796,paper_subset_reconstructed_numerics,2.264239486521808,0.07826935280131313
CFT,algebraic,0.3,5.0,32,6.0,5.658991924466292,paper_subset_reconstructed_numerics,2.53797439397447,0.09827341569687803
CFT,algebraic,0.3,5.0,32,7.0,6.461876930492518,paper_subset_reconstructed_numerics,2.8285820047129087,0.10319311251970048
CFT,algebraic,0.3,5.0,32,8.0,7.2025305292568484,paper_subset_reconstructed_numerics,3.032522359030259,0.11660628382583313
CFT,algebraic,0.3,5.0,32,9.0,7.873819821720744,paper_subset_reconstructed_numerics,3.207398451492886,0.09743408971473173
CFT,algebraic,0.3,5.0,32,11.0,8.983176232889269,paper_subset_reconstructed_numerics,3.5223280741296428,0.0789178431211766
CFT,algebraic,0.3,5.0,32,12.0,9.410559642918447,paper_subset_reconstructed_numerics,3.633297506226569,0.10439020758134794
