curve_id,subset,particle_count,parity,field_j_over_w,energy_over_w
3,2,1,inaccessible_odd,1.3,1.1062178995821854
3,2,1,inaccessible_odd,1.3250000000000002,1.1441199927222863
3,2,1,inaccessible_odd,1.35,1.1828608621757672
3,2,1,inaccessible_odd,1.375,1.222363099167006
3,2,1,inaccessible_odd,1.4000000000000001,1.2625576862220307
3,2,1,inaccessible_odd,1.425,1.3033830233430135
3,2,1,inaccessible_odd,1.4500000000000002,1.3447840606545143
3,2,1,inaccessible_odd,1.475,1.3867115306177136
3,2,1,inaccessible_odd,1.5,1.4291212712504955
3,2,1,inaccessible_odd,1.5250000000000001,1.4719736312398408
3,2,1,inaccessible_odd,1.55,1.5152329479491338
3,2,1,inaccessible_odd,1.5750000000000002,1.5588670898175994
3,2,1,inaccessible_odd,1.6,1.602847055337265
3,2,1,inaccessible_odd,1.625,1.6471466215578383
3,2,1,inaccessible_odd,1.6500000000000001,1.6917420358418933
3,2,1,inaccessible_odd,1.675,1.736611745330605
3,2,1,inaccessible_odd,1.7000000000000002,1.781736159263071
3,2,1,inaccessible_odd,1.725,1.8270974399099293
3,2,1,inaccessible_odd,1.75,1.8726793184330695
3,2,1,inaccessible_odd,1.7750000000000001,1.9184669324690127
3,2,1,inaccessible_odd,1.8,1.9644466826593618
3,2,1,inaccessible_odd,1.8250000000000002,2.0106061057221147
3,2,1,inaccessible_odd,1.85,2.0569337619794688
3,2,1,inaccessible_odd,1.875,2.103419135535794
3,2,1,inaccessible_odd,1.9000000000000001,2.1500525455399946
3,2,1,inaccessible_odd,1.925,2.1968250671738505
3,2,1,inaccessible_odd,1.9500000000000002,2.2437284611867905
3,2,1,inaccessible_odd,1.975,2.290755110951818
3,2,1,inaccessible_odd,2.0,2.337897966150416
4,3,1,inaccessible_odd,0.0,2.0
4,3,1,inaccessible_odd,0.025,1.955594918013768
4,3,1,inaccessible_odd,0.05,1.9114951784719847
4,3,1,inaccessible_odd,0.07500000000000001,1.867724674264425
4,3,1,inaccessible_odd,0.1,1.824309636785898
4,3,1,inaccessible_odd,0.125,1.781278894665496
4,3,1,inaccessible_odd,0.15000000000000002,1.7386641609209503
4,3,1,inaccessible_odd,0.17500000000000002,1.6965003506238374
4,3,1,inaccessible_odd,0.2,1.6548259308065065
4,3,1,inaccessible_odd,0.225,1.613683303715081
4,3,1,inaccessible_odd,0.25,1.5731192235087752
4,3,1,inaccessible_odd,0.275,1.5331852449884595
4,3,1,inaccessible_odd,0.30000000000000004,1.4939382007376876
4,3,1,inaccessible_odd,0.325,1.4554406999732892
4,3,1,inaccessible_odd,0.35000000000000003,1.4177616381972982
4,3,1,inaccessible_odd,0.375,1.380976701169729
4,3,1,inaccessible_odd,0.4,1.3451688395548582
4,3,1,inaccessible_odd,0.42500000000000004,1.310428681680782
4,3,1,inaccessible_odd,0.45,1.2768548412152152
4,3,1,inaccessible_odd,0.47500000000000003,1.244554064532387
4,3,1,inaccessible_odd,0.5,1.213641149956245
4,3,1,inaccessible_odd,0.525,1.1842385594559368
4,3,1,inaccessible_odd,0.55,1.1564756351942307
4,3,1,inaccessible_odd,0.5750000000000001,1.1304873320456246
4,3,1,inaccessible_odd,0.6000000000000001,1.10641238710484
4,3,1,inaccessible_odd,0.625,1.0843908728353713
4,3,1,inaccessible_odd,0.65,1.0645611254512437
4,3,1,inaccessible_odd,0.675,1.0470561052557077
4,3,1,inaccessible_odd,0.7000000000000001,1.0319993271119887
4,3,1,inaccessible_odd,0.7250000000000001,1.0195005868761906
4,3,1,inaccessible_odd,0.75,1.0096517872039588
4,3,1,inaccessible_odd,0.775,1.0025232138788123
4,3,1,inaccessible_odd,0.8,0.998160613777841
4,3,1,inaccessible_odd,0.8250000000000001,0.9965833683592754
4,3,1,inaccessible_odd,0.8500000000000001,0.9977839463986776
4,3,1,inaccessible_odd,0.875,1.001728675474854
4,3,1,inaccessible_odd,0.9,1.0083597221608813
4,3,1,inaccessible_odd,0.925,1.0175980458882778
4,3,1,inaccessible_odd,0.9500000000000001,1.0293470129321693
4,3,1,inaccessible_odd,0.9750000000000001,1.0434963332695961
4,3,1,inaccessible_odd,1.0,1.0599260087866473
4,3,1,inaccessible_odd,1.0250000000000001,1.078510041570309
4,3,1,inaccessible_odd,1.05,1.0991197276158255
4,3,1,inaccessible_odd,1.075,1.1216264380346983
4,3,1,inaccessible_odd,1.1,1.1459038556499395
4,3,1,inaccessible_odd,1.125,1.1718296842755345
4,3,1,inaccessible_odd,1.1500000000000001,1.1992868802053294
4,3,1,inaccessible_odd,1.175,1.2281644726466683
4,3,1,inaccessible_odd,1.2000000000000002,1.2583580455333037
