artifact_state,length,boundary,beta,observable,family,shell_mode,shell_width,delta,count,log_d_count
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.01,60,0.9844817659347531
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.015,60,0.9844817659347531
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.02,59,0.9804405082269737
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.025,58,0.9763301658545954
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.03,56,0.9678924870096008
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.035,55,0.9635599522541101
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.04,53,0.9546534090938666
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.045,52,0.9500732863568488
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.05,51,0.945404223661916
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.055,47,0.9257648086129396
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.06,46,0.9205936593428355
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.065,46,0.9205936593428355
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.07,46,0.9205936593428355
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.075,45,0.9153088493882792
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.08,43,0.9043774591170164
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.085,42,0.8987195704631268
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.09,41,0.8929253341030141
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.095,38,0.8746545855739309
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.1,37,0.8682422276048251
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.105,36,0.8616541669070521
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.11,36,0.8616541669070521
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.115,35,0.8548805028241611
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.12,34,0.8479104735417233
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.125,34,0.8479104735417233
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.13,32,0.8333333333333334
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.135,32,0.8333333333333334
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.14,32,0.8333333333333334
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.145,32,0.8333333333333334
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.15,30,0.8178150992680865
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.155,29,0.8096634991879288
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.16,29,0.8096634991879288
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.165,29,0.8096634991879288
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.17,27,0.7924812503605781
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.0,64,1.0
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.005,64,1.0
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.01,61,0.9884562229271479
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.015,60,0.9844817659347531
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.02,59,0.9804405082269737
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.025,57,0.9721483356941237
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.03,57,0.9721483356941237
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.035,56,0.9678924870096008
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.04,52,0.9500732863568488
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.045,50,0.9406426982957875
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.05,49,0.9357849740192015
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.055,48,0.9308270834535262
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.06,47,0.9257648086129396
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.065,47,0.9257648086129396
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.07,46,0.9205936593428355
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.075,43,0.9043774591170164
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.08,42,0.8987195704631268
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.085,40,0.8869880158145604
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.09,40,0.8869880158145604
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.095,38,0.8746545855739309
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.1,35,0.8548805028241611
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.105,35,0.8548805028241611
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.11,33,0.8407323532264089
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.115,33,0.8407323532264089
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.12,31,0.8256993850644793
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.125,30,0.8178150992680865
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.13,30,0.8178150992680865
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.135,28,0.8012258203429341
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.14,27,0.7924812503605781
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.145,27,0.7924812503605781
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.15,27,0.7924812503605781
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.155,26,0.7834066196901821
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.16,26,0.7834066196901821
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.165,24,0.7641604167868594
exploratory,6,open,0.25,sigma_z_sigma_z,eth_nonintegrable,centred,8,0.17,24,0.7641604167868594
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.0,64,1.0
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.005,64,1.0
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.01,63,0.9962133205833195
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.015,63,0.9962133205833195
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.02,62,0.992366051731146
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.025,60,0.9844817659347531
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.03,59,0.9804405082269737
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.035,57,0.9721483356941237
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.04,56,0.9678924870096008
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.045,55,0.9635599522541101
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.05,55,0.9635599522541101
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.055,53,0.9546534090938666
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.06,53,0.9546534090938666
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.065,52,0.9500732863568488
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.07,50,0.9406426982957875
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.075,47,0.9257648086129396
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.08,47,0.9257648086129396
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.085,46,0.9205936593428355
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.09,44,0.9099052697728829
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.095,43,0.9043774591170164
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.1,42,0.8987195704631268
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.105,41,0.8929253341030141
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.11,39,0.8809003698103748
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.115,38,0.8746545855739309
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.12,36,0.8616541669070521
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.125,36,0.8616541669070521
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.13,36,0.8616541669070521
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.135,36,0.8616541669070521
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.14,35,0.8548805028241611
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.145,35,0.8548805028241611
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.15,34,0.8479104735417233
exploratory,6,open,0.25,sigma_z_sigma_z,eth_integrable,centred,8,0.155,33,0.8407323532264089
