family,strategy,qubits,samples,mean_gate_count,mean_scheduled_stages,mean_movement_events,mean_movement_distance_um,mean_movement_duration_us,mean_transfer_events,mean_idle_exposure,mean_total_duration_us,mean_idle_coherence_us,mean_log_no_fault,mean_no_fault,mean_native_three_qubit_gates
p_spin_ising,mobius_native,20,5,40.0,40.0,280.0,15491.025577853808,13301.909147646194,280.0,660.0,14524.949147646199,239591.5826909573,-3.0971058813666357,0.04517978569074056,20.0
p_spin_ising,mobius_native,30,5,60.0,60.0,420.0,31974.074612164055,23744.026351110708,420.0,1590.0,25578.586351110705,677666.9906585102,-6.359723364002422,0.0017298921974916858,30.0
p_spin_ising,zap_decomposed,6,5,492.0,347.0,480.0,14525.577834919799,26730.817406272516,480.0,480.0,42178.0174062726,172976.06962509057,-2.5101818067410817,0.08125350913321576,0.0
p_spin_ising,zap_decomposed,10,5,820.0,532.6,800.0,28217.566602295334,48731.28148539738,800.0,1600.0,72098.48148539753,579138.2518831808,-6.3800370540686036,0.0016950894616139301,0.0
p_spin_ising,zap_decomposed,20,5,1640.0,837.4,1600.0,88262.65814623576,125498.96384838743,1600.0,7200.0,160387.76384838726,2867989.3492709706,-23.912403544280856,4.124038029775455e-11,0.0
p_spin_ising,zap_decomposed,30,5,2460.0,1063.2,2400.0,181586.07139719016,223609.64827984502,2400.0,16800.0,265912.048279844,7396990.151835631,-52.9507240437516,1.0250414317017317e-23,0.0
qaoa_3local,mobius_native,6,5,12.0,12.0,72.0,2127.778712194122,2762.280435993665,72.0,36.0,3129.1924359936647,9387.577307980995,-0.39178940765327575,0.6758464365480171,12.0
qaoa_3local,mobius_native,10,5,20.0,20.0,120.0,4269.071277823752,5026.017702611452,120.0,140.0,5637.537702611452,39462.763918280165,-0.8691106313638123,0.4193243407795718,20.0
qaoa_3local,mobius_native,20,5,40.0,40.0,240.0,13373.358767129419,13180.741762532614,240.0,680.0,14403.781762532619,244864.28996305453,-2.8500991913926783,0.05783869754071308,40.0
qaoa_3local,mobius_native,30,5,60.0,60.0,360.0,27806.635886859127,23584.6684993934,360.0,1620.0,25419.228499393397,686319.1694836217,-5.98970874098613,0.002504440323223057,60.0
qaoa_3local,zap_decomposed,6,5,300.0,224.4,288.0,8511.114848776491,15736.924327060124,288.0,288.0,25847.644327060152,107384.17730824063,-1.5099483237766491,0.22092156400798127,0.0
qaoa_3local,zap_decomposed,10,5,500.0,324.2,480.0,17076.285111294994,29167.447909955226,480.0,960.0,43429.047909955356,348909.183279643,-3.831373413946335,0.021681158687134477,0.0
qaoa_3local,zap_decomposed,20,5,1000.0,512.8,960.0,53493.43506851767,75452.92677832663,960.0,4320.0,96924.92677832673,1733499.8820098813,-14.360713695010745,5.805382337328569e-07,0.0
qaoa_3local,zap_decomposed,30,5,1500.0,704.6,1440.0,111226.54354743657,133936.44694583275,1440.0,10080.0,162785.24694583242,4534545.314483307,-31.84186965538829,1.4902177030979285e-14,0.0
qft_pairs,mobius_native,6,5,15.0,15.0,60.0,1759.3956549373731,3257.734618203174,60.0,60.0,3713.134618203173,14852.538472812686,-0.2953076527704934,0.7443025654917345,0.0
qft_pairs,mobius_native,10,5,45.0,45.0,180.0,6436.640504908369,10980.398453324522,180.0,360.0,12346.598453324517,98772.78762659614,-1.3726298457115782,0.25343957539825723,0.0
