family,strategy,seed,qubits,gate_count,one_qubit_gates,two_qubit_gates,native_three_qubit_gates,native_four_qubit_gates,scheduled_stages,movement_events,movement_distance_um,movement_duration_us,transfer_events,idle_exposure,total_duration_us,idle_coherence_us,log_no_fault,no_fault
ghz_chain,zap_decomposed,43,6,16,11,5,0,0,11,20,557.7111693306754,1039.887652099179,20,20,1503.6876520991789,6066.750608396715,-0.10248031565638138,0.9025959165862316
synthetic_3sat,mobius_native,71,6,17,4,7,6,0,14,64,1816.3191477008827,2806.2206022035903,64,46,3254.1966022035904,11358.799606056215,-0.3347276727098227,0.7155329189630912
synthetic_3sat,zap_decomposed,71,6,161,118,43,0,0,116,172,4974.646967781906,9249.989215197214,172,172,14351.469215197214,58861.876860788856,-0.8928103156079112,0.40950330061651274
qaoa_3local,mobius_native,71,6,12,0,0,12,0,12,72,2109.4035281253587,2735.7320205964975,72,36,3102.6440205964973,9307.932061789492,-0.3917363108224814,0.6758823133162705
qaoa_3local,zap_decomposed,71,6,300,228,72,0,0,217,288,8437.61411250144,15617.939661663939,288,288,25343.85966166395,104599.43864665582,-1.5080918313355927,0.22133191389141096
p_spin_ising,mobius_native,71,6,12,0,0,6,6,12,84,2516.7951732269203,2863.1445126625363,84,30,3230.0565126625356,8014.099828083219,-0.46603030444661714,0.6274882680744852
p_spin_ising,zap_decomposed,71,6,492,372,120,0,0,353,480,14634.77885253876,26868.988577379983,480,480,42628.18857738007,175400.75430952042,-2.511798263197368,0.08112222887902673
hypergraph_4local,mobius_native,71,6,12,0,0,0,12,12,96,2811.1813998284524,2863.1445126625363,96,24,3230.056512662536,6460.113025325072,-0.5401508616913849,0.582660344618108
hypergraph_4local,zap_decomposed,71,6,684,516,168,0,0,484,672,20034.87333079455,36994.14585817177,672,672,58526.62585817192,240138.503432688,-3.5114623173660116,0.0298532276095431
qram_oracle,mobius_native,71,6,18,0,0,6,12,18,132,3875.4031515971283,4233.6753154206845,132,42,4784.043315420684,11061.031980026397,-0.7359836523851634,0.4790340241884629
qram_oracle,zap_decomposed,71,6,834,630,204,0,0,584,816,24456.581335617233,45084.58859773487,816,816,71038.02859773497,290912.1143909401,-4.264490827457091,0.014059023779796185
multiplier_oracle,mobius_native,71,6,15,0,6,6,3,15,84,2477.5703140617743,3395.8062801088113,84,48,3853.150280108811,12243.58606134583,-0.44905131619894745,0.6382333461440421
multiplier_oracle,zap_decomposed,71,6,327,243,84,0,0,238,336,9979.265553107578,18401.63794653863,336,336,28959.877946538658,119219.51178615468,-1.750663990261183,0.17365859754286417
qft_pairs,mobius_native,71,6,15,0,15,0,0,15,60,1759.3956549373734,3257.734618203174,60,60,3713.134618203173,14852.538472812688,-0.2953076527704934,0.7443025654917345
qft_pairs,zap_decomposed,71,6,15,0,15,0,0,15,60,1759.3956549373734,3257.734618203174,60,60,3713.134618203173,14852.538472812688,-0.2953076527704934,0.7443025654917345
ghz_chain,mobius_native,71,6,16,11,5,0,0,11,20,557.7111693306754,1039.887652099179,20,20,1503.6876520991789,6066.750608396715,-0.10248031565638138,0.9025959165862316
ghz_chain,zap_decomposed,71,6,16,11,5,0,0,11,20,557.7111693306754,1039.887652099179,20,20,1503.6876520991789,6066.750608396715,-0.10248031565638138,0.9025959165862316
synthetic_3sat,mobius_native,101,6,12,4,4,4,0,9,40,1212.249234684805,1827.374403677531,40,28,2123.1184036775308,7352.482412871359,-0.21072043202642768,0.8100004854244176
synthetic_3sat,zap_decomposed,101,6,108,80,28,0,0,76,112,3343.6633236299413,6140.985428739282,112,112,9487.065428739277,38780.261714957116,-0.582614901379996,0.5584362000977253
qaoa_3local,mobius_native,101,6,12,0,0,12,0,12,72,2026.0028341154289,2613.649113450258,72,36,2980.561113450258,8941.683340350775,-0.39149214500818896,0.6760473608203263
qaoa_3local,zap_decomposed,101,6,300,228,72,0,0,228,288,8104.011336461721,15118.948863239382,288,288,25416.868863239415,106035.4754529577,-1.5090491892064604,0.22112012143833504
p_spin_ising,mobius_native,101,6,12,0,0,6,6,12,84,2500.5075182779788,2863.1445126625363,84,30,3230.056512662536,8075.141281656339,-0.4660709987489992,0.6274627333967244
p_spin_ising,zap_decomposed,101,6,492,372,120,0,0,347,480,14391.381032981462,26550.20857421032,480,480,41997.40857421038,172253.63429684163,-2.5097001831889156,0.08129260847819429
hypergraph_4local,mobius_native,101,6,12,0,0,0,12,12,96,2818.8846959711427,2863.1445126625363,96,24,3230.056512662536,6460.113025325072,-0.5401508616913849,0.582660344618108
hypergraph_4local,zap_decomposed,101,6,684,516,168,0,0,480,672,20081.093107650693,37015.46419785097,672,672,58339.94419785107,238975.77679140455,-3.510687166271823,0.02987637734270105
qram_oracle,mobius_native,101,6,18,0,0,6,12,18,132,3827.4848011533645,4167.304276927765,132,42,4717.672276927765,10922.960318120757,-0.7358916046105596,0.4790781202337892
qram_oracle,zap_decomposed,101,6,834,630,204,0,0,596,816,24100.086936094183,44553.62028979152,816,816,71131.06028979165,292532.2411591669,-4.265570911969242,0.014043847043509977
multiplier_oracle,mobius_native,101,6,15,0,6,6,3,15,84,2508.2108144206686,3451.5181487621317,84,48,3908.8621487621313,12405.39208238599,-0.4491591868796409,0.6381645031916872
multiplier_oracle,zap_decomposed,101,6,327,243,84,0,0,232,336,10117.234146828532,18629.815006071698,336,336,28876.055006071736,118260.22002428699,-1.7500244624199377,0.17376969257125982
qft_pairs,mobius_native,101,6,15,0,15,0,0,15,60,1759.3956549373734,3257.734618203174,60,60,3713.134618203173,14852.538472812688,-0.2953076527704934,0.7443025654917345
qft_pairs,zap_decomposed,101,6,15,0,15,0,0,15,60,1759.3956549373734,3257.734618203174,60,60,3713.134618203173,14852.538472812688,-0.2953076527704934,0.7443025654917345
ghz_chain,mobius_native,101,6,16,11,5,0,0,11,20,557.7111693306754,1039.887652099179,20,20,1503.6876520991789,6066.750608396715,-0.10248031565638138,0.9025959165862316
ghz_chain,zap_decomposed,101,6,16,11,5,0,0,11,20,557.7111693306754,1039.887652099179,20,20,1503.6876520991789,6066.750608396715,-0.10248031565638138,0.9025959165862316
