axis,index,radians
phi,102,-0.47123889803846897
phi,103,-0.44505895925855432
phi,104,-0.41887902047863923
phi,105,-0.39269908169872414
phi,106,-0.36651914291880949
phi,107,-0.3403392041388944
phi,108,-0.31415926535897931
phi,109,-0.28797932657906467
phi,110,-0.26179938779914957
phi,111,-0.23561944901923448
phi,112,-0.20943951023931984
phi,113,-0.18325957145940475
phi,114,-0.15707963267948966
phi,115,-0.13089969389957501
phi,116,-0.10471975511965992
phi,117,-0.078539816339744828
phi,118,-0.052359877559830181
phi,119,-0.026179938779915091
phi,120,0
phi,121,0.026179938779914647
phi,122,0.052359877559829737
phi,123,0.078539816339744828
phi,124,0.10471975511965947
phi,125,0.13089969389957457
phi,126,0.15707963267948966
phi,127,0.1832595714594043
phi,128,0.20943951023931939
phi,129,0.23561944901923448
phi,130,0.26179938779914913
phi,131,0.28797932657906422
phi,132,0.31415926535897931
phi,133,0.34033920413889396
phi,134,0.36651914291880905
phi,135,0.39269908169872414
phi,136,0.41887902047863879
phi,137,0.44505895925855388
phi,138,0.47123889803846897
phi,139,0.49741883681838361
phi,140,0.5235987755982987
phi,141,0.5497787143782138
phi,142,0.57595865315812844
phi,143,0.60213859193804353
phi,144,0.62831853071795862
phi,145,0.65449846949787327
phi,146,0.68067840827778836
phi,147,0.70685834705770345
phi,148,0.7330382858376181
phi,149,0.75921822461753319
phi,150,0.78539816339744828
phi,151,0.81157810217736293
phi,152,0.83775804095727802
phi,153,0.86393797973719266
phi,154,0.89011791851710775
phi,155,0.91629785729702284
phi,156,0.94247779607693793
phi,157,0.96865773485685303
phi,158,0.99483767363676723
phi,159,1.0210176124166823
phi,160,1.0471975511965974
phi,161,1.0733774899765125
phi,162,1.0995574287564276
phi,163,1.1257373675363427
phi,164,1.1519173063162569
phi,165,1.178097245096172
phi,166,1.2042771838760871
phi,167,1.2304571226560022
phi,168,1.2566370614359172
phi,169,1.2828170002158323
phi,170,1.3089969389957465
phi,171,1.3351768777756616
phi,172,1.3613568165555767
phi,173,1.3875367553354918
phi,174,1.4137166941154069
phi,175,1.439896632895322
phi,176,1.4660765716752362
phi,177,1.4922565104551513
phi,178,1.5184364492350664
phi,179,1.5446163880149815
phi,180,1.5707963267948966
phi,181,1.5969762655748116
phi,182,1.6231562043547259
phi,183,1.6493361431346409
phi,184,1.675516081914556
phi,185,1.7016960206944711
phi,186,1.7278759594743862
phi,187,1.7540558982543013
phi,188,1.7802358370342155
phi,189,1.8064157758141306
phi,190,1.8325957145940457
phi,191,1.8587756533739608
phi,192,1.8849555921538759
phi,193,1.911135530933791
phi,194,1.9373154697137052
phi,195,1.9634954084936203
phi,196,1.9896753472735353
phi,197,2.0158552860534504
phi,198,2.0420352248333655
phi,199,2.0682151636132806
phi,200,2.0943951023931948
phi,201,2.1205750411731099
phi,202,2.146754979953025
phi,203,2.1729349187329401
phi,204,2.1991148575128552
phi,205,2.2252947962927703
phi,206,2.2514747350726845
phi,207,2.2776546738525996
phi,208,2.3038346126325147
phi,209,2.3300145514124297
phi,210,2.3561944901923448
phi,211,2.3823744289722599
phi,212,2.4085543677521741
phi,213,2.4347343065320892
phi,214,2.4609142453120043
phi,215,2.4870941840919194
phi,216,2.5132741228718345
phi,217,2.5394540616517496
phi,218,2.5656340004316638
phi,219,2.5918139392115789
phi,220,2.617993877991494
phi,221,2.6441738167714091
phi,222,2.6703537555513241
phi,223,2.6965336943312392
phi,224,2.7227136331111534
phi,225,2.7488935718910685
phi,226,2.7750735106709836
phi,227,2.8012534494508987
phi,228,2.8274333882308138
phi,229,2.8536133270107289
phi,230,2.8797932657906431
phi,231,2.9059732045705582
phi,232,2.9321531433504733
phi,233,2.9583330821303884
phi,234,2.9845130209103035
phi,235,3.0106929596902186
phi,236,3.0368728984701328
phi,237,3.0630528372500478
phi,238,3.0892327760299629
phi,239,3.115412714809878
phi,240,3.1415926535897931
