energy,z2_overlap_sq,is_tower_state
-8.0928786857,4.165e-07,0
-8.0903311603,1.078e-10,0
-8.0878371306,5.562e-09,0
-8.0809195035,3.803e-13,0
-8.0761397769,4.038e-10,0
-8.0700299176,1.370e-07,0
-8.0629230794,1.081e-07,0
-8.0550108118,1.853e-10,0
-8.0473456961,6.678e-09,0
-8.0406107651,7.050e-09,0
-8.0303159959,1.018e-07,0
-8.0289593961,5.138e-09,0
-8.0267245433,7.793e-06,0
-8.0066630164,8.897e-10,0
-8.0049234638,1.014e-06,0
-8.0029133082,1.285e-10,0
-8.0005401492,3.680e-07,0
-7.9900739274,6.399e-10,0
-7.9878534468,1.476e-09,0
-7.9823987075,1.543e-09,0
-7.9675528100,2.761e-05,0
-7.9668571915,3.708e-06,0
-7.9660032727,1.499e-05,0
-7.9579799890,1.386e-07,0
-7.9540613592,6.018e-09,0
-7.9462544104,3.171e-08,0
-7.9423807344,8.953e-09,0
-7.9400333408,4.213e-09,0
-7.9253115816,1.255e-10,0
-7.9139241456,1.896e-02,1
-7.9047006762,2.776e-07,0
-7.8964612505,1.039e-07,0
-7.8756825862,6.339e-10,0
-7.8618888530,1.790e-09,0
-7.8511723589,3.964e-09,0
-7.8497404420,5.027e-10,0
-7.8413234135,4.342e-10,0
-7.8297834543,3.045e-09,0
-7.8268765969,1.663e-10,0
-7.8266633006,3.103e-09,0
-7.8185356873,7.083e-09,0
-7.8181218566,2.399e-09,0
-7.8147412808,8.080e-06,0
-7.8049365381,7.618e-08,0
-7.8034572610,6.743e-07,0
-7.7923685504,1.482e-08,0
-7.7905087573,2.243e-10,0
-7.7881014932,3.104e-08,0
-7.7860667193,6.068e-10,0
-7.7846626612,8.973e-09,0
-7.7808998763,4.246e-07,0
-7.7772235208,3.450e-07,0
-7.7729381453,9.930e-10,0
-7.7696343697,1.282e-07,0
-7.7680812537,1.432e-07,0
-7.7609832275,6.600e-09,0
-7.7573722637,3.678e-07,0
-7.7535610893,1.441e-07,0
-7.7513878035,1.707e-08,0
-7.7475486033,2.044e-08,0
-7.7463571134,3.801e-12,0
-7.7388426510,2.520e-06,0
-7.7328601753,1.512e-05,0
-7.7233151386,6.530e-06,0
