target_id,p0,activity,fitted_viscosity,fit_family
T020,3.9,0.03875,0.21265622354626298,spline
T020,3.9,0.04,0.2126574138677116,spline
T020,3.9,0.0425,0.2126597824146965,spline
T020,3.9,0.045,0.21266213466943912,spline
T020,3.9,0.0475,0.21266447213803003,spline
T020,3.9,0.05,0.21266679632662913,spline
T020,3.9,0.0525,0.21266910874146497,spline
T020,3.9,0.055,0.2126714108888339,spline
T020,3.9,0.057499999999999996,0.21267370427509905,spline
T020,3.9,0.06,0.21267599040668964,spline
T020,3.9,0.0625,0.21267827079010077,spline
T020,3.9,0.065,0.21268054693189248,spline
T020,3.9,0.0675,0.21268282033868974,spline
T020,3.9,0.06999999999999999,0.2126850925171823,spline
T020,3.9,0.0725,0.2126873649741239,spline
T020,3.9,0.075,0.2126896392163331,spline
T020,3.9,0.07749999999999999,0.21269191675069277,spline
T020,3.9,0.07999999999999999,0.21269419908415044,spline
T020,3.9,0.08249999999999999,0.21269648772371857,spline
T020,3.9,0.08499999999999999,0.21269878417647498,spline
T020,3.9,0.0875,0.21270108994956322,spline
T020,3.9,0.09,0.21270340655019357,spline
T020,3.9,0.0925,0.21270573548564325,spline
T020,3.9,0.095,0.21270807826325744,spline
T020,3.9,0.09749999999999999,0.21271043639045042,spline
T020,3.9,0.09999999999999999,0.21271281137470618,spline
T020,3.9,0.1025,0.21271520472357983,spline
T020,3.9,0.10499999999999998,0.212717617944699,spline
T020,3.9,0.10749999999999998,0.2127200525457648,spline
T020,3.9,0.10999999999999999,0.21272251003455359,spline
T020,3.9,0.11249999999999999,0.21272499191891844,spline
T020,3.9,0.11499999999999999,0.21272749970679083,spline
T020,3.9,0.1175,0.21273003490618228,spline
T020,3.9,0.12,0.21273259902518646,spline
T020,3.9,0.12406249999999999,0.2127367430294911,spline
T020,3.9,0.128125,0.21274080001810636,spline
T020,3.9,0.13218749999999999,0.21274478047772036,spline
T020,3.9,0.13624999999999998,0.21274869489589732,spline
T020,3.9,0.1403125,0.2127525537610419,spline
T020,3.9,0.144375,0.2127563675623698,spline
T020,3.9,0.1484375,0.21276014678988237,spline
T020,3.9,0.1525,0.2127639019343473,spline
T020,3.9,0.1565625,0.2127676434872843,spline
T020,3.9,0.160625,0.21277138194095532,spline
T020,3.9,0.1646875,0.21277512778836086,spline
T020,3.9,0.16875,0.212778891523241,spline
T020,3.9,0.17281249999999998,0.2127826836400814,spline
T020,3.9,0.176875,0.21278651463412476,spline
T020,3.9,0.1809375,0.21279039500138777,spline
T020,3.9,0.185,0.21279433523868224,spline
T020,3.9,0.1890625,0.21279834584364268,spline
T020,3.9,0.193125,0.212802437314758,spline
T020,3.9,0.19718750000000002,0.21280662015140897,spline
T020,3.9,0.20124999999999998,0.21281090485391058,spline
T020,3.9,0.2053125,0.21281530192355985,spline
T020,3.9,0.209375,0.2128198218626888,spline
T020,3.9,0.2134375,0.21282447517472194,spline
T020,3.9,0.2175,0.21282927236423999,spline
T020,3.9,0.2215625,0.21283422393704812,spline
T020,3.9,0.225625,0.2128393404002495,spline
T020,3.9,0.2296875,0.2128446322623241,spline
T020,3.9,0.23375,0.2128501100332126,spline
T020,3.9,0.23781249999999998,0.21285578422440563,spline
T020,3.9,0.241875,0.21286166534903786,spline
T020,3.9,0.2459375,0.21286776392198795,spline
T020,3.9,0.25,0.212874090459983,spline
T020,3.9,0.2578125,0.21288635315567242,spline
T020,3.9,0.265625,0.2128983814234902,spline
T020,3.9,0.2734375,0.21291021261788973,spline
T020,3.9,0.28125,0.21292188410225912,spline
T020,3.9,0.2890625,0.2129334332486081,spline
T020,3.9,0.296875,0.21294489743732065,spline
T020,3.9,0.3046875,0.21295631405697268,spline
T020,3.9,0.3125,0.21296772050421597,spline
T020,3.9,0.3203125,0.2129791541837274,spline
T020,3.9,0.328125,0.21299065250822366,spline
T020,3.9,0.3359375,0.2130022528985422,spline
T020,3.9,0.34375,0.21301399278378783,spline
T020,3.9,0.3515625,0.21302590960154433,spline
T020,3.9,0.359375,0.21303804079815322,spline
T020,3.9,0.3671875,0.21305042382905678,spline
T020,3.9,0.375,0.21306309615920807,spline
T020,3.9,0.3828125,0.21307609526354648,spline
T020,3.9,0.390625,0.21308945862753909,spline
T020,3.9,0.3984375,0.21310322374778792,spline
T020,3.9,0.40625,0.2131174281327034,spline
T020,3.9,0.4140625,0.21313210930324364,spline
T020,3.9,0.421875,0.21314730479371988,spline
T020,3.9,0.4296875,0.21316305215266831,spline
T020,3.9,0.4375,0.21317938894378716,spline
T020,3.9,0.4453125,0.21319635274694138,spline
T020,3.9,0.453125,0.21321398115923243,spline
T020,3.9,0.4609375,0.21323231179613497,spline
T020,3.9,0.46875,0.21325138229270002,spline
T020,3.9,0.4765625,0.21327123030482434,spline
T020,3.9,0.484375,0.21329189351058658,spline
T020,3.9,0.4921875,0.2133134096116502,spline
T020,3.9,0.5,0.2133358163347331,spline
T020,3.9,0.5161290322580645,0.2133835777571972,spline
T020,3.9,0.532258064516129,0.21343241759121112,spline
T020,3.9,0.5483870967741935,0.21348228226870458,spline
T020,3.9,0.564516129032258,0.21353311818616766,spline
T020,3.9,0.5806451612903226,0.2135848717021279,spline
T020,3.9,0.5967741935483871,0.21363748913476308,spline
T020,3.9,0.6129032258064516,0.21369091675964808,spline
T020,3.9,0.6290322580645161,0.21374510080763817,spline
T020,3.9,0.6451612903225806,0.2137999874628865,spline
T020,3.9,0.6612903225806451,0.2138555228609982,spline
T020,3.9,0.6774193548387097,0.2139116530873188,spline
T020,3.9,0.6935483870967742,0.2139683241753608,spline
T020,3.9,0.7096774193548387,0.21402548210536343,spline
T020,3.9,0.7258064516129032,0.21408307280299171,spline
T020,3.9,0.7419354838709677,0.2141410421381695,spline
T020,3.9,0.7580645161290323,0.2141993359240513,spline
T020,3.9,0.7741935483870968,0.2142578999161298,spline
