flux_over_h_over_e,angular_level,right_down_energy_over_half_gap,left_up_energy_over_half_gap
0.09,3,0.970752129959246,-0.970752129959246
0.09,4,1.2849113953182254,-1.2849113953182254
0.09,5,1.5990706606772047,-1.5990706606772047
0.09,6,1.913229926036184,-1.913229926036184
0.09,7,2.2273891913951633,-2.2273891913951633
0.09,8,2.5415484567541426,-2.5415484567541426
0.1,-8,-2.4818581963359367,2.4818581963359367
0.1,-7,-2.1676989309769574,2.1676989309769574
0.1,-6,-1.8535396656179781,1.8535396656179781
0.1,-5,-1.5393804002589988,1.5393804002589988
0.1,-4,-1.2252211349000193,1.2252211349000193
0.1,-3,-0.91106186954104,0.91106186954104
0.1,-2,-0.5969026041820606,0.5969026041820606
0.1,-1,-0.2827433388230814,0.2827433388230814
0.1,0,0.031415926535897934,-0.031415926535897934
0.1,1,0.3455751918948773,-0.3455751918948773
0.1,2,0.6597344572538566,-0.6597344572538566
0.1,3,0.9738937226128359,-0.9738937226128359
0.1,4,1.288052987971815,-1.288052987971815
0.1,5,1.6022122533307943,-1.6022122533307943
0.1,6,1.9163715186897736,-1.9163715186897736
0.1,7,2.230530784048753,-2.230530784048753
0.1,8,2.5446900494077322,-2.5446900494077322
0.11,-8,-2.4787166036823467,2.4787166036823467
0.11,-7,-2.1645573383233674,2.1645573383233674
0.11,-6,-1.850398072964388,1.850398072964388
0.11,-5,-1.5362388076054088,1.5362388076054088
0.11,-4,-1.2220795422464295,1.2220795422464295
0.11,-3,-0.9079202768874503,0.9079202768874503
0.11,-2,-0.5937610115284708,0.5937610115284708
0.11,-1,-0.27960174616949157,0.27960174616949157
0.11,0,0.034557519189487726,-0.034557519189487726
0.11,1,0.34871678454846705,-0.34871678454846705
0.11,2,0.6628760499074463,-0.6628760499074463
0.11,3,0.9770353152664256,-0.9770353152664256
0.11,4,1.291194580625405,-1.291194580625405
0.11,5,1.6053538459843844,-1.6053538459843844
0.11,6,1.9195131113433637,-1.9195131113433637
0.11,7,2.233672376702343,-2.233672376702343
0.11,8,2.547831642061322,-2.547831642061322
0.12,-8,-2.475575011028757,2.475575011028757
