N,mass_squared,mode_rank,energy_real,energy_imag,is_real,visible_in_paper_window,solver
0.3,0.1875,7,5.171338368462828,-8.964039435068924e-15,True,True,real_axis_fd
0.3,0.1875,8,6.127688856464383,2.144314146844944e-14,True,True,real_axis_fd
0.3,0.1875,9,6.868572183833368,-2.4959984181763718e-14,True,True,real_axis_fd
0.3,0.1875,10,7.807608074615328,4.606042437582925e-14,True,True,real_axis_fd
0.3,0.1875,11,8.569164378586262,-2.5902459157724033e-14,True,True,real_axis_fd
0.32,0.1875,0,0.02174941068683678,0.27554920556962514,False,True,real_axis_fd
0.32,0.1875,1,0.02174941068690872,-0.27554920556962376,False,True,real_axis_fd
0.32,0.1875,2,1.327256602803475,-1.5898380539536343e-17,True,True,real_axis_fd
0.32,0.1875,3,1.7314171693991272,-5.1316382100698326e-14,True,True,real_axis_fd
0.32,0.1875,4,2.8530785116226394,6.379886435463535e-14,True,True,real_axis_fd
0.32,0.1875,5,3.449027750613575,-1.8036029498093815e-14,True,True,real_axis_fd
0.32,0.1875,6,4.475051360519048,5.385749806972592e-14,True,True,real_axis_fd
0.32,0.1875,7,5.145286624105466,1.5520677656757252e-14,True,True,real_axis_fd
0.32,0.1875,8,6.131662606099708,-1.0700591722263659e-14,True,True,real_axis_fd
0.32,0.1875,9,6.841814084227041,-2.98174249098437e-14,True,True,real_axis_fd
0.32,0.1875,10,7.805892252878305,9.77169260310081e-15,True,True,real_axis_fd
0.32,0.1875,11,8.541087063930275,-2.8660762779045345e-14,True,True,real_axis_fd
0.34,0.1875,0,0.042111079578622146,-0.3264816045396994,False,True,real_axis_fd
0.34,0.1875,1,0.042111079578622146,0.32648160453970443,False,True,real_axis_fd
0.34,0.1875,2,1.4101572338139357,-4.631723820885252e-14,True,True,real_axis_fd
0.34,0.1875,3,1.6655848765395658,4.650067810865794e-14,True,True,real_axis_fd
0.34,0.1875,4,2.8873996586488855,2.5201270931581085e-14,True,True,real_axis_fd
0.34,0.1875,5,3.415424638816856,-1.904060418860178e-14,True,True,real_axis_fd
0.34,0.1875,6,4.494388548945341,-4.712826079751066e-15,True,True,real_axis_fd
0.34,0.1875,7,5.115449504449455,7.187488200884344e-14,True,True,real_axis_fd
0.34,0.1875,8,6.142140516901149,-1.0786880162416185e-13,True,True,real_axis_fd
0.34,0.1875,9,6.812188896533028,1.2470037760875994e-13,True,True,real_axis_fd
0.34,0.1875,10,7.810067552323442,-2.4291353953057708e-14,True,True,real_axis_fd
0.34,0.1875,11,8.510621763729095,2.2140903419367162e-14,True,True,real_axis_fd
0.36,0.1875,0,0.06391035276683299,-0.37374272512402373,False,True,real_axis_fd
0.36,0.1875,1,0.06391035276691204,0.37374272512404655,False,True,real_axis_fd
0.36,0.1875,2,1.5484721875868561,-0.10798310871963436,False,True,real_axis_fd
0.36,0.1875,3,1.5484721875871599,0.10798310871962072,False,True,real_axis_fd
0.36,0.1875,4,2.93690466041547,-7.97726252818482e-14,True,True,real_axis_fd
0.36,0.1875,5,3.3708366686429807,1.141073886658272e-13,True,True,real_axis_fd
0.36,0.1875,6,4.52404689797621,-4.4555359344247625e-14,True,True,real_axis_fd
0.36,0.1875,7,5.079386288653385,4.5858589563764565e-14,True,True,real_axis_fd
0.36,0.1875,8,6.161290553356025,1.3035560991059942e-14,True,True,real_axis_fd
0.36,0.1875,9,6.7778713924969,-9.79257594402565e-15,True,True,real_axis_fd
0.36,0.1875,10,7.822061110414057,-5.084880310537756e-14,True,True,real_axis_fd
0.36,0.1875,11,8.476206721597293,-1.5628096599950265e-15,True,True,real_axis_fd
0.38,0.1875,0,0.08720138104906594,0.41865227018930007,False,True,real_axis_fd
0.38,0.1875,1,0.08720138104915076,-0.4186522701893117,False,True,real_axis_fd
0.38,0.1875,2,1.5612062279741963,-0.20830025722078702,False,True,real_axis_fd
0.38,0.1875,3,1.5612062279742478,0.20830025722083675,False,True,real_axis_fd
0.38,0.1875,4,3.0158907167378963,7.386252483931052e-14,True,True,real_axis_fd
0.38,0.1875,5,3.301213215737553,-2.3833369503257892e-15,True,True,real_axis_fd
0.38,0.1875,6,4.569161949640156,-3.3194820299914306e-14,True,True,real_axis_fd
0.38,0.1875,7,5.032269779073031,3.330900833188064e-14,True,True,real_axis_fd
0.38,0.1875,8,6.192718925575904,5.89412684381598e-15,True,True,real_axis_fd
0.38,0.1875,9,6.735602357546175,-5.3764860755187436e-14,True,True,real_axis_fd
0.38,0.1875,10,7.844929962404203,1.6590943694616603e-13,True,True,real_axis_fd
0.38,0.1875,11,8.435159860640645,-1.2456388625754624e-13,True,True,real_axis_fd
0.4,0.1875,0,0.11205042113380648,0.46192738715976633,False,True,real_axis_fd
0.4,0.1875,1,0.11205042113387709,-0.46192738715977255,False,True,real_axis_fd
0.4,0.1875,2,1.5761338364808553,-0.2813568676197405,False,True,real_axis_fd
0.4,0.1875,3,1.5761338364809623,0.2813568676197275,False,True,real_axis_fd
0.4,0.1875,4,3.1655723149234762,-0.1050674784957533,False,True,real_axis_fd
0.4,0.1875,5,3.165572314923602,0.10506747849573957,False,True,real_axis_fd
0.4,0.1875,6,4.643330304504962,3.331893624764615e-14,True,True,real_axis_fd
0.4,0.1875,7,4.960804173896705,-4.4387981532242577e-14,True,True,real_axis_fd
0.4,0.1875,8,6.243785094224558,-3.706705723068059e-15,True,True,real_axis_fd
0.4,0.1875,9,6.678367980719347,5.575183493821024e-14,True,True,real_axis_fd
0.4,0.1875,10,7.884317079948194,-6.246329597805869e-14,True,True,real_axis_fd
0.4,0.1875,11,8.38221692146725,1.6010114659503097e-14,True,True,real_axis_fd
0.42,0.1875,0,0.13853650135710271,0.5039792349165906,False,True,real_axis_fd
0.42,0.1875,1,0.1385365013571409,-0.5039792349166009,False,True,real_axis_fd
0.42,0.1875,2,1.5933139811757862,-0.3452938628172524,False,True,real_axis_fd
0.42,0.1875,3,1.5933139811759363,0.34529386281726815,False,True,real_axis_fd
0.42,0.1875,4,3.1750414305586996,-0.21835982887122504,False,True,real_axis_fd
0.42,0.1875,5,3.175041430558937,0.2183598288712804,False,True,real_axis_fd
0.42,0.1875,6,4.805915997877084,-0.09489946937545642,False,True,real_axis_fd
0.42,0.1875,7,4.8059159978785715,0.09489946937546304,False,True,real_axis_fd
0.42,0.1875,8,6.339737628270845,-4.647317998528953e-13,True,True,real_axis_fd
0.42,0.1875,9,6.581259481984143,4.69005193107463e-13,True,True,real_axis_fd
0.42,0.1875,10,7.954708298417145,-1.3493260435869912e-13,True,True,real_axis_fd
0.42,0.1875,11,8.30326904632109,1.2058425280395707e-13,True,True,real_axis_fd
0.44,0.1875,0,0.16675136910310773,-0.5450422922092816,False,True,real_axis_fd
0.44,0.1875,1,0.16675136910312416,0.5450422922092768,False,True,real_axis_fd
0.44,0.1875,2,1.612808015217872,0.4047084317134174,False,True,real_axis_fd
0.44,0.1875,3,1.61280801521796,-0.40470843171335974,False,True,real_axis_fd
0.44,0.1875,4,3.187064649024969,-0.30023010691700286,False,True,real_axis_fd
0.44,0.1875,5,3.1870646490249794,0.30023010691699137,False,True,real_axis_fd
0.44,0.1875,6,4.8124026320951385,0.2233371583772647,False,True,real_axis_fd
0.44,0.1875,7,4.8124026320952185,-0.22333715837730037,False,True,real_axis_fd
0.44,0.1875,8,6.462592828096885,0.15932529018206365,False,True,real_axis_fd
0.44,0.1875,9,6.462592828097259,-0.15932529018194574,False,True,real_axis_fd
0.44,0.1875,10,8.127395958450034,0.09558615248678286,False,True,real_axis_fd
0.44,0.1875,11,8.127395958451402,-0.09558615248704205,False,True,real_axis_fd
0.46,0.1875,0,0.19679879681749668,0.5852387259460167,False,True,real_axis_fd
0.46,0.1875,1,0.19679879681755796,-0.5852387259460364,False,True,real_axis_fd
0.46,0.1875,2,1.634683605420462,0.46150719976071763,False,True,real_axis_fd
